Gene	Rho	P_val
ABCB1	-5.384e-02	3.274e-01
ABCC3	6.585e-03	9.047e-01
ABL1	7.877e-02	1.515e-01
ABL2	1.601e-01	3.405e-03
ACTA2	-1.317e-01	1.615e-02
ACVR1B	-1.764e-01	1.232e-03
ADGRA2	-1.586e-01	3.718e-03
AJUBA	-1.044e-01	5.706e-02
AKT1	-1.599e-01	3.426e-03
AKT2	-6.739e-02	2.200e-01
AKT3	1.508e-01	5.831e-03
ALK	1.171e-01	3.268e-02
ALOX12B	4.864e-02	3.762e-01
AMER1	-2.806e-01	1.929e-07
ANKRD11	5.855e-02	2.867e-01
APC	-5.443e-02	3.220e-01
APOB	6.888e-02	2.100e-01
AR	2.132e-01	8.786e-05
ARAF	1.628e-01	2.888e-03
ARFRP1	-2.850e-01	1.216e-07
ARHGAP26	-9.184e-03	8.674e-01
ARHGAP35	9.088e-02	9.779e-02
ARID1A	-7.062e-02	1.986e-01
ARID1B	-1.042e-01	5.746e-02
ARID2	3.630e-02	5.091e-01
ARID5B	-1.755e-02	7.497e-01
ASNS	4.586e-02	4.042e-01
ASXL1	1.947e-01	3.518e-04
ASXL2	-1.153e-01	3.541e-02
ATIC	-7.213e-03	8.957e-01
ATM	6.610e-02	2.290e-01
ATP7B	8.348e-02	1.284e-01
ATR	2.375e-01	1.188e-05
ATRX	-1.623e-01	2.972e-03
AURKA	-2.350e-01	1.465e-05
AURKB	-6.593e-02	2.302e-01
AXIN1	-1.314e-01	1.642e-02
AXIN2	-1.002e-01	6.782e-02
AXL	4.313e-03	9.375e-01
B2M	-4.605e-02	4.022e-01
BAP1	-3.726e-03	9.460e-01
BARD1	1.514e-01	5.641e-03
BCAR1	-6.988e-03	8.989e-01
BCL10	-3.954e-02	4.721e-01
BCL11B	6.451e-02	2.404e-01
BCL2	1.133e-01	3.872e-02
BCL2L1	-2.409e-01	8.751e-06
BCL2L11	7.026e-02	2.010e-01
BCL2L12	1.163e-01	3.389e-02
BCL2L2	1.267e-02	8.178e-01
BCL6	7.924e-02	1.491e-01
BCL7A	8.810e-02	1.086e-01
BCLAF1	1.229e-02	8.231e-01
BCOR	-1.587e-01	3.698e-03
BCORL1	-8.729e-02	1.118e-01
BCR	3.685e-02	5.027e-01
BIRC3	-1.126e-01	3.994e-02
BLM	8.871e-02	1.061e-01
BMPR1A	3.631e-03	9.474e-01
BRAF	-5.864e-02	2.860e-01
BRCA1	7.884e-02	1.511e-01
BRCA2	2.233e-02	6.848e-01
BRD4	-1.068e-01	5.147e-02
BRIP1	-1.417e-01	9.607e-03
BTG1	2.709e-02	6.223e-01
BTK	-1.043e-01	5.725e-02
BUB1B	-1.212e-01	2.698e-02
C11orf65	4.160e-02	4.493e-01
C3orf70	-1.638e-01	2.715e-03
C8orf34	-2.253e-02	6.820e-01
CADM2	-1.938e-02	7.245e-01
CALR	1.355e-01	1.334e-02
CARD11	1.109e-01	4.306e-02
CASP8	1.112e-01	4.257e-02
CASR	9.243e-02	9.221e-02
CBFB	-5.304e-03	9.232e-01
CBL	3.544e-03	9.486e-01
CBLB	3.272e-02	5.518e-01
CBLC	1.268e-01	2.065e-02
CBR3	1.529e-01	5.161e-03
CCDC6	-1.745e-01	1.385e-03
CCND1	-3.258e-02	5.536e-01
CCND2	-6.748e-02	2.194e-01
CCND3	-3.052e-01	1.317e-08
