Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.40700e-01	4.04400e-59	8.04300e-01	8.32800e-77	9.20900e-01	unspecified
1	5.78200e-01	4.22700e-31	3.94600e-01	7.48000e-14	1.46500e+00	unspecified
2	2.82100e-01	1.64600e-07	3.17900e-01	2.96500e-09	8.87500e-01	unspecified
3	8.05700e-01	2.77200e-77	7.90600e-01	1.68200e-72	1.01900e+00	unspecified
4	7.21900e-01	7.05000e-55	7.17600e-01	6.17100e-54	1.00600e+00	unspecified
5	6.08000e-01	4.78700e-35	6.16100e-01	3.52000e-36	9.87000e-01	unspecified
10	2.10200e-01	1.11600e-04	1.96600e-01	3.06600e-04	1.06900e+00	unspecified
14	6.82800e-01	4.82800e-47	6.98400e-01	5.18800e-50	9.77700e-01	unspecified
15	4.88800e-01	2.11400e-21	4.81800e-01	9.23900e-21	1.01400e+00	unspecified
16	5.09000e-01	2.39900e-23	5.44200e-01	4.58600e-27	9.35300e-01	unspecified
17	2.74300e-01	3.69800e-07	2.59600e-01	1.57100e-06	1.05700e+00	unspecified
18	2.59600e-01	1.57100e-06	1.53200e-01	5.09300e-03	1.69500e+00	unspecified
23	7.84100e-01	1.54700e-70	7.82000e-01	6.25100e-70	1.00300e+00	unspecified
25	7.17200e-01	7.40400e-54	7.04500e-01	3.10900e-51	1.01800e+00	unspecified
26	6.70800e-02	2.22200e-01	-2.35000e-02	6.69200e-01	-2.85500e+00	unspecified
27	1.57000e-01	4.08900e-03	1.53000e-01	5.13500e-03	1.02600e+00	unspecified
30	-1.19400e-01	2.93600e-02	8.01600e-02	1.44400e-01	-1.49000e+00	unspecified
31	3.22600e-01	1.67100e-09	2.43900e-01	6.74000e-06	1.32300e+00	unspecified
34	1.86300e-01	6.34200e-04	3.54700e-01	2.61400e-11	5.25200e-01	unspecified
38	1.56200e-01	4.27700e-03	1.09900e-01	4.50900e-02	1.42100e+00	unspecified
39	1.17300e-01	3.24300e-02	1.32500e-01	1.55500e-02	8.85000e-01	unspecified
40	2.08900e-01	1.23200e-04	1.73700e-01	1.45800e-03	1.20200e+00	unspecified
41	1.67200e-01	2.21000e-03	1.78400e-01	1.08100e-03	9.37200e-01	unspecified
49	-1.96300e-01	3.13400e-04	-1.28500e-01	1.89400e-02	1.52700e+00	unspecified
54	2.25700e-01	3.23100e-05	1.85300e-01	6.76800e-04	1.21800e+00	unspecified
57	2.82900e-01	1.51300e-07	2.28300e-01	2.58800e-05	1.23900e+00	unspecified
61	7.27700e-02	1.85300e-01	8.06700e-02	1.41800e-01	9.02100e-01	unspecified
63	7.22000e-01	6.70000e-55	7.19600e-01	2.21300e-54	1.00300e+00	unspecified
64	6.84100e-01	2.76500e-47	4.81800e-01	9.23900e-21	1.42000e+00	unspecified
65	2.75300e-01	3.33900e-07	2.42200e-01	7.85200e-06	1.13700e+00	unspecified
67	6.93600e-01	4.49600e-49	-2.76700e-02	6.14800e-01	-2.50600e+01	unspecified
69	6.64400e-01	9.08100e-44	3.27200e-01	9.44500e-10	2.03000e+00	unspecified
71	7.34300e-01	1.23800e-57	5.79400e-01	3.03900e-31	1.26700e+00	unspecified
72	3.79900e-01	7.07600e-13	2.75300e-01	3.33900e-07	1.38000e+00	unspecified
74	3.73600e-03	9.45900e-01	4.62700e-02	4.00000e-01	8.07400e-02	unspecified
76	2.83700e-01	1.38600e-07	3.83900e-01	3.91300e-13	7.39200e-01	unspecified
77	5.93200e-01	4.99000e-33	2.50100e-01	3.82500e-06	2.37200e+00	unspecified
78	1.16500e-01	3.36200e-02	1.63300e-02	7.66600e-01	7.13400e+00	unspecified
79	2.14700e-01	7.81500e-05	1.61300e-01	3.15600e-03	1.33100e+00	unspecified
87	3.22700e-01	1.64900e-09	3.06100e-01	1.18000e-08	1.05400e+00	unspecified
88	-9.26400e-02	9.14600e-02	1.41800e-01	9.56600e-03	-6.53300e-01	unspecified
89	3.06600e-01	1.11600e-08	9.27700e-02	9.10000e-02	3.30500e+00	unspecified
90	1.80500e-01	9.38000e-04	1.48400e-01	6.65400e-03	1.21600e+00	unspecified
98	1.29200e-01	1.83600e-02	1.47500e-01	7.02100e-03	8.75900e-01	unspecified
99	1.43800e-01	8.58600e-03	6.98000e-02	2.03900e-01	2.06000e+00	unspecified
100	1.61000e-01	3.22500e-03	6.98000e-02	2.03900e-01	2.30600e+00	unspecified
108	4.91500e-02	3.71300e-01	6.17100e-02	2.61500e-01	7.96500e-01	unspecified
109	2.34700e-01	1.51300e-05	9.27700e-02	9.10000e-02	2.53000e+00	unspecified
110	-3.96000e-02	4.71400e-01	-5.14300e-02	3.49400e-01	7.70000e-01	unspecified
113	1.41800e-01	9.56600e-03	8.28200e-02	1.31500e-01	1.71200e+00	unspecified
115	3.54700e-01	2.61400e-11	1.90400e-01	4.76100e-04	1.86300e+00	unspecified
118	1.48400e-01	6.65400e-03	1.56600e-01	4.17500e-03	9.47900e-01	unspecified
120	-5.20200e-02	3.44000e-01	-1.19800e-02	8.27600e-01	4.34400e+00	unspecified
124	9.27700e-02	9.10000e-02	1.03000e-01	6.05000e-02	9.00900e-01	unspecified
127	1.09900e-01	4.50900e-02	1.95200e-01	3.40100e-04	5.63000e-01	unspecified
