Gene	Rho	P_val
ABCB1	-4.500e-02	4.131e-01
ABCC3	-2.682e-02	6.257e-01
ABL1	8.773e-02	1.100e-01
ABL2	6.297e-02	2.518e-01
ACTA2	2.316e-02	6.736e-01
ACVR1B	-1.066e-01	5.189e-02
ADGRA2	-1.691e-01	1.952e-03
AJUBA	-1.503e-01	6.007e-03
AKT1	-1.390e-01	1.113e-02
AKT2	-1.238e-01	2.389e-02
AKT3	1.321e-01	1.584e-02
ALK	3.483e-02	5.265e-01
ALOX12B	4.441e-02	4.192e-01
AMER1	-1.484e-01	6.665e-03
ANKRD11	1.740e-02	7.517e-01
APC	-2.799e-02	6.107e-01
APOB	1.203e-01	2.810e-02
AR	2.183e-01	5.880e-05
ARAF	-3.350e-03	9.514e-01
ARFRP1	-1.416e-01	9.692e-03
ARHGAP26	5.588e-02	3.093e-01
ARHGAP35	2.809e-02	6.095e-01
ARID1A	-1.509e-02	7.838e-01
ARID1B	-8.461e-02	1.233e-01
ARID2	4.242e-03	9.385e-01
ARID5B	-3.890e-02	4.793e-01
ASNS	1.333e-01	1.496e-02
ASXL1	6.675e-02	2.244e-01
ASXL2	-1.803e-01	9.518e-04
ATIC	1.913e-02	7.280e-01
ATM	1.710e-02	7.558e-01
ATP7B	-1.700e-02	7.573e-01
ATR	1.113e-01	4.237e-02
ATRX	-1.883e-01	5.538e-04
AURKA	-1.314e-01	1.641e-02
AURKB	-1.441e-01	8.459e-03
AXIN1	-7.811e-02	1.550e-01
AXIN2	-1.157e-02	8.334e-01
AXL	-6.382e-02	2.455e-01
B2M	2.510e-02	6.481e-01
BAP1	3.154e-02	5.663e-01
BARD1	7.643e-02	1.640e-01
BCAR1	-1.913e-02	7.280e-01
BCL10	-2.236e-02	6.843e-01
BCL11B	-5.076e-02	3.558e-01
BCL2	-1.031e-02	8.513e-01
BCL2L1	-2.069e-01	1.427e-04
BCL2L11	9.205e-02	9.354e-02
BCL2L12	1.368e-01	1.245e-02
BCL2L2	-4.635e-02	3.992e-01
BCL6	1.911e-02	7.283e-01
BCL7A	1.553e-02	7.777e-01
BCLAF1	7.459e-02	1.745e-01
BCOR	-1.680e-02	7.600e-01
BCORL1	1.386e-02	8.011e-01
BCR	-3.943e-02	4.733e-01
BIRC3	-8.558e-02	1.191e-01
BLM	7.903e-03	8.858e-01
BMPR1A	1.156e-02	8.336e-01
BRAF	-7.360e-03	8.936e-01
BRCA1	5.711e-02	2.988e-01
BRCA2	-9.028e-02	1.001e-01
BRD4	-4.976e-02	3.653e-01
BRIP1	-8.561e-03	8.763e-01
BTG1	1.415e-02	7.970e-01
BTK	-5.879e-02	2.847e-01
BUB1B	-1.763e-01	1.238e-03
C11orf65	4.014e-02	4.653e-01
C3orf70	-1.159e-01	3.453e-02
C8orf34	-2.916e-02	5.960e-01
CADM2	-8.946e-02	1.032e-01
CALR	4.338e-02	4.301e-01
CARD11	4.100e-02	4.559e-01
CASP8	3.666e-02	5.050e-01
CASR	1.635e-01	2.760e-03
CBFB	1.325e-01	1.551e-02
CBL	-7.532e-03	8.911e-01
CBLB	6.964e-02	2.049e-01
CBLC	1.556e-01	4.416e-03
CBR3	1.158e-01	3.460e-02
CCDC6	-1.206e-01	2.783e-02
CCND1	1.124e-02	8.381e-01
CCND2	-1.322e-01	1.581e-02
CCND3	-1.569e-01	4.098e-03
CCNE1	-2.548e-01	2.470e-06
CCNE2	-1.570e-01	4.086e-03
CD19	8.396e-02	1.263e-01
CD22	-1.855e-01	6.672e-04
CD274	1.107e-01	4.348e-02
CD276	1.414e-01	9.773e-03
CD40	7.766e-02	1.573e-01
CD70	4.358e-02	4.280e-01
CD79A	-1.197e-01	2.901e-02
CD79B	-9.129e-03	8.682e-01
CDC25A	5.167e-02	3.472e-01
CDC73	1.024e-01	6.191e-02
CDH1	-2.171e-01	6.504e-05
CDH2	-5.462e-02	3.204e-01
CDK12	5.360e-05	9.992e-01
CDK4	6.631e-02	2.275e-01
CDK5	1.070e-01	5.098e-02
CDK6	5.105e-02	3.531e-01
CDK8	3.935e-02	4.743e-01
CDKN1A	-4.094e-02	4.565e-01
CDKN1B	-1.551e-01	4.554e-03
CDKN1C	-1.604e-01	3.342e-03
CDKN2A	-3.507e-01	4.490e-11
CDKN2B	3.709e-01	2.679e-12
CDKN2C	1.302e-02	8.129e-01
CEBPA	1.250e-01	2.252e-02
CEP57	-1.014e-01	6.450e-02
CFTR	-6.444e-02	2.409e-01
CHD2	-6.263e-02	2.544e-01
CHD4	9.887e-02	7.157e-02
CHEK1	1.977e-01	2.842e-04
CHEK2	5.535e-02	3.139e-01
CIC	-8.814e-02	1.084e-01
CIITA	-1.074e-03	9.844e-01
CKS1B	1.327e-01	1.541e-02
CREBBP	-8.778e-02	1.099e-01
CRKL	-1.684e-01	2.041e-03
CRLF2	4.896e-02	3.732e-01
CSF1R	-5.516e-02	3.156e-01
CSF3R	-9.611e-03	8.613e-01
CTC1	3.589e-02	5.140e-01
CTCF	-1.127e-02	8.376e-01
CTLA4	-8.885e-02	1.056e-01
CTNNA1	3.394e-02	5.371e-01
CTNNB1	-2.796e-02	6.112e-01
CTRC	-1.457e-01	7.760e-03
CUL3	-5.285e-02	3.363e-01
CUX1	5.028e-02	3.603e-01
CXCR4	-3.314e-02	5.467e-01
CYLD	1.303e-01	1.737e-02
CYP1B1	1.392e-01	1.100e-02
CYP2D6	-1.943e-02	7.239e-01
CYP3A5	-2.324e-02	6.727e-01
DAXX	3.881e-02	4.803e-01
DDB2	-8.530e-02	1.203e-01
DDR2	-9.937e-02	7.014e-02
DDX3X	9.364e-03	8.648e-01
DICER1	1.738e-01	1.454e-03
DIS3	-1.422e-01	9.371e-03
DIS3L2	3.522e-02	5.218e-01
DKC1	-8.460e-02	1.234e-01
DMD	-2.765e-02	6.151e-01
DNM2	-1.155e-02	8.336e-01
DNMT1	-4.921e-02	3.707e-01
DNMT3A	-1.925e-01	4.114e-04
DNMT3B	-7.409e-02	1.774e-01
DOT1L	-4.165e-02	4.487e-01
DPYD	2.796e-02	6.112e-01
DYNC2H1	9.371e-02	8.777e-02
E2F1	1.019e-01	6.339e-02
E2F2	2.273e-02	6.794e-01
E2F3	5.323e-02	3.329e-01
E2F4	1.067e-01	5.174e-02
E2F5	1.284e-01	1.906e-02
E2F6	-2.281e-02	6.783e-01
EBF1	5.739e-02	2.964e-01
ECT2L	-1.086e-02	8.435e-01
EED	-1.036e-01	5.897e-02
EGF	7.836e-02	1.536e-01
EGFL7	-1.213e-01	2.683e-02
EGFR	-8.007e-02	1.448e-01
EGLN1	1.122e-02	8.383e-01
ELF3	-1.638e-01	2.709e-03
ELOC	-1.321e-02	8.101e-01
EMSY	1.608e-01	3.251e-03
ENG	5.229e-02	3.415e-01
EP300	2.509e-03	9.636e-01
EPCAM	2.153e-01	7.477e-05
EPHA2	6.494e-03	9.060e-01
EPHA3	2.338e-02	6.708e-01
EPHA5	1.532e-01	5.073e-03
EPHA7	3.498e-02	5.247e-01
EPHB1	1.409e-01	1.006e-02
EPHB2	-2.906e-02	5.973e-01
EPOR	-2.180e-02	6.919e-01
ERBB2	-8.788e-02	1.094e-01
ERBB3	7.233e-02	1.880e-01
