Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.40800e-01	3.69600e-59	7.65500e-01	2.39500e-65	9.67800e-01	unspecified
1	5.45800e-01	3.04000e-27	3.18300e-01	2.83000e-09	1.71500e+00	unspecified
2	2.66100e-01	8.39100e-07	3.01400e-01	2.01700e-08	8.82700e-01	unspecified
3	7.72800e-01	2.39200e-67	7.52900e-01	4.32600e-62	1.02700e+00	unspecified
4	6.09400e-01	3.08300e-35	6.10100e-01	2.43900e-35	9.98800e-01	unspecified
5	5.04800e-01	6.26700e-23	4.94600e-01	5.96300e-22	1.02000e+00	unspecified
10	2.37100e-02	6.66400e-01	4.05300e-03	9.41300e-01	5.85100e+00	unspecified
14	6.35700e-01	4.23800e-39	6.40500e-01	7.56900e-40	9.92500e-01	unspecified
15	5.24600e-01	6.01800e-25	5.03000e-01	9.29300e-23	1.04300e+00	unspecified
16	4.44800e-01	1.39600e-17	4.32200e-01	1.37000e-16	1.02900e+00	unspecified
17	1.97400e-01	2.90500e-04	1.80100e-01	9.65000e-04	1.09600e+00	unspecified
18	1.80100e-01	9.65000e-04	8.11000e-02	1.39700e-01	2.22000e+00	unspecified
23	7.18800e-01	3.37200e-54	7.25300e-01	1.27800e-55	9.91000e-01	unspecified
25	6.04700e-01	1.38300e-34	6.52500e-01	8.92500e-42	9.26700e-01	unspecified
26	1.70200e-01	1.82300e-03	4.83400e-02	3.79200e-01	3.52100e+00	unspecified
27	5.96600e-02	2.77600e-01	6.84900e-02	2.12500e-01	8.71100e-01	unspecified
30	2.10300e-05	9.99700e-01	1.98200e-02	7.18600e-01	1.06100e-03	unspecified
31	1.76300e-01	1.23300e-03	1.34100e-01	1.42900e-02	1.31500e+00	unspecified
34	2.36400e-01	1.29900e-05	2.10200e-01	1.11500e-04	1.12500e+00	unspecified
38	1.61600e-01	3.11300e-03	1.64900e-01	2.53400e-03	9.79500e-01	unspecified
39	2.33200e-01	1.71400e-05	1.79800e-01	9.79200e-04	1.29700e+00	unspecified
40	1.48300e-01	6.69100e-03	1.22300e-01	2.56200e-02	1.21300e+00	unspecified
41	8.08600e-02	1.40900e-01	7.73500e-02	1.59000e-01	1.04500e+00	unspecified
49	-1.10500e-01	4.38500e-02	-8.94300e-02	1.03300e-01	1.23600e+00	unspecified
54	1.46900e-01	7.25300e-03	7.61100e-02	1.65900e-01	1.93000e+00	unspecified
57	2.19800e-01	5.21600e-05	1.12400e-01	4.03800e-02	1.95600e+00	unspecified
61	1.43500e-01	8.75300e-03	1.03700e-01	5.86800e-02	1.38300e+00	unspecified
63	6.93900e-01	3.86500e-49	6.97800e-01	6.66800e-50	9.94400e-01	unspecified
64	6.67800e-01	2.37200e-44	5.03000e-01	9.29300e-23	1.32800e+00	unspecified
65	3.04200e-01	1.46500e-08	2.25000e-01	3.43000e-05	1.35200e+00	unspecified
67	6.20600e-01	7.63600e-37	-4.08800e-02	4.57200e-01	-1.51800e+01	unspecified
69	6.17700e-01	2.01900e-36	3.15600e-01	3.87600e-09	1.95700e+00	unspecified
71	6.84600e-01	2.20600e-47	4.21200e-01	9.44000e-16	1.62500e+00	unspecified
72	3.14400e-01	4.48200e-09	3.04200e-01	1.46500e-08	1.03300e+00	unspecified
74	1.68500e-01	2.03500e-03	1.74300e-01	1.41000e-03	9.66800e-01	unspecified
76	1.74900e-01	1.35500e-03	1.49400e-01	6.29400e-03	1.17000e+00	unspecified
77	5.54100e-01	3.42100e-28	2.02300e-01	2.02400e-04	2.73900e+00	unspecified
78	1.16500e-01	3.36000e-02	3.90700e-02	4.77300e-01	2.98100e+00	unspecified
79	2.34700e-01	1.51400e-05	1.55500e-01	4.44100e-03	1.50900e+00	unspecified
87	2.96700e-01	3.41600e-08	2.98800e-01	2.71000e-08	9.93000e-01	unspecified
88	3.13900e-02	5.68200e-01	-1.00400e-02	8.55200e-01	-3.12600e+00	unspecified
89	2.58800e-01	1.70100e-06	7.15000e-02	1.93100e-01	3.61900e+00	unspecified
90	1.56200e-01	4.27400e-03	1.24700e-01	2.28900e-02	1.25300e+00	unspecified
98	2.19400e-01	5.39200e-05	2.20500e-01	4.94800e-05	9.95200e-01	unspecified
99	1.58300e-01	3.78800e-03	3.50700e-02	5.23600e-01	4.51200e+00	unspecified
100	1.23500e-01	2.42100e-02	3.50700e-02	5.23600e-01	3.52100e+00	unspecified
108	5.62200e-02	3.06400e-01	4.01700e-02	4.65000e-01	1.39900e+00	unspecified
109	2.17100e-01	6.47600e-05	7.15000e-02	1.93100e-01	3.03600e+00	unspecified
110	3.92900e-03	9.43100e-01	3.63000e-03	9.47400e-01	1.08200e+00	unspecified
113	-1.00400e-02	8.55200e-01	1.17700e-01	3.18100e-02	-8.53300e-02	unspecified
115	2.10200e-01	1.11500e-04	1.14500e-01	3.67300e-02	1.83500e+00	unspecified
118	1.24700e-01	2.28900e-02	1.50800e-01	5.81300e-03	8.26400e-01	unspecified
120	-3.76100e-02	4.93900e-01	-1.48600e-02	7.87100e-01	2.53200e+00	unspecified
124	7.15000e-02	1.93100e-01	6.38000e-02	2.45600e-01	1.12100e+00	unspecified
127	1.64900e-01	2.53400e-03	2.39100e-01	1.03200e-05	6.89900e-01	unspecified
