Gene	Rho	P_val
ABCB1	-9.518e-02	8.287e-02
ABCC3	-7.953e-02	1.476e-01
ABL1	3.953e-02	4.722e-01
ABL2	9.097e-02	9.746e-02
ACTA2	-1.462e-01	7.518e-03
ACVR1B	-5.005e-02	3.625e-01
ADGRA2	-1.842e-01	7.292e-04
AJUBA	-1.277e-01	1.979e-02
AKT1	-1.780e-01	1.103e-03
AKT2	-1.546e-01	4.684e-03
AKT3	1.440e-01	8.481e-03
ALK	3.295e-03	9.522e-01
ALOX12B	8.747e-02	1.111e-01
AMER1	-1.526e-01	5.251e-03
ANKRD11	4.386e-02	4.250e-01
APC	-4.811e-02	3.815e-01
APOB	1.350e-01	1.369e-02
AR	2.457e-01	5.737e-06
ARAF	9.305e-02	9.001e-02
ARFRP1	-1.582e-01	3.804e-03
ARHGAP26	5.355e-02	3.300e-01
ARHGAP35	3.277e-04	9.952e-01
ARID1A	-5.723e-02	2.978e-01
ARID1B	-9.884e-03	8.574e-01
ARID2	-7.490e-02	1.727e-01
ARID5B	-5.941e-02	2.797e-01
ASNS	4.367e-03	9.367e-01
ASXL1	-7.229e-03	8.954e-01
ASXL2	-1.446e-01	8.245e-03
ATIC	-6.384e-02	2.454e-01
ATM	-1.217e-01	2.634e-02
ATP7B	1.980e-03	9.713e-01
ATR	1.348e-01	1.382e-02
ATRX	-1.420e-01	9.473e-03
AURKA	-9.029e-02	1.000e-01
AURKB	-1.187e-01	3.029e-02
AXIN1	-6.051e-02	2.709e-01
AXIN2	1.061e-01	5.307e-02
AXL	3.281e-03	9.524e-01
B2M	9.656e-02	7.847e-02
BAP1	5.605e-02	3.078e-01
BARD1	1.315e-01	1.631e-02
BCAR1	-4.214e-02	4.434e-01
BCL10	-3.648e-02	5.070e-01
BCL11B	7.864e-02	1.522e-01
BCL2	3.448e-02	5.307e-01
BCL2L1	-1.162e-01	3.398e-02
BCL2L11	1.077e-01	4.959e-02
BCL2L12	8.095e-02	1.405e-01
BCL2L2	-1.170e-01	3.280e-02
BCL6	8.589e-02	1.177e-01
BCL7A	5.159e-02	3.479e-01
BCLAF1	1.082e-01	4.841e-02
BCOR	-4.896e-02	3.732e-01
BCORL1	-4.502e-02	4.129e-01
BCR	1.024e-01	6.186e-02
BIRC3	-2.562e-01	2.166e-06
BLM	1.608e-01	3.255e-03
BMPR1A	-7.234e-02	1.879e-01
BRAF	-6.088e-02	2.679e-01
BRCA1	4.684e-02	3.943e-01
BRCA2	-1.306e-02	8.123e-01
BRD4	-2.068e-02	7.069e-01
BRIP1	-1.978e-02	7.192e-01
BTG1	1.047e-01	5.626e-02
BTK	-1.445e-02	7.928e-01
BUB1B	-1.303e-01	1.737e-02
C11orf65	1.868e-01	6.138e-04
C3orf70	-8.384e-02	1.268e-01
C8orf34	-5.671e-02	3.022e-01
CADM2	1.404e-02	7.985e-01
CALR	8.601e-02	1.172e-01
CARD11	5.474e-02	3.193e-01
CASP8	1.430e-01	8.988e-03
CASR	6.959e-02	2.053e-01
CBFB	-4.303e-02	4.339e-01
CBL	-1.861e-01	6.405e-04
CBLB	2.352e-02	6.689e-01
CBLC	1.369e-01	1.237e-02
CBR3	1.165e-01	3.362e-02
CCDC6	-5.306e-02	3.344e-01
CCND1	4.524e-02	4.106e-01
CCND2	-3.807e-02	4.887e-01
CCND3	-1.443e-01	8.382e-03
CCNE1	-2.370e-01	1.236e-05
CCNE2	-6.028e-02	2.727e-01
CD19	1.013e-01	6.486e-02
CD22	-1.581e-01	3.817e-03
CD274	5.627e-02	3.059e-01
CD276	-3.108e-02	5.720e-01
CD40	1.366e-01	1.257e-02
CD70	1.947e-03	9.718e-01
CD79A	3.289e-02	5.498e-01
CD79B	4.937e-02	3.691e-01
CDC25A	1.402e-01	1.040e-02
CDC73	1.751e-01	1.334e-03
CDH1	-2.890e-01	7.938e-08
CDH2	-3.834e-02	4.856e-01
CDK12	1.419e-01	9.532e-03
CDK4	3.725e-02	4.982e-01
CDK5	8.792e-02	1.093e-01
CDK6	-6.276e-02	2.534e-01
CDK8	1.186e-01	3.047e-02
CDKN1A	-5.743e-02	2.961e-01
CDKN1B	-6.802e-02	2.157e-01
CDKN1C	-1.494e-01	6.298e-03
CDKN2A	-4.299e-01	2.075e-16
CDKN2B	4.420e-01	2.352e-17
CDKN2C	3.661e-04	9.947e-01
CEBPA	1.327e-01	1.542e-02
CEP57	-2.411e-01	8.662e-06
CFTR	-6.525e-03	9.056e-01
CHD2	-7.408e-02	1.775e-01
CHD4	5.094e-02	3.541e-01
CHEK1	2.466e-01	5.253e-06
CHEK2	-1.803e-02	7.430e-01
CIC	-1.464e-01	7.449e-03
CIITA	-4.365e-02	4.273e-01
CKS1B	1.979e-01	2.795e-04
CREBBP	-6.586e-02	2.307e-01
CRKL	-2.391e-01	1.025e-05
CRLF2	1.344e-01	1.409e-02
CSF1R	-1.484e-01	6.677e-03
CSF3R	-1.210e-01	2.719e-02
CTC1	9.066e-02	9.860e-02
CTCF	1.320e-01	1.595e-02
CTLA4	-1.751e-01	1.338e-03
CTNNA1	-6.022e-02	2.732e-01
CTNNB1	-1.755e-02	7.497e-01
CTRC	-1.473e-01	7.080e-03
CUL3	-7.289e-02	1.845e-01
CUX1	-1.953e-02	7.225e-01
CXCR4	1.390e-02	8.005e-01
CYLD	1.788e-01	1.049e-03
CYP1B1	1.110e-01	4.296e-02
CYP2D6	-8.568e-02	1.186e-01
CYP3A5	-8.898e-02	1.051e-01
DAXX	1.181e-01	3.122e-02
DDB2	-1.233e-01	2.441e-02
DDR2	-1.535e-01	5.010e-03
DDX3X	5.665e-02	3.027e-01
DICER1	1.114e-01	4.213e-02
DIS3	-1.284e-01	1.907e-02
DIS3L2	-9.128e-02	9.634e-02
DKC1	-8.673e-02	1.142e-01
DMD	2.620e-02	6.337e-01
DNM2	1.548e-02	7.783e-01
DNMT1	-2.198e-01	5.220e-05
DNMT3A	-2.359e-01	1.358e-05
DNMT3B	-8.034e-02	1.435e-01
DOT1L	1.904e-04	9.972e-01
DPYD	9.815e-02	7.368e-02
DYNC2H1	7.748e-02	1.583e-01
E2F1	7.549e-02	1.693e-01
E2F2	-2.928e-02	5.944e-01
E2F3	1.147e-01	3.638e-02
E2F4	1.609e-02	7.699e-01
E2F5	1.919e-04	9.972e-01
E2F6	-5.805e-02	2.908e-01
EBF1	2.534e-02	6.450e-01
ECT2L	2.640e-02	6.313e-01
EED	-1.785e-01	1.071e-03
EGF	6.311e-03	9.087e-01
EGFL7	-1.567e-01	4.150e-03
EGFR	-2.044e-01	1.730e-04
EGLN1	-8.361e-02	1.278e-01
ELF3	-2.633e-01	1.094e-06
ELOC	-3.200e-02	5.607e-01
EMSY	2.228e-01	4.108e-05
ENG	7.649e-05	9.989e-01
EP300	-3.395e-02	5.369e-01
EPCAM	1.981e-01	2.754e-04
EPHA2	-2.950e-03	9.572e-01
EPHA3	9.673e-02	7.797e-02
EPHA5	9.940e-02	7.005e-02
EPHA7	7.248e-02	1.870e-01
EPHB1	1.775e-02	7.470e-01
EPHB2	-3.842e-02	4.848e-01
EPOR	1.487e-02	7.869e-01
ERBB2	-1.555e-01	4.448e-03
ERBB3	7.061e-02	1.987e-01
ERBB4	-1.813e-01	8.912e-04
ERCC1	1.566e-01	4.165e-03
ERCC2	-8.032e-02	1.436e-01
ERCC3	-7.267e-03	8.949e-01
ERCC4	1.114e-01	4.218e-02
ERCC5	9.753e-02	7.552e-02
ERCC6	5.524e-02	3.149e-01
ERG	-6.458e-02	2.399e-01
ERRFI1	-9.894e-02	7.138e-02
ESR1	9.050e-02	9.920e-02
ESR2	-9.233e-02	9.253e-02
ETS1	-1.744e-01	1.397e-03
ETS2	1.034e-01	5.957e-02
ETV1	9.374e-02	8.764e-02
ETV4	8.422e-02	1.251e-01
ETV5	-1.415e-01	9.729e-03
ETV6	-5.328e-02	3.324e-01
EWSR1	-1.819e-01	8.565e-04
EXT2	8.392e-02	1.264e-01
EZH2	-2.840e-02	6.056e-01
FAM46C	8.572e-02	1.185e-01
FANCA	7.052e-02	1.993e-01
