Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.52400e-01	9.30600e-42	7.10900e-01	1.54100e-52	9.17700e-01	unspecified
1	4.54600e-01	2.18800e-18	3.58500e-01	1.56200e-11	1.26800e+00	unspecified
2	3.08500e-01	8.95300e-09	4.23600e-01	6.27400e-16	7.28400e-01	unspecified
3	7.28400e-01	2.71100e-56	7.16400e-01	1.10600e-53	1.01700e+00	unspecified
4	6.29900e-01	3.19400e-38	6.30000e-01	3.17300e-38	1.00000e+00	unspecified
5	5.28300e-01	2.45100e-25	5.30200e-01	1.54500e-25	9.96400e-01	unspecified
10	1.69500e-01	1.91500e-03	1.08300e-01	4.82700e-02	1.56400e+00	unspecified
14	5.87800e-01	2.49600e-32	5.84100e-01	7.68100e-32	1.00600e+00	unspecified
15	4.64300e-01	3.28200e-19	4.68200e-01	1.50300e-19	9.91600e-01	unspecified
16	3.89200e-01	1.73000e-13	3.99500e-01	3.42100e-14	9.74200e-01	unspecified
17	2.32300e-01	1.84700e-05	2.45200e-01	5.97800e-06	9.47500e-01	unspecified
18	2.45200e-01	5.97800e-06	1.59600e-01	3.49600e-03	1.53600e+00	unspecified
23	7.18000e-01	5.07300e-54	7.23300e-01	3.57600e-55	9.92600e-01	unspecified
25	5.76300e-01	7.33900e-31	6.70200e-01	8.86600e-45	8.59900e-01	unspecified
26	2.50900e-02	6.48200e-01	3.54400e-02	5.19300e-01	7.08100e-01	unspecified
27	1.39900e-01	1.05900e-02	1.90200e-01	4.84200e-04	7.35600e-01	unspecified
30	-1.49100e-01	6.41700e-03	-1.55400e-02	7.77600e-01	9.59600e+00	unspecified
31	1.50900e-01	5.80600e-03	8.43200e-02	1.24600e-01	1.78900e+00	unspecified
34	1.25000e-01	2.25500e-02	3.22500e-01	1.69400e-09	3.87500e-01	unspecified
38	2.70100e-01	5.61600e-07	2.75300e-01	3.33400e-07	9.81200e-01	unspecified
39	1.17700e-01	3.17800e-02	8.77400e-02	1.10000e-01	1.34100e+00	unspecified
40	2.43600e-01	6.89600e-06	1.70800e-01	1.76100e-03	1.42600e+00	unspecified
41	3.29900e-02	5.48600e-01	7.60700e-02	1.66100e-01	4.33700e-01	unspecified
49	-9.60900e-02	7.99500e-02	2.37500e-02	6.65900e-01	-4.04600e+00	unspecified
54	6.09400e-02	2.67400e-01	2.21300e-01	4.62000e-05	2.75400e-01	unspecified
57	2.16100e-01	7.01400e-05	1.10700e-01	4.35000e-02	1.95200e+00	unspecified
61	5.54200e-02	3.13300e-01	4.16700e-02	4.48600e-01	1.33000e+00	unspecified
63	6.40100e-01	8.91200e-40	6.34200e-01	7.24000e-39	1.00900e+00	unspecified
64	6.17500e-01	2.21500e-36	4.68200e-01	1.50300e-19	1.31900e+00	unspecified
65	2.97000e-01	3.31500e-08	1.49100e-01	6.42400e-03	1.99200e+00	unspecified
67	6.42500e-01	3.73800e-40	8.98200e-02	1.01800e-01	7.15300e+00	unspecified
69	6.58200e-01	1.03400e-42	3.22900e-01	1.61100e-09	2.03800e+00	unspecified
71	6.89100e-01	3.22200e-48	4.85700e-01	4.09700e-21	1.41900e+00	unspecified
72	3.47400e-01	7.06800e-11	2.97000e-01	3.31500e-08	1.17000e+00	unspecified
74	1.41300e-01	9.82600e-03	1.47600e-01	6.97500e-03	9.57400e-01	unspecified
76	1.92300e-01	4.18300e-04	2.86900e-01	9.92500e-08	6.70200e-01	unspecified
77	5.62100e-01	3.90800e-29	2.30900e-01	2.08100e-05	2.43400e+00	unspecified
78	6.73300e-02	2.20400e-01	-1.36100e-02	8.04500e-01	-4.94700e+00	unspecified
79	2.69600e-01	5.89700e-07	2.23900e-01	3.74000e-05	1.20400e+00	unspecified
87	4.23300e-01	6.59700e-16	4.20200e-01	1.11800e-15	1.00700e+00	unspecified
88	1.75000e-01	1.34700e-03	1.58200e-01	3.80600e-03	1.10600e+00	unspecified
89	3.72400e-01	2.14500e-12	1.64600e-01	2.59200e-03	2.26300e+00	unspecified
90	3.10800e-01	6.81900e-09	3.26900e-01	9.87000e-10	9.50900e-01	unspecified
98	2.13900e-01	8.31500e-05	2.23600e-01	3.85000e-05	9.57000e-01	unspecified
99	2.19800e-01	5.22000e-05	9.10000e-02	9.73700e-02	2.41600e+00	unspecified
100	2.37900e-01	1.14300e-05	9.10000e-02	9.73700e-02	2.61400e+00	unspecified
108	6.09800e-02	2.67200e-01	5.54000e-02	3.13500e-01	1.10100e+00	unspecified
109	3.14000e-01	4.73300e-09	1.64600e-01	2.59200e-03	1.90800e+00	unspecified
110	-9.55600e-02	8.16300e-02	-1.28900e-01	1.85900e-02	7.41200e-01	unspecified
113	1.58200e-01	3.80600e-03	1.45200e-01	7.94600e-03	1.08900e+00	unspecified
115	3.22500e-01	1.69400e-09	1.47800e-01	6.87900e-03	2.18100e+00	unspecified
118	3.26900e-01	9.87000e-10	3.19700e-01	2.37100e-09	1.02200e+00	unspecified
120	-9.92200e-02	7.05800e-02	2.89500e-02	5.98600e-01	-3.42700e+00	unspecified
124	1.64600e-01	2.59200e-03	1.59900e-01	3.43000e-03	1.02900e+00	unspecified
127	2.75300e-01	3.33400e-07	3.46300e-01	8.18400e-11	7.95000e-01	unspecified
