Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.39100e-01	9.43100e-59	7.70600e-01	9.97500e-67	9.59100e-01	unspecified
1	5.57200e-01	1.47500e-28	3.83100e-01	4.37600e-13	1.45400e+00	unspecified
2	2.84400e-01	1.29000e-07	3.78500e-01	8.81600e-13	7.51500e-01	unspecified
3	8.18700e-01	9.27100e-82	8.25300e-01	3.85700e-84	9.92100e-01	unspecified
4	6.25400e-01	1.54300e-37	6.37200e-01	2.50400e-39	9.81500e-01	unspecified
5	5.52400e-01	5.42300e-28	5.17800e-01	3.08600e-24	1.06700e+00	unspecified
10	1.38800e-01	1.12200e-02	7.33700e-02	1.81700e-01	1.89200e+00	unspecified
14	7.71900e-01	4.49900e-67	7.78900e-01	4.67000e-69	9.90900e-01	unspecified
15	6.29000e-01	4.45800e-38	5.63300e-01	2.85000e-29	1.11700e+00	unspecified
16	4.85500e-01	4.26500e-21	4.65700e-01	2.51300e-19	1.04300e+00	unspecified
17	2.24100e-01	3.68200e-05	1.74800e-01	1.36300e-03	1.28200e+00	unspecified
18	1.74800e-01	1.36300e-03	8.16000e-02	1.37300e-01	2.14200e+00	unspecified
23	7.79900e-01	2.39100e-69	8.00000e-01	2.08100e-75	9.75000e-01	unspecified
25	5.86100e-01	4.21400e-32	6.48600e-01	3.90200e-41	9.03600e-01	unspecified
26	1.88700e-01	5.37800e-04	6.81300e-02	2.14900e-01	2.76900e+00	unspecified
27	8.39300e-02	1.26400e-01	1.02500e-01	6.17900e-02	8.19000e-01	unspecified
30	-8.92600e-02	1.04000e-01	5.65900e-03	9.18100e-01	-1.57700e+01	unspecified
31	1.57700e-01	3.91800e-03	4.00100e-02	4.66900e-01	3.94200e+00	unspecified
34	9.73900e-02	7.59300e-02	3.15100e-01	4.14800e-09	3.09100e-01	unspecified
38	1.89200e-01	5.17700e-04	2.14800e-01	7.80400e-05	8.81100e-01	unspecified
39	1.90400e-01	4.76800e-04	1.49100e-01	6.41400e-03	1.27700e+00	unspecified
40	2.16600e-01	6.72600e-05	2.29000e-01	2.45500e-05	9.46100e-01	unspecified
41	5.52900e-03	9.19900e-01	-6.77600e-02	2.17500e-01	-8.15900e-02	unspecified
49	1.75900e-01	1.27300e-03	1.48000e-01	6.83100e-03	1.18800e+00	unspecified
54	1.86900e-01	6.06500e-04	9.47700e-02	8.42200e-02	1.97300e+00	unspecified
57	2.18800e-01	5.67600e-05	5.41500e-02	3.24600e-01	4.04000e+00	unspecified
61	1.49900e-01	6.11700e-03	1.04500e-01	5.66700e-02	1.43400e+00	unspecified
63	7.53600e-01	2.78700e-62	7.80000e-01	2.24100e-69	9.66100e-01	unspecified
64	7.70000e-01	1.46900e-66	5.63300e-01	2.85000e-29	1.36700e+00	unspecified
65	2.38000e-01	1.12900e-05	2.49600e-01	3.99700e-06	9.53600e-01	unspecified
67	7.32900e-01	2.61400e-57	9.76600e-02	7.51400e-02	7.50400e+00	unspecified
69	7.14600e-01	2.57900e-53	3.07700e-01	9.87400e-09	2.32300e+00	unspecified
71	7.47500e-01	9.05800e-61	5.07000e-01	3.79900e-23	1.47400e+00	unspecified
72	3.26700e-01	1.01000e-09	2.38000e-01	1.12900e-05	1.37200e+00	unspecified
74	1.84900e-01	6.95900e-04	2.01200e-01	2.19900e-04	9.19300e-01	unspecified
76	1.41000e-01	9.96800e-03	3.26900e-01	9.86000e-10	4.31400e-01	unspecified
77	5.80500e-01	2.17700e-31	2.38600e-01	1.07800e-05	2.43300e+00	unspecified
78	1.02600e-01	6.14200e-02	3.26400e-03	9.52700e-01	3.14400e+01	unspecified
79	2.66000e-01	8.41800e-07	1.80400e-01	9.43600e-04	1.47500e+00	unspecified
87	3.47100e-01	7.32300e-11	3.48000e-01	6.53400e-11	9.97500e-01	unspecified
88	1.21100e-01	2.71400e-02	1.59800e-01	3.44600e-03	7.57500e-01	unspecified
89	2.93000e-01	5.11000e-08	-5.58500e-03	9.19100e-01	-5.24700e+01	unspecified
90	2.88700e-01	8.22000e-08	1.89200e-01	5.17500e-04	1.52500e+00	unspecified
98	2.01100e-01	2.21100e-04	2.85900e-01	1.09900e-07	7.03300e-01	unspecified
99	2.03700e-01	1.82500e-04	4.68900e-02	3.93700e-01	4.34400e+00	unspecified
100	1.28300e-01	1.92100e-02	4.68900e-02	3.93700e-01	2.73500e+00	unspecified
108	4.91700e-02	3.71100e-01	2.50400e-02	6.48900e-01	1.96400e+00	unspecified
109	1.26500e-01	2.09700e-02	-5.58500e-03	9.19100e-01	-2.26500e+01	unspecified
110	-4.54700e-02	4.08200e-01	-6.12300e-02	2.65200e-01	7.42500e-01	unspecified
113	1.59800e-01	3.44600e-03	1.29100e-01	1.84600e-02	1.23900e+00	unspecified
115	3.15100e-01	4.14800e-09	1.50300e-01	5.99500e-03	2.09600e+00	unspecified
118	1.89200e-01	5.17500e-04	1.88500e-01	5.43600e-04	1.00400e+00	unspecified
120	-5.99600e-02	2.75300e-01	-2.77000e-02	6.14500e-01	2.16400e+00	unspecified
124	-5.58500e-03	9.19100e-01	-2.19100e-02	6.90400e-01	2.54900e-01	unspecified
127	2.14800e-01	7.80400e-05	2.68900e-01	6.36000e-07	7.98700e-01	unspecified
