Gene	Rho	P_val
ABCB1	-1.428e-01	9.045e-03
ABCC3	2.176e-01	6.246e-05
ABL1	2.715e-02	6.216e-01
ABL2	7.139e-02	1.938e-01
ACTA2	-1.305e-01	1.722e-02
ACVR1B	-7.817e-02	1.547e-01
ADGRA2	-2.005e-01	2.304e-04
AJUBA	-1.178e-01	3.164e-02
AKT1	-1.753e-01	1.322e-03
AKT2	-1.818e-01	8.603e-04
AKT3	1.185e-01	3.059e-02
ALK	1.740e-01	1.433e-03
ALOX12B	6.120e-02	2.655e-01
AMER1	-2.655e-01	8.863e-07
ANKRD11	1.126e-01	4.006e-02
APC	-1.261e-01	2.132e-02
APOB	9.508e-03	8.628e-01
AR	1.488e-01	6.528e-03
ARAF	2.142e-01	8.138e-05
ARFRP1	-1.801e-01	9.608e-04
ARHGAP26	-1.088e-01	4.725e-02
ARHGAP35	2.804e-01	1.976e-07
ARID1A	-1.581e-01	3.827e-03
ARID1B	-2.360e-01	1.347e-05
ARID2	5.339e-02	3.314e-01
ARID5B	-8.540e-02	1.198e-01
ASNS	1.260e-01	2.145e-02
ASXL1	1.833e-01	7.759e-04
ASXL2	-2.025e-01	1.989e-04
ATIC	2.754e-02	6.166e-01
ATM	1.018e-01	6.353e-02
ATP7B	1.846e-01	7.137e-04
ATR	1.285e-01	1.897e-02
ATRX	-5.652e-02	3.038e-01
AURKA	-1.320e-01	1.598e-02
AURKB	-1.070e-01	5.098e-02
AXIN1	-1.477e-01	6.947e-03
AXIN2	-4.442e-02	4.192e-01
AXL	7.226e-02	1.884e-01
B2M	-1.343e-01	1.419e-02
BAP1	5.601e-02	3.082e-01
BARD1	1.081e-01	4.882e-02
BCAR1	-1.504e-02	7.845e-01
BCL10	-4.207e-02	4.442e-01
BCL11B	1.710e-01	1.734e-03
BCL2	5.094e-02	3.541e-01
BCL2L1	-1.909e-01	4.604e-04
BCL2L11	5.556e-02	3.121e-01
BCL2L12	6.043e-02	2.715e-01
BCL2L2	3.769e-02	4.930e-01
BCL6	8.412e-02	1.255e-01
BCL7A	4.420e-02	4.214e-01
BCLAF1	2.196e-02	6.897e-01
BCOR	-2.060e-01	1.533e-04
BCORL1	-1.515e-01	5.592e-03
BCR	2.922e-02	5.951e-01
BIRC3	-1.180e-01	3.137e-02
BLM	2.903e-02	5.976e-01
BMPR1A	8.496e-02	1.218e-01
BRAF	3.427e-03	9.503e-01
BRCA1	3.736e-02	4.968e-01
BRCA2	1.070e-01	5.098e-02
BRD4	-4.972e-02	3.658e-01
BRIP1	-1.709e-01	1.749e-03
BTG1	7.642e-02	1.641e-01
BTK	-1.475e-01	7.022e-03
BUB1B	3.321e-02	5.459e-01
C11orf65	6.719e-02	2.214e-01
C3orf70	-1.607e-01	3.280e-03
C8orf34	-3.256e-02	5.538e-01
CADM2	2.599e-02	6.366e-01
CALR	4.287e-02	4.356e-01
CARD11	1.080e-01	4.900e-02
CASP8	-8.145e-02	1.380e-01
CASR	1.020e-01	6.304e-02
CBFB	-7.382e-03	8.932e-01
CBL	6.639e-02	2.269e-01
CBLB	3.620e-02	5.104e-01
CBLC	7.684e-02	1.618e-01
CBR3	1.466e-01	7.388e-03
CCDC6	-2.022e-01	2.030e-04
CCND1	1.444e-01	8.318e-03
CCND2	9.306e-03	8.656e-01
CCND3	-2.111e-01	1.036e-04
CCNE1	-1.072e-01	5.068e-02
CCNE2	-1.051e-01	5.538e-02
CD19	1.297e-01	1.787e-02
CD22	-2.461e-02	6.546e-01
CD274	1.646e-01	2.593e-03
CD276	-1.350e-02	8.062e-01
CD40	1.584e-01	3.763e-03
CD70	-1.068e-01	5.142e-02
CD79A	5.146e-02	3.492e-01
CD79B	1.533e-01	5.054e-03
CDC25A	1.329e-01	1.522e-02
CDC73	4.731e-02	3.895e-01
CDH1	-1.331e-01	1.509e-02
CDH2	4.593e-02	4.035e-01
CDK12	6.490e-02	2.376e-01
CDK4	-8.784e-03	8.731e-01
CDK5	-1.145e-01	3.671e-02
CDK6	-1.969e-01	2.998e-04
CDK8	-1.085e-01	4.786e-02
CDKN1A	2.210e-02	6.878e-01
