Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.81600e-01	8.08800e-47	7.19400e-01	2.45400e-54	9.47400e-01	unspecified
1	6.15900e-01	3.68300e-36	4.97200e-01	3.37100e-22	1.23900e+00	unspecified
2	2.31300e-01	2.01900e-05	2.96900e-01	3.35800e-08	7.79100e-01	unspecified
3	7.31000e-01	6.81800e-57	6.76800e-01	6.13000e-46	1.08000e+00	unspecified
4	6.85800e-01	1.34200e-47	6.84600e-01	2.22700e-47	1.00200e+00	unspecified
5	6.10700e-01	2.00200e-35	6.03300e-01	2.19100e-34	1.01200e+00	unspecified
10	2.84300e-01	1.30700e-07	2.93500e-01	4.86900e-08	9.68700e-01	unspecified
14	5.66700e-01	1.10900e-29	6.01400e-01	3.88600e-34	9.42200e-01	unspecified
15	4.41100e-01	2.73300e-17	4.11700e-01	4.69000e-15	1.07100e+00	unspecified
16	4.67400e-01	1.79700e-19	3.45300e-01	9.29200e-11	1.35300e+00	unspecified
17	4.10600e-01	5.66400e-15	4.07600e-01	9.19300e-15	1.00700e+00	unspecified
18	4.07600e-01	9.19300e-15	3.05200e-01	1.31600e-08	1.33600e+00	unspecified
23	6.35200e-01	5.06200e-39	6.36500e-01	3.16200e-39	9.97900e-01	unspecified
25	6.71400e-01	5.56500e-45	6.07600e-01	5.46100e-35	1.10500e+00	unspecified
26	1.41400e-01	9.78100e-03	1.71800e-01	1.64800e-03	8.22900e-01	unspecified
27	2.61100e-01	1.35600e-06	1.53800e-01	4.91000e-03	1.69800e+00	unspecified
30	-2.03700e-01	1.82000e-04	-6.44900e-02	2.40500e-01	3.15900e+00	unspecified
31	4.31800e-01	1.48900e-16	3.42000e-01	1.43400e-10	1.26200e+00	unspecified
34	2.58600e-01	1.72800e-06	3.67200e-01	4.55400e-12	7.04200e-01	unspecified
38	1.40500e-01	1.02800e-02	1.15300e-01	3.54000e-02	1.21800e+00	unspecified
39	9.02400e-02	1.00200e-01	8.80100e-02	1.08900e-01	1.02500e+00	unspecified
40	2.02300e-02	7.13000e-01	-2.36200e-02	6.67600e-01	-8.56400e-01	unspecified
41	1.67600e-01	2.14600e-03	1.26800e-01	2.06800e-02	1.32200e+00	unspecified
49	-3.14000e-02	5.68100e-01	3.20500e-02	5.60000e-01	-9.79500e-01	unspecified
54	3.75900e-01	1.28500e-12	3.12100e-01	5.89300e-09	1.20400e+00	unspecified
57	3.81900e-01	5.26700e-13	2.82500e-01	1.57900e-07	1.35200e+00	unspecified
61	1.32000e-01	1.59600e-02	6.36000e-02	2.47100e-01	2.07500e+00	unspecified
63	6.11700e-01	1.44800e-35	6.12500e-01	1.13800e-35	9.98800e-01	unspecified
64	5.77800e-01	4.77200e-31	4.11700e-01	4.69000e-15	1.40300e+00	unspecified
65	1.80500e-01	9.36400e-04	1.81000e-01	9.05400e-04	9.97200e-01	unspecified
67	5.53400e-01	4.16600e-28	9.28900e-02	9.05600e-02	5.95700e+00	unspecified
69	5.46400e-01	2.59200e-27	1.95000e-01	3.43900e-04	2.80200e+00	unspecified
71	6.30100e-01	3.06800e-38	4.37300e-01	5.47000e-17	1.44100e+00	unspecified
72	3.28200e-01	8.39600e-10	1.80500e-01	9.36400e-04	1.81800e+00	unspecified
74	2.31200e-01	2.03600e-05	1.09100e-01	4.67200e-02	2.12000e+00	unspecified
76	3.47100e-01	7.37000e-11	3.57200e-01	1.87200e-11	9.71700e-01	unspecified
77	5.45100e-01	3.63100e-27	3.62200e-01	9.21300e-12	1.50500e+00	unspecified
78	1.47100e-01	7.17500e-03	9.02100e-02	1.00300e-01	1.63000e+00	unspecified
79	2.52900e-01	2.96000e-06	1.70800e-01	1.75900e-03	1.48100e+00	unspecified
87	3.54400e-01	2.71500e-11	3.73100e-01	1.94000e-12	9.50000e-01	unspecified
88	1.05200e-01	5.50700e-02	2.38200e-02	6.64900e-01	4.41700e+00	unspecified
89	3.27800e-01	8.86500e-10	1.51600e-01	5.57800e-03	2.16200e+00	unspecified
90	1.35300e-01	1.34900e-02	1.91500e-01	4.39900e-04	7.06200e-01	unspecified
98	5.81100e-02	2.90400e-01	7.19100e-02	1.90500e-01	8.08100e-01	unspecified
99	1.54900e-01	4.60500e-03	6.30500e-02	2.51200e-01	2.45700e+00	unspecified
100	1.75600e-01	1.29500e-03	6.30500e-02	2.51200e-01	2.78500e+00	unspecified
108	8.28700e-02	1.31300e-01	7.92900e-02	1.48800e-01	1.04500e+00	unspecified
109	2.21600e-01	4.50500e-05	1.51600e-01	5.57800e-03	1.46200e+00	unspecified
110	-9.82200e-02	7.34700e-02	7.05400e-02	1.99200e-01	-1.39200e+00	unspecified
113	2.38200e-02	6.64900e-01	7.91300e-02	1.49600e-01	3.01100e-01	unspecified
115	3.67200e-01	4.55400e-12	1.91100e-01	4.55300e-04	1.92200e+00	unspecified
118	1.91500e-01	4.39900e-04	1.92500e-01	4.10800e-04	9.94900e-01	unspecified
120	-3.93700e-03	9.42900e-01	2.28500e-02	6.77800e-01	-1.72300e-01	unspecified
124	1.51600e-01	5.57800e-03	1.45300e-01	7.92700e-03	1.04300e+00	unspecified
127	1.15300e-01	3.54000e-02	1.20400e-01	2.80600e-02	9.58100e-01	unspecified
