Gene	Rho	P_val
ABCB1	-1.242e-01	2.337e-02
ABCC3	-2.603e-02	6.360e-01
ABL1	1.566e-01	4.166e-03
ABL2	1.016e-01	6.399e-02
ACTA2	6.356e-03	9.080e-01
ACVR1B	6.379e-02	2.457e-01
ADGRA2	-1.066e-01	5.199e-02
AJUBA	-5.120e-02	3.517e-01
AKT1	-1.161e-01	3.415e-02
AKT2	3.889e-02	4.794e-01
AKT3	1.177e-01	3.174e-02
ALK	-5.658e-02	3.033e-01
ALOX12B	1.200e-01	2.857e-02
AMER1	-1.359e-01	1.303e-02
ANKRD11	-9.044e-02	9.943e-02
APC	1.905e-02	7.291e-01
APOB	1.605e-01	3.324e-03
AR	1.962e-01	3.150e-04
ARAF	5.082e-02	3.553e-01
ARFRP1	-2.179e-01	6.081e-05
ARHGAP26	9.511e-02	8.309e-02
ARHGAP35	-4.532e-03	9.343e-01
ARID1A	9.146e-02	9.566e-02
ARID1B	-3.840e-02	4.850e-01
ARID2	-1.249e-01	2.268e-02
ARID5B	6.793e-02	2.163e-01
ASNS	1.374e-01	1.206e-02
ASXL1	9.466e-02	8.457e-02
ASXL2	-1.291e-02	8.145e-01
ATIC	-1.330e-01	1.515e-02
ATM	-5.929e-02	2.806e-01
ATP7B	-7.459e-02	1.745e-01
ATR	2.137e-01	8.491e-05
ATRX	-1.408e-01	1.011e-02
AURKA	-2.793e-01	2.209e-07
AURKB	-9.126e-02	9.639e-02
AXIN1	5.481e-02	3.187e-01
AXIN2	-1.982e-01	2.736e-04
AXL	-4.800e-02	3.826e-01
B2M	1.703e-01	1.811e-03
BAP1	-1.021e-01	6.268e-02
BARD1	7.760e-02	1.577e-01
BCAR1	-6.772e-02	2.177e-01
BCL10	2.165e-03	9.686e-01
BCL11B	-4.365e-02	4.273e-01
BCL2	1.539e-01	4.894e-03
BCL2L1	-2.710e-01	5.121e-07
BCL2L11	1.016e-01	6.406e-02
BCL2L12	-2.337e-02	6.709e-01
BCL2L2	-8.260e-02	1.325e-01
BCL6	5.298e-02	3.351e-01
BCL7A	5.504e-02	3.166e-01
BCLAF1	4.327e-02	4.313e-01
BCOR	-3.766e-03	9.454e-01
BCORL1	3.310e-02	5.473e-01
BCR	-5.786e-02	2.924e-01
BIRC3	-1.007e-01	6.632e-02
BLM	1.452e-03	9.789e-01
BMPR1A	-1.817e-01	8.667e-04
BRAF	2.519e-02	6.469e-01
BRCA1	2.914e-01	6.086e-08
BRCA2	-6.620e-02	2.283e-01
BRD4	9.944e-02	6.994e-02
BRIP1	-1.238e-01	2.382e-02
BTG1	-4.892e-02	3.735e-01
BTK	-9.074e-02	9.831e-02
BUB1B	-2.190e-01	5.567e-05
C11orf65	-3.443e-03	9.501e-01
C3orf70	-1.366e-01	1.257e-02
C8orf34	2.569e-02	6.404e-01
CADM2	-1.097e-01	4.540e-02
CALR	-7.449e-02	1.751e-01
CARD11	1.692e-01	1.943e-03
CASP8	9.749e-02	7.564e-02
CASR	1.905e-01	4.734e-04
CBFB	-2.026e-02	7.126e-01
CBL	-1.440e-01	8.512e-03
CBLB	1.148e-01	3.631e-02
CBLC	4.883e-02	3.745e-01
CBR3	2.257e-02	6.816e-01
CCDC6	-9.449e-02	8.514e-02
CCND1	-2.764e-02	6.153e-01
CCND2	-1.373e-01	1.212e-02
CCND3	-1.366e-01	1.262e-02
CCNE1	-3.282e-02	5.506e-01
CCNE2	-8.139e-02	1.383e-01
CD19	1.703e-01	1.819e-03
CD22	-6.424e-02	2.424e-01
CD274	-3.281e-02	5.508e-01
CD276	8.406e-02	1.258e-01
CD40	1.647e-01	2.577e-03
CD70	1.243e-01	2.333e-02
CD79A	-1.079e-01	4.907e-02
CD79B	1.654e-01	2.463e-03
CDC25A	4.300e-02	4.342e-01
CDC73	1.302e-01	1.749e-02
CDH1	-1.667e-01	2.280e-03
CDH2	-6.890e-02	2.098e-01
CDK12	-8.039e-02	1.432e-01
CDK4	4.639e-02	3.988e-01
