Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.51700e-01	8.24000e-62	7.63000e-01	1.10800e-64	9.85300e-01	unspecified
1	6.22700e-01	3.86000e-37	3.12900e-01	5.33600e-09	1.99000e+00	unspecified
2	1.45200e-01	7.95700e-03	1.55500e-01	4.44200e-03	9.33600e-01	unspecified
3	7.17100e-01	7.87000e-54	7.20500e-01	1.46800e-54	9.95300e-01	unspecified
4	6.14600e-01	5.66700e-36	6.08000e-01	4.76300e-35	1.01100e+00	unspecified
5	5.86300e-01	3.89900e-32	6.04000e-01	1.71500e-34	9.70700e-01	unspecified
10	3.74900e-02	4.95400e-01	6.45100e-02	2.40400e-01	5.81100e-01	unspecified
14	5.59700e-01	7.63900e-29	5.60000e-01	6.93800e-29	9.99400e-01	unspecified
15	3.90200e-01	1.48800e-13	3.55400e-01	2.37100e-11	1.09800e+00	unspecified
16	4.94300e-01	6.46900e-22	5.08300e-01	2.79900e-23	9.72400e-01	unspecified
17	1.15000e-01	3.59800e-02	1.30700e-01	1.70600e-02	8.80000e-01	unspecified
18	1.30700e-01	1.70600e-02	1.06200e-01	5.27600e-02	1.23000e+00	unspecified
23	6.87100e-01	7.79900e-48	6.70800e-01	6.89800e-45	1.02400e+00	unspecified
25	6.19200e-01	1.21800e-36	6.76700e-01	6.29100e-46	9.15100e-01	unspecified
26	5.55000e-02	3.12600e-01	9.21300e-02	9.32600e-02	6.02400e-01	unspecified
27	1.46700e-01	7.32400e-03	1.14100e-01	3.74500e-02	1.28600e+00	unspecified
30	8.98200e-02	1.01800e-01	1.00800e-02	8.54600e-01	8.90900e+00	unspecified
31	2.07100e-01	1.41100e-04	1.31300e-01	1.65500e-02	1.57800e+00	unspecified
34	2.24200e-01	3.65100e-05	1.52500e-01	5.29900e-03	1.47000e+00	unspecified
38	2.75000e-01	3.42800e-07	2.18300e-01	5.91000e-05	1.26000e+00	unspecified
39	2.56700e-01	2.07600e-06	2.11900e-01	9.72900e-05	1.21100e+00	unspecified
40	1.31100e-01	1.66700e-02	7.65300e-02	1.63500e-01	1.71300e+00	unspecified
41	1.89700e-01	5.01900e-04	2.26900e-01	2.92000e-05	8.35900e-01	unspecified
49	1.80500e-01	9.35200e-04	-6.42500e-02	2.42300e-01	-2.81000e+00	unspecified
54	2.26900e-01	2.92200e-05	1.95100e-01	3.41500e-04	1.16300e+00	unspecified
57	1.57100e-01	4.06200e-03	1.07200e-01	5.06600e-02	1.46500e+00	unspecified
61	1.89300e-01	5.14200e-04	1.05400e-01	5.46700e-02	1.79600e+00	unspecified
63	6.00700e-01	4.86600e-34	5.94100e-01	3.71900e-33	1.01100e+00	unspecified
64	5.19200e-01	2.20900e-24	3.55400e-01	2.37100e-11	1.46100e+00	unspecified
65	3.54100e-01	2.84900e-11	3.60000e-01	1.25400e-11	9.83500e-01	unspecified
67	5.14400e-01	6.79600e-24	-3.28600e-02	5.50200e-01	-1.56600e+01	unspecified
69	6.20700e-01	7.49100e-37	4.06700e-01	1.08000e-14	1.52600e+00	unspecified
71	6.10400e-01	2.20400e-35	4.60700e-01	6.67000e-19	1.32500e+00	unspecified
72	3.82100e-01	5.09900e-13	3.54100e-01	2.84900e-11	1.07900e+00	unspecified
74	1.28700e-01	1.88400e-02	1.54500e-01	4.70700e-03	8.32500e-01	unspecified
76	1.75000e-01	1.34300e-03	1.53900e-01	4.88600e-03	1.13700e+00	unspecified
77	6.18400e-01	1.63600e-36	3.54900e-01	2.53600e-11	1.74200e+00	unspecified
78	2.23400e-01	3.88400e-05	1.57300e-01	3.99800e-03	1.42000e+00	unspecified
79	1.28800e-01	1.87100e-02	6.52600e-02	2.35000e-01	1.97400e+00	unspecified
87	1.59100e-01	3.60200e-03	1.26100e-01	2.14000e-02	1.26200e+00	unspecified
88	1.05500e-01	5.45400e-02	3.22800e-02	5.57200e-01	3.26700e+00	unspecified
89	1.51600e-01	5.58500e-03	-3.35000e-02	5.42400e-01	-4.52400e+00	unspecified
90	2.09700e-01	1.15700e-04	1.38300e-01	1.15300e-02	1.51600e+00	unspecified
98	5.87400e-02	2.85200e-01	2.00300e-01	2.34600e-04	2.93300e-01	unspecified
99	1.38800e-01	1.12100e-02	1.16500e-01	3.36100e-02	1.19200e+00	unspecified
100	2.00900e-01	2.23800e-04	1.16500e-01	3.36100e-02	1.72500e+00	unspecified
108	5.63600e-02	3.05100e-01	1.88200e-02	7.32200e-01	2.99500e+00	unspecified
109	1.23000e-01	2.48100e-02	-3.35000e-02	5.42400e-01	-3.67100e+00	unspecified
110	3.18100e-03	9.53900e-01	1.74200e-02	7.51500e-01	1.82600e-01	unspecified
113	3.22800e-02	5.57200e-01	1.80300e-01	9.47100e-04	1.79000e-01	unspecified
115	1.52500e-01	5.29900e-03	9.84000e-02	7.29300e-02	1.55000e+00	unspecified
118	1.38300e-01	1.15300e-02	1.64700e-01	2.56900e-03	8.39600e-01	unspecified
120	8.14000e-02	1.38300e-01	8.63500e-02	1.15800e-01	9.42700e-01	unspecified
124	-3.35000e-02	5.42400e-01	-1.31000e-02	8.11700e-01	2.55700e+00	unspecified
127	2.18300e-01	5.91000e-05	2.10000e-01	1.13200e-04	1.03900e+00	unspecified
