Gene	Rho	P_val
ABCB1	-1.157e-01	3.484e-02
ABCC3	-6.838e-02	2.133e-01
ABL1	8.215e-02	1.347e-01
ABL2	2.630e-02	6.325e-01
ACTA2	-9.268e-02	9.133e-02
ACVR1B	-1.976e-02	7.194e-01
ADGRA2	-1.688e-01	1.999e-03
AJUBA	-9.807e-02	7.390e-02
AKT1	-1.608e-01	3.255e-03
AKT2	-9.297e-02	9.030e-02
AKT3	7.715e-02	1.601e-01
ALK	9.444e-02	8.530e-02
ALOX12B	1.158e-02	8.333e-01
AMER1	-1.008e-01	6.625e-02
ANKRD11	8.431e-02	1.247e-01
APC	-1.944e-02	7.238e-01
APOB	-2.975e-03	9.569e-01
AR	1.513e-01	5.679e-03
ARAF	8.609e-02	1.169e-01
ARFRP1	-1.597e-01	3.478e-03
ARHGAP26	-2.693e-02	6.244e-01
ARHGAP35	7.774e-02	1.569e-01
ARID1A	-9.847e-02	7.274e-02
ARID1B	-3.547e-02	5.189e-01
ARID2	-7.861e-03	8.864e-01
ARID5B	-2.755e-02	6.164e-01
ASNS	3.869e-03	9.439e-01
ASXL1	1.144e-01	3.686e-02
ASXL2	-1.066e-01	5.195e-02
ATIC	3.878e-02	4.806e-01
ATM	-5.558e-02	3.119e-01
ATP7B	1.941e-02	7.241e-01
ATR	1.533e-01	5.055e-03
ATRX	-1.771e-01	1.175e-03
AURKA	-1.116e-01	4.186e-02
AURKB	-7.266e-02	1.859e-01
AXIN1	-5.665e-02	3.026e-01
AXIN2	1.301e-01	1.752e-02
AXL	-2.922e-02	5.951e-01
B2M	5.334e-02	3.319e-01
BAP1	7.542e-02	1.697e-01
BARD1	5.055e-02	3.578e-01
BCAR1	7.005e-02	2.023e-01
BCL10	-8.249e-02	1.330e-01
BCL11B	7.582e-02	1.674e-01
BCL2	6.467e-02	2.392e-01
BCL2L1	-2.268e-01	2.934e-05
BCL2L11	6.206e-02	2.588e-01
BCL2L12	9.805e-02	7.396e-02
BCL2L2	-3.331e-02	5.447e-01
BCL6	1.574e-01	3.990e-03
BCL7A	5.581e-02	3.099e-01
