Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	5.87000e-01	3.17400e-32	6.62600e-01	1.82100e-43	8.85900e-01	unspecified
1	4.34400e-01	9.20100e-17	2.58000e-01	1.83000e-06	1.68400e+00	unspecified
2	2.72800e-01	4.28300e-07	3.30900e-01	5.95400e-10	8.24400e-01	unspecified
3	7.12600e-01	6.77600e-53	7.14100e-01	3.39500e-53	9.98000e-01	unspecified
4	5.83700e-01	8.47500e-32	5.90700e-01	1.06700e-32	9.88200e-01	unspecified
5	5.29200e-01	1.97000e-25	5.03900e-01	7.57000e-23	1.05000e+00	unspecified
10	1.19600e-01	2.90900e-02	8.73000e-02	1.11800e-01	1.37000e+00	unspecified
14	6.38300e-01	1.66900e-39	6.62300e-01	2.04500e-43	9.63700e-01	unspecified
15	5.57000e-01	1.56100e-28	5.61200e-01	5.02400e-29	9.92500e-01	unspecified
16	4.79500e-01	1.50300e-20	5.14100e-01	7.32800e-24	9.32700e-01	unspecified
17	1.80300e-01	9.52300e-04	1.87100e-01	5.98000e-04	9.63300e-01	unspecified
18	1.87100e-01	5.98000e-04	1.17100e-01	3.26400e-02	1.59800e+00	unspecified
23	7.18800e-01	3.37800e-54	7.37900e-01	1.82000e-58	9.74100e-01	unspecified
25	5.99500e-01	7.07500e-34	6.08000e-01	4.86500e-35	9.86100e-01	unspecified
26	-1.03600e-03	9.85000e-01	6.73500e-02	2.20300e-01	-1.53800e-02	unspecified
27	1.36400e-01	1.27300e-02	1.01200e-01	6.50600e-02	1.34800e+00	unspecified
30	-1.40100e-01	1.05000e-02	-8.66900e-02	1.14400e-01	1.61600e+00	unspecified
31	2.58500e-01	1.73700e-06	1.69400e-01	1.92700e-03	1.52700e+00	unspecified
34	2.09000e-01	1.22300e-04	3.12000e-01	5.94500e-09	6.69700e-01	unspecified
38	2.34100e-01	1.58800e-05	2.37900e-01	1.14400e-05	9.84100e-01	unspecified
39	6.28500e-02	2.52700e-01	8.20300e-02	1.35200e-01	7.66200e-01	unspecified
40	1.36100e-01	1.29000e-02	9.29100e-02	9.05200e-02	1.46500e+00	unspecified
41	1.20400e-01	2.80500e-02	1.05800e-01	5.37400e-02	1.13800e+00	unspecified
49	-6.50800e-02	2.36300e-01	-1.11900e-01	4.12600e-02	5.81500e-01	unspecified
54	1.23000e-01	2.48100e-02	2.03700e-01	1.82600e-04	6.03800e-01	unspecified
57	2.47800e-01	4.71300e-06	1.54400e-01	4.74000e-03	1.60500e+00	unspecified
61	-1.17500e-02	8.30900e-01	-6.40800e-02	2.43500e-01	1.83300e-01	unspecified
63	7.28000e-01	3.24500e-56	7.15000e-01	2.20400e-53	1.01800e+00	unspecified
64	6.79000e-01	2.43100e-46	5.61200e-01	5.02400e-29	1.21000e+00	unspecified
65	2.47600e-01	4.81500e-06	2.22400e-01	4.21700e-05	1.11300e+00	unspecified
67	7.45000e-01	3.66100e-60	1.70200e-01	1.83200e-03	4.37800e+00	unspecified
69	6.23200e-01	3.22000e-37	2.69000e-01	6.29700e-07	2.31700e+00	unspecified
71	7.47100e-01	1.15500e-60	5.05300e-01	5.53500e-23	1.47800e+00	unspecified
72	3.04500e-01	1.42700e-08	2.47600e-01	4.81500e-06	1.23000e+00	unspecified
74	1.47600e-01	6.96200e-03	1.67000e-01	2.23300e-03	8.84000e-01	unspecified
76	1.89200e-01	5.20000e-04	3.13000e-01	5.26600e-09	6.04200e-01	unspecified
77	5.42900e-01	6.39200e-27	2.05400e-01	1.60600e-04	2.64300e+00	unspecified
78	1.21700e-01	2.63100e-02	6.30400e-02	2.51300e-01	1.93100e+00	unspecified
79	2.47400e-01	4.90400e-06	1.26300e-01	2.11400e-02	1.95900e+00	unspecified
87	3.23100e-01	1.57900e-09	3.37600e-01	2.54500e-10	9.57000e-01	unspecified
88	1.08000e-01	4.89700e-02	1.19500e-01	2.92800e-02	9.03900e-01	unspecified
89	2.22400e-01	4.22900e-05	1.03200e-01	5.99800e-02	2.15500e+00	unspecified
90	3.03500e-01	1.59600e-08	2.74700e-01	3.53100e-07	1.10500e+00	unspecified
98	1.61400e-01	3.14600e-03	1.11400e-01	4.21200e-02	1.44800e+00	unspecified
99	9.77200e-02	7.49500e-02	6.72900e-02	2.20700e-01	1.45200e+00	unspecified
100	1.63200e-01	2.82500e-03	6.72900e-02	2.20700e-01	2.42500e+00	unspecified
108	4.65100e-02	3.97500e-01	-1.00800e-02	8.54600e-01	-4.61600e+00	unspecified
109	1.66300e-01	2.33500e-03	1.03200e-01	5.99800e-02	1.61100e+00	unspecified
110	1.97700e-01	2.83100e-04	2.18200e-01	5.91700e-05	9.05900e-01	unspecified
113	1.19500e-01	2.92800e-02	9.86800e-02	7.21200e-02	1.21100e+00	unspecified
115	3.12000e-01	5.94500e-09	1.40000e-01	1.05200e-02	2.22800e+00	unspecified
118	2.74700e-01	3.53100e-07	2.53700e-01	2.74400e-06	1.08300e+00	unspecified
120	8.59800e-02	1.17400e-01	1.12900e-02	8.37300e-01	7.61200e+00	unspecified
124	1.03200e-01	5.99800e-02	8.80700e-02	1.08700e-01	1.17200e+00	unspecified
127	2.37900e-01	1.14400e-05	2.34700e-01	1.51400e-05	1.01400e+00	unspecified
