Gene	Rho	P_val
ABCB1	-3.647e-02	5.072e-01
ABCC3	4.375e-02	4.262e-01
ABL1	4.044e-02	4.620e-01
ABL2	2.503e-02	6.490e-01
ACTA2	-1.416e-01	9.651e-03
ACVR1B	-1.580e-01	3.845e-03
ADGRA2	-2.374e-01	1.193e-05
AJUBA	-1.717e-01	1.666e-03
AKT1	-1.352e-01	1.351e-02
AKT2	-2.029e-01	1.933e-04
AKT3	1.567e-01	4.144e-03
ALK	9.427e-02	8.587e-02
ALOX12B	-8.736e-02	1.116e-01
AMER1	-2.515e-01	3.370e-06
ANKRD11	1.525e-01	5.286e-03
APC	-8.929e-02	1.038e-01
APOB	1.421e-03	9.794e-01
AR	1.916e-01	4.395e-04
ARAF	2.068e-01	1.438e-04
ARFRP1	-2.544e-01	2.566e-06
ARHGAP26	-1.043e-02	8.496e-01
ARHGAP35	9.668e-02	7.811e-02
ARID1A	-2.267e-01	2.970e-05
ARID1B	-1.703e-01	1.816e-03
ARID2	2.821e-02	6.079e-01
ARID5B	-9.722e-02	7.647e-02
ASNS	3.109e-02	5.718e-01
ASXL1	1.265e-01	2.099e-02
ASXL2	-1.327e-01	1.537e-02
ATIC	-7.968e-02	1.468e-01
ATM	2.596e-02	6.369e-01
ATP7B	6.588e-02	2.305e-01
ATR	1.394e-01	1.085e-02
ATRX	-2.131e-01	8.919e-05
AURKA	-1.714e-01	1.690e-03
AURKB	-1.138e-01	3.797e-02
AXIN1	-1.247e-01	2.285e-02
AXIN2	2.142e-02	6.969e-01
AXL	6.438e-02	2.414e-01
B2M	-8.570e-02	1.186e-01
BAP1	1.820e-01	8.484e-04
BARD1	1.740e-01	1.433e-03
BCAR1	2.300e-02	6.758e-01
BCL10	-1.484e-02	7.873e-01
BCL11B	1.230e-01	2.482e-02
BCL2	9.810e-02	7.383e-02
BCL2L1	-2.789e-01	2.297e-07
BCL2L11	6.482e-02	2.382e-01
BCL2L12	1.437e-01	8.657e-03
BCL2L2	-8.649e-02	1.152e-01
BCL6	5.865e-02	2.859e-01
BCL7A	1.413e-01	9.842e-03
BCLAF1	4.053e-02	4.610e-01
BCOR	-2.064e-01	1.489e-04
BCORL1	-1.645e-01	2.607e-03
BCR	1.266e-01	2.089e-02
BIRC3	-8.665e-02	1.145e-01
BLM	5.371e-02	3.285e-01
BMPR1A	1.358e-02	8.051e-01
BRAF	-6.286e-02	2.527e-01
BRCA1	-2.986e-03	9.567e-01
BRCA2	1.347e-01	1.388e-02
BRD4	-1.008e-01	6.607e-02
BRIP1	-9.592e-02	8.049e-02
BTG1	4.003e-02	4.666e-01
BTK	-1.281e-01	1.935e-02
BUB1B	-1.324e-01	1.560e-02
C11orf65	3.737e-02	4.968e-01
C3orf70	-1.499e-01	6.149e-03
C8orf34	-5.186e-02	3.454e-01
CADM2	-6.738e-02	2.201e-01
CALR	8.450e-02	1.238e-01
CARD11	1.460e-01	7.602e-03
CASP8	-2.381e-02	6.651e-01
CASR	4.351e-02	4.287e-01
CBFB	8.298e-02	1.307e-01
CBL	5.356e-02	3.298e-01
CBLB	-2.536e-02	6.448e-01
CBLC	1.451e-01	8.004e-03
CBR3	1.113e-01	4.243e-02
CCDC6	-9.589e-02	8.060e-02
CCND1	8.543e-02	1.197e-01
CCND2	-7.462e-02	1.743e-01
CCND3	-2.569e-01	2.027e-06
CCNE1	-2.625e-01	1.186e-06
CCNE2	-6.295e-02	2.520e-01
CD19	1.409e-01	1.002e-02
CD22	-1.884e-01	5.483e-04
CD274	1.299e-02	8.134e-01
CD276	5.125e-02	3.511e-01
CD40	2.524e-01	3.102e-06
CD70	-8.212e-02	1.348e-01
CD79A	3.180e-02	5.630e-01
CD79B	1.515e-01	5.606e-03
CDC25A	9.434e-02	8.564e-02
CDC73	1.428e-01	9.058e-03
CDH1	-2.035e-01	1.851e-04
CDH2	-4.422e-02	4.212e-01
CDK12	1.244e-01	2.322e-02
CDK4	1.211e-01	2.707e-02
CDK5	8.674e-02	1.141e-01
CDK6	-9.812e-02	7.377e-02
CDK8	7.390e-02	1.785e-01
CDKN1A	-2.165e-02	6.939e-01
CDKN1B	-5.013e-02	3.618e-01
CDKN1C	-1.593e-01	3.552e-03
CDKN2A	-3.128e-01	5.445e-09
CDKN2B	3.019e-01	1.912e-08
CDKN2C	9.355e-02	8.828e-02
CEBPA	1.471e-01	7.189e-03
CEP57	-9.969e-02	6.923e-02
CFTR	-1.705e-02	7.565e-01
CHD2	6.993e-02	2.031e-01
CHD4	-7.020e-02	2.013e-01
CHEK1	6.465e-02	2.394e-01
CHEK2	7.110e-02	1.956e-01
CIC	-2.032e-01	1.893e-04
CIITA	-3.099e-02	5.731e-01
CKS1B	2.069e-01	1.434e-04
CREBBP	-1.005e-01	6.708e-02
CRKL	-2.366e-01	1.285e-05
CRLF2	2.456e-01	5.789e-06
CSF1R	-7.908e-02	1.499e-01
CSF3R	-2.066e-01	1.469e-04
CTC1	1.494e-01	6.317e-03
CTCF	1.212e-01	2.704e-02
CTLA4	-1.230e-01	2.483e-02
CTNNA1	1.063e-01	5.258e-02
CTNNB1	-4.753e-02	3.873e-01
CTRC	-1.774e-01	1.149e-03
CUL3	4.718e-02	3.907e-01
CUX1	-3.401e-02	5.363e-01
CXCR4	8.954e-02	1.029e-01
CYLD	2.284e-01	2.570e-05
CYP1B1	2.205e-01	4.951e-05
CYP2D6	-9.994e-02	6.853e-02
CYP3A5	-2.139e-02	6.973e-01
DAXX	1.226e-01	2.529e-02
DDB2	-5.389e-02	3.269e-01
DDR2	-1.149e-01	3.617e-02
DDX3X	1.102e-01	4.441e-02
DICER1	2.104e-02	7.021e-01
DIS3	-1.232e-01	2.461e-02
DIS3L2	-5.885e-02	2.843e-01
DKC1	-1.478e-01	6.888e-03
DMD	1.282e-01	1.923e-02
DNM2	7.916e-02	1.495e-01
DNMT1	-1.808e-01	9.174e-04
DNMT3A	-2.468e-01	5.190e-06
DNMT3B	-2.545e-01	2.548e-06
DOT1L	6.802e-02	2.157e-01
DPYD	1.053e-01	5.501e-02
DYNC2H1	1.117e-01	4.162e-02
E2F1	1.966e-01	3.061e-04
E2F2	-4.146e-02	4.508e-01
E2F3	8.525e-02	1.205e-01
E2F4	5.760e-02	2.946e-01
E2F5	9.282e-03	8.660e-01
E2F6	4.989e-03	9.277e-01
EBF1	5.913e-02	2.820e-01
ECT2L	8.065e-02	1.420e-01
EED	-8.966e-02	1.024e-01
EGF	1.141e-01	3.738e-02
EGFL7	-3.123e-02	5.701e-01
EGFR	-1.569e-01	4.103e-03
EGLN1	-1.548e-01	4.634e-03
ELF3	-1.831e-01	7.885e-04
ELOC	-2.598e-02	6.367e-01
EMSY	9.962e-02	6.943e-02
ENG	8.138e-02	1.384e-01
EP300	1.118e-01	4.149e-02
EPCAM	2.502e-01	3.807e-06
EPHA2	-5.041e-02	3.591e-01
EPHA3	6.060e-02	2.701e-01
EPHA5	7.319e-02	1.827e-01
EPHA7	3.312e-02	5.469e-01
EPHB1	6.604e-02	2.294e-01
EPHB2	-6.649e-02	2.262e-01
EPOR	3.987e-02	4.684e-01
ERBB2	-1.882e-03	9.727e-01
ERBB3	1.084e-01	4.819e-02
ERBB4	-2.149e-01	7.740e-05
ERCC1	1.966e-01	3.078e-04
ERCC2	2.465e-02	6.540e-01
ERCC3	1.549e-02	7.782e-01
ERCC4	3.404e-02	5.359e-01
ERCC5	6.624e-02	2.280e-01
ERCC6	6.843e-02	2.130e-01
ERG	-1.061e-01	5.306e-02
ERRFI1	-1.159e-01	3.451e-02
ESR1	2.132e-02	6.982e-01
ESR2	-1.366e-01	1.259e-02
ETS1	-3.810e-02	4.884e-01
ETS2	4.355e-02	4.283e-01
ETV1	4.058e-02	4.605e-01
ETV4	2.039e-01	1.799e-04
ETV5	-6.190e-02	2.600e-01
ETV6	-5.297e-02	3.352e-01
EWSR1	-2.549e-01	2.441e-06
EXT2	3.478e-02	5.271e-01
EZH2	5.530e-02	3.143e-01
FAM46C	7.445e-02	1.753e-01
FANCA	1.620e-01	3.021e-03
FANCB	8.519e-02	1.208e-01
FANCC	1.163e-01	3.389e-02
FANCD2	1.366e-01	1.260e-02
FANCE	-5.028e-02	3.604e-01
FANCF	-9.042e-02	9.952e-02
FANCG	2.208e-02	6.880e-01
FANCI	1.438e-01	8.585e-03
FANCL	-1.032e-02	8.511e-01
FANCM	-2.476e-02	6.526e-01
FAS	-2.357e-02	6.682e-01
FAT1	1.173e-01	3.243e-02
FBXO11	8.588e-02	1.178e-01
FBXW7	-9.502e-02	8.339e-02
FCGR2A	7.378e-02	1.792e-01
FCGR3A	-1.206e-01	2.783e-02
FDPS	4.843e-02	3.784e-01
FGF1	-5.506e-02	3.165e-01
FGF10	2.600e-01	1.505e-06
FGF14	1.942e-01	3.635e-04
FGF19	1.058e-01	5.377e-02
FGF2	2.611e-02	6.349e-01
FGF23	-1.047e-01	5.629e-02
FGF3	1.540e-01	4.867e-03
FGF4	-1.040e-01	5.804e-02
FGF5	-5.725e-02	2.975e-01
FGF6	-8.951e-02	1.030e-01
FGF7	1.142e-02	8.355e-01
FGF8	-5.219e-02	3.424e-01
FGF9	-1.588e-01	3.664e-03
FGFR1	-2.023e-01	2.022e-04
FGFR2	-6.829e-02	2.139e-01
FGFR3	-1.445e-01	8.256e-03
FGFR4	7.834e-02	1.538e-01
FH	-1.829e-01	7.958e-04
FHIT	-9.026e-02	1.001e-01
FLCN	-1.326e-01	1.549e-02
FLG	-2.471e-01	5.046e-06
FLT1	4.223e-02	4.424e-01
FLT3	-1.636e-02	7.661e-01
FLT4	7.354e-02	1.806e-01
FNTB	-9.529e-02	8.250e-02
FOXA1	1.436e-01	8.667e-03
FOXL2	-1.598e-01	3.451e-03
FOXO1	-6.898e-02	2.093e-01
FOXO3	3.526e-02	5.213e-01
FOXP1	1.520e-02	7.823e-01
FOXQ1	4.379e-02	4.258e-01
FRS2	1.090e-02	8.429e-01
FUBP1	-2.157e-02	6.949e-01
FUS	-1.498e-01	6.175e-03
FYN	1.394e-02	7.999e-01
G6PD	-8.553e-02	1.193e-01
GABRA6	3.486e-02	5.262e-01
GALNT12	-6.975e-02	2.042e-01
GATA1	-1.509e-01	5.810e-03
GATA2	5.832e-02	2.886e-01
GATA3	-1.368e-02	8.035e-01
GATA4	9.638e-02	7.903e-02
GATA6	4.846e-02	3.781e-01
GEN1	2.180e-01	6.042e-05
GID4	-4.674e-02	3.953e-01
GLI1	3.996e-02	4.673e-01
GLI2	7.304e-02	1.837e-01
GLI3	-1.141e-01	3.734e-02
GNA11	6.420e-02	2.427e-01
GNA13	2.105e-01	1.084e-04
GNAQ	2.135e-02	6.979e-01
GNAS	-4.185e-02	4.466e-01
GPC3	-1.288e-01	1.875e-02
GPER1	1.721e-01	1.618e-03
GPS2	6.446e-02	2.407e-01
GREM1	-3.917e-02	4.763e-01
GRIN2A	-1.476e-02	7.884e-01
GRM3	-9.189e-03	8.673e-01
GSK3B	4.812e-02	3.814e-01
GSTP1	7.199e-02	1.901e-01
H3F3A	1.720e-02	7.544e-01
H3F3C	-5.458e-02	3.207e-01
HAS3	5.916e-02	2.817e-01
HAVCR2	2.490e-03	9.639e-01
HDAC1	-2.770e-02	6.145e-01
HDAC2	-8.776e-02	1.099e-01
HDAC3	-7.492e-02	1.726e-01
HDAC4	5.876e-02	2.850e-01
HDAC5	2.414e-02	6.607e-01
HGF	-1.465e-02	7.899e-01
HIF1A	3.600e-03	9.478e-01
HIST1H1C	1.484e-01	6.683e-03
HIST1H1E	-6.935e-02	2.068e-01
HIST1H2BD	4.937e-02	3.691e-01
HIST1H3F	-7.542e-02	1.697e-01
HIST1H4E	5.498e-02	3.172e-01
HIST3H3	3.922e-02	4.757e-01
HLA-A	1.045e-01	5.681e-02
HLA-B	-9.968e-02	6.928e-02
HLA-C	6.463e-02	2.395e-01
HLA-DMA	1.399e-01	1.059e-02
HLA-DMB	-1.127e-01	3.992e-02
HLA-DOA	-1.071e-01	5.076e-02
HLA-DOB	1.071e-01	5.076e-02
HLA-DPA1	1.015e-01	6.420e-02
HLA-DPB1	1.387e-01	1.131e-02
HLA-DQA1	1.923e-01	4.160e-04
HLA-DQA2	-7.459e-02	1.745e-01
HLA-DQB1	-1.706e-01	1.778e-03
HLA-DQB2	6.963e-02	2.050e-01
HLA-DRA	2.446e-01	6.305e-06
HLA-DRB1	-1.821e-01	8.403e-04
HLA-DRB5	-2.199e-01	5.177e-05
HLA-E	-1.991e-01	2.568e-04
HLA-F	-1.903e-01	4.789e-04
HLA-G	1.824e-01	8.272e-04
HNF1A	-1.794e-01	1.010e-03
HNF1B	-3.481e-02	5.268e-01
HOXB13	1.174e-01	3.228e-02
HRAS	2.225e-01	4.195e-05
HSD3B1	-2.311e-01	2.049e-05
HSP90AA1	-1.812e-01	8.955e-04
HSPH1	1.476e-01	6.978e-03
IDH1	1.445e-01	8.258e-03
IDH2	-1.159e-01	3.454e-02
IDO1	3.943e-02	4.733e-01
IFIT1	1.346e-02	8.066e-01
IFIT2	1.003e-01	6.758e-02
