Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.23600e-01	3.08800e-55	7.42500e-01	1.48100e-59	9.74500e-01	unspecified
1	5.63500e-01	2.71500e-29	3.99400e-01	3.50400e-14	1.41100e+00	unspecified
2	2.17900e-01	6.06200e-05	3.99800e-01	3.27100e-14	5.45100e-01	unspecified
3	7.83400e-01	2.38400e-70	7.73200e-01	1.85400e-67	1.01300e+00	unspecified
4	6.74600e-01	1.49500e-45	6.78600e-01	2.88800e-46	9.94200e-01	unspecified
5	5.68800e-01	6.16600e-30	5.58500e-01	1.03700e-28	1.01800e+00	unspecified
10	2.14300e-01	8.11000e-05	2.62800e-01	1.15600e-06	8.15400e-01	unspecified
14	6.96300e-01	1.35600e-49	7.19800e-01	1.99600e-54	9.67200e-01	unspecified
15	5.61200e-01	5.10500e-29	5.39900e-01	1.39200e-26	1.03900e+00	unspecified
16	4.43700e-01	1.71500e-17	4.91300e-01	1.22600e-21	9.03000e-01	unspecified
17	3.34300e-01	3.90400e-10	3.47700e-01	6.72100e-11	9.61200e-01	unspecified
18	3.47700e-01	6.72100e-11	2.30800e-01	2.10300e-05	1.50700e+00	unspecified
23	7.16200e-01	1.21500e-53	7.55100e-01	1.20000e-62	9.48500e-01	unspecified
25	6.77400e-01	4.72600e-46	6.78300e-01	3.21200e-46	9.98600e-01	unspecified
26	7.59800e-02	1.66600e-01	1.14300e-01	3.70500e-02	6.64600e-01	unspecified
27	1.56300e-01	4.23700e-03	2.53800e-02	6.44500e-01	6.16100e+00	unspecified
30	-2.11400e-01	1.01800e-04	-7.74400e-02	1.58600e-01	2.72900e+00	unspecified
31	2.80900e-01	1.87400e-07	2.02000e-01	2.06000e-04	1.39000e+00	unspecified
34	2.12900e-01	8.99200e-05	3.99200e-01	3.61600e-14	5.33500e-01	unspecified
38	1.85200e-01	6.84200e-04	2.69100e-01	6.18700e-07	6.88000e-01	unspecified
39	3.29500e-02	5.49100e-01	8.89800e-02	1.05100e-01	3.70300e-01	unspecified
40	9.93100e-02	7.03100e-02	1.34300e-02	8.07100e-01	7.39400e+00	unspecified
41	2.44300e-01	6.46100e-06	1.33400e-01	1.48500e-02	1.83200e+00	unspecified
49	-8.12900e-02	1.38800e-01	-4.39900e-02	4.23600e-01	1.84800e+00	unspecified
54	2.33300e-01	1.69700e-05	2.10100e-01	1.11700e-04	1.11000e+00	unspecified
57	2.25700e-01	3.22200e-05	1.99800e-01	2.42900e-04	1.13000e+00	unspecified
61	-6.95700e-02	2.05400e-01	8.43200e-03	8.78200e-01	-8.25100e+00	unspecified
63	7.59000e-01	1.18900e-63	7.47500e-01	9.37300e-61	1.01500e+00	unspecified
64	7.14400e-01	2.91600e-53	5.39900e-01	1.39200e-26	1.32300e+00	unspecified
65	2.44500e-01	6.35600e-06	2.18300e-01	5.89200e-05	1.12000e+00	unspecified
67	6.62600e-01	1.82700e-43	-7.36400e-02	1.80100e-01	-8.99800e+00	unspecified
69	6.83100e-01	4.35000e-47	2.86400e-01	1.04900e-07	2.38500e+00	unspecified
71	6.48200e-01	4.52800e-41	4.94700e-01	5.91300e-22	1.31000e+00	unspecified
72	3.65100e-01	6.12900e-12	2.44500e-01	6.35600e-06	1.49300e+00	unspecified
74	8.82400e-02	1.08000e-01	6.83100e-02	2.13700e-01	1.29200e+00	unspecified
76	3.18600e-01	2.71900e-09	3.89100e-01	1.75800e-13	8.18800e-01	unspecified
77	5.69200e-01	5.44700e-30	1.80400e-01	9.45400e-04	3.15600e+00	unspecified
78	1.38500e-01	1.14300e-02	8.24700e-02	1.33200e-01	1.67900e+00	unspecified
79	2.92000e-01	5.72400e-08	2.01400e-01	2.15400e-04	1.45000e+00	unspecified
87	3.26400e-01	1.04600e-09	3.09600e-01	7.92000e-09	1.05400e+00	unspecified
88	-1.15400e-01	3.52200e-02	1.40500e-01	1.02600e-02	-8.21700e-01	unspecified
89	3.53400e-01	3.11500e-11	1.76700e-01	1.20400e-03	2.00000e+00	unspecified
90	2.44600e-01	6.32200e-06	2.76600e-01	2.91900e-07	8.84300e-01	unspecified
98	8.12200e-02	1.39100e-01	8.49000e-02	1.22000e-01	9.56700e-01	unspecified
99	1.17700e-01	3.17700e-02	-3.31900e-02	5.46100e-01	-3.54600e+00	unspecified
100	1.08200e-01	4.84800e-02	-3.31900e-02	5.46100e-01	-3.26000e+00	unspecified
108	1.07500e-01	4.99400e-02	7.04500e-02	1.99700e-01	1.52600e+00	unspecified
109	3.02500e-01	1.78600e-08	1.76700e-01	1.20400e-03	1.71200e+00	unspecified
110	1.23800e-01	2.38500e-02	2.33900e-01	1.61400e-05	5.29300e-01	unspecified
113	1.40500e-01	1.02600e-02	2.40400e-02	6.62000e-01	5.84300e+00	unspecified
115	3.99200e-01	3.61600e-14	2.06300e-01	1.50100e-04	1.93500e+00	unspecified
118	2.76600e-01	2.91900e-07	2.80100e-01	2.03800e-07	9.87600e-01	unspecified
120	4.48400e-02	4.14800e-01	-3.85900e-02	4.82800e-01	-1.16200e+00	unspecified
124	1.76700e-01	1.20400e-03	1.76900e-01	1.19200e-03	9.99200e-01	unspecified
127	2.69100e-01	6.18700e-07	2.63800e-01	1.04800e-06	1.02000e+00	unspecified
