Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.70800e-01	7.03900e-45	7.30900e-01	7.43500e-57	9.17800e-01	unspecified
1	4.81600e-01	9.74300e-21	3.09700e-01	7.84100e-09	1.55500e+00	unspecified
2	2.74900e-01	3.45600e-07	3.44600e-01	1.01700e-10	7.97800e-01	unspecified
3	7.91900e-01	6.73900e-73	8.01200e-01	8.46000e-76	9.88500e-01	unspecified
4	5.50300e-01	9.36900e-28	5.31900e-01	1.02800e-25	1.03500e+00	unspecified
5	4.59900e-01	7.83500e-19	4.70200e-01	1.01400e-19	9.78100e-01	unspecified
10	9.13400e-02	9.61200e-02	5.63100e-02	3.05600e-01	1.62200e+00	unspecified
14	7.17900e-01	5.12700e-54	7.23200e-01	3.72500e-55	9.92700e-01	unspecified
15	6.09200e-01	3.30200e-35	5.29000e-01	2.06200e-25	1.15100e+00	unspecified
16	4.21300e-01	9.25400e-16	4.07500e-01	9.47600e-15	1.03400e+00	unspecified
17	1.84200e-01	7.30900e-04	2.19700e-01	5.26700e-05	8.38500e-01	unspecified
18	2.19700e-01	5.26700e-05	5.89400e-02	2.83500e-01	3.72700e+00	unspecified
23	7.84900e-01	8.85100e-71	8.08500e-01	3.24200e-78	9.70800e-01	unspecified
25	5.72500e-01	2.14500e-30	5.88500e-01	2.04800e-32	9.72900e-01	unspecified
26	-5.04300e-02	3.59000e-01	2.97700e-02	5.88300e-01	-1.69400e+00	unspecified
27	4.01500e-02	4.65200e-01	5.22900e-02	3.41500e-01	7.67900e-01	unspecified
30	1.23900e-01	2.37700e-02	8.22000e-02	1.34400e-01	1.50700e+00	unspecified
31	1.50300e-01	5.99600e-03	1.53400e-01	5.02700e-03	9.79800e-01	unspecified
34	1.34100e-01	1.43100e-02	3.12300e-01	5.72300e-09	4.29400e-01	unspecified
38	2.48100e-01	4.58800e-06	2.27800e-01	2.70200e-05	1.08900e+00	unspecified
39	1.97900e-01	2.78500e-04	1.72700e-01	1.55700e-03	1.14600e+00	unspecified
40	2.52400e-01	3.10300e-06	2.15100e-01	7.59200e-05	1.17300e+00	unspecified
41	1.25500e-01	2.19900e-02	7.85100e-02	1.52900e-01	1.59800e+00	unspecified
49	1.84400e-01	7.20000e-04	1.60700e-01	3.27900e-03	1.14800e+00	unspecified
54	3.20300e-02	5.60300e-01	3.52400e-02	5.21600e-01	9.08800e-01	unspecified
57	1.68100e-01	2.08600e-03	1.18200e-01	3.11100e-02	1.42300e+00	unspecified
61	9.57800e-02	8.09300e-02	1.04500e-01	5.67800e-02	9.16600e-01	unspecified
63	7.53400e-01	3.25000e-62	7.90400e-01	1.92500e-72	9.53100e-01	unspecified
64	7.79400e-01	3.51700e-69	5.29000e-01	2.06200e-25	1.47300e+00	unspecified
65	2.01100e-01	2.21600e-04	1.80300e-01	9.49000e-04	1.11500e+00	unspecified
67	7.50900e-01	1.30700e-61	-2.58900e-02	6.37900e-01	-2.90100e+01	unspecified
69	7.01900e-01	1.05000e-50	2.84500e-01	1.27500e-07	2.46700e+00	unspecified
71	7.83800e-01	1.83700e-70	5.13700e-01	8.08000e-24	1.52600e+00	unspecified
72	3.35400e-01	3.39300e-10	2.01100e-01	2.21600e-04	1.66800e+00	unspecified
74	1.24800e-01	2.27700e-02	1.97200e-01	2.93300e-04	6.32600e-01	unspecified
76	1.30400e-01	1.73200e-02	3.16900e-01	3.33100e-09	4.11300e-01	unspecified
77	5.65400e-01	1.60600e-29	2.20200e-01	5.07400e-05	2.56800e+00	unspecified
78	-1.57200e-02	7.75100e-01	3.99300e-02	4.67700e-01	-3.93600e-01	unspecified
79	2.47900e-01	4.67500e-06	1.53000e-01	5.15100e-03	1.62100e+00	unspecified
87	3.45800e-01	8.69600e-11	3.40900e-01	1.65600e-10	1.01400e+00	unspecified
88	5.38600e-02	3.27200e-01	3.25300e-02	5.54100e-01	1.65600e+00	unspecified
89	2.92700e-01	5.31600e-08	-4.43200e-02	4.20200e-01	-6.60400e+00	unspecified
90	2.50500e-01	3.69000e-06	1.87200e-01	5.96800e-04	1.33800e+00	unspecified
98	8.67800e-02	1.14000e-01	3.04800e-01	1.36900e-08	2.84700e-01	unspecified
99	2.04500e-01	1.71200e-04	8.94400e-02	1.03300e-01	2.28700e+00	unspecified
100	1.20400e-01	2.80300e-02	8.94400e-02	1.03300e-01	1.34600e+00	unspecified
108	2.77900e-02	6.13300e-01	1.57400e-02	7.74800e-01	1.76600e+00	unspecified
109	9.61500e-02	7.97600e-02	-4.43200e-02	4.20200e-01	-2.17000e+00	unspecified
110	9.07600e-02	9.82500e-02	1.07600e-01	4.98500e-02	8.43700e-01	unspecified
113	3.25300e-02	5.54100e-01	8.35800e-02	1.28000e-01	3.89200e-01	unspecified
115	3.12300e-01	5.72300e-09	1.28100e-01	1.93300e-02	2.43800e+00	unspecified
118	1.87200e-01	5.96800e-04	2.02900e-01	1.93200e-04	9.22400e-01	unspecified
120	-1.22500e-02	8.23800e-01	8.35900e-03	8.79200e-01	-1.46500e+00	unspecified
124	-4.43200e-02	4.20200e-01	-5.32400e-02	3.32700e-01	8.32400e-01	unspecified
127	2.27800e-01	2.70200e-05	2.97200e-01	3.24000e-08	7.66700e-01	unspecified
