Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.26100e-01	8.56500e-56	7.41500e-01	2.60300e-59	9.79300e-01	unspecified
1	5.69700e-01	4.76500e-30	3.47700e-01	6.75800e-11	1.63900e+00	unspecified
2	3.38000e-01	2.40800e-10	3.39100e-01	2.10200e-10	9.96900e-01	unspecified
3	6.93600e-01	4.47300e-49	6.75600e-01	9.73200e-46	1.02700e+00	unspecified
4	6.08200e-01	4.56500e-35	6.17000e-01	2.57500e-36	9.85700e-01	unspecified
5	5.01600e-01	1.29000e-22	4.61200e-01	6.10000e-19	1.08800e+00	unspecified
10	1.89500e-01	5.09300e-04	2.21500e-01	4.54900e-05	8.55300e-01	unspecified
14	5.91300e-01	8.77900e-33	5.96900e-01	1.58500e-33	9.90600e-01	unspecified
15	4.33400e-01	1.10800e-16	4.14300e-01	3.04300e-15	1.04600e+00	unspecified
16	4.51400e-01	4.04800e-18	4.72000e-01	7.11000e-20	9.56400e-01	unspecified
17	2.20100e-01	5.08700e-05	2.43000e-01	7.26400e-06	9.05700e-01	unspecified
18	2.43000e-01	7.26400e-06	1.53200e-01	5.08200e-03	1.58600e+00	unspecified
23	6.43600e-01	2.44300e-40	6.55000e-01	3.51900e-42	9.82700e-01	unspecified
25	5.68300e-01	7.09200e-30	6.11200e-01	1.71400e-35	9.29800e-01	unspecified
26	4.38700e-02	4.24900e-01	-7.86200e-02	1.52300e-01	-5.57900e-01	unspecified
27	4.52200e-02	4.10800e-01	1.98400e-02	7.18300e-01	2.27900e+00	unspecified
30	2.20500e-01	4.93200e-05	1.17400e-01	3.21900e-02	1.87800e+00	unspecified
31	1.24600e-01	2.29300e-02	1.14200e-01	3.72300e-02	1.09100e+00	unspecified
34	2.16000e-01	7.04800e-05	1.50100e-01	6.07900e-03	1.44000e+00	unspecified
38	9.70100e-02	7.71000e-02	2.25800e-01	3.18700e-05	4.29500e-01	unspecified
39	7.32700e-02	1.82300e-01	8.87800e-02	1.05800e-01	8.25300e-01	unspecified
40	1.50800e-01	5.83400e-03	1.33100e-01	1.50400e-02	1.13200e+00	unspecified
41	1.31800e-01	1.61100e-02	1.69000e-01	1.96500e-03	7.79600e-01	unspecified
49	-1.36500e-01	1.26700e-02	-1.22300e-01	2.56000e-02	1.11600e+00	unspecified
54	2.74000e-01	3.81200e-07	2.25600e-01	3.24800e-05	1.21400e+00	unspecified
57	1.21000e-01	2.72100e-02	8.20600e-02	1.35100e-01	1.47500e+00	unspecified
61	3.80100e-02	4.89400e-01	-4.23400e-02	4.41300e-01	-8.97800e-01	unspecified
63	6.25200e-01	1.64600e-37	6.22700e-01	3.76900e-37	1.00400e+00	unspecified
64	5.71500e-01	2.85500e-30	4.14300e-01	3.04300e-15	1.38000e+00	unspecified
65	3.12000e-01	5.98500e-09	2.69200e-01	6.17900e-07	1.15900e+00	unspecified
67	5.07200e-01	3.57500e-23	-1.70400e-02	7.56700e-01	-2.97600e+01	unspecified
69	5.96700e-01	1.68300e-33	3.62600e-01	8.78800e-12	1.64600e+00	unspecified
71	5.54400e-01	3.13500e-28	5.01300e-01	1.37100e-22	1.10600e+00	unspecified
72	3.42000e-01	1.44700e-10	3.12000e-01	5.98500e-09	1.09600e+00	unspecified
74	1.25800e-01	2.17200e-02	1.47800e-01	6.90100e-03	8.50900e-01	unspecified
76	1.67900e-01	2.11600e-03	1.52700e-01	5.22900e-03	1.09900e+00	unspecified
77	4.45600e-01	1.18700e-17	3.09700e-01	7.78800e-09	1.43900e+00	unspecified
78	1.85200e-01	6.84500e-04	1.33100e-01	1.50500e-02	1.39100e+00	unspecified
79	2.94700e-01	4.25300e-08	1.44600e-01	8.23700e-03	2.03900e+00	unspecified
87	2.98000e-01	2.96700e-08	2.45000e-01	6.11000e-06	1.21600e+00	unspecified
88	-8.84000e-02	1.07300e-01	-5.89000e-02	2.83800e-01	1.50100e+00	unspecified
89	2.83900e-01	1.37100e-07	1.68400e-01	2.04500e-03	1.68600e+00	unspecified
90	1.89500e-01	5.07300e-04	1.83300e-01	7.77700e-04	1.03400e+00	unspecified
98	1.49500e-01	6.28200e-03	1.70600e-01	1.78400e-03	8.76300e-01	unspecified
99	1.76200e-01	1.24400e-03	1.89300e-02	7.30700e-01	9.30900e+00	unspecified
100	1.66700e-01	2.28000e-03	1.89300e-02	7.30700e-01	8.80500e+00	unspecified
108	6.28900e-02	2.52400e-01	5.79700e-02	2.91600e-01	1.08500e+00	unspecified
109	2.49100e-01	4.20100e-06	1.68400e-01	2.04500e-03	1.47900e+00	unspecified
110	5.36600e-02	3.29000e-01	3.86400e-02	4.82200e-01	1.38900e+00	unspecified
113	-5.89000e-02	2.83800e-01	1.24000e-01	2.36100e-02	-4.75000e-01	unspecified
115	1.50100e-01	6.07900e-03	1.45000e-01	8.05800e-03	1.03500e+00	unspecified
118	1.83300e-01	7.77700e-04	1.81800e-01	8.57900e-04	1.00800e+00	unspecified
120	-3.15800e-02	5.65800e-01	7.70800e-03	8.88600e-01	-4.09700e+00	unspecified
124	1.68400e-01	2.04500e-03	1.85700e-01	6.61600e-04	9.07000e-01	unspecified
127	2.25800e-01	3.18700e-05	2.58600e-01	1.73400e-06	8.73500e-01	unspecified
