Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.16300e-01	1.15900e-53	7.51700e-01	8.48400e-62	9.52900e-01	unspecified
1	5.65700e-01	1.44800e-29	3.80600e-01	6.36600e-13	1.48600e+00	unspecified
2	3.33600e-01	4.24300e-10	3.74900e-01	1.48900e-12	8.89900e-01	unspecified
3	7.85500e-01	5.63200e-71	7.67800e-01	5.74600e-66	1.02300e+00	unspecified
4	6.59100e-01	7.21200e-43	6.49600e-01	2.63500e-41	1.01500e+00	unspecified
5	5.63900e-01	2.37400e-29	5.33300e-01	7.16600e-26	1.05700e+00	unspecified
10	1.88500e-01	5.44000e-04	1.54500e-01	4.72900e-03	1.22000e+00	unspecified
14	7.65600e-01	2.17600e-65	7.62400e-01	1.55000e-64	1.00400e+00	unspecified
15	5.40700e-01	1.11800e-26	5.11200e-01	1.43900e-23	1.05800e+00	unspecified
16	5.93100e-01	5.03400e-33	5.42800e-01	6.49300e-27	1.09300e+00	unspecified
17	2.40800e-01	8.88400e-06	2.30600e-01	2.14700e-05	1.04400e+00	unspecified
18	2.30600e-01	2.14700e-05	1.59500e-01	3.51300e-03	1.44500e+00	unspecified
23	7.62500e-01	1.47100e-64	7.86100e-01	3.94600e-71	9.70000e-01	unspecified
25	6.09100e-01	3.38500e-35	6.38000e-01	1.89600e-39	9.54800e-01	unspecified
26	1.10900e-01	4.31200e-02	1.13500e-02	8.36500e-01	9.77400e+00	unspecified
27	8.41000e-02	1.25600e-01	7.00500e-02	2.02300e-01	1.20100e+00	unspecified
30	-1.72500e-01	1.58100e-03	-3.09700e-03	9.55100e-01	5.57000e+01	unspecified
31	1.30000e-01	1.76400e-02	8.64200e-02	1.15500e-01	1.50400e+00	unspecified
34	1.83500e-01	7.67200e-04	3.22400e-01	1.70500e-09	5.69000e-01	unspecified
38	1.67400e-01	2.17500e-03	2.81700e-01	1.72500e-07	5.94400e-01	unspecified
39	1.68000e-01	2.09300e-03	1.53500e-01	4.99500e-03	1.09500e+00	unspecified
40	1.94900e-01	3.47200e-04	1.50300e-01	5.98600e-03	1.29600e+00	unspecified
41	4.86200e-02	3.76400e-01	7.84900e-02	1.53000e-01	6.19500e-01	unspecified
49	8.06500e-02	1.42000e-01	5.57400e-02	3.10500e-01	1.44700e+00	unspecified
54	2.46900e-01	5.15200e-06	2.02800e-01	1.95000e-04	1.21700e+00	unspecified
57	1.95900e-01	3.23300e-04	7.14200e-02	1.93600e-01	2.74300e+00	unspecified
61	6.76200e-02	2.18400e-01	-1.64900e-02	7.64300e-01	-4.10000e+00	unspecified
63	7.22100e-01	6.59600e-55	7.35800e-01	5.57500e-58	9.81400e-01	unspecified
64	7.10900e-01	1.57500e-52	5.11200e-01	1.43900e-23	1.39100e+00	unspecified
65	2.85100e-01	1.20600e-07	2.67500e-01	7.25100e-07	1.06500e+00	unspecified
67	7.33400e-01	1.93800e-57	1.68100e-01	2.08200e-03	4.36200e+00	unspecified
69	7.48500e-01	5.07900e-61	3.08800e-01	8.62800e-09	2.42400e+00	unspecified
71	7.24800e-01	1.69800e-55	5.93600e-01	4.39400e-33	1.22100e+00	unspecified
72	3.47600e-01	6.83000e-11	2.85100e-01	1.20600e-07	1.21900e+00	unspecified
74	1.35100e-01	1.36400e-02	1.40200e-01	1.04400e-02	9.63500e-01	unspecified
76	1.67100e-01	2.21700e-03	3.30100e-01	6.62700e-10	5.06300e-01	unspecified
77	5.89400e-01	1.57900e-32	1.37000e-01	1.23300e-02	4.30200e+00	unspecified
78	8.29800e-02	1.30800e-01	3.91500e-02	4.76400e-01	2.11900e+00	unspecified
79	2.74000e-01	3.80100e-07	2.61300e-01	1.33500e-06	1.04900e+00	unspecified
87	3.47800e-01	6.64300e-11	2.97300e-01	3.19600e-08	1.17000e+00	unspecified
88	-6.99700e-02	2.02800e-01	1.71900e-01	1.64000e-03	-4.07000e-01	unspecified
89	3.20100e-01	2.27200e-09	1.14700e-01	3.64000e-02	2.79000e+00	unspecified
90	2.26600e-01	2.98900e-05	2.09600e-01	1.16400e-04	1.08100e+00	unspecified
98	2.20500e-01	4.92600e-05	1.25300e-01	2.21700e-02	1.76000e+00	unspecified
99	1.41300e-01	9.84000e-03	4.70800e-02	3.91800e-01	3.00100e+00	unspecified
100	1.19300e-01	2.95300e-02	4.70800e-02	3.91800e-01	2.53300e+00	unspecified
108	4.14800e-02	4.50600e-01	3.06500e-02	5.77300e-01	1.35300e+00	unspecified
109	2.32500e-01	1.82500e-05	1.14700e-01	3.64000e-02	2.02700e+00	unspecified
110	-2.24000e-02	6.83800e-01	-3.35100e-02	5.42300e-01	6.68400e-01	unspecified
113	1.71900e-01	1.64000e-03	1.22900e-01	2.49600e-02	1.39900e+00	unspecified
115	3.22400e-01	1.70500e-09	2.06100e-01	1.52400e-04	1.56500e+00	unspecified
118	2.09600e-01	1.16400e-04	2.18100e-01	5.97400e-05	9.61000e-01	unspecified
120	-3.56100e-02	5.17300e-01	1.49700e-03	9.78300e-01	-2.37800e+01	unspecified
124	1.14700e-01	3.64000e-02	1.20000e-01	2.86100e-02	9.56200e-01	unspecified
127	2.81700e-01	1.72500e-07	3.17300e-01	3.17700e-09	8.87700e-01	unspecified
