Gene	Rho	P_val
ABCB1	-1.176e-01	3.195e-02
ABCC3	-9.581e-02	8.083e-02
ABL1	9.530e-02	8.249e-02
ABL2	1.538e-01	4.924e-03
ACTA2	-1.397e-01	1.072e-02
ACVR1B	-4.566e-02	4.063e-01
ADGRA2	-2.084e-01	1.273e-04
AJUBA	-1.253e-01	2.218e-02
AKT1	-1.394e-01	1.087e-02
AKT2	-9.134e-02	9.611e-02
AKT3	9.229e-02	9.267e-02
ALK	5.996e-02	2.753e-01
ALOX12B	5.098e-02	3.537e-01
AMER1	-2.044e-01	1.727e-04
ANKRD11	-3.803e-02	4.892e-01
APC	1.539e-02	7.797e-01
APOB	1.550e-01	4.589e-03
AR	3.033e-01	1.622e-08
ARAF	1.211e-01	2.714e-02
ARFRP1	-1.690e-01	1.972e-03
ARHGAP26	6.585e-02	2.308e-01
ARHGAP35	-2.140e-03	9.690e-01
ARID1A	-7.091e-02	1.968e-01
ARID1B	-3.928e-04	9.943e-01
ARID2	-8.077e-02	1.413e-01
ARID5B	6.518e-02	2.355e-01
ASNS	3.162e-02	5.653e-01
ASXL1	9.674e-02	7.794e-02
ASXL2	-8.892e-02	1.053e-01
ATIC	-3.746e-02	4.957e-01
ATM	-7.367e-02	1.799e-01
ATP7B	-8.158e-02	1.374e-01
ATR	1.409e-01	1.005e-02
ATRX	-1.652e-01	2.489e-03
AURKA	-1.304e-01	1.724e-02
AURKB	-1.102e-01	4.445e-02
AXIN1	-6.101e-02	2.669e-01
AXIN2	-9.781e-02	7.467e-02
AXL	-1.021e-01	6.280e-02
B2M	8.157e-02	1.374e-01
BAP1	-1.228e-02	8.233e-01
BARD1	1.078e-01	4.929e-02
BCAR1	-6.402e-02	2.440e-01
BCL10	-4.824e-02	3.802e-01
BCL11B	2.806e-02	6.099e-01
BCL2	4.087e-02	4.573e-01
BCL2L1	-2.029e-01	1.940e-04
BCL2L11	1.035e-01	5.917e-02
BCL2L12	9.634e-02	7.916e-02
BCL2L2	-6.771e-02	2.178e-01
BCL6	1.197e-02	8.277e-01
BCL7A	5.291e-02	3.358e-01
BCLAF1	5.677e-02	3.016e-01
BCOR	-9.734e-02	7.610e-02
BCORL1	-2.462e-02	6.544e-01
BCR	7.564e-02	1.685e-01
BIRC3	-2.206e-01	4.907e-05
BLM	1.242e-01	2.342e-02
BMPR1A	-1.014e-01	6.466e-02
BRAF	-4.129e-03	9.402e-01
BRCA1	1.341e-01	1.431e-02
BRCA2	-1.007e-01	6.636e-02
BRD4	-3.833e-02	4.858e-01
BRIP1	-4.217e-02	4.431e-01
BTG1	4.811e-02	3.815e-01
BTK	-5.481e-02	3.187e-01
BUB1B	-2.064e-01	1.490e-04
C11orf65	1.146e-01	3.661e-02
C3orf70	-1.337e-01	1.464e-02
C8orf34	-1.299e-03	9.812e-01
CADM2	-6.147e-02	2.633e-01
CALR	1.203e-01	2.814e-02
CARD11	1.343e-01	1.419e-02
CASP8	2.004e-01	2.330e-04
CASR	1.736e-01	1.473e-03
CBFB	4.346e-02	4.293e-01
CBL	-1.581e-01	3.819e-03
CBLB	-8.787e-03	8.731e-01
CBLC	1.875e-01	5.822e-04
CBR3	7.678e-02	1.622e-01
CCDC6	-7.191e-02	1.905e-01
CCND1	4.905e-02	3.722e-01
CCND2	-1.495e-01	6.287e-03
CCND3	-2.122e-01	9.555e-05
CCNE1	-2.851e-01	1.200e-07
CCNE2	-1.535e-01	5.004e-03
CD19	1.508e-01	5.837e-03
CD22	-1.770e-01	1.182e-03
CD274	2.390e-02	6.639e-01
CD276	9.292e-02	9.045e-02
CD40	1.569e-01	4.108e-03
CD70	9.102e-02	9.728e-02
CD79A	-3.569e-02	5.163e-01
CD79B	6.066e-02	2.697e-01
CDC25A	1.332e-01	1.502e-02
CDC73	1.760e-01	1.262e-03
CDH1	-2.169e-01	6.600e-05
CDH2	-1.008e-01	6.630e-02
CDK12	7.998e-02	1.453e-01
CDK4	-4.542e-03	9.342e-01
CDK5	-8.039e-03	8.838e-01
CDK6	1.171e-02	8.314e-01
CDK8	6.982e-02	2.038e-01
CDKN1A	9.837e-04	9.857e-01
CDKN1B	-1.426e-01	9.180e-03
CDKN1C	-1.563e-01	4.237e-03
CDKN2A	-4.096e-01	6.677e-15
CDKN2B	3.748e-01	1.509e-12
CDKN2C	1.140e-01	3.767e-02
CEBPA	1.132e-01	3.897e-02
CEP57	-2.482e-01	4.579e-06
CFTR	-3.371e-02	5.399e-01
CHD2	-6.804e-02	2.156e-01
CHD4	1.552e-01	4.542e-03
CHEK1	2.277e-01	2.733e-05
CHEK2	-2.607e-02	6.355e-01
CIC	-3.445e-02	5.310e-01
CIITA	4.929e-03	9.286e-01
CKS1B	2.177e-01	6.170e-05
CREBBP	-6.627e-02	2.278e-01
CRKL	-1.995e-01	2.485e-04
CRLF2	1.518e-01	5.510e-03
CSF1R	-1.362e-01	1.289e-02
CSF3R	-8.521e-02	1.207e-01
CTC1	1.069e-01	5.122e-02
CTCF	5.831e-02	2.887e-01
CTLA4	-1.883e-01	5.538e-04
CTNNA1	-1.300e-01	1.760e-02
CTNNB1	-2.853e-02	6.039e-01
CTRC	-1.830e-01	7.930e-04
CUL3	-1.301e-01	1.750e-02
CUX1	1.776e-02	7.467e-01
CXCR4	5.324e-02	3.328e-01
CYLD	2.139e-01	8.333e-05
CYP1B1	3.993e-02	4.677e-01
CYP2D6	-1.675e-02	7.608e-01
CYP3A5	-4.793e-02	3.833e-01
DAXX	-3.281e-02	5.507e-01
DDB2	-1.442e-01	8.428e-03
DDR2	-1.607e-01	3.275e-03
DDX3X	7.565e-02	1.684e-01
DICER1	1.302e-01	1.746e-02
DIS3	-1.897e-01	5.016e-04
DIS3L2	-1.210e-01	2.720e-02
DKC1	-9.758e-02	7.537e-02
DMD	-2.435e-02	6.580e-01
DNM2	3.419e-02	5.341e-01
DNMT1	-1.453e-01	7.924e-03
DNMT3A	-1.520e-01	5.430e-03
DNMT3B	-1.595e-01	3.518e-03
DOT1L	-4.949e-02	3.680e-01
DPYD	-1.252e-02	8.199e-01
DYNC2H1	1.189e-01	3.009e-02
E2F1	1.406e-01	1.020e-02
E2F2	1.224e-02	8.239e-01
E2F3	8.721e-02	1.122e-01
E2F4	4.181e-02	4.471e-01
E2F5	1.303e-01	1.737e-02
E2F6	-6.858e-02	2.119e-01
EBF1	6.580e-02	2.311e-01
ECT2L	-9.984e-03	8.560e-01
EED	-1.706e-01	1.784e-03
EGF	2.314e-02	6.739e-01
EGFL7	-1.072e-01	5.064e-02
EGFR	-1.840e-01	7.428e-04
EGLN1	-2.027e-02	7.124e-01
ELF3	-2.050e-01	1.651e-04
ELOC	-5.595e-02	3.087e-01
EMSY	2.379e-01	1.138e-05
ENG	-7.341e-02	1.814e-01
EP300	3.409e-02	5.353e-01
EPCAM	2.202e-01	5.045e-05
EPHA2	-9.576e-02	8.100e-02
EPHA3	6.855e-02	2.121e-01
EPHA5	1.690e-01	1.972e-03
EPHA7	4.218e-02	4.430e-01
EPHB1	1.795e-01	1.002e-03
EPHB2	1.133e-01	3.871e-02
EPOR	-9.117e-02	9.674e-02
ERBB2	-1.312e-01	1.664e-02
ERBB3	4.587e-02	4.041e-01
ERBB4	-1.113e-01	4.240e-02
ERCC1	1.542e-01	4.787e-03
ERCC2	-1.202e-01	2.823e-02
ERCC3	-2.355e-02	6.686e-01
ERCC4	7.021e-02	2.013e-01
ERCC5	5.823e-02	2.894e-01
ERCC6	-2.129e-02	6.987e-01
ERG	-1.756e-01	1.291e-03
ERRFI1	-4.804e-02	3.822e-01
ESR1	-3.905e-02	4.776e-01
ESR2	-8.409e-02	1.257e-01
ETS1	-2.060e-01	1.533e-04
ETS2	6.600e-02	2.297e-01
ETV1	1.221e-01	2.591e-02
ETV4	1.679e-01	2.105e-03
ETV5	-6.077e-02	2.688e-01
ETV6	-1.471e-01	7.189e-03
EWSR1	-2.454e-01	5.860e-06
EXT2	-1.100e-02	8.415e-01
EZH2	2.800e-02	6.107e-01
FAM46C	-4.721e-02	3.905e-01
FANCA	2.506e-02	6.486e-01
FANCB	3.247e-02	5.549e-01
FANCC	9.905e-02	7.107e-02
FANCD2	5.389e-02	3.269e-01
FANCE	-1.118e-01	4.154e-02
FANCF	-5.331e-02	3.321e-01
FANCG	4.144e-03	9.400e-01
FANCI	-2.737e-02	6.187e-01
FANCL	-1.015e-01	6.427e-02
FANCM	6.412e-02	2.432e-01
FAS	-2.314e-02	6.739e-01
FAT1	-1.916e-02	7.276e-01
FBXO11	4.887e-02	3.740e-01
FBXW7	-9.090e-02	9.773e-02
FCGR2A	2.105e-01	1.090e-04
FCGR3A	-1.667e-01	2.268e-03
FDPS	7.303e-02	1.837e-01
FGF1	1.193e-01	2.952e-02
FGF10	2.928e-01	5.239e-08
FGF14	2.153e-01	7.484e-05
FGF19	4.452e-02	4.181e-01
FGF2	-8.755e-02	1.108e-01
FGF23	-1.855e-01	6.690e-04
FGF3	1.344e-01	1.413e-02
FGF4	-7.928e-02	1.488e-01
FGF5	-2.542e-02	6.439e-01
FGF6	-1.910e-01	4.572e-04
FGF7	1.142e-02	8.355e-01
FGF8	4.129e-02	4.526e-01
FGF9	3.167e-02	5.647e-01
FGFR1	-4.790e-02	3.836e-01
FGFR2	2.151e-02	6.957e-01
FGFR3	-9.122e-02	9.653e-02
FGFR4	-4.928e-02	3.700e-01
FH	-6.835e-02	2.135e-01
FHIT	-1.593e-01	3.568e-03
FLCN	-6.845e-02	2.128e-01
FLG	-3.206e-01	2.145e-09
FLT1	-2.739e-02	6.185e-01
FLT3	6.343e-02	2.484e-01
FLT4	-7.345e-02	1.812e-01
FNTB	-8.368e-02	1.275e-01
FOXA1	1.650e-01	2.519e-03
FOXL2	-9.812e-02	7.376e-02
FOXO1	-4.968e-03	9.280e-01
FOXO3	-4.722e-02	3.904e-01
FOXP1	3.022e-02	5.827e-01
FOXQ1	2.291e-02	6.770e-01
FRS2	2.391e-02	6.638e-01
FUBP1	1.109e-01	4.313e-02
FUS	-1.639e-01	2.706e-03
FYN	-4.938e-02	3.690e-01
G6PD	-6.241e-02	2.561e-01
GABRA6	-4.078e-02	4.583e-01
GALNT12	-3.382e-02	5.386e-01
GATA1	-1.242e-01	2.341e-02
GATA2	-1.168e-02	8.319e-01
GATA3	-9.132e-02	9.618e-02
GATA4	9.525e-02	8.263e-02
GATA6	1.288e-01	1.866e-02
GEN1	1.320e-01	1.593e-02
GID4	5.108e-02	3.528e-01
GLI1	-1.038e-01	5.855e-02
GLI2	-6.920e-02	2.078e-01
GLI3	-1.546e-01	4.694e-03
GNA11	1.272e-01	2.023e-02
GNA13	1.564e-01	4.221e-03
GNAQ	-1.466e-02	7.898e-01
GNAS	-9.577e-02	8.098e-02
GPC3	-4.658e-02	3.968e-01
GPER1	1.541e-01	4.817e-03
GPS2	5.131e-02	3.506e-01
GREM1	-4.983e-02	3.647e-01
GRIN2A	7.519e-02	1.711e-01
GRM3	-1.199e-01	2.867e-02
GSK3B	-7.750e-02	1.583e-01
GSTP1	5.189e-02	3.452e-01
H3F3A	-1.045e-02	8.493e-01
H3F3C	-3.679e-02	5.034e-01
HAS3	4.944e-02	3.684e-01
HAVCR2	-3.509e-02	5.234e-01
HDAC1	-5.963e-02	2.779e-01
HDAC2	1.512e-02	7.834e-01
HDAC3	-1.970e-01	2.972e-04
HDAC4	-4.358e-02	4.280e-01
HDAC5	-2.750e-02	6.170e-01
HGF	5.180e-02	3.460e-01
HIF1A	5.788e-02	2.923e-01
HIST1H1C	9.083e-02	9.800e-02
HIST1H1E	-1.229e-01	2.491e-02
HIST1H2BD	2.530e-02	6.455e-01
HIST1H3F	-5.621e-02	3.065e-01
HIST1H4E	6.974e-02	2.043e-01
HIST3H3	-6.224e-02	2.574e-01
HLA-A	8.827e-02	1.079e-01
HLA-B	-8.642e-02	1.155e-01
HLA-C	4.309e-02	4.332e-01
HLA-DMA	1.824e-02	7.401e-01
HLA-DMB	-3.849e-03	9.442e-01
HLA-DOA	3.841e-02	4.848e-01
HLA-DOB	-3.841e-02	4.848e-01
HLA-DPA1	1.449e-01	8.104e-03
HLA-DPB1	1.096e-01	4.569e-02
HLA-DQA1	1.459e-01	7.658e-03
HLA-DQA2	7.384e-02	1.789e-01
HLA-DQB1	-1.627e-01	2.907e-03
HLA-DQB2	8.858e-02	1.066e-01
HLA-DRA	1.733e-01	1.497e-03
HLA-DRB1	-1.359e-01	1.303e-02
HLA-DRB5	-1.516e-01	5.565e-03
HLA-E	-1.499e-01	6.139e-03
HLA-F	-1.536e-01	4.959e-03
HLA-G	6.534e-02	2.344e-01
HNF1A	-4.492e-02	4.139e-01
HNF1B	-4.941e-02	3.687e-01
HOXB13	-1.082e-02	8.440e-01
HRAS	1.610e-01	3.212e-03
HSD3B1	-2.073e-01	1.386e-04
HSP90AA1	-6.873e-02	2.109e-01
HSPH1	7.912e-02	1.497e-01
IDH1	7.555e-02	1.690e-01
IDH2	-1.724e-02	7.539e-01
IDO1	1.589e-01	3.639e-03
IFIT1	1.118e-01	4.139e-02
IFIT2	-8.338e-02	1.289e-01
IFIT3	-6.260e-02	2.547e-01
IFNAR1	3.867e-02	4.819e-01
IFNAR2	-1.041e-01	5.772e-02
IFNGR1	-6.541e-02	2.339e-01
IFNGR2	-1.344e-02	8.070e-01
IFNL3	-2.250e-01	3.415e-05
IGF1	-9.380e-02	8.743e-02
IGF1R	-4.488e-02	4.143e-01
IGF2	-4.903e-02	3.724e-01
IKBKE	1.134e-01	3.855e-02
IKZF1	1.753e-01	1.322e-03
IKZF3	1.252e-02	8.200e-01
IL10RA	-1.226e-01	2.523e-02
IL15	nan	nan
IL2RA	7.402e-02	1.778e-01
IL6R	-1.984e-01	2.686e-04
IL7R	2.336e-01	1.665e-05
ING1	1.913e-01	4.479e-04
INHBA	-1.179e-01	3.143e-02
INPP4A	2.953e-02	5.913e-01
INPP4B	1.054e-01	5.461e-02
INPPL1	-7.606e-02	1.661e-01
INSR	4.666e-02	3.961e-01
IRF1	-3.229e-02	5.571e-01
IRF2	-1.056e-01	5.427e-02
IRF4	-7.250e-03	8.951e-01
IRS1	-1.702e-01	1.827e-03
IRS2	2.280e-01	2.665e-05
ITPKB	-3.960e-02	4.715e-01
JAK1	-1.829e-01	7.960e-04
JAK2	-2.152e-02	6.957e-01
JAK3	-1.025e-01	6.175e-02
JUN	1.699e-01	1.862e-03
KAT6A	9.891e-02	7.146e-02
KDM5A	1.631e-01	2.831e-03
KDM5C	-1.017e-01	6.381e-02
KDM6A	5.112e-02	3.524e-01
KDM6B	2.563e-02	6.413e-01
KDR	-1.389e-01	1.117e-02
KEAP1	-1.357e-01	1.317e-02
KEL	-2.601e-02	6.362e-01
KIF1B	6.875e-03	9.005e-01
KIT	-8.725e-02	1.120e-01
KLF4	1.286e-01	1.886e-02
KLHL6	7.163e-02	1.923e-01
KLLN	6.753e-02	2.190e-01
KMT2A	-2.670e-02	6.274e-01
KMT2B	-1.172e-01	3.245e-02
KMT2C	3.837e-02	4.853e-01
KMT2D	2.518e-02	6.470e-01
KRAS	-9.988e-02	6.871e-02
LAG3	-1.646e-01	2.581e-03
LATS1	9.887e-02	7.157e-02
LATS2	1.098e-01	4.530e-02
LDLR	7.667e-02	1.628e-01
LEF1	-5.621e-02	3.065e-01
LMNA	1.447e-01	8.183e-03
LMO1	4.015e-02	4.653e-01
LRP1B	1.382e-01	1.160e-02
LYN	2.636e-02	6.317e-01
LZTR1	1.008e-01	6.630e-02
MAD2L2	-5.438e-02	3.225e-01
MAF	-4.345e-02	4.293e-01
MAFB	-1.777e-01	1.125e-03
MAGI2	-1.528e-01	5.189e-03
MALT1	3.503e-02	5.241e-01
MAP2K1	8.161e-02	1.372e-01
MAP2K2	-8.647e-02	1.153e-01
MAP2K4	-1.356e-01	1.323e-02
MAP3K1	-1.080e-01	4.894e-02
MAP3K7	3.393e-02	5.373e-01
MAPK1	-1.117e-01	4.167e-02
MAX	-8.264e-02	1.323e-01
MC1R	1.322e-01	1.577e-02
MCL1	-1.803e-01	9.486e-04
MDC1	3.975e-02	4.698e-01
MDM2	1.326e-02	8.095e-01
MDM4	5.097e-02	3.538e-01
MECOM	-1.179e-01	3.155e-02
MED1	9.047e-03	8.694e-01
MED12	-7.450e-02	1.750e-01
MEF2B	-6.915e-02	2.082e-01
MEN1	8.117e-02	1.394e-01
MET	-9.854e-02	7.253e-02
MGA	-4.372e-02	4.265e-01
MGMT	3.670e-02	5.045e-01
MIB1	-9.704e-03	8.600e-01
MITF	2.386e-02	6.644e-01
MKI67	1.317e-01	1.615e-02
MLH1	4.603e-03	9.333e-01
MLH3	-1.564e-01	4.217e-03
MLLT3	-3.917e-02	4.763e-01
MPL	2.088e-01	1.243e-04
MRE11	2.302e-01	2.224e-05
MS4A1	-7.188e-02	1.907e-01
MSH2	-1.014e-01	6.448e-02
MSH3	4.208e-02	4.441e-01
MSH6	1.669e-01	2.245e-03
MST1	1.053e-01	5.491e-02
MST1R	-1.367e-02	8.037e-01
MTA1	4.829e-02	3.798e-01
MTAP	-3.133e-01	5.087e-09
MTHFR	1.259e-02	8.190e-01
MTOR	8.111e-02	1.397e-01
MTRR	-2.590e-01	1.660e-06
MUTYH	-1.502e-01	6.016e-03
MYB	-1.927e-01	4.062e-04
MYC	2.348e-01	1.491e-05
MYCL	8.313e-02	1.300e-01
MYCN	-3.560e-02	5.174e-01
MYD88	2.652e-02	6.297e-01
MYH11	-7.239e-02	1.876e-01
MYOD1	6.068e-02	2.695e-01
NBN	5.868e-03	9.150e-01
NCOA3	-2.271e-01	2.868e-05
NCOR1	9.736e-02	7.603e-02
NCOR2	-3.157e-02	5.659e-01
NEGR1	-1.986e-01	2.654e-04
NF1	-1.728e-02	7.534e-01
NF2	7.045e-02	1.997e-01
NFE2L2	-2.680e-03	9.611e-01
NFKBIA	-8.347e-02	1.285e-01
NHP2	1.127e-01	3.987e-02
NKX2-1	-1.230e-01	2.476e-02
NKX3-1	-1.964e-01	3.109e-04
NOTCH1	-4.228e-03	9.387e-01
NOTCH2	1.652e-01	2.488e-03
NOTCH3	-1.333e-01	1.493e-02
NOTCH4	-4.790e-02	3.836e-01
NPM1	-1.496e-01	6.240e-03
NQO1	-1.564e-02	7.761e-01
NRAS	-5.552e-02	3.125e-01
NRG1	-2.903e-02	5.977e-01
NRIP1	-1.442e-01	8.396e-03
NSD1	5.225e-02	3.419e-01
NSD2	-1.152e-01	3.556e-02
NT5C2	-1.104e-02	8.409e-01
