Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.60300e-01	5.62200e-64	7.96100e-01	3.57000e-74	9.55000e-01	unspecified
1	5.29300e-01	1.93900e-25	4.33100e-01	1.17100e-16	1.22200e+00	unspecified
2	3.57800e-01	1.70700e-11	4.21000e-01	9.72500e-16	8.49900e-01	unspecified
3	8.23800e-01	1.32200e-83	8.15100e-01	1.75000e-80	1.01100e+00	unspecified
4	6.24800e-01	1.87000e-37	6.09500e-01	2.94200e-35	1.02500e+00	unspecified
5	5.54600e-01	3.02300e-28	5.29400e-01	1.90400e-25	1.04800e+00	unspecified
10	1.53000e-01	5.14900e-03	1.37300e-01	1.21300e-02	1.11400e+00	unspecified
14	6.98800e-01	4.25500e-50	7.01000e-01	1.58300e-50	9.96900e-01	unspecified
15	6.44800e-01	1.56300e-40	5.80900e-01	1.91000e-31	1.11000e+00	unspecified
16	4.14100e-01	3.16500e-15	3.97900e-01	4.40700e-14	1.04100e+00	unspecified
17	2.81200e-01	1.81200e-07	2.92700e-01	5.31200e-08	9.60700e-01	unspecified
18	2.92700e-01	5.31200e-08	1.61700e-01	3.08100e-03	1.81000e+00	unspecified
23	8.12100e-01	1.96900e-79	8.18900e-01	8.08500e-82	9.91700e-01	unspecified
25	6.15500e-01	4.25000e-36	6.78100e-01	3.49000e-46	9.07600e-01	unspecified
26	1.03700e-01	5.86400e-02	4.01900e-02	4.64900e-01	2.58100e+00	unspecified
27	1.65100e-01	2.51000e-03	2.16600e-01	6.72600e-05	7.62100e-01	unspecified
30	1.91900e-01	4.29800e-04	3.13100e-02	5.69200e-01	6.12900e+00	unspecified
31	2.15500e-01	7.36100e-05	1.17100e-01	3.26400e-02	1.84000e+00	unspecified
34	2.20200e-01	5.07300e-05	3.27300e-01	9.35800e-10	6.72600e-01	unspecified
38	2.19000e-01	5.56900e-05	1.69600e-01	1.90300e-03	1.29200e+00	unspecified
39	2.48500e-01	4.44200e-06	1.61500e-01	3.11300e-03	1.53800e+00	unspecified
40	2.27600e-01	2.75300e-05	1.72000e-01	1.62700e-03	1.32300e+00	unspecified
41	3.41100e-02	5.35000e-01	-9.11600e-03	8.68400e-01	-3.74200e+00	unspecified
49	1.74300e-01	1.40500e-03	-1.02500e-01	6.17200e-02	-1.70100e+00	unspecified
54	2.59900e-01	1.52900e-06	2.32800e-01	1.77700e-05	1.11600e+00	unspecified
57	1.99700e-01	2.44400e-04	1.01800e-01	6.34300e-02	1.96100e+00	unspecified
61	1.29500e-01	1.80500e-02	8.06300e-02	1.42100e-01	1.60600e+00	unspecified
63	7.63200e-01	9.51300e-65	7.59900e-01	7.09400e-64	1.00400e+00	unspecified
64	7.06300e-01	1.35900e-51	5.80900e-01	1.91000e-31	1.21600e+00	unspecified
65	3.95800e-01	6.21000e-14	3.10300e-01	7.26000e-09	1.27500e+00	unspecified
67	6.69700e-01	1.08100e-44	-4.08900e-02	4.57100e-01	-1.63800e+01	unspecified
69	6.88500e-01	4.21300e-48	4.33100e-01	1.16200e-16	1.58900e+00	unspecified
71	7.34100e-01	1.35400e-57	4.25900e-01	4.17200e-16	1.72400e+00	unspecified
72	4.50900e-01	4.46100e-18	3.95800e-01	6.21000e-14	1.13900e+00	unspecified
74	3.99300e-02	4.67800e-01	8.70600e-02	1.12800e-01	4.58600e-01	unspecified
76	2.16100e-01	7.03100e-05	3.27500e-01	9.19500e-10	6.59800e-01	unspecified
77	5.62000e-01	4.06200e-29	2.20000e-01	5.14400e-05	2.55500e+00	unspecified
78	1.57200e-01	4.02300e-03	1.09500e-01	4.57800e-02	1.43500e+00	unspecified
79	2.05300e-01	1.61100e-04	1.33500e-01	1.47500e-02	1.53800e+00	unspecified
87	4.24900e-01	4.94700e-16	3.94700e-01	7.33900e-14	1.07700e+00	unspecified
88	5.53200e-02	3.14200e-01	1.74500e-01	1.39100e-03	3.17100e-01	unspecified
89	3.82400e-01	4.88700e-13	6.44000e-02	2.41200e-01	5.93800e+00	unspecified
90	2.73300e-01	4.08300e-07	2.42200e-01	7.83200e-06	1.12800e+00	unspecified
98	2.15000e-01	7.65000e-05	2.95000e-01	4.12700e-08	7.28900e-01	unspecified
99	2.38200e-01	1.11200e-05	2.11000e-02	7.01300e-01	1.12900e+01	unspecified
100	1.53200e-01	5.07400e-03	2.11000e-02	7.01300e-01	7.26200e+00	unspecified
108	5.57000e-02	3.10900e-01	5.78400e-02	2.92600e-01	9.62900e-01	unspecified
109	1.65900e-01	2.39200e-03	6.44000e-02	2.41200e-01	2.57600e+00	unspecified
110	-1.30100e-01	1.75200e-02	-1.05600e-01	5.43000e-02	1.23300e+00	unspecified
113	1.74500e-01	1.39100e-03	1.35200e-01	1.35400e-02	1.29100e+00	unspecified
115	3.27300e-01	9.35800e-10	1.78100e-01	1.09700e-03	1.83800e+00	unspecified
118	2.42200e-01	7.83200e-06	2.57000e-01	2.01400e-06	9.42400e-01	unspecified
120	-9.01200e-02	1.00600e-01	7.50600e-02	1.71800e-01	-1.20100e+00	unspecified
124	6.44000e-02	2.41200e-01	5.49900e-02	3.17100e-01	1.17100e+00	unspecified
127	1.69600e-01	1.90300e-03	3.78300e-01	8.96900e-13	4.48100e-01	unspecified
