Gene	Rho	P_val
ABCB1	-5.392e-02	3.266e-01
ABCC3	-3.391e-02	5.375e-01
ABL1	2.432e-03	9.647e-01
ABL2	6.597e-02	2.299e-01
ACTA2	-1.347e-01	1.386e-02
ACVR1B	-7.846e-02	1.531e-01
ADGRA2	-1.738e-01	1.457e-03
AJUBA	-1.112e-01	4.264e-02
AKT1	-2.085e-01	1.266e-04
AKT2	-1.200e-01	2.861e-02
AKT3	2.012e-01	2.200e-04
ALK	7.311e-02	1.832e-01
ALOX12B	5.859e-02	2.864e-01
AMER1	-2.485e-01	4.451e-06
ANKRD11	4.628e-02	3.999e-01
APC	-5.211e-02	3.432e-01
APOB	6.190e-02	2.600e-01
AR	2.877e-01	9.139e-08
ARAF	2.396e-01	9.811e-06
ARFRP1	-2.343e-01	1.558e-05
ARHGAP26	-2.631e-02	6.324e-01
ARHGAP35	5.658e-02	3.033e-01
ARID1A	-4.608e-02	4.020e-01
ARID1B	-1.458e-01	7.719e-03
ARID2	-6.743e-03	9.024e-01
ARID5B	-6.087e-02	2.681e-01
ASNS	1.489e-02	7.866e-01
ASXL1	2.055e-01	1.589e-04
ASXL2	-1.365e-01	1.264e-02
ATIC	4.208e-04	9.939e-01
ATM	9.615e-02	7.977e-02
ATP7B	9.080e-02	9.810e-02
ATR	1.897e-01	4.992e-04
ATRX	-1.571e-01	4.050e-03
AURKA	-2.776e-01	2.617e-07
AURKB	-1.014e-01	6.457e-02
AXIN1	-8.045e-03	8.837e-01
AXIN2	1.434e-02	7.943e-01
AXL	9.048e-03	8.693e-01
B2M	-1.343e-02	8.072e-01
BAP1	7.261e-02	1.862e-01
BARD1	7.240e-02	1.875e-01
BCAR1	-8.891e-03	8.716e-01
BCL10	4.104e-02	4.555e-01
BCL11B	-3.668e-02	5.047e-01
BCL2	1.568e-01	4.115e-03
BCL2L1	-3.022e-01	1.854e-08
BCL2L11	5.803e-02	2.911e-01
BCL2L12	6.841e-02	2.131e-01
BCL2L2	-2.824e-02	6.076e-01
BCL6	1.009e-01	6.580e-02
BCL7A	-8.730e-04	9.873e-01
BCLAF1	5.966e-02	2.777e-01
BCOR	-1.889e-01	5.297e-04
BCORL1	-1.076e-01	4.979e-02
BCR	1.862e-02	7.350e-01
BIRC3	-6.070e-02	2.693e-01
BLM	4.145e-02	4.509e-01
BMPR1A	-6.321e-02	2.501e-01
BRAF	-9.968e-02	6.926e-02
BRCA1	7.434e-02	1.759e-01
BRCA2	4.219e-02	4.429e-01
BRD4	4.424e-03	9.359e-01
BRIP1	-9.565e-02	8.137e-02
BTG1	9.825e-02	7.338e-02
BTK	-1.778e-01	1.124e-03
BUB1B	-1.540e-01	4.856e-03
C11orf65	-9.844e-02	7.283e-02
C3orf70	-1.613e-01	3.160e-03
C8orf34	-8.051e-02	1.427e-01
CADM2	-7.688e-02	1.616e-01
CALR	2.065e-02	7.073e-01
CARD11	1.377e-01	1.192e-02
CASP8	7.230e-02	1.881e-01
CASR	1.098e-01	4.523e-02
CBFB	3.828e-02	4.863e-01
CBL	4.233e-02	4.413e-01
CBLB	5.275e-02	3.372e-01
CBLC	1.100e-01	4.493e-02
CBR3	5.153e-02	3.486e-01
CCDC6	-1.622e-01	2.991e-03
CCND1	7.400e-02	1.780e-01
CCND2	-6.934e-02	2.069e-01
CCND3	-1.895e-01	5.075e-04
