Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.58300e-01	9.73100e-43	6.94900e-01	2.51400e-49	9.47400e-01	unspecified
1	5.08700e-01	2.56500e-23	3.51700e-01	3.95600e-11	1.44600e+00	unspecified
2	2.15700e-01	7.26200e-05	3.04700e-01	1.38700e-08	7.07800e-01	unspecified
3	7.03900e-01	4.10600e-51	6.84200e-01	2.63700e-47	1.02900e+00	unspecified
4	6.19900e-01	9.84300e-37	6.13300e-01	8.66700e-36	1.01100e+00	unspecified
5	5.24300e-01	6.52400e-25	5.32000e-01	9.87800e-26	9.85500e-01	unspecified
10	1.69900e-01	1.86400e-03	1.85900e-01	6.53000e-04	9.14100e-01	unspecified
14	6.21200e-01	6.26000e-37	6.25100e-01	1.69900e-37	9.93800e-01	unspecified
15	4.60300e-01	7.29800e-19	4.62100e-01	5.10100e-19	9.96000e-01	unspecified
16	5.18100e-01	2.89600e-24	5.23400e-01	8.19900e-25	9.89900e-01	unspecified
17	1.99500e-01	2.47900e-04	2.26300e-01	3.06500e-05	8.81700e-01	unspecified
18	2.26300e-01	3.06500e-05	1.61800e-01	3.06000e-03	1.39800e+00	unspecified
23	6.83100e-01	4.31600e-47	6.91700e-01	1.03000e-48	9.87500e-01	unspecified
25	6.03200e-01	2.25800e-34	6.08000e-01	4.79300e-35	9.92000e-01	unspecified
26	2.38700e-01	1.06900e-05	2.01700e-01	2.10900e-04	1.18300e+00	unspecified
27	9.64700e-02	7.87800e-02	1.23400e-01	2.43500e-02	7.81900e-01	unspecified
30	-1.66000e-01	2.37300e-03	9.63600e-02	7.91100e-02	-1.72300e+00	unspecified
31	3.55000e-01	2.51400e-11	2.67700e-01	7.14800e-07	1.32600e+00	unspecified
34	1.89200e-01	5.18300e-04	3.39800e-01	1.91700e-10	5.56800e-01	unspecified
38	1.93400e-01	3.85800e-04	1.92000e-01	4.26200e-04	1.00700e+00	unspecified
39	6.95900e-02	2.05300e-01	1.01400e-01	6.46600e-02	6.86500e-01	unspecified
40	1.23700e-01	2.39400e-02	7.99600e-02	1.45400e-01	1.54700e+00	unspecified
41	2.27100e-01	2.88200e-05	1.95300e-01	3.35900e-04	1.16200e+00	unspecified
49	-8.79900e-02	1.09000e-01	-2.00400e-02	7.15500e-01	4.39000e+00	unspecified
54	2.30600e-01	2.14400e-05	1.98900e-01	2.59700e-04	1.15900e+00	unspecified
57	2.84800e-01	1.23900e-07	2.33800e-01	1.62900e-05	1.21800e+00	unspecified
61	-6.84500e-03	9.01000e-01	6.68700e-02	2.23600e-01	-1.02400e-01	unspecified
63	6.52400e-01	9.47700e-42	6.30800e-01	2.36500e-38	1.03400e+00	unspecified
64	5.97300e-01	1.41700e-33	4.62100e-01	5.10100e-19	1.29300e+00	unspecified
65	2.42200e-01	7.85700e-06	1.59500e-01	3.52900e-03	1.51900e+00	unspecified
67	6.18600e-01	1.49000e-36	-8.56900e-02	1.18600e-01	-7.22000e+00	unspecified
69	6.07600e-01	5.42600e-35	3.27100e-01	9.61300e-10	1.85800e+00	unspecified
71	6.55600e-01	2.73900e-42	5.05800e-01	4.96100e-23	1.29600e+00	unspecified
72	2.88700e-01	8.17700e-08	2.42200e-01	7.85700e-06	1.19200e+00	unspecified
74	-2.66600e-02	6.27800e-01	6.54600e-02	2.33500e-01	-4.07300e-01	unspecified
76	2.41400e-01	8.37700e-06	3.41500e-01	1.53800e-10	7.07000e-01	unspecified
77	5.91100e-01	9.27000e-33	2.84700e-01	1.24800e-07	2.07600e+00	unspecified
78	9.83700e-02	7.30200e-02	7.69300e-03	8.88800e-01	1.27900e+01	unspecified
79	2.66700e-01	7.87800e-07	1.37600e-01	1.19400e-02	1.93800e+00	unspecified
87	3.08000e-01	9.44700e-09	3.26300e-01	1.05600e-09	9.43900e-01	unspecified
88	1.27400e-01	2.00400e-02	1.83700e-01	7.56000e-04	6.93500e-01	unspecified
89	2.61200e-01	1.35200e-06	1.64900e-01	2.53800e-03	1.58400e+00	unspecified
90	2.38000e-01	1.13600e-05	2.85400e-01	1.16300e-07	8.33800e-01	unspecified
98	2.46100e-01	5.52400e-06	2.26200e-01	3.10100e-05	1.08800e+00	unspecified
99	1.44000e-01	8.47800e-03	4.39900e-02	4.23700e-01	3.27500e+00	unspecified
100	2.96900e-01	3.34000e-08	4.39900e-02	4.23700e-01	6.75000e+00	unspecified
108	1.19500e-01	2.91900e-02	1.12600e-01	4.00300e-02	1.06200e+00	unspecified
109	2.34300e-01	1.56800e-05	1.64900e-01	2.53800e-03	1.42000e+00	unspecified
110	-4.33600e-02	4.30300e-01	-9.86700e-02	7.21600e-02	4.39500e-01	unspecified
113	1.83700e-01	7.56000e-04	2.14800e-01	7.76500e-05	8.55200e-01	unspecified
115	3.39800e-01	1.91700e-10	2.25700e-01	3.23400e-05	1.50600e+00	unspecified
118	2.85400e-01	1.16300e-07	3.02700e-01	1.74600e-08	9.42900e-01	unspecified
120	-7.81900e-03	8.87000e-01	3.95100e-02	4.72400e-01	-1.97900e-01	unspecified
124	1.64900e-01	2.53800e-03	1.54500e-01	4.71000e-03	1.06700e+00	unspecified
127	1.92000e-01	4.26200e-04	2.64600e-01	9.66500e-07	7.25600e-01	unspecified
