Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.31600e-01	4.98000e-57	7.82400e-01	4.56500e-70	9.35100e-01	unspecified
1	5.51700e-01	6.42000e-28	3.54000e-01	2.89100e-11	1.55900e+00	unspecified
2	2.02300e-01	2.02000e-04	2.96500e-01	3.47700e-08	6.82200e-01	unspecified
3	8.24700e-01	6.37600e-84	8.12800e-01	1.12800e-79	1.01500e+00	unspecified
4	6.38500e-01	1.53000e-39	6.41500e-01	5.34100e-40	9.95400e-01	unspecified
5	5.52100e-01	5.77100e-28	5.50100e-01	9.88100e-28	1.00400e+00	unspecified
10	4.00900e-02	4.65900e-01	5.60900e-02	3.07500e-01	7.14700e-01	unspecified
14	6.57300e-01	1.46600e-42	6.63300e-01	1.38900e-43	9.90900e-01	unspecified
15	5.20600e-01	1.57200e-24	4.81400e-01	1.00600e-20	1.08100e+00	unspecified
16	4.49700e-01	5.50800e-18	4.53400e-01	2.75500e-18	9.92000e-01	unspecified
17	2.01700e-01	2.12000e-04	1.02300e-01	6.21100e-02	1.97000e+00	unspecified
18	1.02300e-01	6.21100e-02	7.08800e-02	1.97000e-01	1.44400e+00	unspecified
23	8.19000e-01	7.46000e-82	8.06900e-01	1.15300e-77	1.01500e+00	unspecified
25	6.39000e-01	1.29100e-39	6.52600e-01	8.55700e-42	9.79100e-01	unspecified
26	1.58200e-01	3.80200e-03	6.53500e-02	2.34300e-01	2.42100e+00	unspecified
27	-2.72900e-02	6.19800e-01	1.17700e-01	3.18300e-02	-2.31900e-01	unspecified
30	2.38000e-01	1.13300e-05	-8.66800e-03	8.74800e-01	-2.74600e+01	unspecified
31	2.01200e-01	2.19100e-04	1.29000e-01	1.85300e-02	1.56000e+00	unspecified
34	1.44100e-01	8.44900e-03	2.89800e-01	7.26000e-08	4.97300e-01	unspecified
38	2.14400e-01	8.05400e-05	1.83700e-01	7.54700e-04	1.16700e+00	unspecified
39	1.86000e-01	6.46600e-04	1.62900e-01	2.87700e-03	1.14200e+00	unspecified
40	2.83600e-01	1.40500e-07	1.88100e-01	5.60000e-04	1.50800e+00	unspecified
41	1.26900e-01	2.05600e-02	1.38200e-01	1.15900e-02	9.18100e-01	unspecified
49	-1.07800e-01	4.93800e-02	-4.34500e-02	4.29400e-01	2.48100e+00	unspecified
54	1.12500e-01	4.01400e-02	1.23300e-01	2.43800e-02	9.12300e-01	unspecified
57	1.90900e-01	4.61200e-04	1.02000e-01	6.29200e-02	1.87100e+00	unspecified
61	3.93400e-02	4.74300e-01	2.69300e-02	6.24400e-01	1.46100e+00	unspecified
63	7.30000e-01	1.15900e-56	7.19500e-01	2.33700e-54	1.01500e+00	unspecified
64	6.75900e-01	8.82100e-46	4.81400e-01	1.00600e-20	1.40400e+00	unspecified
65	3.92000e-01	1.11900e-13	3.53900e-01	2.93200e-11	1.10800e+00	unspecified
67	6.60300e-01	4.59000e-43	-6.27300e-02	2.53700e-01	-1.05300e+01	unspecified
69	6.70300e-01	8.69400e-45	4.16500e-01	2.09000e-15	1.60900e+00	unspecified
71	7.43300e-01	9.55900e-60	5.29500e-01	1.82400e-25	1.40400e+00	unspecified
72	4.27800e-01	3.00100e-16	3.92000e-01	1.11900e-13	1.09100e+00	unspecified
74	6.73100e-03	9.02600e-01	1.05700e-01	5.39700e-02	6.36800e-02	unspecified
76	2.07500e-01	1.37200e-04	2.99800e-01	2.41000e-08	6.91900e-01	unspecified
77	5.99700e-01	6.76700e-34	2.82100e-01	1.64000e-07	2.12500e+00	unspecified
78	1.57300e-01	4.01200e-03	1.01000e-01	6.55400e-02	1.55700e+00	unspecified
79	2.67300e-01	7.46300e-07	1.30800e-01	1.69400e-02	2.04300e+00	unspecified
87	3.15300e-01	4.01100e-09	3.13100e-01	5.25700e-09	1.00700e+00	unspecified
88	4.59100e-02	4.03700e-01	9.27200e-02	9.11500e-02	4.95100e-01	unspecified
89	2.97500e-01	3.11600e-08	5.40300e-02	3.25600e-01	5.50700e+00	unspecified
90	2.48500e-01	4.45300e-06	1.85800e-01	6.54200e-04	1.33700e+00	unspecified
98	3.05500e-01	1.26400e-08	2.99600e-01	2.48400e-08	1.02000e+00	unspecified
99	1.99100e-01	2.56500e-04	6.59500e-02	2.30100e-01	3.01900e+00	unspecified
100	2.12600e-01	9.26900e-05	6.59500e-02	2.30100e-01	3.22300e+00	unspecified
108	7.36300e-02	1.80100e-01	4.93700e-02	3.69200e-01	1.49100e+00	unspecified
109	1.86800e-01	6.11500e-04	5.40300e-02	3.25600e-01	3.45800e+00	unspecified
110	-2.70100e-02	6.23300e-01	-3.86700e-02	4.81900e-01	6.98500e-01	unspecified
113	9.27200e-02	9.11500e-02	1.32900e-01	1.52400e-02	6.97800e-01	unspecified
115	2.89800e-01	7.26000e-08	1.67600e-01	2.15100e-03	1.72900e+00	unspecified
118	1.85800e-01	6.54200e-04	1.88000e-01	5.62100e-04	9.88300e-01	unspecified
120	-1.46600e-02	7.89900e-01	1.76700e-03	9.74400e-01	-8.29500e+00	unspecified
124	5.40300e-02	3.25600e-01	7.62200e-02	1.65200e-01	7.08800e-01	unspecified
127	1.83700e-01	7.54700e-04	2.82300e-01	1.62000e-07	6.50900e-01	unspecified
