Gene	Rho	P_val
ABCB1	-6.842e-02	2.130e-01
ABCC3	-7.489e-02	1.727e-01
ABL1	6.140e-02	2.639e-01
ABL2	1.714e-01	1.699e-03
ACTA2	9.047e-03	8.694e-01
ACVR1B	2.288e-02	6.774e-01
ADGRA2	-8.074e-02	1.415e-01
AJUBA	-2.336e-02	6.710e-01
AKT1	-9.692e-02	7.736e-02
AKT2	-9.336e-02	8.893e-02
AKT3	1.223e-01	2.562e-02
ALK	-7.267e-02	1.859e-01
ALOX12B	2.060e-01	1.534e-04
AMER1	-1.634e-01	2.778e-03
ANKRD11	-8.702e-02	1.129e-01
APC	4.666e-02	3.961e-01
APOB	1.989e-01	2.602e-04
AR	2.687e-01	6.476e-07
ARAF	8.996e-02	1.012e-01
ARFRP1	-9.280e-02	9.088e-02
ARHGAP26	6.087e-02	2.681e-01
ARHGAP35	-3.570e-02	5.162e-01
ARID1A	1.213e-02	8.255e-01
ARID1B	-5.362e-03	9.223e-01
ARID2	-6.849e-02	2.125e-01
ARID5B	7.427e-02	1.764e-01
ASNS	9.352e-02	8.842e-02
ASXL1	2.433e-02	6.582e-01
ASXL2	-6.594e-02	2.301e-01
ATIC	9.250e-03	8.665e-01
ATM	-1.301e-01	1.750e-02
ATP7B	-1.413e-01	9.845e-03
ATR	1.986e-01	2.661e-04
ATRX	-1.541e-01	4.818e-03
AURKA	-1.743e-01	1.406e-03
AURKB	-5.701e-02	2.996e-01
AXIN1	1.509e-02	7.839e-01
AXIN2	-5.063e-02	3.571e-01
AXL	-8.404e-02	1.259e-01
B2M	1.099e-01	4.509e-02
BAP1	-7.555e-02	1.690e-01
BARD1	5.498e-02	3.172e-01
BCAR1	9.679e-03	8.603e-01
BCL10	7.068e-03	8.978e-01
BCL11B	-6.397e-02	2.443e-01
BCL2	1.404e-01	1.029e-02
BCL2L1	-1.590e-01	3.631e-03
BCL2L11	8.880e-02	1.058e-01
BCL2L12	1.123e-01	4.055e-02
BCL2L2	-1.159e-01	3.450e-02
BCL6	1.023e-01	6.233e-02
BCL7A	4.893e-02	3.735e-01
BCLAF1	1.029e-01	6.077e-02
BCOR	-6.844e-03	9.010e-01
BCORL1	5.342e-02	3.311e-01
BCR	-1.241e-01	2.347e-02
BIRC3	-9.956e-02	6.960e-02
BLM	-2.258e-02	6.814e-01
BMPR1A	-1.712e-01	1.719e-03
BRAF	-1.032e-01	6.000e-02
BRCA1	2.221e-01	4.332e-05
BRCA2	-1.305e-01	1.720e-02
BRD4	2.144e-02	6.966e-01
BRIP1	2.916e-02	5.959e-01
BTG1	-3.922e-02	4.757e-01
BTK	-9.078e-02	9.818e-02
BUB1B	-2.817e-01	1.712e-07
C11orf65	4.884e-02	3.743e-01
C3orf70	-1.130e-01	3.929e-02
C8orf34	-7.973e-03	8.848e-01
CADM2	-7.300e-02	1.839e-01
CALR	2.920e-02	5.954e-01
CARD11	1.643e-01	2.631e-03
CASP8	1.443e-01	8.374e-03
CASR	1.915e-01	4.414e-04
CBFB	4.095e-02	4.564e-01
CBL	-1.740e-01	1.438e-03
CBLB	1.357e-01	1.318e-02
CBLC	1.504e-01	5.955e-03
CBR3	5.078e-02	3.556e-01
CCDC6	-7.587e-02	1.672e-01
CCND1	-4.657e-02	3.970e-01
CCND2	-1.539e-01	4.873e-03
CCND3	-1.727e-01	1.558e-03
CCNE1	-1.855e-01	6.709e-04
CCNE2	1.655e-03	9.760e-01
CD19	5.982e-02	2.763e-01
CD22	-1.881e-01	5.588e-04
CD274	-3.189e-02	5.620e-01
CD276	6.567e-02	2.320e-01
CD40	7.417e-02	1.769e-01
CD70	1.231e-01	2.463e-02
CD79A	-1.920e-01	4.254e-04
CD79B	2.827e-02	6.072e-01
CDC25A	2.870e-02	6.017e-01
CDC73	1.731e-01	1.524e-03
CDH1	-1.901e-01	4.886e-04
CDH2	-4.130e-02	4.525e-01
CDK12	2.783e-02	6.128e-01
CDK4	-1.246e-02	8.208e-01
CDK5	-2.466e-02	6.539e-01
CDK6	1.464e-02	7.902e-01
CDK8	1.194e-01	2.935e-02
CDKN1A	-8.466e-02	1.231e-01
