Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.88800e-01	6.23300e-72	7.88400e-01	7.99800e-72	1.00000e+00	unspecified
1	6.56400e-01	2.02200e-42	3.60800e-01	1.12700e-11	1.81900e+00	unspecified
2	2.80600e-01	1.91800e-07	2.19300e-01	5.42500e-05	1.28000e+00	unspecified
3	7.15200e-01	1.92300e-53	7.10800e-01	1.59800e-52	1.00600e+00	unspecified
4	5.45700e-01	3.10900e-27	5.50900e-01	7.97400e-28	9.90500e-01	unspecified
5	4.64600e-01	3.10800e-19	4.36400e-01	6.51200e-17	1.06500e+00	unspecified
10	-1.41900e-02	7.96500e-01	5.61800e-02	3.06700e-01	-2.52500e-01	unspecified
14	5.32400e-01	9.12400e-26	5.32900e-01	7.92900e-26	9.98900e-01	unspecified
15	4.24300e-01	5.53000e-16	3.83200e-01	4.34900e-13	1.10700e+00	unspecified
16	3.44800e-01	9.92900e-11	3.23600e-01	1.48100e-09	1.06600e+00	unspecified
17	1.01400e-01	6.44600e-02	8.22700e-02	1.34100e-01	1.23300e+00	unspecified
18	8.22700e-02	1.34100e-01	5.58800e-02	3.09300e-01	1.47200e+00	unspecified
23	6.74000e-01	1.93400e-45	6.68700e-01	1.61700e-44	1.00800e+00	unspecified
25	5.46900e-01	2.25400e-27	5.37600e-01	2.45500e-26	1.01700e+00	unspecified
26	2.19200e-01	5.46900e-05	1.12700e-01	3.98900e-02	1.94600e+00	unspecified
27	1.47900e-01	6.85900e-03	1.49900e-01	6.12800e-03	9.86600e-01	unspecified
30	1.13000e-01	3.93900e-02	2.19900e-02	6.89300e-01	5.13700e+00	unspecified
31	1.11700e-01	4.16900e-02	9.07700e-02	9.82200e-02	1.23000e+00	unspecified
34	2.26200e-01	3.10600e-05	1.67900e-01	2.10900e-03	1.34700e+00	unspecified
38	6.42500e-02	2.42300e-01	1.96300e-01	3.13600e-04	3.27300e-01	unspecified
39	1.79500e-01	1.00100e-03	1.67300e-01	2.18500e-03	1.07300e+00	unspecified
40	2.92200e-01	5.60300e-08	2.34400e-01	1.54400e-05	1.24600e+00	unspecified
41	6.61300e-02	2.28800e-01	8.67000e-02	1.14300e-01	7.62700e-01	unspecified
49	-9.83800e-02	7.29900e-02	-5.90900e-02	2.82300e-01	1.66500e+00	unspecified
54	1.67000e-01	2.23200e-03	6.96400e-02	2.05000e-01	2.39800e+00	unspecified
57	2.43800e-01	6.80200e-06	6.82700e-02	2.14100e-01	3.57100e+00	unspecified
61	1.37700e-01	1.18900e-02	9.49200e-02	8.37300e-02	1.45100e+00	unspecified
63	5.76500e-01	6.99800e-31	5.75400e-01	9.40100e-31	1.00200e+00	unspecified
64	5.27200e-01	3.21900e-25	3.83200e-01	4.34900e-13	1.37600e+00	unspecified
65	3.86400e-01	2.66300e-13	2.62500e-01	1.18400e-06	1.47200e+00	unspecified
67	4.92200e-01	1.02300e-21	-9.71400e-02	7.67200e-02	-5.06700e+00	unspecified
69	6.32100e-01	1.51400e-38	4.38600e-01	4.32200e-17	1.44100e+00	unspecified
71	5.78700e-01	3.68200e-31	3.83000e-01	4.45800e-13	1.51100e+00	unspecified
72	4.51400e-01	4.05800e-18	3.86400e-01	2.66300e-13	1.16800e+00	unspecified
74	1.71900e-01	1.63600e-03	1.63700e-01	2.74000e-03	1.05100e+00	unspecified
76	1.81400e-01	8.80400e-04	1.69000e-01	1.97500e-03	1.07400e+00	unspecified
77	4.25600e-01	4.40100e-16	3.25900e-01	1.11400e-09	1.30600e+00	unspecified
78	1.64400e-01	2.62000e-03	1.49200e-01	6.37900e-03	1.10200e+00	unspecified
79	2.11100e-01	1.04000e-04	1.19800e-01	2.88800e-02	1.76200e+00	unspecified
87	2.14900e-01	7.71600e-05	2.04500e-01	1.71900e-04	1.05100e+00	unspecified
88	-1.76300e-01	1.24000e-03	-2.34500e-02	6.69900e-01	7.51800e+00	unspecified
89	1.77700e-01	1.12500e-03	7.02700e-02	2.00900e-01	2.52900e+00	unspecified
90	2.23700e-01	3.79900e-05	1.08600e-01	4.75900e-02	2.05900e+00	unspecified
98	2.26200e-01	3.08300e-05	1.54800e-01	4.63600e-03	1.46200e+00	unspecified
99	1.87200e-01	5.94900e-04	8.32600e-02	1.29500e-01	2.24900e+00	unspecified
100	7.71300e-02	1.60200e-01	8.32600e-02	1.29500e-01	9.26500e-01	unspecified
108	2.85100e-02	6.04100e-01	7.42900e-02	1.76200e-01	3.83800e-01	unspecified
109	2.78500e-02	6.12600e-01	7.02700e-02	2.00900e-01	3.96300e-01	unspecified
110	-9.74100e-03	8.59400e-01	-2.72200e-03	9.60500e-01	3.57900e+00	unspecified
113	-2.34500e-02	6.69900e-01	2.09600e-01	1.16700e-04	-1.11900e-01	unspecified
115	1.67900e-01	2.10900e-03	1.85400e-01	6.73600e-04	9.05700e-01	unspecified
118	1.08600e-01	4.75900e-02	1.13500e-01	3.84700e-02	9.57300e-01	unspecified
120	-4.83000e-03	9.30000e-01	6.17500e-04	9.91000e-01	-7.82200e+00	unspecified
124	7.02700e-02	2.00900e-01	5.92300e-02	2.81200e-01	1.18600e+00	unspecified
127	1.96300e-01	3.13600e-04	2.57100e-01	1.98600e-06	7.63400e-01	unspecified
