Gene	Rho	P_val
ABCB1	4.496e-02	4.135e-01
ABCC3	-9.464e-03	8.634e-01
ABL1	-4.630e-02	3.997e-01
ABL2	7.159e-02	1.925e-01
ACTA2	-1.403e-01	1.035e-02
ACVR1B	-6.687e-02	2.236e-01
ADGRA2	-1.585e-01	3.729e-03
AJUBA	-1.312e-01	1.656e-02
AKT1	-1.430e-01	8.983e-03
AKT2	-1.859e-01	6.500e-04
AKT3	1.052e-01	5.513e-02
ALK	6.214e-02	2.582e-01
ALOX12B	-5.417e-02	3.244e-01
AMER1	-1.310e-01	1.675e-02
ANKRD11	8.139e-02	1.383e-01
APC	-7.473e-02	1.737e-01
APOB	7.855e-03	8.864e-01
AR	1.372e-01	1.220e-02
ARAF	1.161e-01	3.413e-02
ARFRP1	-1.145e-01	3.678e-02
ARHGAP26	-5.184e-02	3.457e-01
ARHGAP35	1.464e-01	7.448e-03
ARID1A	-1.209e-01	2.737e-02
ARID1B	-1.573e-02	7.749e-01
ARID2	7.217e-02	1.889e-01
ARID5B	-4.536e-02	4.093e-01
ASNS	4.484e-02	4.148e-01
ASXL1	1.590e-01	3.634e-03
ASXL2	-1.227e-01	2.517e-02
ATIC	2.709e-02	6.224e-01
ATM	-3.862e-02	4.824e-01
ATP7B	9.764e-02	7.520e-02
ATR	1.363e-01	1.276e-02
ATRX	-1.092e-01	4.653e-02
AURKA	-7.407e-02	1.775e-01
AURKB	-3.741e-02	4.962e-01
AXIN1	-1.234e-01	2.437e-02
AXIN2	1.149e-01	3.617e-02
AXL	7.685e-03	8.889e-01
B2M	-5.623e-02	3.063e-01
BAP1	8.206e-02	1.351e-01
BARD1	1.150e-01	3.588e-02
BCAR1	9.015e-02	1.005e-01
BCL10	2.366e-03	9.657e-01
BCL11B	1.086e-01	4.777e-02
BCL2	9.596e-02	8.037e-02
BCL2L1	-2.426e-01	7.524e-06
BCL2L11	-1.389e-02	8.007e-01
BCL2L12	1.032e-01	5.999e-02
BCL2L2	1.108e-03	9.839e-01
BCL6	8.933e-02	1.037e-01
BCL7A	5.885e-02	2.842e-01
BCLAF1	2.846e-02	6.049e-01
BCOR	-1.122e-01	4.073e-02
BCORL1	-1.919e-02	7.271e-01
BCR	1.085e-01	4.798e-02
BIRC3	-1.140e-01	3.758e-02
BLM	1.231e-01	2.472e-02
BMPR1A	5.975e-02	2.769e-01
BRAF	-1.848e-02	7.369e-01
BRCA1	4.950e-02	3.679e-01
BRCA2	1.690e-02	7.586e-01
BRD4	-4.395e-02	4.241e-01
BRIP1	-2.172e-02	6.929e-01
BTG1	7.156e-02	1.927e-01
BTK	-1.328e-01	1.533e-02
BUB1B	-6.784e-02	2.169e-01
C11orf65	8.818e-02	1.082e-01
C3orf70	-1.291e-01	1.843e-02
C8orf34	-1.249e-01	2.265e-02
CADM2	-6.025e-02	2.729e-01
CALR	1.145e-01	3.677e-02
CARD11	7.991e-02	1.456e-01
CASP8	-1.122e-02	8.384e-01
CASR	6.704e-02	2.224e-01
CBFB	1.063e-01	5.260e-02
CBL	3.108e-02	5.719e-01
CBLB	3.386e-02	5.380e-01
CBLC	2.070e-01	1.425e-04
CBR3	1.385e-01	1.141e-02
CCDC6	-1.224e-01	2.549e-02
CCND1	5.581e-02	3.099e-01
CCND2	-3.267e-02	5.525e-01
CCND3	-3.060e-01	1.203e-08
CCNE1	-2.865e-01	1.031e-07
CCNE2	-1.709e-01	1.745e-03
CD19	4.603e-02	4.024e-01
CD22	-1.443e-01	8.381e-03
CD274	1.644e-01	2.620e-03
CD276	8.769e-02	1.102e-01
CD40	1.427e-01	9.108e-03
CD70	-9.277e-02	9.099e-02
CD79A	3.724e-02	4.983e-01
CD79B	4.282e-02	4.361e-01
CDC25A	1.089e-01	4.711e-02
CDC73	1.241e-01	2.352e-02
CDH1	-1.686e-01	2.019e-03
CDH2	-8.168e-03	8.820e-01
CDK12	-2.752e-03	9.601e-01
CDK4	4.577e-02	4.051e-01
CDK5	8.463e-02	1.233e-01
CDK6	-7.834e-02	1.538e-01
CDK8	4.207e-02	4.442e-01
CDKN1A	8.232e-02	1.339e-01
CDKN1B	-3.038e-02	5.806e-01
CDKN1C	-1.507e-01	5.849e-03
CDKN2A	-5.667e-01	1.115e-29
CDKN2B	5.345e-01	5.419e-26
CDKN2C	-5.192e-02	3.449e-01
CEBPA	1.827e-01	8.080e-04
CEP57	-1.363e-01	1.277e-02
CFTR	4.276e-02	4.368e-01
CHD2	-6.666e-02	2.251e-01
CHD4	1.664e-02	7.623e-01
CHEK1	1.750e-01	1.341e-03
CHEK2	3.576e-03	9.482e-01
CIC	-2.261e-01	3.128e-05
