Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	5.93100e-01	5.09100e-33	6.89400e-01	2.78600e-48	8.60300e-01	unspecified
1	4.13500e-01	3.45000e-15	2.48900e-01	4.26600e-06	1.66100e+00	unspecified
2	2.91500e-01	6.03600e-08	3.41100e-01	1.62000e-10	8.54600e-01	unspecified
3	7.59800e-01	7.29900e-64	7.73300e-01	1.74800e-67	9.82500e-01	unspecified
4	5.49900e-01	1.04800e-27	5.41400e-01	9.38500e-27	1.01600e+00	unspecified
5	4.74300e-01	4.41700e-20	4.30900e-01	1.72200e-16	1.10100e+00	unspecified
10	1.52100e-01	5.40200e-03	1.10000e-01	4.49200e-02	1.38300e+00	unspecified
14	7.35600e-01	6.27300e-58	7.56600e-01	5.05000e-63	9.72200e-01	unspecified
15	6.28400e-01	5.44400e-38	6.34000e-01	7.70600e-39	9.91200e-01	unspecified
16	4.64000e-01	3.50300e-19	5.04900e-01	6.12000e-23	9.19000e-01	unspecified
17	2.26500e-01	3.00800e-05	2.24200e-01	3.64400e-05	1.01000e+00	unspecified
18	2.24200e-01	3.64400e-05	1.52500e-01	5.28300e-03	1.47000e+00	unspecified
23	7.66500e-01	1.26700e-65	7.89800e-01	3.03900e-72	9.70500e-01	unspecified
25	5.24500e-01	6.20200e-25	5.25900e-01	4.41200e-25	9.97300e-01	unspecified
26	3.35400e-02	5.41900e-01	1.74100e-01	1.42500e-03	1.92600e-01	unspecified
27	2.13600e-01	8.54700e-05	2.06400e-01	1.48200e-04	1.03500e+00	unspecified
30	-1.72700e-01	1.56300e-03	6.57700e-02	2.31300e-01	-2.62500e+00	unspecified
31	2.17000e-01	6.52900e-05	1.25400e-01	2.20700e-02	1.73000e+00	unspecified
34	1.12700e-01	3.98200e-02	3.18000e-01	2.93400e-09	3.54500e-01	unspecified
38	1.38300e-01	1.15400e-02	2.13700e-01	8.50800e-05	6.47200e-01	unspecified
39	1.05100e-01	5.53900e-02	1.11600e-01	4.18200e-02	9.41600e-01	unspecified
40	1.15800e-01	3.46700e-02	6.57000e-02	2.31800e-01	1.76200e+00	unspecified
41	3.82700e-02	4.86500e-01	-5.45400e-02	3.21000e-01	-7.01600e-01	unspecified
49	1.65300e-01	2.47900e-03	1.22300e-01	2.55900e-02	1.35100e+00	unspecified
54	1.12200e-01	4.07200e-02	1.45700e-01	7.74600e-03	7.70100e-01	unspecified
57	2.36900e-01	1.24200e-05	1.05600e-01	5.42400e-02	2.24400e+00	unspecified
61	-2.50400e-02	6.48900e-01	-9.98100e-03	8.56000e-01	2.50900e+00	unspecified
63	7.71500e-01	5.73900e-67	7.88600e-01	6.68900e-72	9.78200e-01	unspecified
64	7.91000e-01	1.30200e-72	6.34000e-01	7.70600e-39	1.24800e+00	unspecified
65	2.97400e-01	3.17100e-08	2.35100e-01	1.45200e-05	1.26500e+00	unspecified
67	6.97900e-01	6.61500e-50	-6.69400e-02	2.23100e-01	-1.04200e+01	unspecified
69	6.46300e-01	9.21300e-41	3.22100e-01	1.78500e-09	2.00700e+00	unspecified
71	7.40000e-01	5.67300e-59	4.89500e-01	1.83400e-21	1.51200e+00	unspecified
72	3.68800e-01	3.64600e-12	2.97400e-01	3.17100e-08	1.24000e+00	unspecified
74	1.30500e-01	1.72200e-02	1.68000e-01	2.10200e-03	7.76700e-01	unspecified
76	1.58100e-01	3.82000e-03	3.19000e-01	2.59900e-09	4.95700e-01	unspecified
77	5.36100e-01	3.61800e-26	8.16500e-02	1.37100e-01	6.56500e+00	unspecified
78	1.07300e-01	5.03700e-02	8.38500e-02	1.26800e-01	1.28000e+00	unspecified
79	2.46200e-01	5.46700e-06	2.07500e-01	1.36800e-04	1.18700e+00	unspecified
87	3.40500e-01	1.74200e-10	3.06800e-01	1.08700e-08	1.11000e+00	unspecified
88	-8.72200e-02	1.12100e-01	1.49800e-01	6.15100e-03	-5.82100e-01	unspecified
89	2.96200e-01	3.62500e-08	1.42100e-01	9.41200e-03	2.08400e+00	unspecified
90	2.33100e-01	1.73500e-05	2.45400e-01	5.89800e-06	9.49900e-01	unspecified
98	3.77900e-02	4.91900e-01	9.56500e-02	8.13500e-02	3.95100e-01	unspecified
99	6.39800e-02	2.44300e-01	1.25200e-01	2.23600e-02	5.11200e-01	unspecified
100	1.69400e-01	1.92500e-03	1.25200e-01	2.23600e-02	1.35300e+00	unspecified
108	9.40100e-02	8.67300e-02	9.46500e-02	8.45900e-02	9.93200e-01	unspecified
109	2.00700e-01	2.28300e-04	1.42100e-01	9.41200e-03	1.41200e+00	unspecified
110	-8.72600e-02	1.12000e-01	3.65000e-02	5.06800e-01	-2.39000e+00	unspecified
113	1.49800e-01	6.15100e-03	1.14100e-01	3.74800e-02	1.31400e+00	unspecified
115	3.18000e-01	2.93400e-09	1.52600e-01	5.25600e-03	2.08300e+00	unspecified
118	2.45400e-01	5.89800e-06	2.59400e-01	1.59400e-06	9.45700e-01	unspecified
120	-1.22700e-01	2.51200e-02	-8.36700e-02	1.27600e-01	1.46700e+00	unspecified
124	1.42100e-01	9.41200e-03	1.44000e-01	8.50400e-03	9.87000e-01	unspecified
127	2.13700e-01	8.50800e-05	2.00300e-01	2.33700e-04	1.06600e+00	unspecified
