Gene	Rho	P_val
ABCB1	-1.459e-01	7.659e-03
ABCC3	-5.673e-02	3.020e-01
ABL1	5.240e-02	3.405e-01
ABL2	1.127e-01	3.986e-02
ACTA2	1.595e-02	7.718e-01
ACVR1B	-1.899e-03	9.725e-01
ADGRA2	-2.167e-01	6.687e-05
AJUBA	-6.334e-02	2.490e-01
AKT1	-7.200e-02	1.900e-01
AKT2	-1.772e-01	1.162e-03
AKT3	1.627e-01	2.900e-03
ALK	-1.604e-02	7.705e-01
ALOX12B	1.425e-01	9.193e-03
AMER1	-1.289e-01	1.860e-02
ANKRD11	-5.453e-02	3.212e-01
APC	-1.068e-02	8.460e-01
APOB	1.395e-01	1.084e-02
AR	1.975e-01	2.869e-04
ARAF	2.959e-04	9.957e-01
ARFRP1	-6.753e-02	2.190e-01
ARHGAP26	-4.561e-02	4.068e-01
ARHGAP35	1.095e-02	8.422e-01
ARID1A	-5.217e-02	3.426e-01
ARID1B	-9.016e-02	1.005e-01
ARID2	2.883e-02	6.001e-01
ARID5B	-3.892e-02	4.791e-01
ASNS	1.491e-01	6.412e-03
ASXL1	-3.202e-02	5.604e-01
ASXL2	-1.393e-01	1.091e-02
ATIC	-1.039e-01	5.812e-02
ATM	-1.016e-01	6.397e-02
ATP7B	-5.963e-02	2.779e-01
ATR	1.596e-01	3.488e-03
ATRX	-2.113e-01	1.026e-04
AURKA	-9.015e-02	1.005e-01
AURKB	-1.623e-01	2.971e-03
AXIN1	-6.202e-03	9.102e-01
AXIN2	-1.975e-02	7.195e-01
AXL	-1.112e-01	4.263e-02
B2M	9.193e-02	9.396e-02
BAP1	1.094e-02	8.424e-01
BARD1	1.396e-01	1.078e-02
BCAR1	-3.333e-02	5.445e-01
BCL10	-4.987e-02	3.643e-01
BCL11B	3.335e-02	5.442e-01
BCL2	3.052e-02	5.789e-01
BCL2L1	-1.007e-01	6.640e-02
BCL2L11	9.632e-02	7.922e-02
BCL2L12	9.691e-02	7.740e-02
BCL2L2	-3.003e-02	5.850e-01
BCL6	5.060e-03	9.267e-01
BCL7A	5.039e-02	3.593e-01
BCLAF1	6.724e-02	2.210e-01
BCOR	-2.198e-02	6.894e-01
BCORL1	3.088e-02	5.744e-01
BCR	-3.178e-02	5.633e-01
BIRC3	-1.423e-01	9.331e-03
BLM	-1.129e-02	8.374e-01
BMPR1A	-8.450e-02	1.238e-01
BRAF	1.454e-02	7.915e-01
BRCA1	1.512e-01	5.710e-03
BRCA2	-1.292e-02	8.143e-01
BRD4	6.523e-02	2.352e-01
BRIP1	-1.650e-03	9.761e-01
BTG1	2.062e-02	7.077e-01
BTK	-2.263e-02	6.807e-01
BUB1B	-1.240e-01	2.358e-02
C11orf65	7.550e-02	1.693e-01
C3orf70	-1.670e-01	2.232e-03
C8orf34	-1.689e-02	7.588e-01
CADM2	-8.431e-02	1.247e-01
CALR	1.049e-02	8.488e-01
CARD11	5.306e-02	3.344e-01
CASP8	7.001e-02	2.025e-01
CASR	1.743e-01	1.403e-03
CBFB	6.682e-02	2.239e-01
CBL	2.531e-02	6.453e-01
CBLB	9.093e-02	9.761e-02
CBLC	1.151e-01	3.580e-02
CBR3	7.960e-02	1.472e-01
CCDC6	-9.751e-02	7.556e-02
CCND1	2.025e-02	7.128e-01
CCND2	-1.227e-01	2.514e-02
CCND3	-1.516e-01	5.581e-03
CCNE1	-2.601e-01	1.499e-06
CCNE2	-1.603e-01	3.353e-03
CD19	6.179e-02	2.609e-01
CD22	-1.551e-01	4.566e-03
CD274	1.081e-01	4.878e-02
CD276	7.243e-02	1.873e-01
CD40	1.937e-02	7.248e-01
CD70	-4.929e-02	3.699e-01
CD79A	-1.059e-01	5.357e-02
CD79B	1.083e-01	4.823e-02
CDC25A	5.756e-03	9.167e-01
CDC73	1.886e-01	5.419e-04
CDH1	-2.861e-01	1.081e-07
CDH2	-1.170e-02	8.315e-01
CDK12	1.182e-02	8.299e-01
CDK4	1.479e-02	7.881e-01
CDK5	1.974e-03	9.714e-01
CDK6	-5.076e-02	3.558e-01
CDK8	1.509e-01	5.802e-03
CDKN1A	-5.991e-02	2.757e-01
CDKN1B	-8.034e-02	1.435e-01
CDKN1C	-1.610e-01	3.213e-03
