Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.23300e-01	3.47600e-55	7.33700e-01	1.69800e-57	9.85900e-01	unspecified
1	5.28900e-01	2.16400e-25	2.67300e-01	7.45600e-07	1.97900e+00	unspecified
2	3.24800e-01	1.27900e-09	3.77500e-01	1.01600e-12	8.60400e-01	unspecified
3	7.47800e-01	7.53100e-61	7.45200e-01	3.25600e-60	1.00400e+00	unspecified
4	5.80200e-01	2.38800e-31	5.84700e-01	6.36700e-32	9.92300e-01	unspecified
5	5.17500e-01	3.32500e-24	4.71700e-01	7.50800e-20	1.09700e+00	unspecified
10	8.24000e-02	1.33500e-01	1.57600e-02	7.74500e-01	5.22900e+00	unspecified
14	6.54300e-01	4.63100e-42	6.41600e-01	5.12100e-40	1.02000e+00	unspecified
15	5.46300e-01	2.63100e-27	4.80700e-01	1.16400e-20	1.13600e+00	unspecified
16	4.20400e-01	1.07400e-15	4.06500e-01	1.10100e-14	1.03400e+00	unspecified
17	1.58900e-01	3.65100e-03	1.50500e-01	5.91200e-03	1.05500e+00	unspecified
18	1.50500e-01	5.91200e-03	9.38000e-02	8.74600e-02	1.60500e+00	unspecified
23	6.94000e-01	3.65300e-49	6.94500e-01	2.99600e-49	9.99400e-01	unspecified
25	5.44400e-01	4.36400e-27	6.15400e-01	4.43100e-36	8.84700e-01	unspecified
26	1.35500e-01	1.33300e-02	1.58400e-01	3.75700e-03	8.55500e-01	unspecified
27	6.14300e-02	2.63700e-01	4.45700e-02	4.17500e-01	1.37800e+00	unspecified
30	7.54600e-02	1.69500e-01	9.60000e-02	8.02500e-02	7.86100e-01	unspecified
31	9.04700e-02	9.93300e-02	5.21300e-02	3.42900e-01	1.73500e+00	unspecified
34	1.13300e-01	3.88400e-02	2.77800e-01	2.57400e-07	4.07700e-01	unspecified
38	1.28700e-01	1.88300e-02	9.52900e-02	8.25300e-02	1.35000e+00	unspecified
39	2.52700e-01	3.00700e-06	2.31500e-01	1.99200e-05	1.09200e+00	unspecified
40	1.70600e-01	1.78200e-03	1.36900e-01	1.24200e-02	1.24600e+00	unspecified
41	5.81200e-02	2.90300e-01	6.06900e-02	2.69400e-01	9.57600e-01	unspecified
49	-3.61400e-02	5.11000e-01	-1.36600e-02	8.03800e-01	2.64500e+00	unspecified
54	1.11400e-01	4.22400e-02	1.07000e-01	5.11400e-02	1.04100e+00	unspecified
57	1.72500e-01	1.57800e-03	5.44600e-02	3.21800e-01	3.16800e+00	unspecified
61	8.44100e-02	1.24200e-01	7.83600e-02	1.53700e-01	1.07700e+00	unspecified
63	6.70500e-01	7.97700e-45	6.87400e-01	6.84500e-48	9.75500e-01	unspecified
64	6.66400e-01	4.18000e-44	4.80700e-01	1.16400e-20	1.38600e+00	unspecified
65	2.96300e-01	3.58300e-08	2.78100e-01	2.49100e-07	1.06500e+00	unspecified
67	5.74800e-01	1.14400e-30	1.28300e-01	1.91300e-02	4.47800e+00	unspecified
69	6.35000e-01	5.32500e-39	3.16700e-01	3.40900e-09	2.00500e+00	unspecified
71	6.22200e-01	4.49800e-37	4.54000e-01	2.43000e-18	1.37000e+00	unspecified
72	3.55100e-01	2.49500e-11	2.96300e-01	3.58300e-08	1.19800e+00	unspecified
74	1.88300e-01	5.50200e-04	2.12800e-01	9.11900e-05	8.85200e-01	unspecified
76	1.77400e-01	1.15100e-03	2.89600e-01	7.39800e-08	6.12500e-01	unspecified
77	5.04700e-01	6.36200e-23	1.28600e-01	1.89200e-02	3.92500e+00	unspecified
78	7.58600e-02	1.67300e-01	5.17200e-02	3.46700e-01	1.46700e+00	unspecified
79	2.93100e-01	5.05300e-08	1.89500e-01	5.06500e-04	1.54700e+00	unspecified
87	3.88200e-01	2.02500e-13	3.65600e-01	5.73200e-12	1.06200e+00	unspecified
88	8.83500e-02	1.07500e-01	-5.66500e-02	3.02700e-01	-1.56000e+00	unspecified
89	3.23600e-01	1.47300e-09	3.18200e-02	5.62900e-01	1.01700e+01	unspecified
90	2.38000e-01	1.13100e-05	2.41300e-01	8.46600e-06	9.86400e-01	unspecified
98	2.34200e-01	1.57300e-05	1.06800e-01	5.15200e-02	2.19300e+00	unspecified
99	6.16600e-02	2.61900e-01	7.58300e-02	1.67400e-01	8.13100e-01	unspecified
100	2.13800e-01	8.42000e-05	7.58300e-02	1.67400e-01	2.81900e+00	unspecified
108	7.17300e-02	1.91600e-01	7.22600e-02	1.88400e-01	9.92700e-01	unspecified
109	2.02100e-01	2.05400e-04	3.18200e-02	5.62900e-01	6.35100e+00	unspecified
110	-3.99500e-02	4.67500e-01	-3.55800e-02	5.17600e-01	1.12300e+00	unspecified
113	-5.66500e-02	3.02700e-01	1.20400e-01	2.79900e-02	-4.70400e-01	unspecified
115	2.77800e-01	2.57400e-07	1.70400e-01	1.80300e-03	1.63000e+00	unspecified
118	2.41300e-01	8.46600e-06	2.53600e-01	2.78100e-06	9.51700e-01	unspecified
120	-2.08300e-02	7.04900e-01	-1.75900e-02	7.49200e-01	1.18400e+00	unspecified
124	3.18200e-02	5.62900e-01	1.08000e-02	8.44400e-01	2.94600e+00	unspecified
127	9.52900e-02	8.25300e-02	1.15000e-01	3.59700e-02	8.28700e-01	unspecified
