Gene	Rho	P_val
ABCB1	-7.669e-02	1.627e-01
ABCC3	-7.525e-02	1.707e-01
ABL1	-9.092e-02	9.765e-02
ABL2	1.404e-01	1.031e-02
ACTA2	-1.439e-01	8.526e-03
ACVR1B	-1.335e-02	8.082e-01
ADGRA2	-7.764e-02	1.575e-01
AJUBA	-1.184e-01	3.082e-02
AKT1	-1.380e-01	1.170e-02
AKT2	-1.517e-01	5.523e-03
AKT3	1.564e-01	4.213e-03
ALK	-9.607e-03	8.614e-01
ALOX12B	2.076e-01	1.358e-04
AMER1	-1.248e-01	2.277e-02
ANKRD11	1.811e-02	7.420e-01
APC	-2.693e-03	9.610e-01
APOB	1.007e-01	6.651e-02
AR	2.246e-01	3.529e-05
ARAF	1.103e-01	4.432e-02
ARFRP1	-1.139e-01	3.783e-02
ARHGAP26	2.506e-02	6.486e-01
ARHGAP35	5.304e-02	3.346e-01
ARID1A	-3.636e-02	5.085e-01
ARID1B	5.108e-03	9.260e-01
ARID2	-2.965e-03	9.570e-01
ARID5B	4.009e-02	4.659e-01
ASNS	-4.533e-02	4.096e-01
ASXL1	2.643e-03	9.617e-01
ASXL2	-1.065e-01	5.214e-02
ATIC	-2.909e-02	5.969e-01
ATM	-2.476e-02	6.525e-01
ATP7B	-6.081e-02	2.685e-01
ATR	1.169e-01	3.299e-02
ATRX	-2.265e-01	3.031e-05
AURKA	-1.233e-01	2.446e-02
AURKB	-1.349e-01	1.374e-02
AXIN1	-4.291e-02	4.351e-01
AXIN2	6.924e-02	2.076e-01
AXL	-3.976e-02	4.696e-01
B2M	1.224e-01	2.553e-02
BAP1	2.014e-02	7.142e-01
BARD1	9.484e-02	8.397e-02
BCAR1	7.491e-02	1.727e-01
BCL10	-1.249e-02	8.204e-01
BCL11B	1.254e-01	2.209e-02
BCL2	1.644e-01	2.623e-03
BCL2L1	-1.612e-01	3.170e-03
BCL2L11	-2.783e-02	6.128e-01
BCL2L12	1.305e-01	1.715e-02
BCL2L2	-3.633e-02	5.088e-01
BCL6	7.908e-03	8.857e-01
BCL7A	2.870e-02	6.017e-01
BCLAF1	7.161e-02	1.924e-01
BCOR	-1.640e-02	7.655e-01
BCORL1	-1.765e-02	7.482e-01
BCR	4.843e-02	3.784e-01
BIRC3	-1.161e-01	3.413e-02
BLM	7.242e-02	1.874e-01
BMPR1A	-5.807e-02	2.907e-01
BRAF	-6.952e-02	2.057e-01
BRCA1	1.055e-01	5.440e-02
BRCA2	-6.170e-02	2.615e-01
BRD4	-3.512e-02	5.230e-01
BRIP1	2.759e-02	6.160e-01
BTG1	1.160e-01	3.428e-02
BTK	-1.336e-01	1.467e-02
BUB1B	-9.325e-02	8.933e-02
C11orf65	6.062e-02	2.700e-01
C3orf70	-1.615e-01	3.131e-03
C8orf34	1.697e-02	7.577e-01
CADM2	-4.903e-02	3.724e-01
CALR	7.658e-02	1.632e-01
CARD11	6.234e-02	2.566e-01
CASP8	8.105e-02	1.400e-01
CASR	7.073e-02	1.979e-01
CBFB	4.965e-02	3.664e-01
CBL	-6.314e-02	2.506e-01
CBLB	7.019e-02	2.014e-01
CBLC	1.381e-01	1.164e-02
CBR3	1.337e-01	1.462e-02
CCDC6	-1.157e-01	3.487e-02
CCND1	-1.082e-02	8.441e-01
CCND2	-1.624e-01	2.951e-03
CCND3	-5.941e-02	2.797e-01
CCNE1	-2.246e-01	3.538e-05
CCNE2	-8.846e-02	1.071e-01
CD19	6.511e-02	2.361e-01
CD22	-1.331e-01	1.509e-02
CD274	9.415e-02	8.628e-02
CD276	6.020e-02	2.733e-01
CD40	1.188e-01	3.018e-02
CD70	-4.404e-02	4.231e-01
CD79A	5.252e-02	3.394e-01
CD79B	3.830e-02	4.861e-01
CDC25A	1.009e-01	6.580e-02
CDC73	1.960e-01	3.213e-04
CDH1	-2.131e-01	8.857e-05
CDH2	-4.560e-03	9.339e-01
CDK12	1.464e-01	7.436e-03
CDK4	3.406e-02	5.357e-01
CDK5	6.685e-02	2.237e-01
CDK6	-1.708e-02	7.561e-01
CDK8	1.321e-01	1.583e-02
CDKN1A	-3.122e-02	5.703e-01
CDKN1B	-1.115e-01	4.200e-02
CDKN1C	-1.381e-01	1.166e-02
CDKN2A	-3.215e-01	1.924e-09
CDKN2B	3.315e-01	5.527e-10
CDKN2C	1.425e-02	7.955e-01
CEBPA	1.406e-01	1.018e-02
CEP57	-5.012e-02	3.619e-01
CFTR	-8.274e-03	8.804e-01
CHD2	-1.772e-01	1.165e-03
CHD4	7.995e-02	1.455e-01
CHEK1	1.591e-01	3.601e-03
CHEK2	-9.244e-02	9.215e-02
CIC	-9.439e-02	8.548e-02
CIITA	8.324e-02	1.296e-01
CKS1B	2.097e-01	1.157e-04
CREBBP	-6.986e-02	2.035e-01
CRKL	-1.867e-01	6.184e-04
CRLF2	8.000e-02	1.452e-01
CSF1R	-3.881e-02	4.804e-01
CSF3R	-3.294e-02	5.491e-01
CTC1	6.976e-02	2.041e-01
CTCF	5.703e-02	2.995e-01
CTLA4	-1.371e-01	1.229e-02
CTNNA1	-1.742e-01	1.419e-03
CTNNB1	5.519e-02	3.154e-01
CTRC	-9.723e-02	7.644e-02
CUL3	6.583e-02	2.309e-01
CUX1	2.814e-02	6.089e-01
CXCR4	1.831e-02	7.393e-01
CYLD	9.764e-02	7.519e-02
CYP1B1	1.019e-01	6.320e-02
CYP2D6	-1.085e-02	8.437e-01
CYP3A5	-5.922e-02	2.813e-01
DAXX	1.032e-02	8.511e-01
DDB2	-1.339e-01	1.447e-02
DDR2	-1.867e-01	6.159e-04
DDX3X	9.098e-02	9.742e-02
DICER1	9.303e-02	9.009e-02
DIS3	-1.744e-01	1.401e-03
DIS3L2	-6.378e-02	2.457e-01
DKC1	-1.468e-01	7.295e-03
DMD	2.065e-02	7.074e-01
DNM2	-3.633e-02	5.088e-01
DNMT1	-1.184e-01	3.078e-02
DNMT3A	-2.062e-01	1.514e-04
DNMT3B	-9.960e-02	6.950e-02
DOT1L	-5.045e-02	3.587e-01
DPYD	1.683e-02	7.597e-01
DYNC2H1	-3.953e-02	4.722e-01
E2F1	5.134e-02	3.503e-01
E2F2	1.206e-02	8.265e-01
E2F3	1.526e-01	5.259e-03
E2F4	2.990e-02	5.866e-01
E2F5	1.570e-02	7.753e-01
E2F6	-1.270e-01	2.045e-02
EBF1	-2.860e-03	9.585e-01
ECT2L	-1.799e-02	7.437e-01
EED	5.687e-03	9.177e-01
EGF	2.235e-03	9.676e-01
EGFL7	-7.174e-02	1.916e-01
EGFR	-1.608e-01	3.254e-03
EGLN1	-1.175e-01	3.208e-02
ELF3	-1.622e-01	2.994e-03
ELOC	-4.416e-03	9.360e-01
EMSY	9.816e-02	7.364e-02
ENG	5.473e-02	3.194e-01
EP300	-6.331e-03	9.084e-01
EPCAM	9.886e-02	7.161e-02
EPHA2	-3.581e-02	5.149e-01
EPHA3	3.253e-02	5.541e-01
EPHA5	1.452e-01	7.964e-03
EPHA7	4.349e-02	4.290e-01
EPHB1	1.018e-01	6.353e-02
EPHB2	-4.053e-02	4.610e-01
EPOR	-7.184e-02	1.910e-01
ERBB2	-3.304e-02	5.480e-01
ERBB3	-4.393e-03	9.363e-01
ERBB4	-1.694e-01	1.923e-03
ERCC1	1.222e-01	2.574e-02
ERCC2	-8.336e-02	1.290e-01
ERCC3	-2.018e-02	7.137e-01
ERCC4	-2.090e-04	9.970e-01
ERCC5	1.010e-01	6.560e-02
ERCC6	4.594e-02	4.034e-01
ERG	-1.340e-01	1.439e-02
ERRFI1	-3.911e-02	4.769e-01
ESR1	1.549e-02	7.782e-01
ESR2	-2.006e-01	2.288e-04
ETS1	-1.473e-01	7.079e-03
ETS2	6.790e-02	2.165e-01
ETV1	5.873e-02	2.852e-01
ETV4	1.032e-01	5.986e-02
ETV5	-1.415e-01	9.708e-03
ETV6	-1.631e-01	2.836e-03
EWSR1	-1.325e-01	1.556e-02
EXT2	-2.678e-02	6.263e-01
EZH2	-4.386e-02	4.250e-01
FAM46C	-2.654e-02	6.294e-01
FANCA	3.565e-02	5.168e-01
FANCB	2.397e-02	6.629e-01
FANCC	5.882e-02	2.845e-01
FANCD2	5.173e-02	3.467e-01
FANCE	-2.514e-01	3.390e-06
FANCF	-1.292e-02	8.143e-01
FANCG	-4.930e-02	3.698e-01
FANCI	-1.902e-02	7.295e-01
FANCL	-7.399e-02	1.780e-01
FANCM	2.707e-02	6.226e-01
FAS	3.085e-02	5.748e-01
FAT1	-3.088e-02	5.745e-01
FBXO11	-2.373e-02	6.662e-01
FBXW7	-5.698e-02	2.999e-01
FCGR2A	1.024e-01	6.207e-02
FCGR3A	-1.380e-01	1.170e-02
FDPS	3.230e-02	5.570e-01
FGF1	-1.577e-01	3.909e-03
FGF10	2.371e-01	1.227e-05
FGF14	2.219e-01	4.388e-05
FGF19	-3.927e-02	4.751e-01
FGF2	7.158e-02	1.926e-01
FGF23	-1.762e-01	1.246e-03
FGF3	4.528e-02	4.101e-01
FGF4	-9.213e-04	9.866e-01
FGF5	8.664e-02	1.146e-01
FGF6	-1.673e-01	2.185e-03
FGF7	2.626e-02	6.330e-01
FGF8	-3.900e-02	4.782e-01
FGF9	-7.208e-02	1.895e-01
FGFR1	-5.625e-03	9.186e-01
FGFR2	1.711e-02	7.558e-01
FGFR3	-1.073e-01	5.043e-02
FGFR4	-9.356e-03	8.649e-01
FH	-1.071e-01	5.080e-02
FHIT	-1.825e-01	8.215e-04
FLCN	-5.705e-02	2.993e-01
FLG	-2.215e-01	4.557e-05
FLT1	1.194e-02	8.282e-01
FLT3	-3.259e-02	5.534e-01
FLT4	-6.857e-02	2.120e-01
FNTB	-6.474e-02	2.387e-01
FOXA1	1.694e-01	1.927e-03
FOXL2	-1.176e-01	3.189e-02
FOXO1	-1.084e-01	4.809e-02
FOXO3	-1.705e-01	1.795e-03
FOXP1	-2.212e-02	6.876e-01
FOXQ1	-4.530e-02	4.099e-01
FRS2	-3.231e-02	5.569e-01
FUBP1	9.754e-02	7.550e-02
FUS	-1.023e-01	6.212e-02
FYN	-5.596e-02	3.086e-01
G6PD	-1.096e-01	4.563e-02
GABRA6	-1.790e-01	1.035e-03
GALNT12	-7.797e-02	1.557e-01
GATA1	-9.540e-02	8.217e-02
GATA2	1.212e-02	8.256e-01
GATA3	2.278e-02	6.787e-01
GATA4	9.370e-02	8.779e-02
GATA6	1.503e-01	5.999e-03
GEN1	1.953e-01	3.377e-04
GID4	5.917e-02	2.816e-01
GLI1	-1.081e-01	4.876e-02
GLI2	3.324e-03	9.518e-01
GLI3	-1.651e-01	2.509e-03
GNA11	3.093e-02	5.739e-01
GNA13	7.171e-02	1.917e-01
GNAQ	-1.727e-02	7.535e-01
GNAS	-1.122e-01	4.081e-02
GPC3	-1.188e-01	3.021e-02
GPER1	1.037e-01	5.878e-02
GPS2	8.064e-02	1.420e-01
GREM1	3.423e-02	5.337e-01
GRIN2A	-5.424e-03	9.214e-01
GRM3	-2.779e-02	6.134e-01
GSK3B	3.886e-02	4.797e-01
GSTP1	8.771e-02	1.101e-01
H3F3A	-2.918e-02	5.957e-01
H3F3C	-9.987e-02	6.874e-02
HAS3	7.847e-02	1.531e-01
HAVCR2	3.063e-02	5.775e-01
HDAC1	-5.343e-02	3.310e-01
HDAC2	-5.639e-02	3.049e-01
HDAC3	-1.224e-01	2.556e-02
HDAC4	-8.112e-02	1.396e-01
HDAC5	-2.224e-02	6.859e-01
HGF	5.316e-02	3.335e-01
HIF1A	8.374e-03	8.790e-01
HIST1H1C	1.115e-01	4.209e-02
HIST1H1E	-4.210e-02	4.439e-01
HIST1H2BD	-4.488e-03	9.350e-01
HIST1H3F	-7.685e-02	1.617e-01
HIST1H4E	9.128e-02	9.634e-02
HIST3H3	-1.808e-02	7.423e-01
HLA-A	1.738e-01	1.451e-03
HLA-B	-1.076e-01	4.987e-02
HLA-C	1.278e-01	1.967e-02
HLA-DMA	1.544e-01	4.737e-03
HLA-DMB	-1.419e-01	9.497e-03
HLA-DOA	-1.225e-01	2.538e-02
HLA-DOB	1.225e-01	2.538e-02
HLA-DPA1	6.229e-02	2.570e-01
HLA-DPB1	1.843e-01	7.281e-04
HLA-DQA1	1.451e-01	8.022e-03
HLA-DQA2	3.869e-02	4.817e-01
HLA-DQB1	-1.763e-01	1.239e-03
HLA-DQB2	1.798e-01	9.806e-04
HLA-DRA	2.914e-01	6.124e-08
HLA-DRB1	-1.420e-01	9.460e-03
HLA-DRB5	-1.775e-01	1.143e-03
HLA-E	-1.452e-01	7.976e-03
HLA-F	-2.662e-01	8.273e-07
HLA-G	1.749e-01	1.357e-03
HNF1A	-8.117e-02	1.394e-01
HNF1B	-1.235e-01	2.424e-02
HOXB13	1.221e-01	2.587e-02
HRAS	2.579e-01	1.839e-06
HSD3B1	-1.455e-01	7.828e-03
HSP90AA1	-1.690e-02	7.586e-01
HSPH1	1.874e-02	7.333e-01
IDH1	-7.025e-02	2.010e-01
IDH2	-1.451e-02	7.920e-01
IDO1	8.491e-02	1.220e-01
IFIT1	1.285e-01	1.900e-02
IFIT2	3.924e-02	4.755e-01
IFIT3	-6.296e-03	9.089e-01
IFNAR1	5.395e-02	3.263e-01
IFNAR2	-8.977e-02	1.020e-01
IFNGR1	3.738e-02	4.966e-01
IFNGR2	9.892e-02	7.143e-02
IFNL3	-1.622e-01	2.999e-03
IGF1	-6.957e-02	2.054e-01
IGF1R	-9.171e-02	9.476e-02
IGF2	-6.846e-02	2.127e-01
IKBKE	2.278e-01	2.714e-05
IKZF1	2.105e-01	1.090e-04
IKZF3	7.954e-02	1.475e-01
IL10RA	-1.381e-01	1.166e-02
IL15	nan	nan
IL2RA	9.869e-02	7.208e-02
IL6R	-2.462e-01	5.471e-06
IL7R	2.324e-01	1.836e-05
ING1	1.849e-01	6.960e-04
INHBA	-1.196e-01	2.905e-02
INPP4A	-1.837e-02	7.383e-01
INPP4B	-1.281e-01	1.933e-02
INPPL1	7.904e-03	8.857e-01
INSR	-7.773e-02	1.570e-01
IRF1	1.138e-01	3.793e-02
IRF2	1.057e-02	8.475e-01
IRF4	-1.132e-01	3.900e-02
IRS1	-1.432e-01	8.897e-03
IRS2	2.369e-01	1.249e-05
ITPKB	-2.170e-02	6.931e-01
JAK1	-4.016e-02	4.651e-01
JAK2	-2.340e-02	6.705e-01
JAK3	7.277e-02	1.853e-01
JUN	1.578e-01	3.901e-03
KAT6A	-1.800e-02	7.435e-01
KDM5A	6.846e-02	2.128e-01
KDM5C	-9.118e-02	9.671e-02
KDM6A	8.502e-02	1.215e-01
KDM6B	-4.767e-02	3.859e-01
KDR	-9.132e-02	9.620e-02
KEAP1	-5.353e-02	3.301e-01
KEL	6.006e-02	2.745e-01
KIF1B	1.684e-01	2.040e-03
KIT	-3.985e-02	4.686e-01
KLF4	4.503e-02	4.127e-01
KLHL6	7.821e-02	1.545e-01
KLLN	8.936e-02	1.036e-01
KMT2A	7.044e-02	1.998e-01
KMT2B	-1.786e-01	1.066e-03
KMT2C	-6.191e-04	9.910e-01
KMT2D	2.333e-02	6.714e-01
KRAS	-1.290e-01	1.849e-02
LAG3	-1.452e-01	7.942e-03
LATS1	-7.647e-02	1.638e-01
LATS2	-3.750e-02	4.953e-01
LDLR	4.648e-02	3.979e-01
LEF1	4.932e-02	3.696e-01
LMNA	9.982e-02	6.889e-02
LMO1	-5.678e-02	3.016e-01
LRP1B	1.698e-01	1.876e-03
LYN	5.696e-02	3.001e-01
LZTR1	1.785e-01	1.073e-03
