Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.26500e-01	7.10900e-56	7.48800e-01	4.34100e-61	9.70200e-01	unspecified
1	5.77400e-01	5.30300e-31	2.75400e-01	3.30000e-07	2.09700e+00	unspecified
2	3.60900e-01	1.11600e-11	4.02800e-01	2.01100e-14	8.95800e-01	unspecified
3	7.28100e-01	3.14700e-56	7.22200e-01	6.07300e-55	1.00800e+00	unspecified
4	5.98000e-01	1.14200e-33	6.19200e-01	1.24400e-36	9.65700e-01	unspecified
5	5.20900e-01	1.46600e-24	5.24400e-01	6.35200e-25	9.93400e-01	unspecified
10	1.37000e-01	1.23400e-02	1.45200e-02	7.91800e-01	9.43300e+00	unspecified
14	6.36000e-01	3.75500e-39	6.30600e-01	2.50300e-38	1.00900e+00	unspecified
15	4.71600e-01	7.60100e-20	4.39200e-01	3.88600e-17	1.07400e+00	unspecified
16	4.64100e-01	3.42700e-19	4.38000e-01	4.86400e-17	1.06000e+00	unspecified
17	1.65000e-01	2.53200e-03	1.96300e-01	3.13600e-04	8.40300e-01	unspecified
18	1.96300e-01	3.13600e-04	1.02500e-01	6.16800e-02	1.91500e+00	unspecified
23	6.69200e-01	1.34900e-44	6.86800e-01	8.67600e-48	9.74300e-01	unspecified
25	5.93400e-01	4.60600e-33	6.33800e-01	8.16500e-39	9.36300e-01	unspecified
26	9.56000e-02	8.15000e-02	9.93900e-02	7.00900e-02	9.61900e-01	unspecified
27	1.46900e-01	7.23300e-03	1.61000e-01	3.22000e-03	9.12800e-01	unspecified
30	1.74700e-01	1.37000e-03	-4.37500e-02	4.26100e-01	-3.99300e+00	unspecified
31	1.42600e-01	9.14700e-03	1.21400e-01	2.67800e-02	1.17500e+00	unspecified
34	2.43500e-01	6.99600e-06	3.62300e-01	9.10500e-12	6.71900e-01	unspecified
38	1.61800e-01	3.06300e-03	1.42900e-01	9.00100e-03	1.13200e+00	unspecified
39	1.72700e-01	1.55800e-03	2.14600e-01	7.90500e-05	8.04800e-01	unspecified
40	1.81200e-01	8.92100e-04	1.39200e-01	1.09700e-02	1.30200e+00	unspecified
41	3.49400e-02	5.25100e-01	-6.63100e-02	2.27500e-01	-5.27000e-01	unspecified
49	1.56100e-01	4.29000e-03	1.82600e-01	8.12000e-04	8.54800e-01	unspecified
54	1.84500e-01	7.15300e-04	9.05000e-02	9.92200e-02	2.03900e+00	unspecified
57	2.40800e-01	8.85000e-06	8.61600e-02	1.16600e-01	2.79500e+00	unspecified
61	1.25100e-01	2.24000e-02	4.39700e-02	4.23800e-01	2.84500e+00	unspecified
63	6.26300e-01	1.13300e-37	6.28400e-01	5.53300e-38	9.96700e-01	unspecified
64	6.22600e-01	3.91600e-37	4.39200e-01	3.88600e-17	1.41800e+00	unspecified
65	3.38100e-01	2.38600e-10	1.98300e-01	2.70900e-04	1.70500e+00	unspecified
67	6.03600e-01	1.99100e-34	1.32400e-01	1.56400e-02	4.55900e+00	unspecified
69	6.52400e-01	9.44900e-42	3.62600e-01	8.78000e-12	1.79900e+00	unspecified
71	6.30700e-01	2.46900e-38	4.54400e-01	2.27800e-18	1.38800e+00	unspecified
72	3.72000e-01	2.28000e-12	3.38100e-01	2.38600e-10	1.10000e+00	unspecified
74	1.51700e-01	5.53100e-03	1.58400e-01	3.76300e-03	9.58000e-01	unspecified
76	1.81600e-01	8.69900e-04	3.77400e-01	1.02600e-12	4.81200e-01	unspecified
77	5.58100e-01	1.17500e-28	2.28400e-01	2.57700e-05	2.44300e+00	unspecified
78	6.57400e-02	2.31500e-01	-1.14000e-02	8.35800e-01	-5.76500e+00	unspecified
79	2.65800e-01	8.61500e-07	2.16600e-01	6.76100e-05	1.22700e+00	unspecified
87	4.11100e-01	5.19300e-15	3.98600e-01	3.97600e-14	1.03100e+00	unspecified
88	-1.18400e-02	8.29600e-01	1.41900e-01	9.52000e-03	-8.34100e-02	unspecified
89	3.08100e-01	9.36900e-09	1.22100e-01	2.58600e-02	2.52300e+00	unspecified
90	3.64000e-01	7.22500e-12	3.23500e-01	1.50200e-09	1.12500e+00	unspecified
98	2.67400e-01	7.36500e-07	1.97800e-01	2.80300e-04	1.35100e+00	unspecified
99	1.18500e-01	3.05900e-02	1.21300e-01	2.68600e-02	9.77000e-01	unspecified
100	1.83400e-01	7.70800e-04	1.21300e-01	2.68600e-02	1.51200e+00	unspecified
108	7.14000e-02	1.93700e-01	2.39500e-03	9.65300e-01	2.98100e+01	unspecified
109	2.21300e-01	4.63400e-05	1.22100e-01	2.58600e-02	1.81200e+00	unspecified
110	-1.33300e-01	1.48900e-02	-1.43700e-01	8.65900e-03	9.28200e-01	unspecified
113	1.41900e-01	9.52000e-03	1.04200e-01	5.74100e-02	1.36100e+00	unspecified
115	3.62300e-01	9.10500e-12	1.92200e-01	4.18900e-04	1.88500e+00	unspecified
118	3.23500e-01	1.50200e-09	3.33200e-01	4.49000e-10	9.70900e-01	unspecified
120	-7.76500e-02	1.57400e-01	-2.96700e-02	5.89500e-01	2.61700e+00	unspecified
124	1.22100e-01	2.58600e-02	1.09800e-01	4.52800e-02	1.11200e+00	unspecified
127	1.42900e-01	9.00100e-03	2.45200e-01	5.98400e-06	5.82900e-01	unspecified
