Gene	Rho	P_val
ABCB1	-1.847e-01	7.065e-04
ABCC3	-9.361e-02	8.809e-02
ABL1	2.048e-01	1.677e-04
ABL2	1.290e-01	1.856e-02
ACTA2	2.648e-02	6.302e-01
ACVR1B	1.441e-02	7.933e-01
ADGRA2	-1.341e-01	1.431e-02
AJUBA	1.872e-02	7.336e-01
AKT1	-1.539e-01	4.896e-03
AKT2	-2.716e-02	6.214e-01
AKT3	5.769e-02	2.939e-01
ALK	2.279e-02	6.786e-01
ALOX12B	2.100e-01	1.134e-04
AMER1	-1.838e-01	7.489e-04
ANKRD11	-1.382e-01	1.156e-02
APC	-1.035e-02	8.508e-01
APOB	2.200e-01	5.143e-05
AR	2.526e-01	3.033e-06
ARAF	2.873e-02	6.014e-01
ARFRP1	-9.936e-02	7.018e-02
ARHGAP26	6.771e-02	2.178e-01
ARHGAP35	-4.845e-02	3.781e-01
ARID1A	3.616e-02	5.108e-01
ARID1B	-3.556e-02	5.179e-01
ARID2	-1.150e-01	3.602e-02
ARID5B	5.633e-02	3.054e-01
ASNS	1.052e-01	5.504e-02
ASXL1	-8.108e-03	8.828e-01
ASXL2	-2.953e-02	5.913e-01
ATIC	-2.949e-02	5.918e-01
ATM	-7.561e-02	1.687e-01
ATP7B	-6.557e-02	2.327e-01
ATR	2.120e-01	9.683e-05
ATRX	-2.285e-01	2.563e-05
AURKA	-1.374e-01	1.208e-02
AURKB	-8.974e-02	1.021e-01
AXIN1	2.648e-02	6.301e-01
AXIN2	-9.377e-02	8.754e-02
AXL	-1.733e-01	1.500e-03
B2M	9.934e-02	7.023e-02
BAP1	-1.365e-01	1.266e-02
BARD1	1.472e-02	7.890e-01
BCAR1	-2.142e-02	6.969e-01
BCL10	-2.651e-02	6.298e-01
BCL11B	-1.143e-01	3.706e-02
BCL2	-7.763e-02	1.576e-01
BCL2L1	-1.527e-01	5.225e-03
BCL2L11	9.746e-02	7.573e-02
BCL2L12	8.494e-02	1.219e-01
BCL2L2	-1.089e-01	4.705e-02
BCL6	2.499e-02	6.496e-01
BCL7A	6.314e-02	2.506e-01
BCLAF1	1.719e-01	1.637e-03
BCOR	8.844e-03	8.723e-01
BCORL1	2.986e-02	5.872e-01
BCR	-1.014e-01	6.453e-02
BIRC3	-1.653e-01	2.484e-03
BLM	-1.161e-02	8.328e-01
BMPR1A	-9.211e-02	9.332e-02
BRAF	-5.356e-02	3.299e-01
BRCA1	1.758e-01	1.273e-03
BRCA2	-1.243e-01	2.329e-02
BRD4	-2.827e-02	6.072e-01
BRIP1	5.850e-02	2.871e-01
BTG1	6.833e-02	2.136e-01
BTK	-6.054e-02	2.706e-01
BUB1B	-2.091e-01	1.214e-04
C11orf65	1.904e-02	7.293e-01
C3orf70	-1.198e-01	2.889e-02
C8orf34	-4.702e-03	9.319e-01
CADM2	-1.125e-01	4.018e-02
CALR	4.942e-02	3.686e-01
CARD11	1.454e-01	7.887e-03
CASP8	1.900e-01	4.899e-04
CASR	2.005e-01	2.313e-04
CBFB	4.889e-02	3.739e-01
CBL	-8.381e-02	1.269e-01
CBLB	3.022e-02	5.826e-01
CBLC	1.326e-01	1.548e-02
CBR3	-4.116e-03	9.404e-01
CCDC6	-1.017e-01	6.377e-02
CCND1	-1.774e-02	7.471e-01
CCND2	-1.332e-01	1.499e-02
CCND3	-8.428e-02	1.248e-01
CCNE1	-1.629e-01	2.872e-03
CCNE2	-6.871e-02	2.111e-01
CD19	1.324e-01	1.565e-02
CD22	-1.639e-01	2.700e-03
CD274	5.690e-02	3.006e-01
CD276	5.771e-02	2.937e-01
CD40	3.558e-02	5.176e-01
CD70	1.321e-01	1.587e-02
CD79A	-9.683e-02	7.766e-02
CD79B	-3.832e-02	4.859e-01
CDC25A	-9.242e-03	8.666e-01
CDC73	1.279e-01	1.955e-02
CDH1	-1.992e-01	2.533e-04
CDH2	-7.106e-02	1.958e-01
CDK12	2.676e-02	6.265e-01
CDK4	-3.744e-02	4.960e-01
CDK5	-6.398e-02	2.443e-01
CDK6	1.560e-02	7.766e-01
CDK8	8.836e-02	1.075e-01
CDKN1A	-5.837e-02	2.882e-01
CDKN1B	-1.012e-01	6.500e-02
CDKN1C	-1.455e-01	7.826e-03
CDKN2A	-3.388e-01	2.175e-10
CDKN2B	3.452e-01	9.480e-11
CDKN2C	9.504e-02	8.332e-02
CEBPA	2.895e-02	5.986e-01
CEP57	-1.276e-01	1.987e-02
CFTR	-1.242e-01	2.339e-02
CHD2	-5.773e-02	2.936e-01
CHD4	1.900e-01	4.921e-04
CHEK1	1.543e-01	4.781e-03
CHEK2	-4.232e-02	4.415e-01
CIC	1.373e-02	8.028e-01
CIITA	-2.776e-02	6.138e-01
CKS1B	6.127e-02	2.649e-01
