Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.51200e-01	1.14500e-61	7.68700e-01	3.32600e-66	9.77200e-01	unspecified
1	5.75000e-01	1.05600e-30	3.79100e-01	8.05200e-13	1.51700e+00	unspecified
2	2.17800e-01	6.12900e-05	1.88400e-01	5.48800e-04	1.15600e+00	unspecified
3	7.23800e-01	2.80500e-55	7.12100e-01	8.56400e-53	1.01600e+00	unspecified
4	6.22700e-01	3.78500e-37	6.23100e-01	3.37800e-37	9.99500e-01	unspecified
5	4.85400e-01	4.34500e-21	4.68400e-01	1.45300e-19	1.03600e+00	unspecified
10	1.00800e-01	6.63100e-02	1.17100e-01	3.27200e-02	8.60600e-01	unspecified
14	5.79700e-01	2.71500e-31	5.82200e-01	1.32600e-31	9.95800e-01	unspecified
15	4.29500e-01	2.23700e-16	4.12000e-01	4.50500e-15	1.04200e+00	unspecified
16	4.60500e-01	6.97500e-19	4.41900e-01	2.36300e-17	1.04200e+00	unspecified
17	1.69900e-01	1.86200e-03	1.50400e-01	5.95400e-03	1.12900e+00	unspecified
18	1.50400e-01	5.95400e-03	1.11900e-01	4.13100e-02	1.34400e+00	unspecified
23	6.74100e-01	1.79800e-45	6.74700e-01	1.42800e-45	9.99200e-01	unspecified
25	6.08200e-01	4.59000e-35	6.56000e-01	2.40500e-42	9.27100e-01	unspecified
26	1.82600e-01	8.12200e-04	1.21100e-03	9.82400e-01	1.50800e+02	unspecified
27	9.33600e-02	8.89600e-02	1.29700e-01	1.79200e-02	7.20000e-01	unspecified
30	5.40600e-02	3.25400e-01	-7.78400e-03	8.87500e-01	-6.94500e+00	unspecified
31	6.96400e-02	2.04900e-01	3.72400e-02	4.98300e-01	1.87000e+00	unspecified
34	2.17600e-01	6.23200e-05	1.38900e-01	1.11900e-02	1.56700e+00	unspecified
38	1.47500e-01	7.01100e-03	1.73900e-01	1.44500e-03	8.48300e-01	unspecified
39	2.07300e-01	1.39300e-04	1.35100e-01	1.36400e-02	1.53500e+00	unspecified
40	2.77100e-01	2.77600e-07	2.45100e-01	6.02000e-06	1.13000e+00	unspecified
41	1.81200e-02	7.41800e-01	1.22600e-01	2.52400e-02	1.47800e-01	unspecified
49	-8.61600e-02	1.16600e-01	-1.54800e-02	7.78400e-01	5.56600e+00	unspecified
54	1.78300e-01	1.08200e-03	1.90100e-01	4.86900e-04	9.38100e-01	unspecified
57	1.13100e-01	3.91800e-02	-2.67100e-02	6.27200e-01	-4.23400e+00	unspecified
61	1.71500e-01	1.68700e-03	7.11700e-02	1.95200e-01	2.40900e+00	unspecified
63	5.98800e-01	8.74400e-34	6.04500e-01	1.46100e-34	9.90600e-01	unspecified
64	5.73400e-01	1.68700e-30	4.12000e-01	4.50500e-15	1.39200e+00	unspecified
65	3.11700e-01	6.18200e-09	2.61600e-01	1.29100e-06	1.19100e+00	unspecified
67	5.82100e-01	1.36500e-31	2.14600e-01	7.91800e-05	2.71300e+00	unspecified
69	5.78900e-01	3.48900e-31	3.23500e-01	1.50500e-09	1.79000e+00	unspecified
71	6.28700e-01	4.97700e-38	5.04400e-01	6.87200e-23	1.24600e+00	unspecified
72	3.42000e-01	1.42900e-10	3.11700e-01	6.18200e-09	1.09700e+00	unspecified
74	1.15600e-01	3.49400e-02	1.11500e-01	4.20100e-02	1.03700e+00	unspecified
76	1.46900e-01	7.24500e-03	1.39700e-01	1.07100e-02	1.05200e+00	unspecified
77	4.88500e-01	2.25900e-21	2.30700e-01	2.12200e-05	2.11700e+00	unspecified
78	1.33700e-01	1.46400e-02	1.08200e-01	4.84500e-02	1.23500e+00	unspecified
79	1.87000e-01	6.03100e-04	1.30000e-01	1.76200e-02	1.43900e+00	unspecified
87	2.26600e-01	2.99400e-05	2.58700e-01	1.71900e-06	8.76100e-01	unspecified
88	-7.54500e-02	1.69600e-01	1.66500e-01	2.29800e-03	-4.53100e-01	unspecified
89	2.62200e-01	1.22000e-06	4.48000e-02	4.15200e-01	5.85300e+00	unspecified
90	2.04000e-01	1.77600e-04	1.17200e-01	3.25300e-02	1.74100e+00	unspecified
98	2.38400e-01	1.09500e-05	2.95300e-01	3.97200e-08	8.07200e-01	unspecified
99	2.95100e-01	4.09500e-08	-1.36400e-02	8.04200e-01	-2.16400e+01	unspecified
100	1.86300e-01	6.33100e-04	-1.36400e-02	8.04200e-01	-1.36600e+01	unspecified
108	4.24200e-02	4.40400e-01	1.76200e-02	7.48700e-01	2.40700e+00	unspecified
109	1.16600e-01	3.34000e-02	4.48000e-02	4.15200e-01	2.60300e+00	unspecified
110	-3.45800e-02	5.29500e-01	-6.21000e-02	2.58500e-01	5.56800e-01	unspecified
113	1.66500e-01	2.29800e-03	1.39400e-01	1.08900e-02	1.19500e+00	unspecified
115	1.38900e-01	1.11900e-02	1.50300e-01	5.99900e-03	9.24000e-01	unspecified
118	1.17200e-01	3.25300e-02	2.12900e-01	9.02900e-05	5.50500e-01	unspecified
120	1.43500e-02	7.94200e-01	1.59400e-02	7.71900e-01	8.99900e-01	unspecified
124	4.48000e-02	4.15200e-01	4.71500e-03	9.31700e-01	9.50000e+00	unspecified
127	1.73900e-01	1.44500e-03	2.63200e-01	1.11300e-06	6.60700e-01	unspecified
