Gene	Rho	P_val
ABCB1	-3.253e-02	5.541e-01
ABCC3	4.545e-02	4.085e-01
ABL1	7.487e-02	1.729e-01
ABL2	6.447e-02	2.407e-01
ACTA2	-1.196e-01	2.912e-02
ACVR1B	-1.419e-01	9.529e-03
ADGRA2	-3.794e-02	4.902e-01
AJUBA	-1.134e-01	3.853e-02
AKT1	-1.785e-01	1.072e-03
AKT2	6.521e-02	2.353e-01
AKT3	6.875e-02	2.108e-01
ALK	8.395e-02	1.263e-01
ALOX12B	6.557e-02	2.327e-01
AMER1	-1.619e-01	3.048e-03
ANKRD11	1.529e-02	7.810e-01
APC	-4.600e-02	4.028e-01
APOB	1.071e-01	5.084e-02
AR	1.475e-01	7.020e-03
ARAF	-3.311e-02	5.472e-01
ARFRP1	-1.939e-01	3.714e-04
ARHGAP26	1.185e-01	3.068e-02
ARHGAP35	2.666e-02	6.279e-01
ARID1A	-3.463e-02	5.289e-01
ARID1B	-2.149e-02	6.960e-01
ARID2	-4.357e-03	9.369e-01
ARID5B	3.823e-02	4.869e-01
ASNS	-8.297e-02	1.308e-01
ASXL1	1.252e-01	2.230e-02
ASXL2	-1.044e-01	5.700e-02
ATIC	3.876e-02	4.809e-01
ATM	7.023e-02	2.011e-01
ATP7B	-9.726e-03	8.596e-01
ATR	1.758e-01	1.277e-03
ATRX	-1.673e-01	2.195e-03
AURKA	-1.358e-01	1.313e-02
AURKB	-2.144e-01	7.993e-05
AXIN1	-1.696e-01	1.895e-03
AXIN2	-2.084e-01	1.282e-04
AXL	-9.835e-02	7.309e-02
B2M	9.512e-02	8.305e-02
BAP1	-3.454e-02	5.299e-01
BARD1	2.898e-02	5.982e-01
BCAR1	1.106e-03	9.840e-01
BCL10	-3.448e-02	5.306e-01
BCL11B	-2.542e-02	6.440e-01
BCL2	1.293e-02	8.142e-01
BCL2L1	-2.335e-01	1.672e-05
BCL2L11	6.755e-02	2.189e-01
BCL2L12	1.556e-01	4.418e-03
BCL2L2	-1.249e-01	2.262e-02
BCL6	3.496e-02	5.250e-01
BCL7A	8.711e-04	9.874e-01
BCLAF1	5.730e-02	2.972e-01
BCOR	2.546e-02	6.434e-01
BCORL1	-5.648e-02	3.041e-01
BCR	4.355e-03	9.369e-01
BIRC3	-1.582e-01	3.790e-03
BLM	6.581e-02	2.311e-01
BMPR1A	-2.375e-02	6.659e-01
BRAF	-5.484e-02	3.184e-01
BRCA1	1.907e-01	4.659e-04
BRCA2	-8.178e-02	1.364e-01
BRD4	-1.916e-01	4.382e-04
BRIP1	-1.668e-01	2.261e-03
BTG1	8.935e-02	1.036e-01
BTK	-2.529e-02	6.456e-01
BUB1B	-2.359e-01	1.361e-05
C11orf65	1.091e-02	8.428e-01
C3orf70	-1.814e-01	8.799e-04
C8orf34	5.502e-02	3.168e-01
CADM2	-3.121e-02	5.704e-01
CALR	1.737e-01	1.464e-03
CARD11	1.390e-01	1.110e-02
CASP8	1.587e-01	3.680e-03
CASR	1.570e-01	4.077e-03
CBFB	5.771e-02	2.937e-01
CBL	-9.765e-02	7.517e-02
CBLB	8.107e-02	1.399e-01
CBLC	2.853e-02	6.039e-01
CBR3	1.027e-01	6.115e-02
CCDC6	-3.282e-02	5.507e-01
CCND1	6.914e-02	2.082e-01
CCND2	-5.615e-02	3.069e-01
