Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.88300e-01	4.55600e-48	6.66200e-01	4.51000e-44	1.03300e+00	unspecified
1	5.42000e-01	7.96600e-27	2.57900e-01	1.85000e-06	2.10200e+00	unspecified
2	3.19100e-01	2.56800e-09	2.83700e-01	1.39900e-07	1.12500e+00	unspecified
3	6.31100e-01	2.15600e-38	6.07500e-01	5.72200e-35	1.03900e+00	unspecified
4	4.98900e-01	2.31600e-22	4.78600e-01	1.82000e-20	1.04200e+00	unspecified
5	4.15100e-01	2.66500e-15	4.27300e-01	3.29300e-16	9.71500e-01	unspecified
10	3.67400e-02	5.04000e-01	3.31400e-02	5.46700e-01	1.10800e+00	unspecified
14	4.73900e-01	4.83200e-20	5.02600e-01	1.02600e-22	9.42800e-01	unspecified
15	3.96000e-01	5.98100e-14	3.55400e-01	2.39600e-11	1.11400e+00	unspecified
16	2.53200e-01	2.86300e-06	2.45400e-01	5.89700e-06	1.03200e+00	unspecified
17	9.53300e-02	8.23800e-02	7.74400e-02	1.58600e-01	1.23100e+00	unspecified
18	7.74400e-02	1.58600e-01	-1.03800e-02	8.50200e-01	-7.45700e+00	unspecified
23	5.97200e-01	1.46500e-33	5.95400e-01	2.52500e-33	1.00300e+00	unspecified
25	5.01800e-01	1.20900e-22	5.57000e-01	1.59000e-28	9.01000e-01	unspecified
26	1.13700e-01	3.81600e-02	1.13000e-02	8.37200e-01	1.00600e+01	unspecified
27	8.31300e-03	8.79900e-01	8.54900e-02	1.19500e-01	9.72500e-02	unspecified
30	1.96900e-01	2.99500e-04	8.73500e-02	1.11600e-01	2.25500e+00	unspecified
31	2.09500e-01	1.17300e-04	1.39500e-01	1.08000e-02	1.50200e+00	unspecified
34	1.59400e-01	3.53600e-03	1.38500e-01	1.14000e-02	1.15100e+00	unspecified
38	1.93100e-01	3.93300e-04	1.54000e-01	4.86500e-03	1.25400e+00	unspecified
39	1.53300e-01	5.06600e-03	1.54100e-01	4.82600e-03	9.94500e-01	unspecified
40	1.18700e-01	3.03000e-02	9.93400e-02	7.02400e-02	1.19500e+00	unspecified
41	-4.45700e-02	4.17600e-01	7.78000e-02	1.56600e-01	-5.72900e-01	unspecified
49	1.50400e-01	5.97600e-03	-8.77000e-02	1.10200e-01	-1.71500e+00	unspecified
54	2.10900e-01	1.05300e-04	1.09600e-01	4.56100e-02	1.92400e+00	unspecified
57	1.83100e-01	7.87800e-04	9.56200e-02	8.14400e-02	1.91500e+00	unspecified
61	1.12500e-01	4.01100e-02	5.64900e-02	3.04000e-01	1.99200e+00	unspecified
63	5.94100e-01	3.72800e-33	5.78300e-01	4.10200e-31	1.02700e+00	unspecified
64	5.30400e-01	1.47800e-25	3.55400e-01	2.39600e-11	1.49300e+00	unspecified
65	2.68100e-01	6.87200e-07	1.92900e-01	4.00300e-04	1.39000e+00	unspecified
67	5.25800e-01	4.56200e-25	-4.33000e-02	4.30900e-01	-1.21400e+01	unspecified
69	5.08000e-01	3.02100e-23	2.91100e-01	6.28900e-08	1.74500e+00	unspecified
71	5.46000e-01	2.88000e-27	3.07500e-01	1.01000e-08	1.77600e+00	unspecified
72	2.82300e-01	1.61400e-07	2.68100e-01	6.87200e-07	1.05300e+00	unspecified
74	7.17200e-02	1.91700e-01	1.23200e-01	2.45300e-02	5.82100e-01	unspecified
76	1.82600e-01	8.16200e-04	1.17700e-01	3.17600e-02	1.55100e+00	unspecified
77	4.44900e-01	1.36700e-17	1.47700e-01	6.92400e-03	3.01200e+00	unspecified
78	1.22600e-01	2.53200e-02	1.11400e-01	4.21800e-02	1.10000e+00	unspecified
79	1.91200e-01	4.49900e-04	1.15100e-01	3.57500e-02	1.66100e+00	unspecified
87	2.87500e-01	9.26400e-08	2.91200e-01	6.22900e-08	9.87400e-01	unspecified
88	-3.07700e-02	5.75800e-01	9.60900e-02	7.99500e-02	-3.20300e-01	unspecified
89	2.59600e-01	1.57800e-06	7.75000e-02	1.58200e-01	3.34900e+00	unspecified
90	2.51400e-01	3.40100e-06	2.54200e-01	2.62600e-06	9.89100e-01	unspecified
98	2.37200e-01	1.21400e-05	2.01000e-01	2.23100e-04	1.18000e+00	unspecified
99	2.22000e-01	4.37100e-05	1.03600e-01	5.90800e-02	2.14400e+00	unspecified
100	1.95300e-01	3.37000e-04	1.03600e-01	5.90800e-02	1.88600e+00	unspecified
108	1.55000e-01	4.57200e-03	1.18500e-01	3.06000e-02	1.30800e+00	unspecified
109	1.94800e-01	3.48400e-04	7.75000e-02	1.58200e-01	2.51400e+00	unspecified
110	5.54300e-03	9.19700e-01	2.73100e-02	6.19500e-01	2.03000e-01	unspecified
113	9.60900e-02	7.99500e-02	1.01300e-01	6.49400e-02	9.48900e-01	unspecified
115	1.38500e-01	1.14000e-02	6.25200e-02	2.55200e-01	2.21500e+00	unspecified
118	2.54200e-01	2.62600e-06	2.52700e-01	3.00700e-06	1.00600e+00	unspecified
120	-2.55900e-02	6.41700e-01	-8.62600e-03	8.75400e-01	2.96600e+00	unspecified
124	7.75000e-02	1.58200e-01	6.82400e-02	2.14200e-01	1.13600e+00	unspecified
127	1.54000e-01	4.86500e-03	1.49300e-01	6.35100e-03	1.03100e+00	unspecified
