Gene	Rho	P_val
ABCB1	-1.440e-01	8.492e-03
ABCC3	-7.982e-02	1.461e-01
ABL1	4.929e-02	3.700e-01
ABL2	9.482e-02	8.403e-02
ACTA2	-1.081e-01	4.874e-02
ACVR1B	-4.525e-02	4.105e-01
ADGRA2	-2.259e-01	3.162e-05
AJUBA	-1.436e-01	8.694e-03
AKT1	-1.202e-01	2.828e-02
AKT2	-1.394e-01	1.085e-02
AKT3	2.401e-01	9.449e-06
ALK	3.228e-02	5.572e-01
ALOX12B	6.052e-02	2.708e-01
AMER1	-1.353e-01	1.344e-02
ANKRD11	-1.620e-02	7.684e-01
APC	-7.857e-03	8.864e-01
APOB	1.683e-01	2.056e-03
AR	2.483e-01	4.535e-06
ARAF	1.099e-01	4.514e-02
ARFRP1	-1.677e-01	2.135e-03
ARHGAP26	3.253e-02	5.541e-01
ARHGAP35	-3.033e-02	5.813e-01
ARID1A	-2.520e-02	6.468e-01
ARID1B	-1.200e-02	8.274e-01
ARID2	-8.839e-02	1.074e-01
ARID5B	4.409e-02	4.225e-01
ASNS	1.156e-02	8.335e-01
ASXL1	8.481e-02	1.225e-01
ASXL2	-8.057e-02	1.424e-01
ATIC	-7.984e-02	1.460e-01
ATM	-2.498e-02	6.497e-01
ATP7B	-5.270e-02	3.377e-01
ATR	1.475e-01	7.018e-03
ATRX	-2.257e-01	3.232e-05
AURKA	-1.744e-01	1.397e-03
AURKB	-1.350e-01	1.368e-02
AXIN1	2.782e-02	6.129e-01
AXIN2	2.152e-02	6.955e-01
AXL	-9.238e-02	9.238e-02
B2M	1.131e-01	3.921e-02
BAP1	4.862e-02	3.765e-01
BARD1	8.507e-02	1.213e-01
BCAR1	2.933e-02	5.938e-01
BCL10	-2.295e-02	6.764e-01
BCL11B	3.250e-02	5.545e-01
BCL2	6.730e-02	2.206e-01
BCL2L1	-1.425e-01	9.233e-03
BCL2L11	1.577e-01	3.919e-03
BCL2L12	3.991e-02	4.680e-01
BCL2L2	-6.795e-02	2.162e-01
BCL6	5.088e-02	3.547e-01
BCL7A	-2.371e-03	9.656e-01
BCLAF1	3.399e-02	5.365e-01
BCOR	-8.707e-02	1.128e-01
BCORL1	-2.064e-03	9.701e-01
BCR	-3.903e-02	4.778e-01
BIRC3	-1.715e-01	1.683e-03
BLM	4.952e-02	3.677e-01
BMPR1A	-1.182e-01	3.104e-02
BRAF	1.447e-02	7.925e-01
BRCA1	7.356e-02	1.805e-01
BRCA2	-5.099e-02	3.536e-01
