Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.51800e-01	8.18200e-62	7.75600e-01	4.10300e-68	9.69300e-01	unspecified
1	5.33700e-01	6.47700e-26	3.89900e-01	1.55500e-13	1.36900e+00	unspecified
2	3.04000e-01	1.49600e-08	3.36000e-01	3.11500e-10	9.04800e-01	unspecified
3	7.62100e-01	1.86500e-64	7.63700e-01	7.08300e-65	9.97900e-01	unspecified
4	6.28100e-01	6.10200e-38	6.12100e-01	1.28100e-35	1.02600e+00	unspecified
5	5.67300e-01	9.26000e-30	5.28700e-01	2.23300e-25	1.07300e+00	unspecified
10	1.49600e-01	6.22100e-03	7.94800e-02	1.47900e-01	1.88300e+00	unspecified
14	6.58300e-01	9.74300e-43	6.59000e-01	7.44900e-43	9.98900e-01	unspecified
15	5.92700e-01	5.84300e-33	5.44500e-01	4.25200e-27	1.08800e+00	unspecified
16	3.88700e-01	1.85800e-13	3.98900e-01	3.77100e-14	9.74500e-01	unspecified
17	2.67100e-01	7.61100e-07	2.31500e-01	1.97800e-05	1.15300e+00	unspecified
18	2.31500e-01	1.97800e-05	1.13000e-01	3.92900e-02	2.04900e+00	unspecified
23	7.33100e-01	2.34000e-57	7.41500e-01	2.54000e-59	9.88600e-01	unspecified
25	5.96600e-01	1.75500e-33	6.32500e-01	1.30800e-38	9.43200e-01	unspecified
26	2.31800e-02	6.73500e-01	3.25100e-02	5.54400e-01	7.13000e-01	unspecified
27	1.51300e-01	5.68000e-03	1.21000e-01	2.72200e-02	1.25000e+00	unspecified
30	2.00000e-01	2.39600e-04	-7.28900e-02	1.84600e-01	-2.74400e+00	unspecified
31	2.01300e-01	2.18400e-04	9.74400e-02	7.58000e-02	2.06600e+00	unspecified
34	1.88700e-01	5.37600e-04	3.95200e-01	6.81000e-14	4.77400e-01	unspecified
38	1.42400e-01	9.28100e-03	2.45500e-01	5.82500e-06	5.79900e-01	unspecified
39	2.11900e-01	9.76500e-05	1.74800e-01	1.36200e-03	1.21200e+00	unspecified
40	2.19600e-01	5.29200e-05	1.51600e-01	5.58100e-03	1.44900e+00	unspecified
41	2.36000e-02	6.67800e-01	1.08300e-01	4.83700e-02	2.18000e-01	unspecified
49	-8.49200e-02	1.21900e-01	-6.45800e-02	2.39900e-01	1.31500e+00	unspecified
54	1.83200e-01	7.82400e-04	8.92800e-02	1.03900e-01	2.05200e+00	unspecified
57	2.62300e-01	1.20900e-06	8.95900e-02	1.02700e-01	2.92800e+00	unspecified
61	1.60100e-01	3.40500e-03	5.38600e-02	3.27100e-01	2.97200e+00	unspecified
63	6.80700e-01	1.19500e-46	6.77100e-01	5.27300e-46	1.00500e+00	unspecified
64	6.60000e-01	5.03700e-43	5.44500e-01	4.25200e-27	1.21200e+00	unspecified
65	2.76900e-01	2.81300e-07	2.14400e-01	8.04500e-05	1.29200e+00	unspecified
67	5.98800e-01	8.74500e-34	5.94500e-02	2.79300e-01	1.00700e+01	unspecified
69	6.20100e-01	9.10400e-37	3.45600e-01	8.99300e-11	1.79500e+00	unspecified
71	6.82700e-01	4.97500e-47	4.43100e-01	1.90800e-17	1.54100e+00	unspecified
72	3.28900e-01	7.71900e-10	2.76900e-01	2.81300e-07	1.18700e+00	unspecified
74	7.44300e-02	1.75400e-01	1.89600e-01	5.05600e-04	3.92700e-01	unspecified
76	2.80100e-01	2.02400e-07	3.96600e-01	5.43100e-14	7.06300e-01	unspecified
77	5.03300e-01	8.66800e-23	2.27500e-01	2.78200e-05	2.21300e+00	unspecified
78	8.22000e-02	1.34400e-01	3.18700e-02	5.62200e-01	2.57900e+00	unspecified
79	2.91100e-01	6.32800e-08	1.48100e-01	6.78700e-03	1.96600e+00	unspecified
87	3.56000e-01	2.18700e-11	3.18700e-01	2.69100e-09	1.11700e+00	unspecified
88	6.00600e-02	2.74400e-01	1.48300e-01	6.71900e-03	4.05100e-01	unspecified
89	3.58700e-01	1.51500e-11	7.43100e-02	1.76100e-01	4.82700e+00	unspecified
90	2.22400e-01	4.23600e-05	2.60800e-01	1.40100e-06	8.52700e-01	unspecified
98	1.96000e-01	3.19300e-04	2.23500e-01	3.85600e-05	8.77000e-01	unspecified
99	2.37100e-01	1.22500e-05	1.43900e-01	8.53900e-03	1.64800e+00	unspecified
100	1.97200e-01	2.93300e-04	1.43900e-01	8.53900e-03	1.37000e+00	unspecified
108	7.24800e-03	8.95200e-01	1.72000e-02	7.54500e-01	4.21300e-01	unspecified
109	1.97000e-01	2.97400e-04	7.43100e-02	1.76100e-01	2.65200e+00	unspecified
110	-1.00300e-01	6.74700e-02	-1.03900e-01	5.83100e-02	9.65900e-01	unspecified
113	1.48300e-01	6.71900e-03	1.28200e-01	1.92800e-02	1.15700e+00	unspecified
115	3.95200e-01	6.81000e-14	2.71400e-01	4.94000e-07	1.45600e+00	unspecified
118	2.60800e-01	1.40100e-06	2.52600e-01	3.04300e-06	1.03200e+00	unspecified
120	-6.57800e-02	2.31200e-01	-2.58700e-02	6.38000e-01	2.54300e+00	unspecified
124	7.43100e-02	1.76100e-01	6.51900e-02	2.35500e-01	1.14000e+00	unspecified
127	2.45500e-01	5.82500e-06	3.23200e-01	1.55100e-09	7.59500e-01	unspecified
