Gene	Rho	P_val
ABCB1	-6.692e-02	2.232e-01
ABCC3	-2.905e-02	5.973e-01
ABL1	1.239e-01	2.379e-02
ABL2	9.580e-02	8.087e-02
ACTA2	6.559e-02	2.326e-01
ACVR1B	-5.703e-02	2.995e-01
ADGRA2	-1.230e-01	2.477e-02
AJUBA	-9.587e-02	8.065e-02
AKT1	-1.914e-01	4.457e-04
AKT2	-1.515e-01	5.613e-03
AKT3	1.094e-01	4.609e-02
ALK	7.669e-02	1.626e-01
ALOX12B	1.135e-01	3.848e-02
AMER1	-1.544e-01	4.748e-03
ANKRD11	-7.083e-02	1.973e-01
APC	3.983e-03	9.423e-01
APOB	1.898e-01	4.987e-04
AR	1.438e-01	8.594e-03
ARAF	-2.002e-02	7.159e-01
ARFRP1	-1.604e-01	3.338e-03
ARHGAP26	-9.184e-03	8.674e-01
ARHGAP35	-5.401e-02	3.258e-01
ARID1A	-4.963e-02	3.666e-01
ARID1B	-1.681e-02	7.599e-01
ARID2	-7.475e-02	1.736e-01
ARID5B	2.262e-02	6.809e-01
ASNS	1.375e-01	1.202e-02
ASXL1	8.889e-02	1.054e-01
ASXL2	-1.729e-01	1.542e-03
ATIC	-7.718e-03	8.884e-01
ATM	2.189e-03	9.683e-01
ATP7B	-3.380e-02	5.388e-01
ATR	1.475e-01	7.019e-03
ATRX	-1.536e-01	4.974e-03
AURKA	-1.251e-01	2.242e-02
AURKB	-1.799e-01	9.760e-04
AXIN1	-7.124e-02	1.947e-01
AXIN2	-8.062e-02	1.421e-01
AXL	-8.853e-02	1.068e-01
B2M	1.586e-02	7.731e-01
BAP1	-8.273e-02	1.319e-01
BARD1	6.504e-02	2.365e-01
BCAR1	-9.787e-03	8.588e-01
BCL10	-9.369e-02	8.783e-02
BCL11B	-7.179e-02	1.913e-01
BCL2	1.272e-02	8.171e-01
BCL2L1	-2.040e-01	1.781e-04
BCL2L11	8.278e-02	1.317e-01
BCL2L12	1.670e-01	2.228e-03
BCL2L2	-7.960e-02	1.472e-01
BCL6	8.977e-04	9.870e-01
BCL7A	9.086e-02	9.788e-02
BCLAF1	4.222e-02	4.425e-01
BCOR	4.628e-03	9.329e-01
BCORL1	5.889e-03	9.147e-01
BCR	-6.718e-03	9.028e-01
BIRC3	-1.854e-01	6.754e-04
BLM	1.290e-02	8.145e-01
BMPR1A	1.384e-02	8.014e-01
BRAF	-7.839e-02	1.535e-01
BRCA1	1.666e-01	2.290e-03
BRCA2	-6.383e-03	9.076e-01
BRD4	-6.645e-02	2.265e-01
BRIP1	-3.602e-02	5.124e-01
BTG1	3.113e-02	5.713e-01
BTK	-1.013e-01	6.479e-02
BUB1B	-2.064e-01	1.490e-04
C11orf65	9.878e-02	7.183e-02
C3orf70	-1.051e-01	5.535e-02
C8orf34	-3.055e-02	5.786e-01
CADM2	-9.375e-02	8.761e-02
CALR	7.424e-02	1.765e-01
CARD11	1.600e-01	3.411e-03
CASP8	5.379e-02	3.277e-01
CASR	1.660e-01	2.368e-03
CBFB	4.472e-02	4.160e-01
CBL	-8.236e-02	1.336e-01
CBLB	1.023e-01	6.222e-02
CBLC	1.016e-01	6.417e-02
CBR3	1.287e-01	1.884e-02
CCDC6	-1.275e-01	1.991e-02
CCND1	6.108e-02	2.664e-01
CCND2	-1.309e-01	1.684e-02
CCND3	-1.990e-01	2.580e-04
CCNE1	-2.686e-01	6.556e-07
CCNE2	-1.397e-01	1.071e-02
CD19	1.033e-01	5.977e-02
CD22	-1.802e-01	9.575e-04
CD274	3.633e-02	5.088e-01
CD276	4.637e-02	3.990e-01
CD40	1.341e-01	1.432e-02
CD70	4.261e-02	4.383e-01
CD79A	-9.997e-02	6.847e-02
CD79B	1.100e-01	4.484e-02
CDC25A	1.388e-02	8.008e-01
CDC73	1.805e-01	9.405e-04
CDH1	-1.543e-01	4.772e-03
CDH2	-1.865e-02	7.345e-01
CDK12	4.959e-02	3.670e-01
CDK4	8.638e-02	1.156e-01
CDK5	2.549e-02	6.430e-01
CDK6	4.347e-02	4.291e-01
CDK8	8.193e-02	1.357e-01
CDKN1A	5.199e-03	9.247e-01
CDKN1B	-1.111e-01	4.282e-02
CDKN1C	-1.617e-01	3.089e-03
CDKN2A	-3.377e-01	2.515e-10
CDKN2B	3.408e-01	1.688e-10
CDKN2C	7.913e-02	1.496e-01
CEBPA	1.603e-01	3.346e-03
CEP57	-1.714e-01	1.697e-03
CFTR	-1.248e-01	2.280e-02
CHD2	-7.672e-03	8.891e-01
CHD4	1.136e-01	3.829e-02
CHEK1	1.847e-01	7.068e-04
CHEK2	2.150e-02	6.959e-01
CIC	-4.041e-02	4.624e-01
CIITA	-4.494e-02	4.137e-01
CKS1B	2.654e-01	8.959e-07
CREBBP	-3.151e-02	5.666e-01
CRKL	-1.459e-01	7.676e-03
CRLF2	2.047e-02	7.097e-01
CSF1R	-4.305e-02	4.337e-01
CSF3R	-4.743e-02	3.883e-01
CTC1	-4.244e-03	9.385e-01
CTCF	-2.603e-02	6.360e-01
CTLA4	-7.187e-02	1.908e-01
CTNNA1	-4.549e-02	4.080e-01
CTNNB1	2.015e-02	7.141e-01
CTRC	-1.865e-01	6.247e-04
CUL3	-8.630e-02	1.160e-01
CUX1	2.821e-02	6.080e-01
CXCR4	-1.459e-02	7.908e-01
CYLD	9.549e-02	8.186e-02
CYP1B1	1.190e-01	2.989e-02
CYP2D6	3.745e-04	9.946e-01
CYP3A5	-2.165e-02	6.938e-01
DAXX	-7.224e-02	1.885e-01
DDB2	-9.059e-02	9.888e-02
DDR2	-1.726e-01	1.567e-03
DDX3X	-6.709e-03	9.029e-01
DICER1	2.315e-01	1.981e-05
DIS3	-1.654e-01	2.462e-03
DIS3L2	-1.750e-02	7.504e-01
DKC1	-1.278e-01	1.962e-02
DMD	-4.259e-02	4.385e-01
DNM2	-8.302e-03	8.800e-01
DNMT1	-1.116e-02	8.392e-01
DNMT3A	-1.497e-01	6.192e-03
DNMT3B	-1.050e-01	5.561e-02
DOT1L	-2.163e-02	6.941e-01
DPYD	5.119e-03	9.259e-01
DYNC2H1	1.072e-01	5.067e-02
E2F1	1.002e-01	6.787e-02
E2F2	6.268e-02	2.540e-01
E2F3	2.042e-02	7.104e-01
E2F4	-3.993e-03	9.421e-01
E2F5	9.845e-02	7.279e-02
E2F6	-9.425e-02	8.592e-02
EBF1	2.356e-02	6.684e-01
ECT2L	-2.135e-02	6.978e-01
EED	-1.327e-01	1.541e-02
EGF	4.839e-02	3.788e-01
EGFL7	-1.387e-01	1.131e-02
EGFR	-8.972e-02	1.022e-01
EGLN1	3.521e-04	9.949e-01
ELF3	-2.216e-01	4.525e-05
ELOC	-4.603e-02	4.025e-01
EMSY	1.833e-01	7.760e-04
ENG	7.038e-02	2.001e-01
EP300	-3.950e-02	4.725e-01
EPCAM	1.902e-01	4.840e-04
EPHA2	-2.308e-02	6.748e-01
EPHA3	1.127e-01	3.985e-02
EPHA5	1.558e-01	4.375e-03
EPHA7	6.071e-04	9.912e-01
EPHB1	1.247e-01	2.288e-02
EPHB2	3.083e-02	5.751e-01
EPOR	-6.689e-02	2.234e-01
ERBB2	-1.025e-01	6.162e-02
ERBB3	-7.731e-03	8.882e-01
ERBB4	-6.394e-02	2.446e-01
ERCC1	8.603e-02	1.171e-01
ERCC2	-1.957e-02	7.220e-01
ERCC3	1.331e-01	1.506e-02
ERCC4	5.079e-02	3.555e-01
ERCC5	9.326e-02	8.930e-02
ERCC6	-6.024e-02	2.730e-01
ERG	-1.181e-01	3.117e-02
ERRFI1	-6.499e-02	2.369e-01
ESR1	-1.432e-01	8.892e-03
ESR2	-1.808e-01	9.163e-04
ETS1	-1.736e-01	1.467e-03
ETS2	2.228e-02	6.854e-01
ETV1	1.428e-02	7.952e-01
ETV4	1.412e-01	9.858e-03
ETV5	-5.937e-02	2.800e-01
ETV6	-1.165e-01	3.365e-02
EWSR1	-5.891e-02	2.838e-01
EXT2	-1.693e-02	7.583e-01
EZH2	5.087e-02	3.547e-01
FAM46C	-5.895e-02	2.834e-01
FANCA	1.113e-01	4.238e-02
FANCB	-5.655e-02	3.035e-01
