Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.23700e-01	2.95900e-55	7.33600e-01	1.76900e-57	9.86500e-01	unspecified
1	5.70600e-01	3.69300e-30	3.05500e-01	1.26900e-08	1.86800e+00	unspecified
2	2.67500e-01	7.26100e-07	3.30600e-01	6.19400e-10	8.09200e-01	unspecified
3	7.61300e-01	3.08100e-64	7.55200e-01	1.14200e-62	1.00800e+00	unspecified
4	5.59800e-01	7.30500e-29	5.46600e-01	2.44700e-27	1.02400e+00	unspecified
5	4.66000e-01	2.35700e-19	4.39900e-01	3.42800e-17	1.05900e+00	unspecified
10	6.50100e-02	2.36700e-01	6.94400e-02	2.06300e-01	9.36300e-01	unspecified
14	7.11200e-01	1.37200e-52	7.11600e-01	1.11300e-52	9.99400e-01	unspecified
15	5.69000e-01	5.75400e-30	4.93900e-01	6.99900e-22	1.15200e+00	unspecified
16	4.47600e-01	8.18200e-18	4.66600e-01	2.09400e-19	9.59400e-01	unspecified
17	1.93500e-01	3.82700e-04	9.28200e-02	9.08100e-02	2.08500e+00	unspecified
18	9.28200e-02	9.08100e-02	-4.60800e-02	4.02000e-01	-2.01500e+00	unspecified
23	7.32800e-01	2.69900e-57	7.50500e-01	1.66100e-61	9.76400e-01	unspecified
25	5.46100e-01	2.78100e-27	5.94700e-01	3.15800e-33	9.18400e-01	unspecified
26	1.60400e-01	3.33500e-03	6.42100e-02	2.42600e-01	2.49800e+00	unspecified
27	8.25100e-02	1.33000e-01	1.45400e-01	7.89300e-03	5.67600e-01	unspecified
30	5.54000e-02	3.13500e-01	5.53500e-02	3.13900e-01	1.00100e+00	unspecified
31	1.93600e-01	3.81000e-04	1.39700e-01	1.06800e-02	1.38500e+00	unspecified
34	2.45800e-01	5.67100e-06	1.81000e-01	9.09400e-04	1.35800e+00	unspecified
38	1.61600e-01	3.11200e-03	2.77100e-01	2.78100e-07	5.83100e-01	unspecified
39	2.09500e-01	1.17200e-04	7.83800e-02	1.53500e-01	2.67300e+00	unspecified
40	1.10000e-01	4.47900e-02	1.00100e-01	6.80100e-02	1.09900e+00	unspecified
41	-6.61100e-02	2.28900e-01	1.05800e-01	5.38000e-02	-6.25000e-01	unspecified
49	1.17100e-01	3.26000e-02	-4.02600e-02	4.64100e-01	-2.91000e+00	unspecified
54	1.85700e-01	6.62200e-04	8.87800e-02	1.05800e-01	2.09100e+00	unspecified
57	2.05000e-01	1.65600e-04	1.04700e-01	5.62700e-02	1.95800e+00	unspecified
61	1.74900e-01	1.35700e-03	1.08100e-01	4.87400e-02	1.61800e+00	unspecified
63	7.17700e-01	5.75200e-54	7.19600e-01	2.27600e-54	9.97400e-01	unspecified
64	6.87000e-01	7.85400e-48	4.93900e-01	6.99900e-22	1.39100e+00	unspecified
65	2.51600e-01	3.34800e-06	2.39300e-01	1.01200e-05	1.05100e+00	unspecified
67	6.63000e-01	1.59600e-43	-6.82600e-02	2.14100e-01	-9.71300e+00	unspecified
69	6.94400e-01	3.09100e-49	3.27700e-01	8.92000e-10	2.11900e+00	unspecified
71	6.88200e-01	4.77000e-48	4.84200e-01	5.65600e-21	1.42100e+00	unspecified
72	3.86400e-01	2.67300e-13	2.51600e-01	3.34800e-06	1.53600e+00	unspecified
74	1.43800e-01	8.57900e-03	1.80000e-01	9.67300e-04	7.98900e-01	unspecified
76	1.33500e-01	1.48000e-02	1.58200e-01	3.79100e-03	8.43500e-01	unspecified
77	4.87200e-01	2.96500e-21	1.92600e-01	4.08600e-04	2.53000e+00	unspecified
78	1.28000e-01	1.94700e-02	4.67300e-02	3.95300e-01	2.73900e+00	unspecified
79	2.22900e-01	4.06700e-05	1.95100e-01	3.40800e-04	1.14200e+00	unspecified
87	3.35200e-01	3.46800e-10	3.17200e-01	3.20400e-09	1.05700e+00	unspecified
88	5.57200e-02	3.10700e-01	1.48900e-01	6.49800e-03	3.74300e-01	unspecified
89	3.37300e-01	2.65000e-10	6.33900e-02	2.48700e-01	5.32100e+00	unspecified
90	2.25300e-01	3.34600e-05	1.68800e-01	1.99900e-03	1.33500e+00	unspecified
98	2.37500e-01	1.18400e-05	2.96400e-01	3.53700e-08	8.01300e-01	unspecified
99	2.36800e-01	1.25900e-05	-8.66800e-03	8.74800e-01	-2.73200e+01	unspecified
100	2.08200e-01	1.29300e-04	-8.66800e-03	8.74800e-01	-2.40200e+01	unspecified
108	6.54300e-02	2.33800e-01	2.87900e-02	6.00600e-01	2.27200e+00	unspecified
109	1.84100e-01	7.37000e-04	6.33900e-02	2.48700e-01	2.90400e+00	unspecified
110	4.51600e-02	4.11400e-01	4.07300e-02	4.58900e-01	1.10900e+00	unspecified
113	1.48900e-01	6.49800e-03	9.06300e-02	9.87400e-02	1.64300e+00	unspecified
115	1.81000e-01	9.09400e-04	1.35700e-01	1.31900e-02	1.33300e+00	unspecified
118	1.68800e-01	1.99900e-03	1.90700e-01	4.67600e-04	8.85100e-01	unspecified
120	-3.35700e-02	5.41500e-01	-4.89400e-02	3.73300e-01	6.86000e-01	unspecified
124	6.33900e-02	2.48700e-01	4.75600e-02	3.87000e-01	1.33300e+00	unspecified
127	2.77100e-01	2.78100e-07	2.71900e-01	4.72000e-07	1.01900e+00	unspecified
