Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.59000e-01	1.19800e-63	7.49900e-01	2.34600e-61	1.01200e+00	unspecified
1	5.61000e-01	5.29800e-29	3.15600e-01	3.91300e-09	1.77800e+00	unspecified
2	3.04100e-01	1.48200e-08	3.19000e-01	2.59300e-09	9.53400e-01	unspecified
3	7.14600e-01	2.57200e-53	7.08700e-01	4.31900e-52	1.00800e+00	unspecified
4	5.95000e-01	2.85500e-33	5.90800e-01	1.03900e-32	1.00700e+00	unspecified
5	5.33900e-01	6.21800e-26	5.50600e-01	8.67600e-28	9.69700e-01	unspecified
10	9.41200e-02	8.63700e-02	-1.29000e-02	8.14600e-01	-7.29800e+00	unspecified
14	6.33900e-01	7.96500e-39	6.37200e-01	2.47600e-39	9.94800e-01	unspecified
15	4.69300e-01	1.21700e-19	3.86300e-01	2.69800e-13	1.21500e+00	unspecified
16	4.50400e-01	4.90900e-18	4.36900e-01	5.96500e-17	1.03100e+00	unspecified
17	1.50100e-01	6.04700e-03	8.60100e-02	1.17200e-01	1.74600e+00	unspecified
18	8.60100e-02	1.17200e-01	1.36200e-02	8.04500e-01	6.31700e+00	unspecified
23	6.73500e-01	2.30800e-45	7.02100e-01	9.65000e-51	9.59300e-01	unspecified
25	5.69400e-01	5.14700e-30	6.38500e-01	1.54600e-39	8.91800e-01	unspecified
26	5.26700e-02	3.37900e-01	7.67400e-02	1.62400e-01	6.86400e-01	unspecified
27	7.49700e-03	8.91600e-01	5.24000e-02	3.40500e-01	1.43100e-01	unspecified
30	1.31300e-01	1.65400e-02	2.79500e-02	6.11300e-01	4.69600e+00	unspecified
31	1.63700e-01	2.73500e-03	9.68300e-02	7.76400e-02	1.69000e+00	unspecified
34	1.42300e-01	9.33300e-03	2.57800e-01	1.87300e-06	5.52000e-01	unspecified
38	2.05800e-01	1.55300e-04	2.36900e-01	1.24400e-05	8.68700e-01	unspecified
39	1.82700e-01	8.08200e-04	1.84200e-01	7.32300e-04	9.92100e-01	unspecified
40	2.04100e-01	1.76400e-04	1.72000e-01	1.63100e-03	1.18700e+00	unspecified
41	1.30500e-01	1.71500e-02	1.13500e-01	3.83900e-02	1.15000e+00	unspecified
49	-3.85300e-02	4.83500e-01	1.59700e-01	3.48300e-03	-2.41300e-01	unspecified
54	5.23700e-02	3.40800e-01	9.02200e-02	1.00300e-01	5.80400e-01	unspecified
57	1.75700e-01	1.28700e-03	7.11100e-02	1.95500e-01	2.47000e+00	unspecified
61	9.76500e-02	7.51700e-02	1.04800e-01	5.59600e-02	9.31300e-01	unspecified
63	6.34300e-01	7.05300e-39	6.26100e-01	1.20700e-37	1.01300e+00	unspecified
64	6.33000e-01	1.10300e-38	3.86300e-01	2.69800e-13	1.63900e+00	unspecified
65	2.18800e-01	5.64400e-05	1.32600e-01	1.54800e-02	1.65100e+00	unspecified
67	6.27500e-01	7.38000e-38	3.70000e-02	5.01100e-01	1.69600e+01	unspecified
69	6.92700e-01	6.74500e-49	3.31500e-01	5.51700e-10	2.08900e+00	unspecified
71	6.57800e-01	1.20000e-42	5.13700e-01	8.10100e-24	1.28100e+00	unspecified
72	3.28700e-01	7.83800e-10	2.18800e-01	5.64400e-05	1.50200e+00	unspecified
74	1.22800e-01	2.49800e-02	2.12400e-01	9.38200e-05	5.78300e-01	unspecified
76	1.92500e-01	4.10000e-04	2.54600e-01	2.53300e-06	7.56400e-01	unspecified
77	6.07800e-01	5.16300e-35	2.22400e-01	4.23000e-05	2.73300e+00	unspecified
78	-5.20700e-02	3.43500e-01	5.87900e-03	9.14900e-01	-8.85800e+00	unspecified
79	2.36800e-01	1.25300e-05	1.51100e-01	5.72400e-03	1.56700e+00	unspecified
87	3.08100e-01	9.39900e-09	2.74500e-01	3.61000e-07	1.12200e+00	unspecified
88	1.02600e-01	6.14500e-02	1.61700e-01	3.08600e-03	6.34600e-01	unspecified
89	2.51400e-01	3.39800e-06	4.26200e-02	4.38200e-01	5.89900e+00	unspecified
90	2.26800e-01	2.94400e-05	2.03800e-01	1.80300e-04	1.11300e+00	unspecified
98	1.86500e-01	6.23000e-04	2.53100e-01	2.88900e-06	7.36900e-01	unspecified
99	1.96500e-01	3.08900e-04	4.35400e-02	4.28400e-01	4.51300e+00	unspecified
100	1.95900e-01	3.22400e-04	4.35400e-02	4.28400e-01	4.49900e+00	unspecified
108	2.01000e-02	7.14700e-01	-5.75800e-02	2.94800e-01	-3.49100e-01	unspecified
109	1.75400e-01	1.30900e-03	4.26200e-02	4.38200e-01	4.11600e+00	unspecified
110	-1.03300e-02	8.51000e-01	-1.57900e-02	7.74100e-01	6.54600e-01	unspecified
113	1.61700e-01	3.08600e-03	1.60100e-01	3.40400e-03	1.01000e+00	unspecified
115	2.57800e-01	1.87300e-06	1.23500e-01	2.42300e-02	2.08700e+00	unspecified
118	2.03800e-01	1.80300e-04	2.00900e-01	2.24800e-04	1.01500e+00	unspecified
120	-5.61600e-02	3.06900e-01	-4.00900e-02	4.65900e-01	1.40100e+00	unspecified
124	4.26200e-02	4.38200e-01	2.88100e-02	6.00400e-01	1.47900e+00	unspecified
127	2.36900e-01	1.24400e-05	2.30400e-01	2.16900e-05	1.02800e+00	unspecified
