Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.83500e-01	3.61800e-47	7.07100e-01	9.54200e-52	9.66700e-01	unspecified
1	4.57100e-01	1.36200e-18	2.26200e-01	3.09600e-05	2.02100e+00	unspecified
2	2.33300e-01	1.69600e-05	2.49400e-01	4.08100e-06	9.35600e-01	unspecified
3	7.35500e-01	6.53700e-58	7.30900e-01	7.09100e-57	1.00600e+00	unspecified
4	5.79000e-01	3.33500e-31	5.57100e-01	1.51500e-28	1.03900e+00	unspecified
5	4.91200e-01	1.25000e-21	4.73300e-01	5.46000e-20	1.03800e+00	unspecified
10	1.60500e-01	3.31900e-03	1.01700e-01	6.37900e-02	1.57800e+00	unspecified
14	6.62800e-01	1.73900e-43	6.92600e-01	7.06500e-49	9.57000e-01	unspecified
15	5.58800e-01	9.62300e-29	5.62400e-01	3.59500e-29	9.93600e-01	unspecified
16	4.51900e-01	3.68900e-18	4.78500e-01	1.84700e-20	9.44300e-01	unspecified
17	1.29900e-01	1.77300e-02	8.98600e-02	1.01700e-01	1.44500e+00	unspecified
18	8.98600e-02	1.01700e-01	-1.29900e-02	8.13300e-01	-6.91500e+00	unspecified
23	7.22500e-01	5.25100e-55	7.26000e-01	9.10400e-56	9.95200e-01	unspecified
25	5.31100e-01	1.23300e-25	5.76600e-01	6.67000e-31	9.21100e-01	unspecified
26	1.24900e-01	2.26900e-02	3.47000e-02	5.28000e-01	3.59800e+00	unspecified
27	9.23300e-02	9.25500e-02	1.52500e-01	5.30000e-03	6.05500e-01	unspecified
30	-6.46200e-02	2.39600e-01	7.75400e-02	1.58000e-01	-8.33300e-01	unspecified
31	1.70500e-01	1.79000e-03	1.41300e-01	9.81300e-03	1.20700e+00	unspecified
34	1.35400e-01	1.33900e-02	2.69300e-01	6.10700e-07	5.02900e-01	unspecified
38	1.10700e-01	4.35600e-02	2.13300e-01	8.76800e-05	5.19000e-01	unspecified
39	1.79900e-01	9.75800e-04	1.45400e-01	7.87900e-03	1.23700e+00	unspecified
40	1.59200e-01	3.58800e-03	1.82000e-01	8.49300e-04	8.74700e-01	unspecified
41	3.27800e-03	9.52500e-01	-4.04100e-02	4.62400e-01	-8.11200e-02	unspecified
49	-1.46500e-01	7.41300e-03	-9.69500e-02	7.72900e-02	1.51100e+00	unspecified
54	1.03200e-01	6.00200e-02	3.86400e-02	4.82200e-01	2.67000e+00	unspecified
57	2.20900e-01	4.78200e-05	9.61400e-02	7.97800e-02	2.29700e+00	unspecified
61	9.35700e-02	8.82300e-02	1.08400e-01	4.80000e-02	8.62800e-01	unspecified
63	6.69900e-01	1.03200e-44	6.63400e-01	1.37600e-43	1.01000e+00	unspecified
64	6.57800e-01	1.20600e-42	5.62400e-01	3.59500e-29	1.17000e+00	unspecified
65	3.32000e-01	5.19900e-10	2.59800e-01	1.54100e-06	1.27800e+00	unspecified
67	5.95600e-01	2.38300e-33	2.25000e-03	9.67400e-01	2.64700e+02	unspecified
69	6.14300e-01	6.19300e-36	3.64200e-01	6.98500e-12	1.68700e+00	unspecified
71	7.05300e-01	2.17700e-51	4.81100e-01	1.08000e-20	1.46600e+00	unspecified
72	3.28000e-01	8.61500e-10	3.32000e-01	5.19900e-10	9.87900e-01	unspecified
74	7.00500e-02	2.02300e-01	1.45100e-01	8.00200e-03	4.82700e-01	unspecified
76	1.19200e-01	2.96400e-02	2.87500e-01	9.25700e-08	4.14500e-01	unspecified
77	4.96800e-01	3.73000e-22	2.96700e-01	3.43400e-08	1.67500e+00	unspecified
78	6.58100e-02	2.31000e-01	2.46900e-02	6.53500e-01	2.66600e+00	unspecified
79	2.13700e-01	8.44500e-05	9.29900e-02	9.02200e-02	2.29900e+00	unspecified
87	2.88700e-01	8.15900e-08	2.52000e-01	3.20500e-06	1.14600e+00	unspecified
88	1.40200e-01	1.04500e-02	1.84600e-01	7.10200e-04	7.59100e-01	unspecified
89	2.15900e-01	7.11900e-05	-3.10400e-02	5.72400e-01	-6.95600e+00	unspecified
90	1.97500e-01	2.88000e-04	1.77900e-01	1.11300e-03	1.11000e+00	unspecified
98	1.05300e-01	5.48600e-02	1.56600e-01	4.16900e-03	6.72400e-01	unspecified
99	1.19700e-01	2.89900e-02	4.47800e-02	4.15400e-01	2.67300e+00	unspecified
100	9.29900e-02	9.02400e-02	4.47800e-02	4.15400e-01	2.07700e+00	unspecified
108	6.93100e-02	2.07100e-01	6.75000e-02	2.19200e-01	1.02700e+00	unspecified
109	1.83800e-01	7.50800e-04	-3.10400e-02	5.72400e-01	-5.92100e+00	unspecified
110	-6.47100e-02	2.38900e-01	-5.84500e-02	2.87600e-01	1.10700e+00	unspecified
113	1.84600e-01	7.10200e-04	1.32500e-01	1.55800e-02	1.39400e+00	unspecified
115	2.69300e-01	6.10700e-07	1.41100e-01	9.94400e-03	1.90900e+00	unspecified
118	1.77900e-01	1.11300e-03	1.82500e-01	8.18800e-04	9.74700e-01	unspecified
120	-3.77300e-02	4.92600e-01	-5.24800e-02	3.39800e-01	7.19100e-01	unspecified
124	-3.10400e-02	5.72400e-01	-2.21300e-02	6.87400e-01	1.40200e+00	unspecified
127	2.13300e-01	8.76800e-05	2.03000e-01	1.91700e-04	1.05100e+00	unspecified
