Gene	Rho	P_val
ABCB1	-1.378e-01	1.181e-02
ABCC3	-1.993e-01	2.518e-04
ABL1	5.497e-02	3.172e-01
ABL2	9.008e-02	1.008e-01
ACTA2	-9.321e-02	8.947e-02
ACVR1B	-1.965e-02	7.209e-01
ADGRA2	-2.122e-01	9.503e-05
AJUBA	-1.425e-01	9.240e-03
AKT1	-1.289e-01	1.866e-02
AKT2	-4.982e-02	3.648e-01
AKT3	1.580e-01	3.840e-03
ALK	-4.465e-02	4.167e-01
ALOX12B	1.456e-01	7.804e-03
AMER1	-1.421e-01	9.394e-03
ANKRD11	-3.320e-02	5.460e-01
APC	8.235e-02	1.337e-01
APOB	1.491e-01	6.404e-03
AR	2.432e-01	7.147e-06
ARAF	7.736e-02	1.590e-01
ARFRP1	-1.572e-01	4.023e-03
ARHGAP26	-5.448e-03	9.211e-01
ARHGAP35	8.441e-02	1.242e-01
ARID1A	-2.492e-02	6.505e-01
ARID1B	-8.124e-02	1.390e-01
ARID2	-2.278e-02	6.787e-01
ARID5B	3.107e-02	5.720e-01
ASNS	-3.344e-03	9.515e-01
ASXL1	4.344e-02	4.295e-01
ASXL2	-1.199e-01	2.866e-02
ATIC	-6.399e-02	2.442e-01
ATM	-1.607e-01	3.273e-03
ATP7B	-6.317e-02	2.503e-01
ATR	1.078e-01	4.938e-02
ATRX	-1.741e-01	1.428e-03
AURKA	-1.496e-01	6.242e-03
AURKB	-1.578e-01	3.884e-03
AXIN1	5.665e-02	3.026e-01
AXIN2	5.121e-02	3.516e-01
AXL	-1.084e-02	8.438e-01
B2M	7.704e-02	1.607e-01
BAP1	-4.357e-03	9.369e-01
BARD1	7.364e-02	1.801e-01
BCAR1	-1.170e-02	8.316e-01
BCL10	2.937e-02	5.933e-01
BCL11B	-5.235e-02	3.409e-01
BCL2	1.037e-01	5.879e-02
BCL2L1	-1.683e-01	2.062e-03
BCL2L11	1.002e-01	6.772e-02
BCL2L12	-5.017e-02	3.615e-01
BCL2L2	-5.470e-02	3.196e-01
BCL6	1.124e-02	8.382e-01
BCL7A	7.106e-02	1.959e-01
BCLAF1	5.860e-02	2.863e-01
BCOR	-6.191e-02	2.599e-01
