Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.13400e-01	4.57400e-53	7.65000e-01	3.12300e-65	9.32600e-01	unspecified
1	5.18600e-01	2.54500e-24	4.56800e-01	1.43300e-18	1.13500e+00	unspecified
2	2.67800e-01	7.10000e-07	3.67100e-01	4.61400e-12	7.29400e-01	unspecified
3	7.80900e-01	1.25500e-69	7.82300e-01	5.04600e-70	9.98300e-01	unspecified
4	6.20400e-01	8.29400e-37	6.33800e-01	8.19800e-39	9.78800e-01	unspecified
5	4.91100e-01	1.29000e-21	4.80000e-01	1.35700e-20	1.02300e+00	unspecified
10	1.89300e-01	5.14200e-04	1.55700e-01	4.40200e-03	1.21600e+00	unspecified
14	7.10900e-01	1.56000e-52	7.12200e-01	8.51800e-53	9.98200e-01	unspecified
15	5.27200e-01	3.25400e-25	5.05200e-01	5.69100e-23	1.04400e+00	unspecified
16	5.68200e-01	7.25800e-30	5.68000e-01	7.64500e-30	1.00000e+00	unspecified
17	2.49500e-01	4.06000e-06	3.15900e-01	3.75600e-09	7.89700e-01	unspecified
18	3.15900e-01	3.75600e-09	1.33600e-01	1.47200e-02	2.36500e+00	unspecified
23	7.59500e-01	8.83900e-64	7.65400e-01	2.47200e-65	9.92300e-01	unspecified
25	6.13000e-01	9.70400e-36	6.66300e-01	4.30700e-44	9.20000e-01	unspecified
26	2.12400e-01	9.38000e-05	7.00800e-02	2.02100e-01	3.03100e+00	unspecified
27	1.03600e-01	5.90600e-02	1.34000e-01	1.44200e-02	7.73000e-01	unspecified
30	-7.69800e-02	1.61000e-01	2.14400e-02	6.96700e-01	-3.59100e+00	unspecified
31	1.39800e-01	1.06500e-02	7.13500e-02	1.94000e-01	1.95900e+00	unspecified
34	2.06900e-01	1.43100e-04	3.26600e-01	1.02900e-09	6.33600e-01	unspecified
38	2.77800e-01	2.57100e-07	2.21600e-01	4.50800e-05	1.25400e+00	unspecified
39	2.06000e-01	1.53800e-04	2.52300e-01	3.13700e-06	8.16400e-01	unspecified
40	2.74900e-01	3.46600e-07	2.59200e-01	1.62800e-06	1.06000e+00	unspecified
41	-7.12000e-03	8.97000e-01	6.47300e-02	2.38800e-01	-1.10000e-01	unspecified
49	1.52600e-01	5.26500e-03	1.60100e-01	3.39700e-03	9.53100e-01	unspecified
54	2.70400e-01	5.43400e-07	2.24100e-01	3.67300e-05	1.20700e+00	unspecified
57	2.12600e-01	9.21800e-05	8.09600e-02	1.40400e-01	2.62600e+00	unspecified
61	1.31500e-01	1.63500e-02	-3.77700e-03	9.45300e-01	-3.48100e+01	unspecified
63	6.55800e-01	2.57800e-42	6.74100e-01	1.81700e-45	9.72800e-01	unspecified
64	6.65200e-01	6.58600e-44	5.05200e-01	5.69100e-23	1.31700e+00	unspecified
65	3.15200e-01	4.09100e-09	2.62300e-01	1.21300e-06	1.20200e+00	unspecified
67	6.83800e-01	3.14700e-47	1.61900e-01	3.05100e-03	4.22400e+00	unspecified
69	6.79600e-01	1.84100e-46	4.31400e-01	1.58300e-16	1.57500e+00	unspecified
71	7.32600e-01	3.03900e-57	6.18700e-01	1.46400e-36	1.18400e+00	unspecified
72	3.63000e-01	8.26500e-12	3.15200e-01	4.09100e-09	1.15200e+00	unspecified
74	1.62300e-01	2.96900e-03	1.30100e-01	1.75300e-02	1.24800e+00	unspecified
76	1.57800e-01	3.89400e-03	3.13500e-01	4.97700e-09	5.03300e-01	unspecified
77	5.33400e-01	6.97800e-26	2.59000e-01	1.66200e-06	2.06000e+00	unspecified
78	-9.20300e-02	9.36000e-02	-2.71400e-02	6.21700e-01	3.39100e+00	unspecified
79	2.22300e-01	4.26100e-05	1.06600e-01	5.19000e-02	2.08500e+00	unspecified
87	3.63300e-01	7.93100e-12	3.81300e-01	5.78400e-13	9.52900e-01	unspecified
88	9.38000e-02	8.74600e-02	1.09800e-01	4.53400e-02	8.54600e-01	unspecified
89	3.09000e-01	8.47400e-09	3.48700e-02	5.26000e-01	8.86200e+00	unspecified
90	2.73700e-01	3.90600e-07	2.59100e-01	1.65500e-06	1.05700e+00	unspecified
98	2.37100e-01	1.22600e-05	2.22100e-01	4.32200e-05	1.06700e+00	unspecified
99	1.35700e-01	1.31600e-02	4.96600e-02	3.66300e-01	2.73300e+00	unspecified
100	1.87800e-01	5.71900e-04	4.96600e-02	3.66300e-01	3.78100e+00	unspecified
108	1.27700e-01	1.97600e-02	1.12700e-01	3.98600e-02	1.13300e+00	unspecified
109	2.67600e-01	7.22700e-07	3.48700e-02	5.26000e-01	7.67400e+00	unspecified
110	-1.12400e-01	4.04200e-02	-1.13100e-01	3.91200e-02	9.93500e-01	unspecified
113	1.09800e-01	4.53400e-02	7.22700e-02	1.88300e-01	1.51900e+00	unspecified
115	3.26600e-01	1.02900e-09	1.28500e-01	1.90200e-02	2.54200e+00	unspecified
118	2.59100e-01	1.65500e-06	2.64100e-01	1.01800e-06	9.80900e-01	unspecified
120	-7.27800e-02	1.85200e-01	-2.80700e-02	6.09800e-01	2.59300e+00	unspecified
124	3.48700e-02	5.26000e-01	2.21000e-02	6.87800e-01	1.57700e+00	unspecified
127	2.21600e-01	4.50800e-05	2.68000e-01	6.94000e-07	8.27000e-01	unspecified
