Gene	Rho	P_val
ABCB1	-9.971e-02	6.919e-02
ABCC3	-2.753e-03	9.601e-01
ABL1	1.015e-01	6.426e-02
ABL2	1.388e-01	1.125e-02
ACTA2	-1.282e-01	1.931e-02
ACVR1B	-1.206e-01	2.778e-02
ADGRA2	-1.865e-01	6.233e-04
AJUBA	-1.450e-01	8.069e-03
AKT1	-1.712e-01	1.720e-03
AKT2	-1.483e-01	6.689e-03
AKT3	9.475e-02	8.427e-02
ALK	8.303e-02	1.305e-01
ALOX12B	1.880e-02	7.325e-01
AMER1	-1.455e-01	7.848e-03
ANKRD11	1.429e-02	7.951e-01
APC	-1.432e-02	7.946e-01
APOB	7.821e-02	1.545e-01
AR	1.337e-01	1.466e-02
ARAF	4.604e-02	4.024e-01
ARFRP1	-1.407e-01	1.017e-02
ARHGAP26	-7.176e-02	1.915e-01
ARHGAP35	7.302e-02	1.838e-01
ARID1A	-1.365e-01	1.269e-02
ARID1B	-9.727e-02	7.630e-02
ARID2	9.353e-03	8.650e-01
ARID5B	-6.739e-02	2.200e-01
ASNS	5.929e-02	2.807e-01
ASXL1	6.435e-02	2.416e-01
ASXL2	-1.812e-01	8.927e-04
ATIC	1.167e-02	8.320e-01
ATM	9.330e-02	8.916e-02
ATP7B	8.227e-02	1.341e-01
ATR	1.600e-01	3.407e-03
ATRX	-9.550e-02	8.185e-02
AURKA	-4.981e-02	3.649e-01
AURKB	-6.454e-02	2.402e-01
AXIN1	-1.695e-01	1.915e-03
AXIN2	-3.474e-02	5.275e-01
AXL	4.354e-02	4.284e-01
B2M	-8.353e-02	1.282e-01
BAP1	4.493e-02	4.138e-01
BARD1	1.782e-01	1.091e-03
BCAR1	1.915e-02	7.277e-01
BCL10	-6.435e-02	2.415e-01
BCL11B	8.271e-02	1.320e-01
BCL2	2.226e-02	6.857e-01
BCL2L1	-1.294e-01	1.817e-02
BCL2L11	9.911e-02	7.089e-02
BCL2L12	1.585e-01	3.738e-03
BCL2L2	-1.371e-03	9.801e-01
BCL6	6.527e-02	2.349e-01
BCL7A	4.362e-02	4.276e-01
BCLAF1	5.121e-02	3.515e-01
BCOR	-6.723e-02	2.211e-01
BCORL1	-4.125e-02	4.531e-01
BCR	1.162e-01	3.402e-02
BIRC3	-6.928e-02	2.073e-01
BLM	4.710e-02	3.916e-01
BMPR1A	7.188e-02	1.907e-01
BRAF	-9.770e-02	7.500e-02
BRCA1	1.131e-01	3.921e-02
BRCA2	2.656e-02	6.291e-01
BRD4	-9.533e-02	8.239e-02
BRIP1	-6.472e-02	2.388e-01
BTG1	1.168e-01	3.304e-02
BTK	-4.577e-02	4.052e-01
BUB1B	-1.696e-01	1.896e-03
C11orf65	5.389e-02	3.269e-01
C3orf70	-1.732e-01	1.506e-03
C8orf34	-1.038e-01	5.841e-02
CADM2	-8.304e-03	8.800e-01
CALR	9.400e-02	8.676e-02
CARD11	1.760e-01	1.258e-03
CASP8	4.428e-02	4.206e-01
CASR	1.225e-01	2.540e-02
CBFB	6.520e-02	2.354e-01
CBL	2.261e-02	6.810e-01
CBLB	1.199e-01	2.876e-02
CBLC	1.497e-01	6.188e-03
CBR3	1.109e-01	4.305e-02
CCDC6	-1.413e-01	9.847e-03
CCND1	-2.656e-02	6.292e-01
CCND2	-5.141e-02	3.497e-01
CCND3	-1.394e-01	1.085e-02
CCNE1	-2.271e-01	2.877e-05
CCNE2	-1.946e-01	3.535e-04
CD19	2.154e-02	6.953e-01
CD22	-1.626e-01	2.920e-03
CD274	4.420e-02	4.215e-01
CD276	4.916e-04	9.929e-01
CD40	1.137e-01	3.805e-02
CD70	2.502e-02	6.491e-01
CD79A	1.520e-02	7.823e-01
CD79B	6.672e-02	2.246e-01
CDC25A	1.144e-01	3.693e-02
CDC73	1.454e-01	7.855e-03
CDH1	-1.311e-01	1.665e-02
CDH2	-4.577e-02	4.051e-01
CDK12	1.696e-01	1.899e-03
CDK4	3.551e-02	5.184e-01
CDK5	2.042e-02	7.104e-01
CDK6	-7.920e-02	1.493e-01
CDK8	-1.887e-02	7.315e-01
CDKN1A	-4.235e-02	4.411e-01
CDKN1B	-9.413e-02	8.633e-02
CDKN1C	-1.603e-01	3.349e-03
CDKN2A	-3.921e-01	1.112e-13
CDKN2B	3.821e-01	5.119e-13
CDKN2C	9.675e-02	7.790e-02
CEBPA	1.209e-01	2.733e-02
CEP57	-1.489e-01	6.474e-03
CFTR	-4.950e-02	3.679e-01
CHD2	-3.396e-03	9.508e-01
CHD4	6.221e-02	2.576e-01
CHEK1	1.165e-01	3.362e-02
CHEK2	1.768e-02	7.479e-01
CIC	-1.004e-01	6.733e-02
CIITA	-4.184e-02	4.466e-01
CKS1B	2.687e-01	6.458e-07
CREBBP	-4.512e-02	4.119e-01
CRKL	-2.182e-01	5.936e-05
CRLF2	9.904e-02	7.109e-02
CSF1R	-8.757e-02	1.107e-01
CSF3R	-1.864e-01	6.283e-04
CTC1	9.489e-02	8.383e-02
CTCF	1.574e-02	7.748e-01
CTLA4	-5.867e-02	2.858e-01
CTNNA1	6.771e-03	9.020e-01
CTNNB1	-5.553e-02	3.123e-01
CTRC	-9.875e-02	7.192e-02
CUL3	9.243e-03	8.666e-01
CUX1	3.034e-02	5.812e-01
CXCR4	2.204e-02	6.886e-01
CYLD	1.888e-01	5.329e-04
CYP1B1	1.537e-01	4.944e-03
CYP2D6	-5.657e-02	3.033e-01
CYP3A5	2.587e-02	6.381e-01
DAXX	8.657e-04	9.874e-01
DDB2	-9.158e-02	9.522e-02
DDR2	-1.674e-01	2.172e-03
DDX3X	2.341e-02	6.704e-01
DICER1	8.874e-02	1.060e-01
DIS3	-1.578e-01	3.885e-03
DIS3L2	-1.162e-02	8.327e-01
DKC1	-6.239e-02	2.562e-01
DMD	-1.614e-02	7.691e-01
DNM2	7.386e-02	1.788e-01
DNMT1	-1.069e-01	5.130e-02
DNMT3A	-2.687e-01	6.498e-07
DNMT3B	-7.670e-02	1.626e-01
DOT1L	-3.337e-02	5.439e-01
DPYD	5.653e-02	3.037e-01
DYNC2H1	9.318e-02	8.957e-02
E2F1	4.925e-02	3.703e-01
E2F2	-8.295e-02	1.309e-01
E2F3	1.010e-01	6.559e-02
E2F4	3.466e-02	5.285e-01
E2F5	1.554e-01	4.478e-03
E2F6	-3.118e-02	5.708e-01
EBF1	5.710e-02	2.989e-01
ECT2L	1.085e-01	4.781e-02
EED	-9.903e-02	7.112e-02
EGF	7.205e-02	1.897e-01
EGFL7	-1.382e-01	1.161e-02
EGFR	-1.251e-01	2.247e-02
EGLN1	-3.294e-02	5.492e-01
ELF3	-2.386e-01	1.075e-05
ELOC	-9.370e-02	8.780e-02
EMSY	1.138e-01	3.795e-02
ENG	-2.797e-02	6.111e-01
EP300	1.382e-02	8.016e-01
EPCAM	1.786e-01	1.066e-03
EPHA2	-1.578e-02	7.742e-01
EPHA3	8.134e-02	1.385e-01
EPHA5	8.306e-02	1.304e-01
EPHA7	3.906e-02	4.775e-01
EPHB1	4.322e-02	4.319e-01
EPHB2	-6.516e-02	2.357e-01
EPOR	3.062e-02	5.776e-01
ERBB2	-5.517e-02	3.155e-01
ERBB3	6.937e-02	2.067e-01
ERBB4	-2.309e-01	2.093e-05
ERCC1	1.637e-01	2.740e-03
ERCC2	2.117e-02	7.004e-01
ERCC3	1.569e-02	7.755e-01
ERCC4	-4.395e-02	4.241e-01
ERCC5	9.780e-02	7.470e-02
ERCC6	5.037e-02	3.596e-01
ERG	-1.296e-01	1.794e-02
ERRFI1	-3.733e-02	4.972e-01
ESR1	-5.032e-02	3.600e-01
ESR2	-1.774e-01	1.150e-03
ETS1	-7.290e-02	1.845e-01
ETS2	1.108e-02	8.403e-01
ETV1	7.462e-02	1.743e-01
ETV4	2.149e-01	7.699e-05
ETV5	-1.021e-01	6.269e-02
ETV6	-1.460e-01	7.616e-03
EWSR1	-2.148e-01	7.785e-05
EXT2	2.354e-02	6.687e-01
EZH2	1.284e-01	1.910e-02
FAM46C	-5.331e-02	3.321e-01
FANCA	1.754e-01	1.307e-03
FANCB	-7.769e-02	1.572e-01
FANCC	1.914e-01	4.457e-04
FANCD2	7.597e-02	1.666e-01
FANCE	-1.406e-01	1.022e-02
FANCF	-3.265e-02	5.528e-01
FANCG	1.074e-01	5.013e-02
FANCI	1.249e-01	2.261e-02
FANCL	6.825e-02	2.142e-01
FANCM	-6.317e-03	9.086e-01
FAS	-2.522e-02	6.466e-01
FAT1	4.694e-02	3.932e-01
FBXO11	-2.735e-02	6.189e-01
FBXW7	-3.493e-02	5.253e-01
FCGR2A	2.027e-01	1.963e-04
FCGR3A	-1.978e-01	2.824e-04
FDPS	1.116e-01	4.177e-02
FGF1	1.032e-02	8.511e-01
FGF10	2.482e-01	4.552e-06
FGF14	1.605e-01	3.319e-03
FGF19	-2.310e-02	6.744e-01
FGF2	-6.577e-02	2.313e-01
FGF23	-1.126e-01	4.006e-02
FGF3	4.260e-02	4.384e-01
FGF4	2.582e-02	6.388e-01
FGF5	-4.550e-02	4.079e-01
FGF6	-1.178e-01	3.157e-02
FGF7	5.595e-02	3.087e-01
FGF8	-5.334e-02	3.319e-01
FGF9	-1.396e-01	1.078e-02
FGFR1	-9.718e-02	7.659e-02
FGFR2	4.017e-02	4.650e-01
FGFR3	-1.355e-01	1.331e-02
FGFR4	-6.232e-02	2.568e-01
FH	-9.375e-02	8.760e-02
FHIT	-1.692e-01	1.949e-03
FLCN	-1.391e-02	8.003e-01
FLG	-2.996e-01	2.472e-08
FLT1	-6.497e-04	9.906e-01
FLT3	1.695e-02	7.580e-01
FLT4	3.828e-02	4.863e-01
FNTB	-1.164e-01	3.369e-02
FOXA1	1.472e-01	7.115e-03
FOXL2	-1.181e-01	3.123e-02
FOXO1	4.551e-02	4.078e-01
FOXO3	-1.491e-02	7.863e-01
FOXP1	4.643e-02	3.983e-01
FOXQ1	4.181e-02	4.470e-01
FRS2	-3.122e-02	5.702e-01
FUBP1	4.787e-02	3.839e-01
FUS	-1.413e-01	9.812e-03
FYN	2.692e-02	6.246e-01
G6PD	-3.948e-02	4.728e-01
GABRA6	2.747e-02	6.175e-01
GALNT12	-8.290e-02	1.311e-01
GATA1	-3.459e-02	5.293e-01
GATA2	5.873e-02	2.852e-01
GATA3	2.233e-03	9.676e-01
GATA4	1.420e-01	9.470e-03
GATA6	6.560e-02	2.325e-01
GEN1	2.184e-01	5.863e-05
GID4	7.334e-02	1.819e-01
GLI1	3.720e-02	4.988e-01
GLI2	-1.530e-02	7.809e-01
GLI3	-1.446e-01	8.210e-03
