Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.00500e-01	1.95000e-50	7.49300e-01	3.34500e-61	9.35000e-01	unspecified
1	5.54700e-01	2.90600e-28	3.70000e-01	3.06000e-12	1.49900e+00	unspecified
2	2.37400e-01	1.19100e-05	3.50400e-01	4.68600e-11	6.77500e-01	unspecified
3	7.92800e-01	3.76300e-73	7.69400e-01	2.13300e-66	1.03000e+00	unspecified
4	6.36600e-01	3.03000e-39	6.00200e-01	5.77500e-34	1.06100e+00	unspecified
5	4.93300e-01	7.94400e-22	4.75500e-01	3.47000e-20	1.03800e+00	unspecified
10	9.50200e-02	8.33800e-02	9.26300e-02	9.14800e-02	1.02600e+00	unspecified
14	7.08700e-01	4.42500e-52	7.12100e-01	8.89000e-53	9.95300e-01	unspecified
15	5.78900e-01	3.47800e-31	5.32900e-01	7.94400e-26	1.08600e+00	unspecified
16	4.79200e-01	1.59800e-20	4.45500e-01	1.23000e-17	1.07600e+00	unspecified
17	2.70900e-01	5.17200e-07	2.63300e-01	1.09400e-06	1.02900e+00	unspecified
18	2.63300e-01	1.09400e-06	1.54900e-01	4.60600e-03	1.70000e+00	unspecified
23	7.55900e-01	7.47700e-63	7.79800e-01	2.58900e-69	9.69300e-01	unspecified
25	5.87100e-01	3.12700e-32	6.33200e-01	1.03400e-38	9.27200e-01	unspecified
26	-2.67200e-02	6.27100e-01	6.36900e-02	2.46500e-01	-4.19500e-01	unspecified
27	5.51000e-02	3.16200e-01	7.66500e-02	1.62900e-01	7.18800e-01	unspecified
30	2.11200e-01	1.02800e-04	6.33500e-03	9.08300e-01	3.33400e+01	unspecified
31	2.29900e-01	2.27600e-05	1.08500e-01	4.78200e-02	2.11800e+00	unspecified
34	7.93700e-02	1.48400e-01	3.12300e-01	5.78300e-09	2.54200e-01	unspecified
38	1.69800e-01	1.87100e-03	2.66000e-01	8.47800e-07	6.38600e-01	unspecified
39	1.50000e-01	6.09100e-03	1.49400e-01	6.29200e-03	1.00400e+00	unspecified
40	9.95000e-02	6.97800e-02	8.74800e-02	1.11100e-01	1.13700e+00	unspecified
41	1.59000e-01	3.62600e-03	7.35500e-02	1.80600e-01	2.16200e+00	unspecified
49	-1.82000e-01	8.49400e-04	-1.36800e-01	1.24600e-02	1.33000e+00	unspecified
54	2.05500e-01	1.59200e-04	1.97100e-01	2.95600e-04	1.04300e+00	unspecified
57	2.23200e-01	3.95900e-05	1.16400e-01	3.37200e-02	1.91700e+00	unspecified
61	4.41900e-03	9.36000e-01	-2.62000e-02	6.33700e-01	-1.68600e-01	unspecified
63	7.57400e-01	2.98000e-63	7.70000e-01	1.44800e-66	9.83700e-01	unspecified
64	7.51400e-01	1.02000e-61	5.32900e-01	7.94400e-26	1.41000e+00	unspecified
65	2.26400e-01	3.03600e-05	1.98800e-01	2.60800e-04	1.13900e+00	unspecified
67	7.36000e-01	4.96200e-58	8.00100e-02	1.45100e-01	9.19900e+00	unspecified
69	7.23400e-01	3.46800e-55	2.62600e-01	1.17300e-06	2.75400e+00	unspecified
71	7.09800e-01	2.64000e-52	4.92000e-01	1.05000e-21	1.44300e+00	unspecified
72	3.61600e-01	1.01100e-11	2.26400e-01	3.03600e-05	1.59700e+00	unspecified
74	9.72800e-02	7.62800e-02	1.10900e-01	4.31300e-02	8.77100e-01	unspecified
76	1.83700e-01	7.54200e-04	3.18800e-01	2.65000e-09	5.76300e-01	unspecified
77	5.11900e-01	1.22500e-23	2.04200e-01	1.75400e-04	2.50700e+00	unspecified
78	1.32700e-01	1.53700e-02	5.25100e-02	3.39500e-01	2.52800e+00	unspecified
79	3.15700e-01	3.86100e-09	2.71400e-01	4.94000e-07	1.16300e+00	unspecified
87	3.18200e-01	2.86000e-09	3.46100e-01	8.35000e-11	9.19300e-01	unspecified
88	-1.30100e-02	8.13000e-01	1.58000e-01	3.84600e-03	-8.23500e-02	unspecified
89	3.09700e-01	7.78300e-09	9.47500e-02	8.42700e-02	3.26900e+00	unspecified
90	2.45800e-01	5.64500e-06	1.90800e-01	4.65000e-04	1.28900e+00	unspecified
98	2.59700e-01	1.55500e-06	2.78500e-01	2.38800e-07	9.32400e-01	unspecified
99	1.48400e-01	6.65800e-03	-4.10600e-02	4.55200e-01	-3.61500e+00	unspecified
100	2.23800e-01	3.76800e-05	-4.10600e-02	4.55200e-01	-5.45100e+00	unspecified
108	1.05400e-01	5.45800e-02	8.18800e-02	1.36000e-01	1.28800e+00	unspecified
109	2.10400e-01	1.09900e-04	9.47500e-02	8.42700e-02	2.22000e+00	unspecified
110	-7.51500e-02	1.71300e-01	8.83100e-02	1.07700e-01	-8.50900e-01	unspecified
113	1.58000e-01	3.84600e-03	9.70700e-02	7.69000e-02	1.62800e+00	unspecified
115	3.12300e-01	5.78300e-09	1.18200e-01	3.10900e-02	2.64200e+00	unspecified
118	1.90800e-01	4.65000e-04	2.08000e-01	1.31600e-04	9.17100e-01	unspecified
120	-1.22300e-01	2.56200e-02	-8.72900e-02	1.11800e-01	1.40100e+00	unspecified
124	9.47500e-02	8.42700e-02	1.05300e-01	5.49100e-02	8.99900e-01	unspecified
127	2.66000e-01	8.47800e-07	2.37100e-01	1.22400e-05	1.12200e+00	unspecified
