Gene	Rho	P_val
ABCB1	-5.205e-02	3.437e-01
ABCC3	5.473e-02	3.194e-01
ABL1	1.229e-01	2.488e-02
ABL2	2.780e-02	6.132e-01
ACTA2	4.986e-02	3.644e-01
ACVR1B	-8.656e-03	8.750e-01
ADGRA2	-1.211e-01	2.711e-02
AJUBA	-1.298e-01	1.779e-02
AKT1	-1.611e-01	3.189e-03
AKT2	1.372e-02	8.030e-01
AKT3	6.814e-02	2.149e-01
ALK	1.132e-01	3.900e-02
ALOX12B	-1.372e-02	8.030e-01
AMER1	-1.664e-01	2.311e-03
ANKRD11	5.332e-02	3.320e-01
APC	-9.116e-02	9.677e-02
APOB	1.015e-01	6.425e-02
AR	1.872e-01	5.938e-04
ARAF	7.352e-02	1.808e-01
ARFRP1	-6.000e-02	2.750e-01
ARHGAP26	-2.226e-02	6.857e-01
ARHGAP35	3.261e-02	5.532e-01
ARID1A	4.874e-02	3.753e-01
ARID1B	-7.031e-02	2.006e-01
ARID2	-2.621e-02	6.336e-01
ARID5B	-1.074e-02	8.452e-01
ASNS	1.594e-01	3.540e-03
ASXL1	9.719e-02	7.653e-02
ASXL2	-1.715e-01	1.683e-03
ATIC	-2.732e-02	6.193e-01
ATM	1.954e-03	9.717e-01
ATP7B	-5.370e-02	3.286e-01
ATR	1.126e-01	3.995e-02
ATRX	-9.934e-02	7.024e-02
AURKA	-1.082e-01	4.843e-02
AURKB	-1.136e-01	3.825e-02
AXIN1	-8.582e-02	1.180e-01
AXIN2	-1.946e-02	7.234e-01
AXL	-1.025e-01	6.181e-02
B2M	-2.304e-02	6.752e-01
BAP1	1.628e-02	7.672e-01
BARD1	8.139e-02	1.383e-01
BCAR1	-1.212e-01	2.698e-02
BCL10	-9.695e-03	8.601e-01
BCL11B	-1.921e-02	7.269e-01
BCL2	4.024e-02	4.643e-01
BCL2L1	-1.646e-01	2.581e-03
BCL2L11	8.663e-02	1.146e-01
BCL2L12	1.140e-01	3.757e-02
BCL2L2	-4.347e-02	4.291e-01
BCL6	7.306e-02	1.835e-01
BCL7A	-4.728e-02	3.898e-01
BCLAF1	4.738e-02	3.887e-01
BCOR	-4.102e-02	4.556e-01
BCORL1	-2.396e-02	6.631e-01
BCR	-8.982e-02	1.018e-01
BIRC3	-1.161e-01	3.416e-02
BLM	-6.355e-02	2.475e-01
BMPR1A	3.509e-02	5.234e-01
BRAF	-5.065e-02	3.569e-01
BRCA1	1.083e-01	4.837e-02
BRCA2	-2.571e-02	6.401e-01
BRD4	-1.052e-01	5.513e-02
BRIP1	-4.647e-02	3.980e-01
BTG1	9.178e-02	9.451e-02
BTK	-8.568e-02	1.187e-01
BUB1B	-1.636e-01	2.742e-03
C11orf65	7.165e-02	1.922e-01
C3orf70	-9.598e-02	8.032e-02
C8orf34	-1.294e-01	1.815e-02
CADM2	-8.207e-02	1.350e-01
CALR	1.416e-01	9.678e-03
CARD11	8.271e-02	1.320e-01
CASP8	-4.235e-02	4.411e-01
CASR	1.199e-01	2.866e-02
CBFB	-4.315e-02	4.325e-01
CBL	-8.816e-02	1.083e-01
CBLB	6.839e-02	2.132e-01
CBLC	1.135e-01	3.840e-02
CBR3	1.457e-01	7.727e-03
CCDC6	-1.357e-01	1.321e-02
CCND1	1.397e-02	7.995e-01
CCND2	2.526e-02	6.460e-01
CCND3	-1.101e-01	4.473e-02
CCNE1	-1.443e-01	8.357e-03
CCNE2	-1.747e-01	1.374e-03
CD19	8.726e-02	1.120e-01
CD22	-7.225e-02	1.884e-01
CD274	9.171e-02	9.475e-02
CD276	9.045e-02	9.942e-02
CD40	5.360e-02	3.295e-01
CD70	2.180e-01	6.022e-05
CD79A	-1.149e-01	3.608e-02
CD79B	4.713e-02	3.913e-01
CDC25A	7.861e-02	1.523e-01
CDC73	6.522e-02	2.353e-01
CDH1	-8.787e-02	1.095e-01
CDH2	-3.523e-02	5.218e-01
CDK12	-1.938e-02	7.246e-01
CDK4	4.619e-02	4.009e-01
CDK5	5.546e-02	3.130e-01
CDK6	-7.178e-03	8.962e-01
CDK8	-1.671e-02	7.613e-01
CDKN1A	-1.571e-02	7.752e-01
CDKN1B	-7.880e-02	1.514e-01
CDKN1C	-1.587e-01	3.692e-03
CDKN2A	-3.298e-01	6.903e-10
CDKN2B	3.392e-01	2.072e-10
CDKN2C	9.958e-02	6.956e-02
CEBPA	5.530e-02	3.143e-01
CEP57	-1.492e-01	6.372e-03
CFTR	-7.123e-02	1.948e-01
CHD2	-7.546e-04	9.891e-01
CHD4	8.266e-02	1.322e-01
CHEK1	2.135e-01	8.586e-05
CHEK2	7.267e-02	1.859e-01
CIC	-2.096e-02	7.031e-01
CIITA	1.525e-02	7.816e-01
CKS1B	1.227e-01	2.518e-02
CREBBP	-8.957e-02	1.028e-01
CRKL	-1.610e-01	3.218e-03
CRLF2	1.072e-01	5.075e-02
CSF1R	2.512e-02	6.479e-01
CSF3R	-7.116e-03	8.971e-01
CTC1	3.657e-03	9.470e-01
CTCF	1.503e-02	7.846e-01
CTLA4	-1.202e-02	8.270e-01
CTNNA1	-4.359e-02	4.278e-01
CTNNB1	-7.666e-02	1.628e-01
CTRC	-1.135e-01	3.837e-02
CUL3	-3.143e-02	5.676e-01
CUX1	1.691e-02	7.585e-01
CXCR4	-4.600e-03	9.334e-01
CYLD	4.624e-02	4.003e-01
CYP1B1	8.240e-02	1.335e-01
CYP2D6	4.790e-02	3.836e-01
CYP3A5	-1.070e-02	8.457e-01
DAXX	7.041e-02	2.000e-01
DDB2	-1.207e-01	2.767e-02
DDR2	-4.316e-02	4.325e-01
DDX3X	8.887e-02	1.055e-01
DICER1	1.341e-01	1.435e-02
DIS3	-1.895e-01	5.095e-04
DIS3L2	-2.291e-02	6.770e-01
DKC1	-1.465e-01	7.392e-03
DMD	-5.427e-02	3.234e-01
DNM2	1.244e-01	2.320e-02
DNMT1	-2.197e-01	5.277e-05
DNMT3A	-2.033e-01	1.877e-04
DNMT3B	-8.673e-02	1.142e-01
DOT1L	-1.550e-01	4.595e-03
DPYD	6.152e-02	2.629e-01
DYNC2H1	7.573e-02	1.680e-01
E2F1	1.192e-01	2.967e-02
E2F2	-1.957e-03	9.716e-01
E2F3	-4.786e-03	9.307e-01
E2F4	-4.954e-02	3.675e-01
E2F5	1.559e-01	4.357e-03
E2F6	-2.967e-02	5.895e-01
EBF1	1.382e-01	1.159e-02
ECT2L	1.285e-01	1.899e-02
EED	-9.658e-02	7.842e-02
EGF	3.234e-02	5.564e-01
EGFL7	-6.885e-02	2.101e-01
EGFR	-9.634e-02	7.917e-02
EGLN1	3.566e-02	5.167e-01
ELF3	-2.670e-01	7.640e-07
ELOC	-1.589e-01	3.657e-03
EMSY	1.380e-01	1.168e-02
ENG	-2.502e-02	6.491e-01
EP300	6.120e-02	2.655e-01
EPCAM	2.413e-01	8.476e-06
EPHA2	2.567e-03	9.628e-01
EPHA3	5.950e-02	2.790e-01
EPHA5	1.027e-01	6.129e-02
