Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.74400e-01	1.62800e-45	6.78300e-01	3.24800e-46	9.94300e-01	unspecified
1	5.66800e-01	1.06400e-29	3.37000e-01	2.73700e-10	1.68200e+00	unspecified
2	2.05900e-01	1.54300e-04	2.18000e-01	6.03200e-05	9.44500e-01	unspecified
3	7.01300e-01	1.40900e-50	6.34300e-01	6.90100e-39	1.10600e+00	unspecified
4	5.21300e-01	1.35000e-24	5.56800e-01	1.65800e-28	9.36200e-01	unspecified
5	4.83500e-01	6.50400e-21	4.97400e-01	3.21500e-22	9.72000e-01	unspecified
10	4.90200e-02	3.72600e-01	1.45000e-02	7.92000e-01	3.38000e+00	unspecified
14	5.48600e-01	1.44400e-27	5.48200e-01	1.62700e-27	1.00100e+00	unspecified
15	4.57100e-01	1.35300e-18	4.15900e-01	2.32500e-15	1.09900e+00	unspecified
16	3.83100e-01	4.39800e-13	3.84000e-01	3.84400e-13	9.97700e-01	unspecified
17	1.57800e-01	3.90200e-03	6.70500e-02	2.22400e-01	2.35300e+00	unspecified
18	6.70500e-02	2.22400e-01	-1.52100e-02	7.82200e-01	-4.40900e+00	unspecified
23	6.21400e-01	5.94800e-37	6.25000e-01	1.72300e-37	9.94100e-01	unspecified
25	5.27400e-01	3.07700e-25	5.25400e-01	5.05100e-25	1.00400e+00	unspecified
26	1.41800e-01	9.57900e-03	2.75800e-02	6.16000e-01	5.14000e+00	unspecified
27	1.16000e-01	3.43300e-02	1.02700e-01	6.11100e-02	1.12900e+00	unspecified
30	2.43000e-01	7.30900e-06	1.12400e-01	4.03600e-02	2.16100e+00	unspecified
31	2.02200e-01	2.03300e-04	1.40600e-01	1.02100e-02	1.43800e+00	unspecified
34	2.12100e-01	9.58600e-05	2.20300e-01	5.03500e-05	9.63100e-01	unspecified
38	1.68500e-01	2.03100e-03	1.99900e-01	2.41700e-04	8.43100e-01	unspecified
39	1.05200e-01	5.50600e-02	7.72600e-02	1.59500e-01	1.36200e+00	unspecified
40	9.15500e-02	9.53500e-02	3.28500e-02	5.50200e-01	2.78700e+00	unspecified
41	1.13800e-01	3.79400e-02	1.15000e-02	8.34400e-01	9.89300e+00	unspecified
49	-7.67000e-02	1.62600e-01	-3.41000e-02	5.35200e-01	2.24900e+00	unspecified
54	1.83400e-01	7.73300e-04	9.22300e-02	9.29000e-02	1.98800e+00	unspecified
57	2.55100e-01	2.41700e-06	1.16200e-01	3.40800e-02	2.19500e+00	unspecified
61	9.32000e-02	8.94900e-02	5.53400e-02	3.14000e-01	1.68400e+00	unspecified
63	6.18400e-01	1.61700e-36	6.05500e-01	1.09200e-34	1.02100e+00	unspecified
64	5.74200e-01	1.35200e-30	4.15900e-01	2.32500e-15	1.38100e+00	unspecified
65	2.83200e-01	1.46300e-07	1.64200e-01	2.64500e-03	1.72500e+00	unspecified
67	5.49500e-01	1.15400e-27	-1.37700e-02	8.02300e-01	-3.99000e+01	unspecified
69	5.73800e-01	1.51800e-30	2.95600e-01	3.86800e-08	1.94100e+00	unspecified
71	5.87500e-01	2.77600e-32	4.26200e-01	3.95700e-16	1.37800e+00	unspecified
72	3.22200e-01	1.75800e-09	2.83200e-01	1.46300e-07	1.13800e+00	unspecified
74	3.91700e-02	4.76300e-01	1.21600e-01	2.64700e-02	3.22100e-01	unspecified
76	1.91300e-01	4.47800e-04	2.39100e-01	1.02700e-05	8.00000e-01	unspecified
77	5.27600e-01	2.94200e-25	3.05200e-01	1.31400e-08	1.72900e+00	unspecified
78	6.74900e-02	2.19300e-01	9.78700e-02	7.45100e-02	6.89600e-01	unspecified
79	7.80700e-02	1.55200e-01	5.78300e-02	2.92700e-01	1.35000e+00	unspecified
87	2.57500e-01	1.91300e-06	2.47800e-01	4.72700e-06	1.03900e+00	unspecified
88	-4.25800e-02	4.38700e-01	-2.64700e-02	6.30300e-01	1.60900e+00	unspecified
89	2.04900e-01	1.66200e-04	5.60400e-02	3.07900e-01	3.65700e+00	unspecified
90	1.86100e-01	6.41000e-04	1.86100e-01	6.43200e-04	1.00000e+00	unspecified
98	1.71800e-01	1.64800e-03	2.57000e-01	2.01200e-06	6.68600e-01	unspecified
99	2.24000e-01	3.70400e-05	3.71400e-02	4.99400e-01	6.03200e+00	unspecified
100	1.21400e-01	2.67200e-02	3.71400e-02	4.99400e-01	3.26900e+00	unspecified
108	9.40600e-02	8.65700e-02	9.23800e-02	9.23700e-02	1.01800e+00	unspecified
109	1.92500e-01	4.10400e-04	5.60400e-02	3.07900e-01	3.43500e+00	unspecified
110	5.62500e-02	3.06100e-01	3.34900e-02	5.42500e-01	1.67900e+00	unspecified
113	-2.64700e-02	6.30300e-01	9.17800e-02	9.45200e-02	-2.88400e-01	unspecified
115	2.20300e-01	5.03500e-05	7.75900e-02	1.57800e-01	2.83900e+00	unspecified
118	1.86100e-01	6.43200e-04	1.97800e-01	2.82200e-04	9.40900e-01	unspecified
120	-4.60100e-02	4.02700e-01	1.58700e-02	7.72900e-01	-2.89800e+00	unspecified
124	5.60400e-02	3.07900e-01	4.62400e-02	4.00300e-01	1.21200e+00	unspecified
127	1.99900e-01	2.41700e-04	2.12200e-01	9.50500e-05	9.41800e-01	unspecified
