Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.29500e-01	1.47600e-56	7.46900e-01	1.26300e-60	9.76700e-01	unspecified
1	5.15500e-01	5.32600e-24	3.45300e-01	9.36600e-11	1.49300e+00	unspecified
2	1.34700e-01	1.38900e-02	2.59300e-01	1.61800e-06	5.19500e-01	unspecified
3	7.32200e-01	3.71000e-57	7.35300e-01	7.32100e-58	9.95800e-01	unspecified
4	5.63800e-01	2.49700e-29	5.53100e-01	4.43300e-28	1.01900e+00	unspecified
5	4.87500e-01	2.80900e-21	4.54900e-01	2.06700e-18	1.07200e+00	unspecified
10	8.55400e-02	1.19300e-01	1.01300e-01	6.47800e-02	8.44200e-01	unspecified
14	6.60300e-01	4.55000e-43	6.59000e-01	7.59000e-43	1.00200e+00	unspecified
15	5.32900e-01	8.04300e-26	4.63700e-01	3.70800e-19	1.14900e+00	unspecified
16	4.34400e-01	9.30400e-17	4.61400e-01	5.84000e-19	9.41400e-01	unspecified
17	1.66700e-01	2.26900e-03	1.71800e-01	1.65100e-03	9.70500e-01	unspecified
18	1.71800e-01	1.65100e-03	2.76100e-02	6.15700e-01	6.22400e+00	unspecified
23	7.09400e-01	3.16500e-52	7.08000e-01	6.13700e-52	1.00200e+00	unspecified
25	5.76200e-01	7.60500e-31	6.04600e-01	1.45200e-34	9.53100e-01	unspecified
26	2.19900e-01	5.19700e-05	-1.88200e-02	7.32300e-01	-1.16800e+01	unspecified
27	7.53700e-02	1.70000e-01	1.32200e-01	1.57500e-02	5.70000e-01	unspecified
30	-1.06900e-01	5.12900e-02	7.38400e-02	1.78900e-01	-1.44800e+00	unspecified
31	2.43200e-01	7.15700e-06	8.07200e-02	1.41600e-01	3.01300e+00	unspecified
34	1.84500e-01	7.15700e-04	2.50200e-01	3.79200e-06	7.37400e-01	unspecified
38	1.06900e-01	5.12400e-02	2.06900e-01	1.42800e-04	5.16700e-01	unspecified
39	2.42300e-01	7.75400e-06	2.40500e-01	9.09800e-06	1.00700e+00	unspecified
40	1.44300e-01	8.35200e-03	1.45200e-01	7.96600e-03	9.94000e-01	unspecified
41	6.11100e-02	2.66100e-01	1.27200e-01	2.02400e-02	4.80400e-01	unspecified
49	-6.89900e-02	2.09200e-01	2.10400e-03	9.69500e-01	-3.27900e+01	unspecified
54	2.50700e-01	3.62600e-06	2.23400e-01	3.88300e-05	1.12200e+00	unspecified
57	1.81300e-01	8.88200e-04	5.05900e-02	3.57400e-01	3.58400e+00	unspecified
61	1.56900e-01	4.10500e-03	8.69900e-02	1.13100e-01	1.80300e+00	unspecified
63	6.73900e-01	2.01100e-45	6.56300e-01	2.11100e-42	1.02700e+00	unspecified
64	6.22500e-01	4.08700e-37	4.63700e-01	3.70800e-19	1.34200e+00	unspecified
65	2.43000e-01	7.31600e-06	2.38800e-01	1.06000e-05	1.01800e+00	unspecified
67	6.46500e-01	8.45300e-41	2.95800e-02	5.90600e-01	2.18600e+01	unspecified
69	6.02000e-01	3.23800e-34	3.41300e-01	1.58400e-10	1.76400e+00	unspecified
71	6.87200e-01	7.24500e-48	4.61200e-01	6.03700e-19	1.49000e+00	unspecified
72	3.54500e-01	2.69900e-11	2.43000e-01	7.31600e-06	1.45900e+00	unspecified
74	3.50200e-02	5.24300e-01	1.46700e-01	7.32300e-03	2.38700e-01	unspecified
76	2.24300e-01	3.63300e-05	2.34500e-01	1.53900e-05	9.56400e-01	unspecified
77	5.00700e-01	1.57400e-22	2.64600e-01	9.72500e-07	1.89200e+00	unspecified
78	1.06500e-01	5.22500e-02	2.77800e-02	6.13500e-01	3.83300e+00	unspecified
79	2.74600e-01	3.59100e-07	2.18200e-01	5.96000e-05	1.25900e+00	unspecified
87	2.30600e-01	2.13600e-05	2.91900e-01	5.78900e-08	7.90100e-01	unspecified
88	8.49800e-02	1.21700e-01	1.39200e-01	1.09700e-02	6.10300e-01	unspecified
89	3.04200e-01	1.46300e-08	-2.89100e-02	5.99200e-01	-1.05300e+01	unspecified
90	1.86500e-01	6.25500e-04	1.40100e-01	1.04900e-02	1.33100e+00	unspecified
98	1.14000e-01	3.76200e-02	2.85300e-01	1.17800e-07	3.99500e-01	unspecified
99	1.70800e-01	1.75500e-03	1.33700e-01	1.46400e-02	1.27800e+00	unspecified
100	1.40600e-01	1.01800e-02	1.33700e-01	1.46400e-02	1.05200e+00	unspecified
108	6.30400e-02	2.51300e-01	7.09600e-02	1.96500e-01	8.88400e-01	unspecified
109	2.03700e-01	1.81700e-04	-2.89100e-02	5.99200e-01	-7.04800e+00	unspecified
110	-7.22300e-02	1.88600e-01	-1.22500e-01	2.54000e-02	5.89700e-01	unspecified
113	1.39200e-01	1.09700e-02	1.30300e-01	1.73400e-02	1.06800e+00	unspecified
115	2.50200e-01	3.79200e-06	1.61300e-01	3.15500e-03	1.55100e+00	unspecified
118	1.40100e-01	1.04900e-02	1.52200e-01	5.37600e-03	9.20200e-01	unspecified
120	1.27000e-01	2.04700e-02	1.06600e-01	5.19000e-02	1.19100e+00	unspecified
124	-2.89100e-02	5.99200e-01	5.93800e-02	2.79900e-01	-4.86800e-01	unspecified
127	2.06900e-01	1.42800e-04	2.61500e-01	1.30400e-06	7.91200e-01	unspecified
