Gene	Rho	P_val
ABCB1	-8.791e-02	1.093e-01
ABCC3	-8.625e-02	1.162e-01
ABL1	1.486e-01	6.586e-03
ABL2	2.155e-01	7.364e-05
ACTA2	-4.412e-02	4.223e-01
ACVR1B	-8.002e-03	8.843e-01
ADGRA2	-1.327e-01	1.537e-02
AJUBA	-6.925e-02	2.075e-01
AKT1	-1.290e-01	1.856e-02
AKT2	-6.832e-02	2.137e-01
AKT3	1.349e-01	1.375e-02
ALK	6.485e-02	2.379e-01
ALOX12B	1.130e-01	3.932e-02
AMER1	-1.159e-01	3.444e-02
ANKRD11	-1.229e-01	2.486e-02
APC	-5.251e-03	9.239e-01
APOB	1.314e-01	1.647e-02
AR	1.959e-01	3.228e-04
ARAF	1.437e-02	7.939e-01
ARFRP1	-1.123e-01	4.057e-02
ARHGAP26	4.125e-02	4.531e-01
ARHGAP35	-3.356e-03	9.514e-01
ARID1A	-3.804e-02	4.890e-01
ARID1B	-7.485e-02	1.730e-01
ARID2	-7.135e-02	1.940e-01
ARID5B	5.621e-02	3.065e-01
ASNS	4.230e-02	4.417e-01
ASXL1	8.176e-02	1.365e-01
ASXL2	-1.239e-01	2.377e-02
ATIC	-3.900e-02	4.781e-01
ATM	-2.257e-02	6.815e-01
ATP7B	-7.519e-03	8.913e-01
ATR	1.714e-01	1.693e-03
ATRX	-9.185e-02	9.427e-02
AURKA	-8.648e-02	1.152e-01
AURKB	-3.589e-02	5.139e-01
AXIN1	8.381e-03	8.789e-01
AXIN2	-8.828e-02	1.078e-01
AXL	-1.013e-01	6.487e-02
B2M	-2.335e-02	6.711e-01
BAP1	-1.421e-01	9.402e-03
BARD1	1.507e-01	5.862e-03
BCAR1	7.749e-02	1.583e-01
BCL10	-2.550e-02	6.429e-01
BCL11B	6.174e-03	9.106e-01
BCL2	5.569e-02	3.109e-01
BCL2L1	-1.216e-01	2.646e-02
BCL2L11	3.932e-02	4.746e-01
BCL2L12	6.271e-02	2.538e-01
BCL2L2	4.526e-02	4.104e-01
BCL6	-1.633e-02	7.666e-01
BCL7A	6.938e-02	2.067e-01
BCLAF1	4.864e-02	3.763e-01
BCOR	1.694e-02	7.581e-01
BCORL1	4.365e-02	4.272e-01
BCR	4.849e-03	9.298e-01
BIRC3	-1.263e-01	2.115e-02
BLM	1.000e-02	8.557e-01
BMPR1A	-3.475e-02	5.274e-01
BRAF	-1.411e-02	7.976e-01
BRCA1	2.011e-01	2.203e-04
BRCA2	-1.125e-01	4.016e-02
BRD4	-3.459e-02	5.293e-01
BRIP1	-7.035e-02	2.004e-01
BTG1	1.160e-01	3.428e-02
BTK	-1.180e-01	3.132e-02
BUB1B	-2.031e-01	1.904e-04
C11orf65	5.719e-02	2.981e-01
C3orf70	-1.606e-01	3.294e-03
C8orf34	3.765e-02	4.935e-01
CADM2	-3.156e-02	5.660e-01
CALR	1.337e-01	1.464e-02
CARD11	1.115e-01	4.202e-02
CASP8	1.229e-01	2.487e-02
CASR	1.785e-01	1.071e-03
CBFB	6.602e-02	2.295e-01
CBL	-7.828e-02	1.541e-01
CBLB	1.262e-01	2.123e-02
CBLC	1.314e-01	1.647e-02
CBR3	1.161e-01	3.411e-02
CCDC6	-1.701e-01	1.836e-03
CCND1	3.365e-03	9.512e-01
CCND2	-9.780e-02	7.472e-02
CCND3	-2.074e-01	1.379e-04
CCNE1	-1.493e-01	6.326e-03
CCNE2	-9.479e-02	8.413e-02
CD19	7.635e-02	1.645e-01
CD22	-1.851e-01	6.885e-04
CD274	2.263e-02	6.807e-01
CD276	1.906e-02	7.290e-01
CD40	7.221e-02	1.887e-01
CD70	1.156e-01	3.494e-02
CD79A	-5.295e-02	3.354e-01
CD79B	2.279e-02	6.786e-01
