Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.16900e-01	8.63800e-54	7.56000e-01	7.17700e-63	9.48300e-01	unspecified
1	5.28400e-01	2.42200e-25	3.77000e-01	1.10000e-12	1.40200e+00	unspecified
2	3.10700e-01	6.94800e-09	3.72000e-01	2.28600e-12	8.35200e-01	unspecified
3	7.91400e-01	9.64700e-73	7.70800e-01	8.57600e-67	1.02700e+00	unspecified
4	5.92000e-01	7.14700e-33	5.81900e-01	1.43000e-31	1.01700e+00	unspecified
5	5.31700e-01	1.06900e-25	4.93600e-01	7.45200e-22	1.07700e+00	unspecified
10	1.21700e-01	2.63800e-02	6.55700e-02	2.32700e-01	1.85600e+00	unspecified
14	6.92600e-01	6.87300e-49	6.92500e-01	7.19900e-49	1.00000e+00	unspecified
15	5.72600e-01	2.11600e-30	5.00700e-01	1.56500e-22	1.14400e+00	unspecified
16	4.74200e-01	4.51100e-20	4.72900e-01	5.88300e-20	1.00300e+00	unspecified
17	1.98800e-01	2.61500e-04	2.10400e-01	1.09200e-04	9.44700e-01	unspecified
18	2.10400e-01	1.09200e-04	1.00900e-01	6.60100e-02	2.08600e+00	unspecified
23	7.64900e-01	3.50200e-65	7.53600e-01	2.90200e-62	1.01500e+00	unspecified
25	5.68700e-01	6.32400e-30	6.16800e-01	2.71500e-36	9.22000e-01	unspecified
26	1.71900e-01	1.63900e-03	1.32000e-01	1.59600e-02	1.30300e+00	unspecified
27	3.13300e-02	5.68900e-01	1.96700e-01	3.04300e-04	1.59200e-01	unspecified
30	-1.33300e-01	1.49600e-02	1.44200e-01	8.39100e-03	-9.23900e-01	unspecified
31	2.09700e-01	1.15700e-04	1.04300e-01	5.73400e-02	2.01100e+00	unspecified
34	2.03800e-01	1.80800e-04	2.89800e-01	7.24900e-08	7.03200e-01	unspecified
38	1.42000e-01	9.44900e-03	2.66300e-01	8.16600e-07	5.33300e-01	unspecified
39	2.56400e-01	2.13400e-06	1.97500e-01	2.87000e-04	1.29800e+00	unspecified
40	2.42000e-01	7.94000e-06	2.34800e-01	1.49500e-05	1.03100e+00	unspecified
41	-1.77700e-02	7.46600e-01	9.45800e-02	8.48300e-02	-1.87900e-01	unspecified
49	-9.18600e-02	9.42100e-02	-3.39000e-02	5.37500e-01	2.71000e+00	unspecified
54	2.17700e-01	6.18500e-05	1.90800e-01	4.62800e-04	1.14100e+00	unspecified
57	1.98500e-01	2.67300e-04	4.84600e-02	3.78100e-01	4.09600e+00	unspecified
61	3.09300e-02	5.73900e-01	4.32100e-02	4.32000e-01	7.15800e-01	unspecified
63	6.92500e-01	7.10100e-49	6.93000e-01	5.77800e-49	9.99300e-01	unspecified
64	6.64100e-01	1.04300e-43	5.00700e-01	1.56500e-22	1.32600e+00	unspecified
65	4.02200e-01	2.23000e-14	3.50400e-01	4.71900e-11	1.14800e+00	unspecified
67	6.35200e-01	4.96200e-39	1.02200e-01	6.24900e-02	6.21600e+00	unspecified
69	6.75800e-01	9.14300e-46	3.97600e-01	4.63100e-14	1.70000e+00	unspecified
71	6.81400e-01	8.63100e-47	5.33400e-01	7.08300e-26	1.27800e+00	unspecified
72	4.39500e-01	3.71600e-17	4.02200e-01	2.23000e-14	1.09300e+00	unspecified
74	2.89500e-02	5.98600e-01	1.06800e-01	5.15600e-02	2.71100e-01	unspecified
76	1.61500e-01	3.12800e-03	2.79800e-01	2.09000e-07	5.77000e-01	unspecified
77	5.07400e-01	3.41600e-23	2.79100e-01	2.24600e-07	1.81800e+00	unspecified
78	1.34900e-01	1.37300e-02	1.00400e-01	6.71400e-02	1.34300e+00	unspecified
79	2.34900e-01	1.48800e-05	1.56500e-01	4.20800e-03	1.50100e+00	unspecified
87	3.32900e-01	4.66200e-10	3.66000e-01	5.43200e-12	9.09600e-01	unspecified
88	2.57200e-02	6.40000e-01	8.75200e-02	1.10900e-01	2.93900e-01	unspecified
89	3.66300e-01	5.21300e-12	5.78400e-02	2.92600e-01	6.33300e+00	unspecified
90	2.59200e-01	1.63900e-06	1.67700e-01	2.14100e-03	1.54600e+00	unspecified
98	2.25700e-01	3.23300e-05	3.04300e-01	1.44800e-08	7.41500e-01	unspecified
99	2.54800e-01	2.46800e-06	-2.42700e-02	6.59000e-01	-1.05000e+01	unspecified
100	1.73700e-01	1.46300e-03	-2.42700e-02	6.59000e-01	-7.15700e+00	unspecified
108	5.80400e-02	2.90900e-01	1.92200e-02	7.26700e-01	3.02000e+00	unspecified
109	1.93000e-01	3.98200e-04	5.78400e-02	2.92600e-01	3.33600e+00	unspecified
110	-7.00600e-02	2.02200e-01	-7.45700e-02	1.74600e-01	9.39500e-01	unspecified
113	8.75200e-02	1.10900e-01	1.65500e-01	2.45500e-03	5.29000e-01	unspecified
115	2.89800e-01	7.24900e-08	1.55400e-01	4.47400e-03	1.86500e+00	unspecified
118	1.67700e-01	2.14100e-03	1.80300e-01	9.47200e-04	9.29700e-01	unspecified
120	-2.66500e-02	6.27900e-01	3.19200e-03	9.53700e-01	-8.35000e+00	unspecified
124	5.78400e-02	2.92600e-01	5.00000e-02	3.63000e-01	1.15700e+00	unspecified
127	2.66300e-01	8.16600e-07	2.57700e-01	1.88400e-06	1.03400e+00	unspecified
