Gene	Rho	P_val
ABCB1	-1.155e-01	3.511e-02
ABCC3	-2.245e-01	3.576e-05
ABL1	2.254e-02	6.819e-01
ABL2	6.652e-02	2.260e-01
ACTA2	-4.875e-02	3.752e-01
ACVR1B	-2.645e-02	6.305e-01
ADGRA2	-9.017e-02	1.005e-01
AJUBA	-3.842e-02	4.848e-01
AKT1	-6.487e-02	2.378e-01
AKT2	-1.201e-01	2.838e-02
AKT3	7.932e-02	1.486e-01
ALK	-1.600e-02	7.711e-01
ALOX12B	2.050e-01	1.651e-04
AMER1	-1.046e-01	5.654e-02
ANKRD11	-8.793e-02	1.092e-01
APC	2.472e-02	6.531e-01
APOB	1.840e-01	7.407e-04
AR	1.708e-01	1.757e-03
ARAF	3.221e-02	5.581e-01
ARFRP1	-1.259e-01	2.151e-02
ARHGAP26	4.312e-02	4.329e-01
ARHGAP35	-2.629e-03	9.619e-01
ARID1A	3.951e-02	4.724e-01
ARID1B	-7.440e-02	1.756e-01
ARID2	-3.642e-02	5.078e-01
ARID5B	3.390e-02	5.376e-01
ASNS	6.993e-02	2.031e-01
ASXL1	2.959e-02	5.906e-01
ASXL2	-5.493e-02	3.176e-01
ATIC	-4.813e-02	3.813e-01
ATM	-4.160e-03	9.397e-01
ATP7B	5.724e-03	9.171e-01
ATR	1.504e-01	5.977e-03
ATRX	-2.605e-01	1.434e-06
AURKA	-1.587e-01	3.682e-03
AURKB	-8.568e-03	8.762e-01
AXIN1	-5.699e-03	9.175e-01
AXIN2	3.695e-02	5.016e-01
AXL	-1.296e-01	1.795e-02
B2M	1.704e-01	1.803e-03
BAP1	-5.405e-02	3.255e-01
BARD1	-8.072e-03	8.833e-01
BCAR1	3.307e-03	9.521e-01
BCL10	-2.678e-02	6.263e-01
BCL11B	4.170e-02	4.482e-01
BCL2	6.297e-02	2.518e-01
BCL2L1	-1.160e-01	3.427e-02
BCL2L11	1.149e-01	3.607e-02
BCL2L12	2.337e-02	6.709e-01
BCL2L2	-2.191e-02	6.904e-01
BCL6	1.938e-02	7.245e-01
BCL7A	1.461e-02	7.906e-01
BCLAF1	3.004e-03	9.565e-01
BCOR	2.589e-02	6.378e-01
BCORL1	-1.737e-02	7.522e-01
BCR	-1.007e-01	6.658e-02
BIRC3	-1.090e-01	4.694e-02
BLM	8.952e-02	1.030e-01
BMPR1A	-1.529e-01	5.160e-03
BRAF	4.868e-02	3.759e-01
BRCA1	1.371e-01	1.227e-02
BRCA2	-4.403e-02	4.232e-01
BRD4	4.367e-02	4.270e-01
BRIP1	5.795e-03	9.161e-01
BTG1	1.253e-02	8.197e-01
BTK	-9.066e-02	9.861e-02
BUB1B	-1.096e-01	4.571e-02
C11orf65	-2.833e-02	6.065e-01
C3orf70	-1.449e-01	8.095e-03
C8orf34	1.268e-02	8.177e-01
CADM2	-4.426e-02	4.208e-01
CALR	3.121e-02	5.703e-01
CARD11	1.167e-01	3.320e-02
CASP8	9.305e-02	9.004e-02
CASR	1.203e-01	2.819e-02
CBFB	1.325e-02	8.096e-01
CBL	-7.073e-02	1.980e-01
CBLB	7.562e-02	1.686e-01
CBLC	1.316e-01	1.623e-02
CBR3	6.444e-02	2.409e-01
CCDC6	-1.089e-01	4.703e-02
CCND1	-4.573e-02	4.055e-01
CCND2	-1.124e-01	4.044e-02
CCND3	-2.921e-02	5.954e-01
CCNE1	-2.261e-01	3.118e-05
CCNE2	-1.313e-01	1.655e-02
CD19	1.155e-01	3.506e-02
CD22	-2.152e-01	7.550e-05
