Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	6.96900e-01	1.01700e-49	6.96000e-01	1.52100e-49	1.00100e+00	unspecified
1	5.20100e-01	1.78700e-24	3.49900e-01	5.03200e-11	1.48600e+00	unspecified
2	2.80700e-01	1.90700e-07	2.85700e-01	1.12300e-07	9.82400e-01	unspecified
3	6.82400e-01	5.73900e-47	6.93500e-01	4.67300e-49	9.84000e-01	unspecified
4	5.58800e-01	9.54700e-29	5.32100e-01	9.70900e-26	1.05000e+00	unspecified
5	4.63200e-01	4.08700e-19	4.68200e-01	1.52300e-19	9.89400e-01	unspecified
10	8.38300e-02	1.26800e-01	-1.41700e-02	7.96700e-01	-5.91600e+00	unspecified
14	6.46400e-01	8.77200e-41	6.47500e-01	5.93100e-41	9.98400e-01	unspecified
15	4.67500e-01	1.75400e-19	4.33500e-01	1.08300e-16	1.07800e+00	unspecified
16	5.16600e-01	4.08600e-24	5.05500e-01	5.36600e-23	1.02200e+00	unspecified
17	1.61500e-01	3.13100e-03	1.22600e-01	2.52900e-02	1.31700e+00	unspecified
18	1.22600e-01	2.52900e-02	7.87100e-02	1.51800e-01	1.55700e+00	unspecified
23	6.42300e-01	3.97800e-40	6.49900e-01	2.37500e-41	9.88200e-01	unspecified
25	5.15100e-01	5.79400e-24	5.90200e-01	1.22200e-32	8.72800e-01	unspecified
26	2.54100e-01	2.63300e-06	1.03100e-01	6.00900e-02	2.46400e+00	unspecified
27	9.62500e-02	7.94700e-02	6.55200e-02	2.33100e-01	1.46900e+00	unspecified
30	1.32400e-01	1.56100e-02	1.41000e-01	9.96800e-03	9.38800e-01	unspecified
31	2.43200e-01	7.18800e-06	8.68500e-02	1.13700e-01	2.80000e+00	unspecified
34	1.89900e-01	4.95400e-04	2.23500e-01	3.85800e-05	8.49400e-01	unspecified
38	1.16900e-01	3.29700e-02	2.31500e-01	1.98600e-05	5.05000e-01	unspecified
39	1.45700e-01	7.75200e-03	1.45300e-01	7.89600e-03	1.00200e+00	unspecified
40	1.85000e-01	6.94400e-04	2.01000e-01	2.23100e-04	9.20300e-01	unspecified
41	3.45300e-02	5.30100e-01	7.71900e-02	1.59900e-01	4.47300e-01	unspecified
49	-8.42700e-02	1.24800e-01	-8.33300e-02	1.29100e-01	1.01100e+00	unspecified
54	1.50500e-01	5.92200e-03	1.71800e-01	1.65500e-03	8.76300e-01	unspecified
57	1.77100e-01	1.17300e-03	3.93600e-02	4.74100e-01	4.50000e+00	unspecified
61	1.50300e-01	5.98000e-03	4.74900e-02	3.87700e-01	3.16600e+00	unspecified
63	5.90900e-01	9.85500e-33	5.84400e-01	6.92500e-32	1.01100e+00	unspecified
64	5.72500e-01	2.19500e-30	4.33500e-01	1.08300e-16	1.32000e+00	unspecified
65	1.98400e-01	2.68600e-04	2.35600e-01	1.39300e-05	8.42200e-01	unspecified
67	6.19600e-01	1.09600e-36	1.19600e-01	2.90500e-02	5.17900e+00	unspecified
69	6.07500e-01	5.67500e-35	2.99900e-01	2.39900e-08	2.02600e+00	unspecified
71	6.14700e-01	5.49300e-36	4.73500e-01	5.17800e-20	1.29800e+00	unspecified
72	2.57100e-01	2.00200e-06	1.98400e-01	2.68600e-04	1.29500e+00	unspecified
74	1.66000e-01	2.38100e-03	2.25000e-01	3.40600e-05	7.37400e-01	unspecified
76	1.34600e-01	1.39800e-02	2.54100e-01	2.63300e-06	5.29600e-01	unspecified
77	5.40600e-01	1.14000e-26	1.80900e-01	9.15700e-04	2.98900e+00	unspecified
78	-1.01300e-02	8.53900e-01	1.42800e-02	7.95200e-01	-7.09400e-01	unspecified
79	2.26500e-01	3.01000e-05	1.47300e-01	7.10600e-03	1.53800e+00	unspecified
87	2.46800e-01	5.19400e-06	2.10500e-01	1.08600e-04	1.17200e+00	unspecified
88	-4.80800e-02	3.81800e-01	7.67800e-02	1.62200e-01	-6.26200e-01	unspecified
89	1.93900e-01	3.71500e-04	6.60600e-02	2.29300e-01	2.93600e+00	unspecified
90	2.62900e-01	1.14800e-06	1.73300e-01	1.50300e-03	1.51700e+00	unspecified
98	2.51600e-01	3.34100e-06	2.92000e-01	5.71400e-08	8.61500e-01	unspecified
99	2.57000e-01	2.01800e-06	2.51200e-02	6.47800e-01	1.02300e+01	unspecified
100	1.27500e-01	1.99300e-02	2.51200e-02	6.47800e-01	5.07600e+00	unspecified
108	2.64900e-02	6.30000e-01	8.73100e-03	8.73900e-01	3.03400e+00	unspecified
109	1.51500e-01	5.61000e-03	6.60600e-02	2.29300e-01	2.29300e+00	unspecified
110	5.32100e-02	3.33000e-01	8.02400e-02	1.44000e-01	6.63200e-01	unspecified
113	7.67800e-02	1.62200e-01	1.29100e-01	1.84400e-02	5.94800e-01	unspecified
115	2.23500e-01	3.85800e-05	1.45600e-01	7.77200e-03	1.53500e+00	unspecified
118	1.73300e-01	1.50300e-03	1.95000e-01	3.43200e-04	8.88400e-01	unspecified
120	4.17900e-02	4.47200e-01	8.87900e-02	1.05800e-01	4.70600e-01	unspecified
124	6.60600e-02	2.29300e-01	4.54200e-02	4.08700e-01	1.45500e+00	unspecified
127	2.31500e-01	1.98600e-05	2.27900e-01	2.68500e-05	1.01600e+00	unspecified
