Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.05500e-01	2.02300e-51	7.31600e-01	4.98600e-57	9.64200e-01	unspecified
1	5.96100e-01	2.06100e-33	3.05900e-01	1.21100e-08	1.94900e+00	unspecified
2	2.94400e-01	4.38900e-08	2.78100e-01	2.50400e-07	1.05900e+00	unspecified
3	7.04200e-01	3.69100e-51	6.57600e-01	1.28600e-42	1.07100e+00	unspecified
4	5.71900e-01	2.56700e-30	5.73600e-01	1.56700e-30	9.97000e-01	unspecified
5	5.22500e-01	1.00100e-24	5.12500e-01	1.05700e-23	1.01900e+00	unspecified
10	6.14500e-02	2.63500e-01	1.82200e-02	7.40400e-01	3.37200e+00	unspecified
14	6.09400e-01	3.03800e-35	6.11300e-01	1.68200e-35	9.97000e-01	unspecified
15	4.82100e-01	8.70000e-21	4.43300e-01	1.83000e-17	1.08800e+00	unspecified
16	4.44800e-01	1.39800e-17	4.48900e-01	6.40000e-18	9.90700e-01	unspecified
17	1.81700e-01	8.64500e-04	1.84200e-01	7.32600e-04	9.86700e-01	unspecified
18	1.84200e-01	7.32600e-04	1.64700e-01	2.57100e-03	1.11800e+00	unspecified
23	6.05900e-01	9.55200e-35	6.30400e-01	2.76200e-38	9.61200e-01	unspecified
25	5.72400e-01	2.20700e-30	5.59800e-01	7.34100e-29	1.02300e+00	unspecified
26	1.07300e-01	5.03600e-02	9.60100e-02	8.02100e-02	1.11800e+00	unspecified
27	8.41900e-02	1.25200e-01	9.32500e-02	8.93400e-02	9.02900e-01	unspecified
30	1.14500e-01	3.67900e-02	1.51000e-01	5.76100e-03	7.58100e-01	unspecified
31	2.73500e-01	3.99300e-07	2.11800e-01	9.86700e-05	1.29200e+00	unspecified
34	2.59400e-01	1.59900e-06	3.16200e-01	3.60700e-09	8.20300e-01	unspecified
38	-5.31500e-02	3.33600e-01	1.88900e-01	5.30600e-04	-2.81400e-01	unspecified
39	1.73400e-01	1.48900e-03	9.47400e-02	8.43000e-02	1.83000e+00	unspecified
40	9.77300e-02	7.49200e-02	5.23300e-02	3.41100e-01	1.86800e+00	unspecified
41	7.40600e-02	1.77600e-01	-1.82500e-02	7.40000e-01	-4.05800e+00	unspecified
49	1.55700e-01	4.40800e-03	1.23100e-01	2.47300e-02	1.26500e+00	unspecified
54	2.01100e-01	2.20200e-04	1.41000e-01	9.99000e-03	1.42700e+00	unspecified
57	2.33000e-01	1.74500e-05	1.97400e-01	2.90000e-04	1.18000e+00	unspecified
61	5.12100e-02	3.51500e-01	2.67200e-02	6.27100e-01	1.91700e+00	unspecified
63	6.19400e-01	1.16600e-36	6.18700e-01	1.48500e-36	1.00100e+00	unspecified
64	5.99800e-01	6.45400e-34	4.43300e-01	1.83000e-17	1.35300e+00	unspecified
65	3.13000e-01	5.30800e-09	2.55700e-01	2.27100e-06	1.22400e+00	unspecified
67	5.79300e-01	3.10500e-31	-8.99300e-02	1.01400e-01	-6.44200e+00	unspecified
69	6.01300e-01	4.09900e-34	3.28100e-01	8.45600e-10	1.83200e+00	unspecified
71	5.47900e-01	1.77100e-27	4.49400e-01	5.88700e-18	1.21900e+00	unspecified
72	3.52700e-01	3.44800e-11	3.13000e-01	5.30800e-09	1.12700e+00	unspecified
74	-1.98000e-02	7.18900e-01	2.12400e-02	6.99400e-01	-9.32300e-01	unspecified
76	2.44300e-01	6.50800e-06	3.11700e-01	6.19500e-09	7.83700e-01	unspecified
77	4.65900e-01	2.42600e-19	2.38200e-01	1.11700e-05	1.95600e+00	unspecified
78	1.15200e-01	3.56900e-02	7.41800e-02	1.76900e-01	1.55200e+00	unspecified
79	2.30600e-01	2.14300e-05	1.68200e-01	2.06600e-03	1.37100e+00	unspecified
87	3.10200e-01	7.33200e-09	3.03300e-01	1.63200e-08	1.02300e+00	unspecified
88	-8.95400e-02	1.02900e-01	1.20900e-02	8.26000e-01	-7.40400e+00	unspecified
89	2.88400e-01	8.40700e-08	1.61700e-01	3.07700e-03	1.78300e+00	unspecified
90	2.04800e-01	1.67600e-04	1.85500e-01	6.67600e-04	1.10400e+00	unspecified
98	1.93800e-01	3.74000e-04	1.85800e-01	6.57800e-04	1.04400e+00	unspecified
99	1.49200e-01	6.38900e-03	4.94900e-02	3.67900e-01	3.01400e+00	unspecified
100	9.79700e-02	7.42200e-02	4.94900e-02	3.67900e-01	1.97900e+00	unspecified
108	1.38700e-01	1.12600e-02	1.37200e-01	1.21900e-02	1.01100e+00	unspecified
109	2.00300e-01	2.35200e-04	1.61700e-01	3.07700e-03	1.23800e+00	unspecified
110	-2.82900e-02	6.07000e-01	-4.05700e-02	4.60600e-01	6.97300e-01	unspecified
113	1.20900e-02	8.26000e-01	8.95700e-02	1.02700e-01	1.35000e-01	unspecified
115	3.16200e-01	3.60700e-09	2.40800e-01	8.83000e-06	1.31300e+00	unspecified
118	1.85500e-01	6.67600e-04	1.79900e-01	9.75000e-04	1.03100e+00	unspecified
120	7.23800e-04	9.89500e-01	6.59100e-03	9.04600e-01	1.09800e-01	unspecified
124	1.61700e-01	3.07700e-03	1.72800e-01	1.55100e-03	9.36100e-01	unspecified
127	1.88900e-01	5.30600e-04	3.08600e-01	8.89800e-09	6.12100e-01	unspecified
