Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.14500e-01	2.77900e-53	7.49600e-01	2.72000e-61	9.53100e-01	unspecified
1	5.58100e-01	1.16800e-28	3.75200e-01	1.42000e-12	1.48700e+00	unspecified
2	1.77900e-01	1.11200e-03	3.14900e-01	4.24200e-09	5.65000e-01	unspecified
3	7.30300e-01	1.00800e-56	6.84700e-01	2.18300e-47	1.06700e+00	unspecified
4	5.76300e-01	7.28600e-31	5.90900e-01	9.90700e-33	9.75300e-01	unspecified
5	5.09500e-01	2.15400e-23	5.07800e-01	3.13400e-23	1.00300e+00	unspecified
10	1.84500e-01	7.17500e-04	2.05500e-01	1.59400e-04	8.97800e-01	unspecified
14	5.34900e-01	4.87800e-26	5.44600e-01	4.11300e-27	9.82100e-01	unspecified
15	4.18800e-01	1.41300e-15	3.89800e-01	1.57600e-13	1.07400e+00	unspecified
16	3.59200e-01	1.40000e-11	4.23300e-01	6.50700e-16	8.48600e-01	unspecified
17	1.91700e-01	4.36200e-04	1.77100e-01	1.17600e-03	1.08200e+00	unspecified
18	1.77100e-01	1.17600e-03	2.07100e-01	1.41000e-04	8.55000e-01	unspecified
23	6.31300e-01	1.95600e-38	6.05300e-01	1.14400e-34	1.04300e+00	unspecified
25	6.24300e-01	2.24900e-37	5.99600e-01	6.95600e-34	1.04100e+00	unspecified
26	1.27800e-01	1.96700e-02	2.30700e-01	2.12500e-05	5.53900e-01	unspecified
27	1.80700e-01	9.26500e-04	8.38900e-02	1.26600e-01	2.15400e+00	unspecified
30	2.20900e-01	4.76700e-05	7.94100e-03	8.85200e-01	2.78200e+01	unspecified
31	2.44200e-01	6.57600e-06	2.08500e-01	1.26900e-04	1.17100e+00	unspecified
34	3.21200e-01	1.98100e-09	3.29600e-01	7.03300e-10	9.74500e-01	unspecified
38	7.41000e-02	1.77400e-01	1.38700e-01	1.13000e-02	5.34300e-01	unspecified
39	2.17700e-01	6.20100e-05	2.22100e-01	4.33800e-05	9.80000e-01	unspecified
40	1.28200e-01	1.93000e-02	5.54800e-02	3.12800e-01	2.31000e+00	unspecified
41	7.70700e-03	8.88600e-01	4.46500e-02	4.16700e-01	1.72600e-01	unspecified
49	1.30300e-01	1.73900e-02	1.19700e-01	2.89600e-02	1.08800e+00	unspecified
54	3.16100e-01	3.68200e-09	2.58800e-01	1.70100e-06	1.22100e+00	unspecified
57	2.42200e-01	7.85100e-06	2.09100e-01	1.21000e-04	1.15800e+00	unspecified
61	1.58700e-01	3.69900e-03	8.20300e-02	1.35200e-01	1.93400e+00	unspecified
63	6.36400e-01	3.28000e-39	6.35500e-01	4.58000e-39	1.00100e+00	unspecified
64	5.71100e-01	3.26500e-30	3.89800e-01	1.57600e-13	1.46500e+00	unspecified
65	3.82600e-01	4.75100e-13	3.11900e-01	6.01300e-09	1.22700e+00	unspecified
67	5.03200e-01	8.90200e-23	4.80900e-02	3.81700e-01	1.04600e+01	unspecified
69	5.65600e-01	1.51700e-29	3.78500e-01	8.80000e-13	1.49400e+00	unspecified
71	5.51800e-01	6.35500e-28	4.33200e-01	1.16000e-16	1.27400e+00	unspecified
72	4.03600e-01	1.78200e-14	3.82600e-01	4.75100e-13	1.05500e+00	unspecified
74	7.62500e-02	1.65100e-01	3.55400e-02	5.18100e-01	2.14600e+00	unspecified
76	3.24900e-01	1.26000e-09	3.37300e-01	2.64200e-10	9.63200e-01	unspecified
77	4.05000e-01	1.40700e-14	1.46400e-01	7.43700e-03	2.76600e+00	unspecified
78	2.14600e-01	7.92700e-05	1.90300e-01	4.81000e-04	1.12800e+00	unspecified
79	1.09500e-01	4.59100e-02	8.82400e-02	1.08000e-01	1.24100e+00	unspecified
87	3.03100e-01	1.66200e-08	3.03700e-01	1.55100e-08	9.98000e-01	unspecified
88	-3.50300e-02	5.24100e-01	3.72000e-02	4.98700e-01	-9.41600e-01	unspecified
89	2.91300e-01	6.18700e-08	1.62600e-01	2.92700e-03	1.79200e+00	unspecified
90	1.70900e-01	1.75300e-03	1.70100e-01	1.84400e-03	1.00500e+00	unspecified
98	1.02000e-01	6.31200e-02	1.89100e-01	5.23700e-04	5.39300e-01	unspecified
99	1.07100e-01	5.07600e-02	-6.05600e-02	2.70500e-01	-1.76900e+00	unspecified
100	1.76300e-01	1.23900e-03	-6.05600e-02	2.70500e-01	-2.91100e+00	unspecified
108	4.38300e-02	4.25300e-01	6.60500e-02	2.29300e-01	6.63600e-01	unspecified
109	2.06800e-01	1.44100e-04	1.62600e-01	2.92700e-03	1.27200e+00	unspecified
110	2.82500e-02	6.07500e-01	4.57200e-03	9.33800e-01	6.17900e+00	unspecified
113	3.72000e-02	4.98700e-01	1.08600e-03	9.84200e-01	3.42500e+01	unspecified
115	3.29600e-01	7.03300e-10	2.38000e-01	1.13300e-05	1.38500e+00	unspecified
118	1.70100e-01	1.84400e-03	1.63700e-01	2.73000e-03	1.03900e+00	unspecified
120	4.39900e-03	9.36300e-01	-3.26900e-02	5.52200e-01	-1.34600e-01	unspecified
124	1.62600e-01	2.92700e-03	1.53900e-01	4.87700e-03	1.05600e+00	unspecified
127	1.38700e-01	1.13000e-02	1.31900e-01	1.60400e-02	1.05100e+00	unspecified
