Gene	Rho	P_val
ABCB1	-1.046e-01	5.643e-02
ABCC3	-9.886e-02	7.159e-02
ABL1	6.156e-02	2.626e-01
ABL2	1.915e-01	4.401e-04
ACTA2	3.490e-02	5.257e-01
ACVR1B	5.798e-02	2.914e-01
ADGRA2	-8.459e-02	1.234e-01
AJUBA	-4.951e-03	9.283e-01
AKT1	-1.608e-01	3.253e-03
AKT2	-1.262e-01	2.129e-02
AKT3	1.801e-01	9.634e-04
ALK	-7.791e-02	1.560e-01
ALOX12B	9.514e-02	8.300e-02
AMER1	-1.648e-01	2.560e-03
ANKRD11	-1.061e-01	5.298e-02
APC	3.889e-02	4.794e-01
APOB	1.687e-01	2.007e-03
AR	2.618e-01	1.268e-06
ARAF	9.011e-02	1.007e-01
ARFRP1	-2.045e-01	1.720e-04
ARHGAP26	2.288e-02	6.774e-01
ARHGAP35	-7.702e-03	8.886e-01
ARID1A	4.967e-02	3.662e-01
ARID1B	1.007e-02	8.548e-01
ARID2	-1.106e-01	4.366e-02
ARID5B	5.033e-02	3.599e-01
ASNS	1.048e-01	5.617e-02
ASXL1	6.166e-02	2.618e-01
ASXL2	-1.425e-02	7.955e-01
ATIC	-7.718e-02	1.599e-01
ATM	-4.690e-02	3.936e-01
ATP7B	-7.995e-02	1.454e-01
ATR	1.699e-01	1.860e-03
ATRX	-2.204e-01	4.981e-05
AURKA	-2.128e-01	9.062e-05
AURKB	-1.004e-01	6.740e-02
AXIN1	1.207e-01	2.766e-02
AXIN2	-6.050e-02	2.709e-01
AXL	-5.655e-02	3.035e-01
B2M	1.179e-01	3.148e-02
BAP1	-8.373e-02	1.273e-01
BARD1	2.033e-02	7.116e-01
BCAR1	3.885e-02	4.799e-01
BCL10	1.030e-01	6.037e-02
BCL11B	-5.268e-02	3.379e-01
BCL2	7.103e-02	1.960e-01
BCL2L1	-2.506e-01	3.654e-06
BCL2L11	-2.786e-02	6.125e-01
BCL2L12	-6.841e-03	9.010e-01
BCL2L2	-1.293e-01	1.829e-02
BCL6	1.332e-01	1.504e-02
BCL7A	8.052e-02	1.426e-01
BCLAF1	1.172e-01	3.250e-02
BCOR	-9.764e-02	7.520e-02
BCORL1	7.229e-02	1.882e-01
BCR	3.081e-04	9.955e-01
BIRC3	-1.101e-01	4.473e-02
BLM	-7.903e-03	8.858e-01
BMPR1A	-1.309e-01	1.685e-02
BRAF	1.357e-02	8.052e-01
BRCA1	2.833e-01	1.447e-07
BRCA2	-1.118e-01	4.140e-02
BRD4	1.166e-01	3.344e-02
BRIP1	-2.462e-02	6.544e-01
BTG1	-2.871e-02	6.017e-01
BTK	-1.052e-01	5.514e-02
BUB1B	-2.903e-01	6.919e-08
C11orf65	-5.155e-02	3.483e-01
C3orf70	-1.297e-01	1.789e-02
C8orf34	1.074e-01	5.013e-02
CADM2	-1.077e-01	4.957e-02
CALR	4.846e-03	9.298e-01
CARD11	1.304e-01	1.732e-02
CASP8	1.097e-01	4.547e-02
CASR	2.092e-01	1.200e-04
CBFB	5.114e-02	3.522e-01
CBL	-1.645e-01	2.601e-03
CBLB	2.441e-02	6.572e-01
CBLC	1.401e-01	1.050e-02
CBR3	4.845e-02	3.782e-01
CCDC6	-6.935e-02	2.068e-01
CCND1	3.196e-02	5.611e-01
CCND2	-1.321e-01	1.589e-02
CCND3	-1.752e-01	1.325e-03
CCNE1	-1.296e-01	1.799e-02
CCNE2	-5.060e-02	3.573e-01
CD19	6.411e-02	2.434e-01
CD22	-1.870e-01	6.049e-04
CD274	3.426e-02	5.332e-01
CD276	2.862e-02	6.027e-01
CD40	1.621e-01	3.018e-03
CD70	5.044e-02	3.588e-01
CD79A	-1.371e-01	1.225e-02
CD79B	8.612e-02	1.168e-01
CDC25A	5.503e-02	3.167e-01
CDC73	2.404e-01	9.211e-06
CDH1	-2.257e-01	3.218e-05
CDH2	-4.939e-02	3.690e-01
CDK12	2.128e-03	9.691e-01
CDK4	-2.605e-02	6.358e-01
CDK5	-1.482e-02	7.876e-01
CDK6	5.891e-02	2.838e-01
CDK8	2.146e-01	7.872e-05
CDKN1A	3.849e-02	4.839e-01
CDKN1B	-5.325e-02	3.326e-01
CDKN1C	-1.531e-01	5.118e-03
CDKN2A	-4.266e-01	3.728e-16
CDKN2B	4.041e-01	1.628e-14
CDKN2C	3.378e-02	5.390e-01
CEBPA	1.707e-01	1.775e-03
CEP57	-7.766e-02	1.574e-01
CFTR	-1.697e-01	1.888e-03
CHD2	-8.917e-02	1.043e-01
CHD4	1.775e-01	1.145e-03
CHEK1	1.656e-01	2.428e-03
CHEK2	-1.848e-01	7.003e-04
CIC	3.717e-02	4.990e-01
CIITA	-3.701e-02	5.009e-01
CKS1B	2.026e-01	1.971e-04
CREBBP	-8.222e-03	8.812e-01
CRKL	-1.811e-01	8.984e-04
CRLF2	1.393e-01	1.093e-02
CSF1R	-1.151e-02	8.342e-01
CSF3R	6.316e-02	2.504e-01
CTC1	-1.097e-02	8.419e-01
CTCF	-7.744e-02	1.586e-01
CTLA4	-1.409e-01	1.004e-02
CTNNA1	-1.179e-01	3.156e-02
CTNNB1	1.425e-03	9.793e-01
CTRC	-1.187e-01	3.040e-02
CUL3	-1.358e-01	1.312e-02
CUX1	3.663e-02	5.053e-01
CXCR4	2.302e-02	6.756e-01
CYLD	6.187e-02	2.602e-01
CYP1B1	-4.037e-02	4.628e-01
CYP2D6	-2.068e-02	7.069e-01
CYP3A5	-3.099e-02	5.731e-01
DAXX	-8.467e-02	1.230e-01
DDB2	-1.356e-01	1.329e-02
DDR2	-1.721e-01	1.620e-03
DDX3X	6.486e-02	2.379e-01
DICER1	2.260e-01	3.155e-05
DIS3	-2.763e-01	3.002e-07
DIS3L2	-1.280e-01	1.943e-02
DKC1	-1.251e-01	2.239e-02
DMD	2.545e-02	6.436e-01
DNM2	-8.646e-02	1.153e-01
DNMT1	5.287e-02	3.361e-01
DNMT3A	-6.134e-02	2.643e-01
DNMT3B	-1.539e-01	4.890e-03
DOT1L	-6.669e-02	2.248e-01
DPYD	-8.199e-02	1.354e-01
DYNC2H1	-4.587e-02	4.040e-01
E2F1	1.012e-01	6.523e-02
E2F2	9.925e-02	7.047e-02
E2F3	-4.605e-02	4.023e-01
E2F4	8.846e-02	1.071e-01
E2F5	-3.807e-02	4.887e-01
E2F6	-9.244e-02	9.217e-02
EBF1	-8.265e-02	1.323e-01
ECT2L	-1.246e-02	8.208e-01
EED	-3.746e-02	4.957e-01
EGF	-9.611e-02	7.988e-02
EGFL7	-8.553e-02	1.193e-01
EGFR	-3.351e-02	5.423e-01
EGLN1	-3.746e-02	4.957e-01
ELF3	-1.015e-01	6.423e-02
ELOC	3.193e-02	5.615e-01
EMSY	1.442e-01	8.419e-03
ENG	-6.234e-02	2.566e-01
EP300	-1.112e-01	4.256e-02
EPCAM	1.607e-01	3.271e-03
EPHA2	-4.928e-02	3.700e-01
EPHA3	4.656e-02	3.971e-01
EPHA5	1.891e-01	5.204e-04
EPHA7	1.226e-01	2.531e-02
EPHB1	7.052e-02	1.993e-01
EPHB2	1.081e-01	4.883e-02
EPOR	2.645e-02	6.306e-01
ERBB2	-1.209e-01	2.742e-02
ERBB3	-5.071e-02	3.562e-01
ERBB4	1.068e-02	8.460e-01
ERCC1	1.280e-02	8.160e-01
ERCC2	-7.451e-02	1.750e-01
ERCC3	1.036e-01	5.886e-02
ERCC4	1.209e-01	2.736e-02
ERCC5	1.013e-01	6.478e-02
ERCC6	-4.718e-02	3.907e-01
ERG	-1.397e-01	1.068e-02
ERRFI1	-7.506e-02	1.718e-01
ESR1	2.339e-02	6.706e-01
ESR2	-1.452e-01	7.959e-03
ETS1	-1.227e-01	2.520e-02
ETS2	1.258e-01	2.172e-02
ETV1	1.297e-01	1.787e-02
ETV4	6.977e-02	2.041e-01
ETV5	-1.759e-01	1.270e-03
ETV6	-8.919e-02	1.042e-01
EWSR1	-1.288e-01	1.871e-02
EXT2	-2.736e-03	9.603e-01
EZH2	9.943e-04	9.856e-01
FAM46C	-6.811e-03	9.015e-01
FANCA	-4.935e-02	3.694e-01
FANCB	-6.206e-03	9.102e-01
FANCC	1.447e-02	7.926e-01
FANCD2	1.082e-02	8.441e-01
FANCE	-1.263e-01	2.118e-02
FANCF	-1.527e-02	7.814e-01
FANCG	-1.070e-01	5.118e-02
FANCI	-7.467e-02	1.740e-01
FANCL	-5.391e-02	3.267e-01
FANCM	6.576e-02	2.314e-01
FAS	9.329e-02	8.920e-02
FAT1	-1.066e-01	5.198e-02
FBXO11	-4.245e-03	9.385e-01
FBXW7	-1.220e-01	2.605e-02
