Term	P_rho	P_pval	C_rho	C_pval	RLIPP
0	6.588e-01	8.175e-43	7.636e-01	7.452e-65	8.627e-01
1	4.703e-01	9.988e-20	3.858e-01	2.917e-13	1.219e+00
2	1.886e-01	5.422e-04	3.047e-01	1.387e-08	6.188e-01
3	7.947e-01	9.766e-74	7.978e-01	1.014e-74	9.961e-01
4	6.848e-01	2.050e-47	6.591e-01	7.164e-43	1.039e+00
5	5.492e-01	1.255e-27	4.984e-01	2.617e-22	1.102e+00
10	2.165e-01	6.781e-05	1.645e-01	2.601e-03	1.316e+00
14	7.174e-01	6.650e-54	7.268e-01	6.069e-56	9.871e-01
15	5.487e-01	1.426e-27	5.214e-01	1.311e-24	1.052e+00
16	5.729e-01	1.946e-30	6.149e-01	5.206e-36	9.317e-01
17	2.475e-01	4.881e-06	2.128e-01	9.110e-05	1.163e+00
18	2.128e-01	9.110e-05	1.665e-01	2.305e-03	1.278e+00
23	8.224e-01	4.548e-83	8.193e-01	6.083e-82	1.004e+00
25	6.717e-01	4.828e-45	6.963e-01	1.349e-49	9.647e-01
26	1.558e-01	4.371e-03	5.388e-02	3.270e-01	2.892e+00
27	2.068e-01	1.437e-04	1.342e-01	1.424e-02	1.541e+00
30	-3.123e-02	5.702e-01	2.324e-02	6.726e-01	-1.343e+00
31	2.189e-01	5.607e-05	1.410e-01	9.965e-03	1.552e+00
34	3.763e-01	1.222e-12	2.533e-01	2.842e-06	1.485e+00
38	2.001e-01	2.380e-04	1.322e-01	1.582e-02	1.514e+00
39	2.814e-01	1.779e-07	2.948e-01	4.201e-08	9.544e-01
40	2.501e-01	3.815e-06	1.526e-01	5.248e-03	1.639e+00
41	1.318e-01	1.609e-02	2.031e-01	1.899e-04	6.489e-01
49	-9.748e-02	7.568e-02	-6.829e-02	2.139e-01	1.427e+00
54	1.531e-01	5.112e-03	2.077e-01	1.347e-04	7.371e-01
57	2.043e-01	1.747e-04	9.474e-02	8.430e-02	2.156e+00
61	1.287e-01	1.877e-02	9.655e-02	7.850e-02	1.333e+00
63	7.102e-01	2.135e-52	7.231e-01	3.850e-55	9.821e-01
64	6.831e-01	4.344e-47	5.214e-01	1.311e-24	1.310e+00
65	4.695e-01	1.179e-19	4.532e-01	2.854e-18	1.036e+00
67	6.930e-01	5.868e-49	2.215e-01	4.563e-05	3.129e+00
69	7.427e-01	1.335e-59	5.278e-01	2.782e-25	1.407e+00
71	7.606e-01	4.632e-64	6.323e-01	1.424e-38	1.203e+00
72	5.103e-01	1.773e-23	4.695e-01	1.179e-19	1.087e+00
74	1.259e-01	2.156e-02	5.756e-02	2.950e-01	2.188e+00
76	2.873e-01	9.501e-08	2.521e-01	3.190e-06	1.140e+00
77	5.931e-01	5.049e-33	7.532e-02	1.703e-01	7.875e+00
78	1.402e-01	1.041e-02	3.317e-02	5.464e-01	4.227e+00
79	2.360e-01	1.350e-05	1.728e-01	1.553e-03	1.366e+00
87	3.074e-01	1.020e-08	3.021e-01	1.856e-08	1.017e+00
88	1.085e-01	4.783e-02	1.545e-01	4.724e-03	7.026e-01
89	2.391e-01	1.030e-05	3.379e-03	9.510e-01	7.076e+01
90	2.299e-01	2.272e-05	1.527e-01	5.229e-03	1.505e+00
98	1.572e-01	4.021e-03	2.098e-01	1.152e-04	7.497e-01
99	1.598e-01	3.453e-03	1.481e-01	6.800e-03	1.079e+00
100	1.662e-01	2.351e-03	1.481e-01	6.800e-03	1.122e+00
108	9.210e-02	9.336e-02	8.232e-02	1.339e-01	1.119e+00
109	9.480e-02	8.411e-02	3.379e-03	9.510e-01	2.806e+01
110	1.205e-01	2.784e-02	1.117e-01	4.155e-02	1.079e+00
113	1.545e-01	4.724e-03	1.494e-01	6.324e-03	1.034e+00
115	2.533e-01	2.842e-06	2.580e-01	1.833e-06	9.819e-01
118	1.527e-01	5.229e-03	1.572e-01	4.039e-03	9.716e-01
120	2.766e-02	6.150e-01	3.718e-02	4.990e-01	7.440e-01
124	3.379e-03	9.510e-01	-1.081e-02	8.443e-01	-3.127e-01
127	1.322e-01	1.582e-02	2.644e-01	9.840e-07	4.997e-01
