Gene	Rho	P_val
ABCB1	-3.175e-02	5.637e-01
ABCC3	-8.036e-02	1.434e-01
ABL1	7.188e-02	1.907e-01
ABL2	1.909e-01	4.605e-04
ACTA2	-8.497e-02	1.218e-01
ACVR1B	-1.137e-01	3.805e-02
ADGRA2	-1.733e-01	1.499e-03
AJUBA	-1.517e-01	5.541e-03
AKT1	-1.576e-01	3.942e-03
AKT2	-1.353e-01	1.350e-02
AKT3	2.079e-01	1.327e-04
ALK	6.673e-02	2.246e-01
ALOX12B	4.051e-02	4.613e-01
AMER1	-2.182e-01	5.937e-05
ANKRD11	6.137e-03	9.112e-01
APC	-4.346e-02	4.292e-01
APOB	7.425e-02	1.765e-01
AR	2.227e-01	4.143e-05
ARAF	6.305e-02	2.513e-01
ARFRP1	-1.798e-01	9.813e-04
ARHGAP26	5.090e-02	3.544e-01
ARHGAP35	3.812e-02	4.881e-01
ARID1A	-1.256e-01	2.193e-02
ARID1B	-8.922e-02	1.041e-01
ARID2	-4.789e-02	3.837e-01
ARID5B	1.343e-02	8.070e-01
ASNS	-5.719e-03	9.172e-01
ASXL1	8.949e-02	1.031e-01
ASXL2	-1.501e-01	6.065e-03
ATIC	4.041e-02	4.624e-01
ATM	8.332e-03	8.796e-01
ATP7B	2.244e-02	6.833e-01
ATR	1.296e-01	1.799e-02
ATRX	-1.667e-01	2.275e-03
AURKA	-1.144e-01	3.690e-02
AURKB	-1.763e-01	1.237e-03
AXIN1	-1.333e-01	1.496e-02
AXIN2	-7.610e-03	8.900e-01
AXL	-7.282e-02	1.850e-01
B2M	1.791e-03	9.740e-01
BAP1	-4.420e-02	4.214e-01
BARD1	1.216e-01	2.644e-02
BCAR1	3.851e-02	4.837e-01
BCL10	-1.158e-01	3.464e-02
BCL11B	3.113e-02	5.714e-01
BCL2	6.194e-02	2.597e-01
BCL2L1	-1.779e-01	1.113e-03
BCL2L11	8.752e-02	1.109e-01
BCL2L12	1.625e-01	2.945e-03
BCL2L2	-2.741e-02	6.182e-01
BCL6	2.191e-02	6.903e-01
BCL7A	6.370e-02	2.463e-01
BCLAF1	9.923e-02	7.055e-02
BCOR	-6.727e-02	2.208e-01
BCORL1	-6.891e-02	2.097e-01
BCR	7.883e-02	1.512e-01
BIRC3	-1.179e-01	3.146e-02
BLM	4.726e-02	3.900e-01
BMPR1A	2.344e-02	6.699e-01
BRAF	-5.866e-02	2.858e-01
BRCA1	7.761e-02	1.577e-01
BRCA2	2.625e-02	6.331e-01
BRD4	-6.716e-02	2.216e-01
BRIP1	-9.674e-03	8.604e-01
BTG1	2.952e-02	5.915e-01
BTK	-1.164e-01	3.365e-02
BUB1B	-1.981e-01	2.745e-04
C11orf65	9.700e-02	7.712e-02
C3orf70	-1.436e-01	8.691e-03
C8orf34	4.943e-03	9.284e-01
CADM2	-5.601e-02	3.082e-01
CALR	1.186e-01	3.053e-02
CARD11	1.138e-01	3.787e-02
CASP8	6.532e-02	2.345e-01
CASR	9.804e-02	7.399e-02
CBFB	1.196e-01	2.916e-02
CBL	-3.926e-02	4.752e-01
CBLB	5.538e-02	3.136e-01
CBLC	9.464e-02	8.462e-02
CBR3	2.171e-01	6.505e-05
CCDC6	-1.019e-01	6.317e-02
CCND1	5.594e-02	3.088e-01
CCND2	-1.149e-01	3.610e-02
CCND3	-1.496e-01	6.231e-03
CCNE1	-2.464e-01	5.376e-06
CCNE2	-1.729e-01	1.539e-03
CD19	4.504e-02	4.127e-01
CD22	-2.239e-01	3.734e-05
CD274	4.417e-02	4.218e-01
CD276	2.497e-02	6.498e-01
CD40	1.486e-01	6.595e-03
CD70	2.839e-03	9.588e-01
CD79A	3.080e-02	5.754e-01
CD79B	6.792e-02	2.164e-01
CDC25A	1.066e-01	5.185e-02
CDC73	2.306e-01	2.147e-05
CDH1	-2.060e-01	1.531e-04
CDH2	2.283e-02	6.781e-01
CDK12	1.167e-01	3.334e-02
CDK4	2.869e-02	6.019e-01
CDK5	9.528e-02	8.255e-02
CDK6	3.326e-03	9.518e-01
CDK8	4.180e-02	4.471e-01
CDKN1A	-7.983e-02	1.461e-01
CDKN1B	-2.004e-01	2.329e-04
CDKN1C	-1.580e-01	3.840e-03
CDKN2A	-3.067e-01	1.100e-08
CDKN2B	2.837e-01	1.386e-07
CDKN2C	6.527e-02	2.349e-01
CEBPA	2.343e-01	1.556e-05
CEP57	-1.535e-01	5.010e-03
CFTR	-1.499e-02	7.852e-01
CHD2	-5.270e-02	3.377e-01
CHD4	1.451e-01	8.006e-03
CHEK1	1.707e-01	1.768e-03
CHEK2	3.360e-02	5.412e-01
CIC	-9.163e-02	9.507e-02
CIITA	-4.652e-02	3.974e-01
CKS1B	2.999e-01	2.399e-08
CREBBP	-6.859e-02	2.119e-01
CRKL	-1.472e-01	7.114e-03
CRLF2	1.347e-01	1.392e-02
CSF1R	-1.007e-01	6.639e-02
CSF3R	-7.260e-02	1.863e-01
CTC1	7.652e-02	1.636e-01
CTCF	-4.408e-02	4.227e-01
CTLA4	-5.057e-02	3.576e-01
CTNNA1	-3.055e-02	5.786e-01
CTNNB1	1.788e-02	7.451e-01
CTRC	-1.831e-01	7.864e-04
CUL3	-5.289e-02	3.359e-01
CUX1	4.243e-02	4.402e-01
CXCR4	3.216e-02	5.587e-01
CYLD	1.746e-01	1.384e-03
CYP1B1	1.272e-01	2.022e-02
CYP2D6	1.178e-02	8.304e-01
CYP3A5	-6.451e-02	2.404e-01
DAXX	-6.925e-02	2.075e-01
DDB2	-1.246e-01	2.291e-02
DDR2	-1.822e-01	8.358e-04
DDX3X	3.217e-02	5.585e-01
DICER1	1.548e-01	4.646e-03
DIS3	-8.366e-02	1.276e-01
DIS3L2	1.723e-02	7.541e-01
DKC1	-1.550e-01	4.580e-03
DMD	-3.136e-02	5.685e-01
DNM2	9.022e-03	8.697e-01
DNMT1	-7.034e-02	2.004e-01
DNMT3A	-1.902e-01	4.844e-04
DNMT3B	-1.053e-01	5.485e-02
DOT1L	-1.874e-02	7.333e-01
DPYD	3.512e-02	5.230e-01
DYNC2H1	1.275e-01	1.990e-02
E2F1	9.058e-02	9.893e-02
E2F2	2.277e-02	6.788e-01
E2F3	1.097e-01	4.539e-02
E2F4	9.381e-02	8.741e-02
E2F5	7.958e-02	1.473e-01
E2F6	-3.670e-03	9.468e-01
EBF1	9.737e-02	7.600e-02
ECT2L	9.554e-02	8.171e-02
EED	-1.015e-01	6.435e-02
EGF	-2.261e-02	6.809e-01
EGFL7	-1.087e-01	4.749e-02
EGFR	-1.010e-01	6.553e-02
EGLN1	-8.565e-02	1.188e-01
ELF3	-2.471e-01	5.058e-06
ELOC	-1.481e-02	7.877e-01
EMSY	1.738e-01	1.451e-03
ENG	1.599e-02	7.712e-01
EP300	-4.354e-02	4.284e-01
EPCAM	1.982e-01	2.729e-04
EPHA2	1.045e-02	8.494e-01
EPHA3	4.254e-02	4.391e-01
EPHA5	1.306e-01	1.707e-02
EPHA7	4.882e-02	3.745e-01
EPHB1	1.175e-01	3.208e-02
EPHB2	1.192e-02	8.284e-01
EPOR	-4.804e-03	9.304e-01
ERBB2	-1.101e-01	4.473e-02
ERBB3	4.063e-02	4.599e-01
ERBB4	-9.298e-02	9.028e-02
ERCC1	1.924e-01	4.148e-04
ERCC2	-2.732e-02	6.194e-01
ERCC3	1.749e-02	7.505e-01
ERCC4	-1.618e-02	7.686e-01
ERCC5	4.925e-03	9.287e-01
ERCC6	5.439e-02	3.224e-01
ERG	-6.109e-02	2.663e-01
ERRFI1	-1.084e-02	8.437e-01
ESR1	-1.273e-03	9.815e-01
ESR2	-1.377e-01	1.186e-02
ETS1	-1.275e-01	1.999e-02
ETS2	1.165e-01	3.361e-02
ETV1	3.525e-02	5.215e-01
ETV4	1.677e-01	2.132e-03
ETV5	-4.436e-02	4.197e-01
ETV6	-1.947e-01	3.523e-04
EWSR1	-1.999e-01	2.411e-04
EXT2	-6.725e-02	2.210e-01
