Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.11900e-01	9.45100e-53	7.73200e-01	1.85100e-67	9.20700e-01	unspecified
1	5.49600e-01	1.12100e-27	3.38800e-01	2.19200e-10	1.62200e+00	unspecified
2	3.23000e-01	1.58500e-09	4.04600e-01	1.50000e-14	7.98400e-01	unspecified
3	7.77800e-01	1.01200e-68	7.66500e-01	1.28500e-65	1.01500e+00	unspecified
4	6.03900e-01	1.77700e-34	6.15800e-01	3.80400e-36	9.80700e-01	unspecified
5	5.60700e-01	5.82700e-29	5.38600e-01	1.91700e-26	1.04100e+00	unspecified
10	8.71900e-02	1.12300e-01	8.80900e-02	1.08600e-01	9.89800e-01	unspecified
14	6.91200e-01	1.25900e-48	6.91500e-01	1.11600e-48	9.99600e-01	unspecified
15	5.83000e-01	1.05600e-31	5.26400e-01	3.92800e-25	1.10700e+00	unspecified
16	4.56200e-01	1.60600e-18	4.50900e-01	4.46300e-18	1.01200e+00	unspecified
17	2.42500e-01	7.63100e-06	2.28200e-01	2.62800e-05	1.06300e+00	unspecified
18	2.28200e-01	2.62800e-05	1.52400e-01	5.31100e-03	1.49700e+00	unspecified
23	7.38400e-01	1.40300e-58	7.41600e-01	2.44000e-59	9.95700e-01	unspecified
25	6.03800e-01	1.83600e-34	6.21100e-01	6.59900e-37	9.72200e-01	unspecified
26	1.72600e-01	1.57300e-03	-1.11600e-02	8.39200e-01	-1.54600e+01	unspecified
27	1.08800e-01	4.73100e-02	1.64300e-01	2.63100e-03	6.62000e-01	unspecified
30	-1.94800e-01	3.49500e-04	8.05500e-02	1.42500e-01	-2.41800e+00	unspecified
31	1.87100e-01	5.99500e-04	1.47600e-01	6.95800e-03	1.26700e+00	unspecified
34	2.61600e-01	1.29500e-06	3.37400e-01	2.62600e-10	7.75500e-01	unspecified
38	9.24500e-02	9.21300e-02	2.50300e-01	3.76900e-06	3.69400e-01	unspecified
39	1.89200e-01	5.19500e-04	1.59600e-01	3.50700e-03	1.18600e+00	unspecified
40	1.83900e-01	7.46300e-04	1.62200e-01	2.99600e-03	1.13400e+00	unspecified
41	1.05200e-01	5.51300e-02	1.69300e-02	7.58300e-01	6.21500e+00	unspecified
49	1.81600e-01	8.70100e-04	1.49200e-01	6.37800e-03	1.21700e+00	unspecified
54	1.77400e-01	1.15300e-03	1.65000e-01	2.53000e-03	1.07500e+00	unspecified
57	2.79000e-01	2.28100e-07	1.12200e-01	4.07500e-02	2.48700e+00	unspecified
61	2.99500e-02	5.86000e-01	5.06400e-04	9.92700e-01	5.91400e+01	unspecified
63	7.09700e-01	2.71100e-52	7.18900e-01	3.22600e-54	9.87300e-01	unspecified
64	6.93600e-01	4.41600e-49	5.26400e-01	3.92800e-25	1.31800e+00	unspecified
65	3.34400e-01	3.83500e-10	2.80400e-01	1.96200e-07	1.19200e+00	unspecified
67	6.80600e-01	1.24700e-46	1.66100e-01	2.35700e-03	4.09700e+00	unspecified
69	6.98800e-01	4.29000e-50	3.89600e-01	1.62000e-13	1.79400e+00	unspecified
71	6.72300e-01	3.89800e-45	4.91800e-01	1.09400e-21	1.36700e+00	unspecified
72	4.52400e-01	3.35400e-18	3.34400e-01	3.83500e-10	1.35300e+00	unspecified
74	1.12100e-01	4.09000e-02	1.21600e-01	2.64800e-02	9.21800e-01	unspecified
76	1.89800e-01	4.95600e-04	3.34000e-01	4.04500e-10	5.68400e-01	unspecified
77	5.35200e-01	4.48900e-26	2.69000e-01	6.25700e-07	1.98900e+00	unspecified
78	2.35600e-01	1.39800e-05	1.03800e-01	5.85600e-02	2.27000e+00	unspecified
79	2.67100e-01	7.61000e-07	2.42700e-01	7.51800e-06	1.10100e+00	unspecified
87	4.43500e-01	1.76600e-17	4.14600e-01	2.89400e-15	1.07000e+00	unspecified
88	-9.45700e-02	8.48600e-02	-3.36300e-02	5.40900e-01	2.81200e+00	unspecified
89	4.35000e-01	8.28700e-17	1.88300e-01	5.53400e-04	2.31100e+00	unspecified
90	2.53200e-01	2.87400e-06	1.78900e-01	1.04100e-03	1.41500e+00	unspecified
98	2.60700e-01	1.41800e-06	2.63600e-01	1.06800e-06	9.88900e-01	unspecified
99	1.25900e-01	2.15600e-02	-1.21700e-01	2.64000e-02	-1.03500e+00	unspecified
100	1.26600e-01	2.08700e-02	-1.21700e-01	2.64000e-02	-1.04000e+00	unspecified
108	3.64400e-02	5.07500e-01	-5.47600e-04	9.92100e-01	-6.65500e+01	unspecified
109	3.05200e-01	1.31300e-08	1.88300e-01	5.53400e-04	1.62100e+00	unspecified
110	-9.31200e-02	8.97700e-02	-7.52600e-02	1.70700e-01	1.23700e+00	unspecified
113	-3.36300e-02	5.40900e-01	1.56500e-02	7.76100e-01	-2.14900e+00	unspecified
115	3.37400e-01	2.62600e-10	1.87000e-01	6.02100e-04	1.80400e+00	unspecified
118	1.78900e-01	1.04100e-03	1.94500e-01	3.55800e-04	9.19700e-01	unspecified
120	-6.93200e-02	2.07000e-01	-2.53900e-02	6.44400e-01	2.73100e+00	unspecified
124	1.88300e-01	5.53400e-04	1.82400e-01	8.23100e-04	1.03200e+00	unspecified
127	2.50300e-01	3.76900e-06	2.76700e-01	2.89800e-07	9.04600e-01	unspecified
