Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.37200e-01	2.62800e-58	7.27000e-01	5.40700e-56	1.01400e+00	unspecified
1	6.04100e-01	1.65600e-34	4.19000e-01	1.37200e-15	1.44200e+00	unspecified
2	2.48200e-01	4.54600e-06	3.08800e-01	8.64800e-09	8.03800e-01	unspecified
3	6.98800e-01	4.41300e-50	7.00100e-01	2.39300e-50	9.98100e-01	unspecified
4	5.40000e-01	1.32600e-26	5.77400e-01	5.41600e-31	9.35400e-01	unspecified
5	5.14100e-01	7.28400e-24	4.91500e-01	1.17400e-21	1.04600e+00	unspecified
10	1.77100e-01	1.17400e-03	2.13400e-01	8.71100e-05	8.30100e-01	unspecified
14	6.19600e-01	1.10000e-36	5.97000e-01	1.52200e-33	1.03800e+00	unspecified
15	4.98900e-01	2.32400e-22	4.92200e-01	1.01500e-21	1.01400e+00	unspecified
16	4.40700e-01	2.94500e-17	4.43800e-01	1.66200e-17	9.93000e-01	unspecified
17	2.69900e-01	5.73600e-07	3.42900e-01	1.27200e-10	7.87100e-01	unspecified
18	3.42900e-01	1.27200e-10	1.03600e-01	5.89200e-02	3.31000e+00	unspecified
23	6.21000e-01	6.75800e-37	6.12000e-01	1.33100e-35	1.01500e+00	unspecified
25	5.70500e-01	3.81000e-30	5.54300e-01	3.22400e-28	1.02900e+00	unspecified
26	-1.04100e-01	5.76600e-02	5.16900e-02	3.47100e-01	-2.01500e+00	unspecified
27	1.71500e-01	1.68200e-03	5.09000e-02	3.54500e-01	3.37000e+00	unspecified
30	2.18000e-01	6.02800e-05	4.82200e-02	3.80400e-01	4.52100e+00	unspecified
31	2.89000e-01	7.89200e-08	2.11700e-01	9.89200e-05	1.36500e+00	unspecified
34	2.50400e-01	3.71600e-06	3.32200e-01	5.08300e-10	7.53900e-01	unspecified
38	7.98100e-02	1.46100e-01	1.52100e-01	5.41500e-03	5.24800e-01	unspecified
39	8.44400e-02	1.24100e-01	1.87800e-01	5.70200e-04	4.49500e-01	unspecified
40	1.12700e-01	3.98600e-02	2.48800e-02	6.51000e-01	4.52900e+00	unspecified
41	1.62200e-01	2.99500e-03	1.92500e-01	4.11100e-04	8.42500e-01	unspecified
49	-1.42200e-01	9.38000e-03	-4.80200e-02	3.82400e-01	2.96100e+00	unspecified
54	3.48400e-01	6.18600e-11	2.43500e-01	6.96100e-06	1.43100e+00	unspecified
57	2.48700e-01	4.34200e-06	1.65900e-01	2.38900e-03	1.49900e+00	unspecified
61	9.33600e-02	8.89600e-02	-1.51900e-02	7.82400e-01	-6.14600e+00	unspecified
63	6.63000e-01	1.58100e-43	6.42100e-01	4.21300e-40	1.03300e+00	unspecified
64	5.94700e-01	3.14000e-33	4.92200e-01	1.01500e-21	1.20800e+00	unspecified
65	3.31300e-01	5.70100e-10	2.68700e-01	6.49400e-07	1.23300e+00	unspecified
67	5.40500e-01	1.18300e-26	-8.99700e-02	1.01200e-01	-6.00700e+00	unspecified
69	6.00700e-01	4.84600e-34	3.79900e-01	7.08800e-13	1.58100e+00	unspecified
71	5.90900e-01	9.84200e-33	4.58100e-01	1.10500e-18	1.29000e+00	unspecified
72	3.70600e-01	2.79200e-12	3.31300e-01	5.70100e-10	1.11900e+00	unspecified
74	4.60100e-02	4.02700e-01	1.10600e-01	4.36300e-02	4.15800e-01	unspecified
76	2.18400e-01	5.86400e-05	2.15900e-01	7.12700e-05	1.01100e+00	unspecified
77	4.91600e-01	1.15200e-21	1.41700e-01	9.64700e-03	3.47100e+00	unspecified
78	2.68100e-01	6.86600e-07	1.54800e-01	4.64700e-03	1.73200e+00	unspecified
79	1.63800e-01	2.71200e-03	1.07900e-01	4.91200e-02	1.51800e+00	unspecified
87	2.58100e-01	1.80600e-06	2.63100e-01	1.12300e-06	9.81200e-01	unspecified
88	-7.16100e-02	1.92400e-01	-1.49800e-02	7.85300e-01	4.77900e+00	unspecified
89	2.77900e-01	2.54100e-07	1.11500e-01	4.19500e-02	2.49200e+00	unspecified
90	1.40900e-01	1.00600e-02	1.84200e-01	7.31200e-04	7.64800e-01	unspecified
98	6.59400e-02	2.30100e-01	1.34700e-01	1.39100e-02	4.89600e-01	unspecified
99	1.38300e-01	1.15000e-02	5.11200e-02	3.52400e-01	2.70600e+00	unspecified
100	1.62300e-01	2.97900e-03	5.11200e-02	3.52400e-01	3.17500e+00	unspecified
108	5.41100e-02	3.24900e-01	7.85900e-02	1.52500e-01	6.88600e-01	unspecified
109	2.32600e-01	1.80800e-05	1.11500e-01	4.19500e-02	2.08500e+00	unspecified
110	9.33800e-03	8.65200e-01	1.76400e-02	7.48400e-01	5.29300e-01	unspecified
113	-1.49800e-02	7.85300e-01	1.03200e-01	5.98300e-02	-1.45100e-01	unspecified
115	3.32200e-01	5.08300e-10	2.10400e-01	1.09900e-04	1.57900e+00	unspecified
118	1.84200e-01	7.31200e-04	1.76100e-01	1.25300e-03	1.04600e+00	unspecified
120	-4.41100e-02	4.22400e-01	-3.24600e-02	5.55000e-01	1.35900e+00	unspecified
124	1.11500e-01	4.19500e-02	1.12400e-01	4.03000e-02	9.91900e-01	unspecified
127	1.52100e-01	5.41500e-03	1.82500e-01	8.19100e-04	8.33300e-01	unspecified
