Gene	Rho	P_val
ABCB1	-1.060e-01	5.322e-02
ABCC3	-8.791e-02	1.093e-01
ABL1	1.268e-01	2.067e-02
ABL2	5.729e-02	2.972e-01
ACTA2	-1.433e-01	8.834e-03
ACVR1B	-6.226e-02	2.572e-01
ADGRA2	-9.057e-02	9.895e-02
AJUBA	-6.655e-02	2.258e-01
AKT1	-1.529e-01	5.166e-03
AKT2	-1.011e-01	6.527e-02
AKT3	5.646e-02	3.043e-01
ALK	-2.789e-02	6.120e-01
ALOX12B	1.030e-01	6.056e-02
AMER1	-2.035e-01	1.850e-04
ANKRD11	-2.153e-02	6.955e-01
APC	-1.239e-02	8.218e-01
APOB	1.572e-01	4.040e-03
AR	2.752e-01	3.379e-07
ARAF	1.342e-01	1.424e-02
ARFRP1	-2.279e-01	2.692e-05
ARHGAP26	2.008e-02	7.150e-01
ARHGAP35	3.996e-02	4.674e-01
ARID1A	-6.107e-02	2.664e-01
ARID1B	-6.195e-02	2.596e-01
ARID2	-7.460e-02	1.744e-01
ARID5B	-1.571e-03	9.772e-01
ASNS	5.531e-02	3.143e-01
ASXL1	1.498e-01	6.155e-03
ASXL2	-8.481e-02	1.224e-01
ATIC	-6.828e-02	2.140e-01
ATM	-5.076e-02	3.558e-01
ATP7B	5.900e-02	2.830e-01
ATR	1.819e-01	8.533e-04
ATRX	-1.608e-01	3.256e-03
AURKA	-2.377e-01	1.168e-05
AURKB	-4.470e-02	4.162e-01
AXIN1	-5.246e-02	3.399e-01
AXIN2	-1.266e-01	2.089e-02
AXL	1.154e-02	8.338e-01
B2M	1.410e-01	1.001e-02
BAP1	-2.255e-02	6.818e-01
BARD1	1.202e-01	2.835e-02
BCAR1	-4.467e-02	4.165e-01
BCL10	-7.013e-02	2.018e-01
BCL11B	1.122e-02	8.384e-01
BCL2	1.416e-01	9.688e-03
BCL2L1	-2.771e-01	2.764e-07
BCL2L11	1.051e-01	5.543e-02
BCL2L12	1.545e-01	4.720e-03
BCL2L2	-9.473e-02	8.432e-02
BCL6	5.439e-02	3.224e-01
BCL7A	5.259e-02	3.387e-01
BCLAF1	4.624e-02	4.003e-01
BCOR	-7.417e-02	1.769e-01
BCORL1	-7.353e-03	8.937e-01
BCR	-3.933e-02	4.745e-01
BIRC3	-2.098e-01	1.148e-04
BLM	7.435e-02	1.759e-01
BMPR1A	-1.106e-01	4.378e-02
BRAF	-1.285e-01	1.900e-02
BRCA1	1.803e-01	9.485e-04
BRCA2	-8.437e-02	1.244e-01
BRD4	-1.286e-01	1.894e-02
BRIP1	-7.193e-02	1.904e-01
BTG1	-9.016e-02	1.005e-01
BTK	-1.120e-01	4.118e-02
BUB1B	-2.102e-01	1.112e-04
C11orf65	1.047e-01	5.631e-02
C3orf70	-1.210e-01	2.731e-02
C8orf34	1.151e-02	8.342e-01
CADM2	-9.656e-02	7.850e-02
CALR	1.657e-01	2.422e-03
CARD11	1.188e-01	3.022e-02
CASP8	2.059e-01	1.548e-04
CASR	1.867e-01	6.177e-04
CBFB	-9.276e-03	8.661e-01
CBL	-2.235e-01	3.869e-05
CBLB	9.236e-02	9.243e-02
CBLC	1.182e-01	3.100e-02
CBR3	1.021e-02	8.528e-01
CCDC6	-8.983e-02	1.017e-01
CCND1	7.744e-03	8.880e-01
CCND2	-1.260e-01	2.141e-02
CCND3	-2.083e-01	1.289e-04
CCNE1	-2.156e-01	7.320e-05
CCNE2	-4.341e-02	4.298e-01
CD19	1.814e-01	8.830e-04
CD22	-5.614e-02	3.071e-01
CD274	-5.755e-02	2.951e-01
CD276	-1.510e-02	7.837e-01
CD40	1.569e-01	4.094e-03
CD70	1.178e-01	3.164e-02
CD79A	-7.124e-02	1.947e-01
CD79B	8.790e-02	1.093e-01
CDC25A	4.699e-02	3.927e-01
CDC73	1.029e-01	6.066e-02
CDH1	-1.589e-01	3.642e-03
CDH2	-5.503e-02	3.168e-01
CDK12	8.344e-02	1.286e-01
CDK4	-3.605e-02	5.121e-01
CDK5	-7.861e-02	1.523e-01
CDK6	-5.576e-02	3.103e-01
CDK8	1.595e-01	3.520e-03
CDKN1A	-3.495e-02	5.251e-01
CDKN1B	-1.152e-01	3.565e-02
CDKN1C	-1.590e-01	3.615e-03
CDKN2A	-2.937e-01	4.737e-08
CDKN2B	2.774e-01	2.696e-07
CDKN2C	6.901e-02	2.091e-01
CEBPA	3.502e-02	5.242e-01
CEP57	-1.204e-01	2.803e-02
CFTR	-1.261e-01	2.139e-02
CHD2	-7.294e-02	1.842e-01
CHD4	1.036e-01	5.902e-02
