Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.16300e-01	1.16900e-53	7.01500e-01	1.24700e-50	1.02100e+00	unspecified
1	6.00800e-01	4.79100e-34	4.32100e-01	1.39500e-16	1.39000e+00	unspecified
2	3.10300e-01	7.24400e-09	3.92500e-01	1.03700e-13	7.90700e-01	unspecified
3	6.65400e-01	6.01700e-44	6.54400e-01	4.47200e-42	1.01700e+00	unspecified
4	5.27600e-01	2.92600e-25	5.19500e-01	2.07200e-24	1.01600e+00	unspecified
5	4.07600e-01	9.18100e-15	4.25800e-01	4.25500e-16	9.57400e-01	unspecified
10	1.88500e-01	5.43700e-04	1.42900e-01	9.02600e-03	1.31900e+00	unspecified
14	5.82500e-01	1.22400e-31	5.71500e-01	2.92300e-30	1.01900e+00	unspecified
15	4.54100e-01	2.38600e-18	4.25300e-01	4.63900e-16	1.06800e+00	unspecified
16	4.00000e-01	3.15200e-14	3.79900e-01	7.11300e-13	1.05300e+00	unspecified
17	1.60300e-01	3.35300e-03	2.27000e-01	2.89300e-05	7.06200e-01	unspecified
18	2.27000e-01	2.89300e-05	8.74300e-02	1.11300e-01	2.59700e+00	unspecified
23	6.28900e-01	4.62100e-38	6.42800e-01	3.34500e-40	9.78400e-01	unspecified
25	4.63500e-01	3.88000e-19	5.64100e-01	2.25700e-29	8.21600e-01	unspecified
26	1.78700e-01	1.05300e-03	2.35500e-02	6.68500e-01	7.58900e+00	unspecified
27	1.47800e-01	6.88200e-03	1.91500e-01	4.41600e-04	7.72000e-01	unspecified
30	2.11200e-01	1.02800e-04	7.34000e-02	1.81500e-01	2.87800e+00	unspecified
31	1.50100e-01	6.05400e-03	1.00600e-01	6.66200e-02	1.49200e+00	unspecified
34	1.72300e-01	1.59600e-03	1.84800e-01	7.00600e-04	9.32400e-01	unspecified
38	2.00400e-01	2.32000e-04	1.97600e-01	2.86200e-04	1.01500e+00	unspecified
39	-3.18300e-02	5.62700e-01	5.76400e-02	2.94300e-01	-5.52200e-01	unspecified
40	2.78100e-01	2.49800e-07	1.88900e-01	5.30900e-04	1.47300e+00	unspecified
41	-2.99600e-02	5.85900e-01	2.83100e-02	6.06700e-01	-1.05800e+00	unspecified
49	-1.15000e-01	3.59500e-02	1.48800e-02	7.86800e-01	-7.73000e+00	unspecified
54	2.99600e-01	2.48100e-08	2.47100e-01	5.06200e-06	1.21300e+00	unspecified
57	1.26700e-01	2.07300e-02	1.26600e-01	2.08000e-02	1.00000e+00	unspecified
61	8.80800e-02	1.08600e-01	-3.38100e-02	5.38700e-01	-2.60500e+00	unspecified
63	6.17800e-01	2.00100e-36	5.86700e-01	3.45600e-32	1.05300e+00	unspecified
64	5.24000e-01	6.95800e-25	4.25300e-01	4.63900e-16	1.23200e+00	unspecified
65	3.32100e-01	5.11400e-10	2.07800e-01	1.34000e-04	1.59900e+00	unspecified
67	5.56100e-01	1.98800e-28	-1.37000e-01	1.23600e-02	-4.06000e+00	unspecified
69	5.75600e-01	8.85100e-31	3.83800e-01	3.97500e-13	1.50000e+00	unspecified
71	5.70900e-01	3.45800e-30	3.98100e-01	4.31400e-14	1.43400e+00	unspecified
72	3.41000e-01	1.63800e-10	3.32100e-01	5.11400e-10	1.02700e+00	unspecified
74	3.66900e-03	9.46800e-01	7.11900e-02	1.95100e-01	5.15500e-02	unspecified
76	1.31000e-01	1.68000e-02	1.84200e-01	7.32700e-04	7.11100e-01	unspecified
77	4.36300e-01	6.58700e-17	1.95600e-01	3.30300e-04	2.23100e+00	unspecified
78	1.39700e-01	1.07000e-02	1.30900e-01	1.68100e-02	1.06700e+00	unspecified
79	1.58200e-01	3.79900e-03	9.23800e-02	9.23600e-02	1.71300e+00	unspecified
87	3.11800e-01	6.11600e-09	2.37900e-01	1.14200e-05	1.31000e+00	unspecified
88	-1.09400e-01	4.59700e-02	1.32800e-01	1.53200e-02	-8.24200e-01	unspecified
89	2.58900e-01	1.68600e-06	1.02700e-01	6.11600e-02	2.52000e+00	unspecified
90	3.38000e-01	2.41900e-10	2.68700e-01	6.44500e-07	1.25800e+00	unspecified
98	1.68700e-01	2.01400e-03	1.76800e-01	1.19300e-03	9.53700e-01	unspecified
99	2.32100e-01	1.89100e-05	-1.20500e-02	8.26500e-01	-1.92500e+01	unspecified
100	1.19800e-01	2.88700e-02	-1.20500e-02	8.26500e-01	-9.93600e+00	unspecified
108	1.18900e-01	3.00900e-02	1.03100e-01	6.00800e-02	1.15300e+00	unspecified
109	1.71000e-01	1.73200e-03	1.02700e-01	6.11600e-02	1.66500e+00	unspecified
110	-5.01200e-02	3.61900e-01	-6.11100e-02	2.66100e-01	8.20200e-01	unspecified
113	1.32800e-01	1.53200e-02	1.25800e-01	2.17200e-02	1.05600e+00	unspecified
115	1.84800e-01	7.00600e-04	1.25300e-01	2.22200e-02	1.47500e+00	unspecified
118	2.68700e-01	6.44500e-07	2.61600e-01	1.30000e-06	1.02700e+00	unspecified
120	-4.31300e-02	4.32800e-01	1.16600e-01	3.34000e-02	-3.69800e-01	unspecified
124	1.02700e-01	6.11600e-02	9.52200e-02	8.27500e-02	1.07900e+00	unspecified
127	1.97600e-01	2.86200e-04	2.60700e-01	1.40700e-06	7.57700e-01	unspecified
