Gene	Rho	P_val
ABCB1	-1.733e-02	7.527e-01
ABCC3	-3.809e-02	4.885e-01
ABL1	7.656e-02	1.634e-01
ABL2	1.405e-01	1.027e-02
ACTA2	-1.314e-01	1.642e-02
ACVR1B	-5.586e-02	3.095e-01
ADGRA2	-1.288e-01	1.874e-02
AJUBA	-1.734e-01	1.492e-03
AKT1	-1.681e-01	2.082e-03
AKT2	-7.183e-02	1.910e-01
AKT3	1.582e-01	3.795e-03
ALK	4.932e-02	3.696e-01
ALOX12B	1.279e-01	1.952e-02
AMER1	-1.908e-01	4.636e-04
ANKRD11	2.535e-02	6.448e-01
APC	6.623e-03	9.042e-01
APOB	1.539e-01	4.871e-03
AR	2.042e-01	1.757e-04
ARAF	9.364e-02	8.798e-02
ARFRP1	-2.115e-01	1.006e-04
ARHGAP26	3.378e-02	5.390e-01
ARHGAP35	1.244e-01	2.318e-02
ARID1A	-2.765e-02	6.151e-01
ARID1B	-1.040e-01	5.806e-02
ARID2	-2.889e-02	5.994e-01
ARID5B	1.978e-02	7.191e-01
ASNS	-2.602e-02	6.361e-01
ASXL1	1.195e-01	2.921e-02
ASXL2	-1.132e-01	3.888e-02
ATIC	-7.482e-02	1.732e-01
ATM	5.617e-03	9.187e-01
ATP7B	1.118e-02	8.389e-01
ATR	1.764e-01	1.230e-03
ATRX	-1.221e-01	2.583e-02
AURKA	-1.884e-01	5.480e-04
AURKB	-1.335e-01	1.478e-02
AXIN1	-3.788e-02	4.909e-01
AXIN2	-5.938e-02	2.800e-01
AXL	7.778e-03	8.875e-01
B2M	-4.244e-02	4.402e-01
BAP1	2.767e-02	6.149e-01
BARD1	1.410e-01	9.999e-03
BCAR1	4.575e-02	4.053e-01
BCL10	4.856e-02	3.771e-01
BCL11B	-6.568e-02	2.319e-01
BCL2	1.644e-01	2.623e-03
BCL2L1	-1.819e-01	8.561e-04
BCL2L11	2.683e-02	6.257e-01
BCL2L12	-2.109e-02	7.013e-01
BCL2L2	-2.701e-02	6.233e-01
BCL6	-2.619e-02	6.339e-01
BCL7A	6.250e-02	2.554e-01
BCLAF1	3.328e-02	5.451e-01
BCOR	-5.224e-02	3.420e-01
BCORL1	3.463e-03	9.498e-01
BCR	5.235e-02	3.409e-01
BIRC3	-1.361e-01	1.291e-02
BLM	7.435e-02	1.759e-01
BMPR1A	-9.575e-02	8.104e-02
BRAF	-6.966e-02	2.048e-01
BRCA1	1.491e-01	6.422e-03
BRCA2	-8.865e-02	1.063e-01
BRD4	-2.763e-02	6.154e-01
BRIP1	-6.421e-02	2.426e-01
BTG1	1.173e-02	8.312e-01
BTK	-1.323e-01	1.573e-02
BUB1B	-1.311e-01	1.664e-02
C11orf65	1.233e-02	8.227e-01
C3orf70	-9.072e-02	9.838e-02
C8orf34	2.433e-02	6.582e-01
CADM2	-8.449e-02	1.239e-01
CALR	6.214e-02	2.582e-01
CARD11	8.545e-02	1.196e-01
CASP8	3.469e-02	5.282e-01
CASR	1.157e-01	3.476e-02
CBFB	2.537e-02	6.445e-01
CBL	-8.080e-02	1.412e-01
CBLB	9.990e-02	6.865e-02
CBLC	9.012e-02	1.007e-01
CBR3	9.646e-02	7.879e-02
CCDC6	-1.631e-01	2.827e-03
CCND1	4.426e-02	4.208e-01
CCND2	-1.312e-01	1.658e-02
CCND3	-2.175e-01	6.255e-05
CCNE1	-1.245e-01	2.303e-02
CCNE2	-7.312e-02	1.831e-01
CD19	1.148e-01	3.625e-02
CD22	-1.074e-01	5.020e-02
CD274	3.496e-03	9.493e-01
CD276	2.297e-02	6.762e-01
CD40	1.630e-01	2.856e-03
CD70	3.640e-02	5.080e-01
CD79A	-3.912e-02	4.768e-01
CD79B	5.172e-02	3.468e-01
CDC25A	1.615e-01	3.123e-03
CDC73	1.139e-01	3.774e-02
CDH1	-1.836e-01	7.597e-04
CDH2	-7.666e-02	1.628e-01
CDK12	1.095e-01	4.584e-02
CDK4	9.528e-03	8.625e-01
CDK5	1.087e-01	4.753e-02
CDK6	4.613e-02	4.014e-01
CDK8	8.492e-03	8.773e-01
CDKN1A	3.044e-02	5.799e-01
CDKN1B	-1.436e-01	8.681e-03
CDKN1C	-1.431e-01	8.909e-03
CDKN2A	-2.526e-01	3.036e-06
CDKN2B	2.363e-01	1.310e-05
CDKN2C	1.163e-01	3.388e-02
CEBPA	1.318e-01	1.613e-02
CEP57	-9.153e-02	9.543e-02
CFTR	1.202e-02	8.271e-01
CHD2	-6.615e-02	2.286e-01
CHD4	1.656e-01	2.433e-03
CHEK1	1.677e-01	2.143e-03
CHEK2	-2.041e-02	7.106e-01
CIC	6.179e-02	2.608e-01
CIITA	1.047e-01	5.637e-02
CKS1B	2.166e-01	6.743e-05
