Term	P_rho	P_pval	C_rho	C_pval	RLIPP	Disease
0	7.67500e-01	6.74100e-66	7.94400e-01	1.14100e-73	9.66100e-01	unspecified
1	6.04600e-01	1.42000e-34	3.14000e-01	4.70400e-09	1.92600e+00	unspecified
2	2.74300e-01	3.67100e-07	3.49300e-01	5.46300e-11	7.85400e-01	unspecified
3	7.58500e-01	1.61800e-63	7.51000e-01	1.26100e-61	1.01000e+00	unspecified
4	6.00900e-01	4.55700e-34	6.09900e-01	2.63700e-35	9.85300e-01	unspecified
5	5.49300e-01	1.20700e-27	5.64200e-01	2.18600e-29	9.73600e-01	unspecified
10	1.34900e-01	1.37700e-02	6.25600e-02	2.54900e-01	2.15600e+00	unspecified
14	6.23400e-01	3.04600e-37	6.27100e-01	8.58600e-38	9.94100e-01	unspecified
15	4.57600e-01	1.23800e-18	4.18500e-01	1.50200e-15	1.09300e+00	unspecified
16	4.71900e-01	7.23000e-20	4.73900e-01	4.78600e-20	9.95700e-01	unspecified
17	1.64400e-01	2.62000e-03	1.74800e-01	1.35900e-03	9.40200e-01	unspecified
18	1.74800e-01	1.35900e-03	9.73800e-02	7.59700e-02	1.79500e+00	unspecified
23	7.21500e-01	8.83600e-55	7.04500e-01	3.10200e-51	1.02400e+00	unspecified
25	5.96300e-01	1.90200e-33	6.24800e-01	1.88900e-37	9.54500e-01	unspecified
26	1.51300e-01	5.65800e-03	3.40600e-02	5.35600e-01	4.44200e+00	unspecified
27	1.30100e-01	1.75500e-02	1.49300e-01	6.33700e-03	8.71200e-01	unspecified
30	1.09100e-01	4.66500e-02	1.15000e-01	3.59700e-02	9.48900e-01	unspecified
31	2.32600e-01	1.80900e-05	2.09000e-01	1.22400e-04	1.11300e+00	unspecified
34	1.39000e-01	1.11000e-02	3.31700e-01	5.42800e-10	4.19100e-01	unspecified
38	1.64900e-01	2.53400e-03	1.43800e-01	8.58200e-03	1.14700e+00	unspecified
39	1.83700e-01	7.58800e-04	1.86700e-01	6.14600e-04	9.83400e-01	unspecified
40	2.00400e-01	2.33500e-04	2.04900e-01	1.66600e-04	9.77800e-01	unspecified
41	2.40100e-01	9.41400e-06	2.03500e-01	1.84300e-04	1.18000e+00	unspecified
49	2.21900e-01	4.39100e-05	1.51600e-01	5.58500e-03	1.46400e+00	unspecified
54	1.56400e-01	4.22400e-03	1.10600e-01	4.37900e-02	1.41500e+00	unspecified
57	2.31900e-01	1.92000e-05	1.64800e-01	2.55300e-03	1.40700e+00	unspecified
61	8.46900e-02	1.23000e-01	1.82200e-02	7.40400e-01	4.64800e+00	unspecified
63	6.38100e-01	1.79000e-39	6.35900e-01	3.93300e-39	1.00300e+00	unspecified
64	6.08500e-01	4.08700e-35	4.18500e-01	1.50200e-15	1.45400e+00	unspecified
65	3.34100e-01	3.99300e-10	2.24500e-01	3.54900e-05	1.48800e+00	unspecified
67	5.91500e-01	8.28600e-33	-8.13700e-02	1.38400e-01	-7.26900e+00	unspecified
69	6.45200e-01	1.35600e-40	3.73300e-01	1.88800e-12	1.72800e+00	unspecified
71	6.33000e-01	1.10500e-38	5.09200e-01	2.30500e-23	1.24300e+00	unspecified
72	3.71100e-01	2.60800e-12	3.34100e-01	3.99300e-10	1.11100e+00	unspecified
74	2.75900e-02	6.15900e-01	8.25400e-02	1.32800e-01	3.34200e-01	unspecified
76	1.93200e-01	3.91100e-04	3.43400e-01	1.19100e-10	5.62600e-01	unspecified
77	5.84800e-01	6.19700e-32	3.42800e-01	1.29100e-10	1.70600e+00	unspecified
78	1.52900e-01	5.17300e-03	1.20500e-01	2.78700e-02	1.26900e+00	unspecified
79	1.85600e-01	6.64200e-04	1.59200e-01	3.59200e-03	1.16600e+00	unspecified
87	3.73600e-01	1.79900e-12	3.08800e-01	8.63600e-09	1.21000e+00	unspecified
88	6.05000e-02	2.71000e-01	1.10700e-01	4.35100e-02	5.46500e-01	unspecified
89	3.01300e-01	2.03500e-08	5.54600e-02	3.13000e-01	5.43400e+00	unspecified
90	2.73600e-01	3.94600e-07	2.30700e-01	2.12200e-05	1.18600e+00	unspecified
98	2.18700e-01	5.68900e-05	1.86300e-01	6.35600e-04	1.17400e+00	unspecified
99	1.13300e-01	3.87700e-02	3.17000e-02	5.64300e-01	3.57400e+00	unspecified
100	1.49200e-01	6.36200e-03	3.17000e-02	5.64300e-01	4.70700e+00	unspecified
108	9.75100e-02	7.55800e-02	9.20900e-02	9.34100e-02	1.05900e+00	unspecified
109	1.47400e-01	7.04700e-03	5.54600e-02	3.13000e-01	2.65800e+00	unspecified
110	-4.69300e-02	3.93300e-01	-5.47600e-02	3.19100e-01	8.56900e-01	unspecified
113	1.10700e-01	4.35100e-02	1.04400e-01	5.71300e-02	1.06100e+00	unspecified
115	3.31700e-01	5.42800e-10	1.43900e-01	8.56700e-03	2.30600e+00	unspecified
118	2.30700e-01	2.12200e-05	2.30600e-01	2.14900e-05	1.00100e+00	unspecified
120	-2.44700e-02	6.56400e-01	-2.13500e-03	9.69000e-01	1.14600e+01	unspecified
124	5.54600e-02	3.13000e-01	4.27300e-02	4.37000e-01	1.29800e+00	unspecified
127	1.43800e-01	8.58200e-03	3.11100e-01	6.62700e-09	4.62300e-01	unspecified
