Gene	Rho	P_val
ABCB1	2.415e-02	6.606e-01
ABCC3	-9.393e-02	8.702e-02
ABL1	9.204e-02	9.356e-02
ABL2	1.813e-01	8.901e-04
ACTA2	-1.259e-01	2.160e-02
ACVR1B	-1.238e-02	8.219e-01
ADGRA2	-1.429e-01	9.012e-03
AJUBA	-1.799e-01	9.763e-04
AKT1	-1.667e-01	2.270e-03
AKT2	-8.116e-02	1.394e-01
AKT3	1.919e-01	4.303e-04
ALK	1.780e-03	9.742e-01
ALOX12B	5.192e-02	3.449e-01
AMER1	-1.221e-01	2.588e-02
ANKRD11	4.869e-02	3.758e-01
APC	-1.248e-02	8.206e-01
APOB	1.239e-01	2.372e-02
AR	1.695e-01	1.907e-03
ARAF	5.999e-02	2.750e-01
ARFRP1	-1.858e-01	6.535e-04
ARHGAP26	5.090e-02	3.544e-01
ARHGAP35	5.670e-02	3.022e-01
ARID1A	3.070e-02	5.767e-01
ARID1B	-2.534e-02	6.450e-01
ARID2	6.479e-03	9.062e-01
ARID5B	-1.621e-03	9.765e-01
ASNS	1.858e-02	7.355e-01
ASXL1	1.296e-01	1.799e-02
ASXL2	-1.413e-01	9.829e-03
ATIC	-4.946e-02	3.683e-01
ATM	-2.849e-02	6.044e-01
ATP7B	1.786e-02	7.454e-01
ATR	1.739e-01	1.444e-03
ATRX	-1.785e-01	1.069e-03
AURKA	-1.572e-01	4.027e-03
AURKB	-1.113e-01	4.236e-02
AXIN1	-2.447e-02	6.564e-01
AXIN2	1.826e-02	7.400e-01
AXL	-3.347e-02	5.428e-01
B2M	2.546e-03	9.631e-01
BAP1	1.194e-01	2.938e-02
BARD1	1.094e-01	4.597e-02
BCAR1	1.154e-02	8.339e-01
BCL10	7.852e-02	1.528e-01
BCL11B	-4.733e-02	3.892e-01
BCL2	1.224e-01	2.552e-02
BCL2L1	-2.314e-01	1.998e-05
BCL2L11	1.737e-02	7.521e-01
BCL2L12	-2.337e-02	6.709e-01
BCL2L2	-5.504e-02	3.167e-01
BCL6	4.368e-02	4.269e-01
BCL7A	6.967e-02	2.048e-01
BCLAF1	6.914e-02	2.082e-01
BCOR	1.477e-02	7.883e-01
BCORL1	6.179e-04	9.910e-01
BCR	9.279e-02	9.091e-02
BIRC3	-8.343e-02	1.287e-01
BLM	9.452e-02	8.505e-02
BMPR1A	-3.725e-02	4.982e-01
BRAF	-1.205e-02	8.266e-01
BRCA1	8.718e-02	1.123e-01
BRCA2	-1.019e-01	6.337e-02
BRD4	-4.047e-02	4.618e-01
BRIP1	-1.821e-02	7.406e-01
BTG1	3.841e-02	4.848e-01
BTK	-5.163e-02	3.476e-01
BUB1B	-1.682e-01	2.073e-03
C11orf65	2.020e-02	7.134e-01
C3orf70	-1.251e-01	2.247e-02
C8orf34	-2.873e-02	6.014e-01
CADM2	-6.690e-02	2.234e-01
CALR	1.370e-01	1.233e-02
CARD11	1.123e-01	4.060e-02
CASP8	2.532e-02	6.452e-01
CASR	8.759e-02	1.106e-01
CBFB	7.727e-02	1.595e-01
CBL	-6.028e-02	2.727e-01
CBLB	1.014e-01	6.450e-02
CBLC	1.036e-01	5.889e-02
CBR3	8.396e-02	1.262e-01
CCDC6	-1.252e-01	2.230e-02
CCND1	-7.495e-02	1.724e-01
CCND2	-4.528e-02	4.102e-01
CCND3	-1.961e-01	3.171e-04
CCNE1	-1.735e-01	1.483e-03
CCNE2	-1.021e-01	6.286e-02
CD19	8.789e-02	1.094e-01
CD22	-1.512e-01	5.713e-03
CD274	-3.546e-03	9.486e-01
CD276	1.079e-01	4.915e-02
CD40	1.820e-01	8.490e-04
CD70	3.782e-02	4.915e-01
CD79A	-2.147e-02	6.963e-01
CD79B	3.521e-02	5.219e-01
CDC25A	1.126e-01	4.006e-02
CDC73	2.133e-01	8.731e-05
CDH1	-1.946e-01	3.551e-04
CDH2	-2.585e-02	6.383e-01
CDK12	3.060e-02	5.779e-01
CDK4	2.977e-02	5.883e-01
CDK5	1.280e-01	1.945e-02
CDK6	-6.795e-03	9.017e-01
CDK8	7.472e-02	1.738e-01
CDKN1A	4.214e-02	4.435e-01
CDKN1B	-3.684e-02	5.028e-01
CDKN1C	-1.573e-01	3.997e-03
CDKN2A	-4.466e-01	9.938e-18
CDKN2B	4.336e-01	1.071e-16
CDKN2C	-2.494e-02	6.502e-01
CEBPA	1.361e-01	1.291e-02
CEP57	-9.032e-02	9.988e-02
CFTR	-9.782e-03	8.588e-01
CHD2	-4.565e-02	4.063e-01
CHD4	1.113e-01	4.238e-02
CHEK1	1.588e-01	3.675e-03
CHEK2	-4.854e-02	3.773e-01
CIC	-8.450e-02	1.238e-01
CIITA	4.019e-02	4.648e-01
CKS1B	3.255e-01	1.167e-09
CREBBP	-7.522e-02	1.709e-01
CRKL	-2.035e-01	1.849e-04
CRLF2	6.334e-02	2.490e-01
CSF1R	-3.829e-02	4.862e-01
CSF3R	-7.970e-03	8.848e-01
CTC1	8.428e-02	1.248e-01
CTCF	3.906e-02	4.774e-01
CTLA4	4.789e-03	9.306e-01
CTNNA1	1.393e-02	8.001e-01
CTNNB1	1.565e-02	7.760e-01
CTRC	-1.199e-01	2.866e-02
CUL3	-1.252e-01	2.226e-02
CUX1	1.073e-02	8.453e-01
CXCR4	3.771e-02	4.929e-01
CYLD	1.872e-01	5.965e-04
CYP1B1	4.250e-02	4.395e-01
CYP2D6	1.953e-02	7.225e-01
CYP3A5	-5.614e-02	3.070e-01
DAXX	6.683e-03	9.033e-01
DDB2	-4.959e-02	3.670e-01
DDR2	-2.294e-01	2.372e-05
DDX3X	2.549e-02	6.430e-01
DICER1	1.027e-01	6.114e-02
DIS3	-1.073e-01	5.049e-02
DIS3L2	-2.845e-02	6.049e-01
DKC1	-7.463e-02	1.742e-01
DMD	-1.008e-02	8.546e-01
DNM2	-8.483e-03	8.774e-01
DNMT1	-7.051e-02	1.993e-01
DNMT3A	-2.336e-01	1.653e-05
DNMT3B	-1.796e-01	9.956e-04
DOT1L	-9.446e-02	8.525e-02
DPYD	-3.247e-02	5.549e-01
DYNC2H1	3.963e-02	4.711e-01
E2F1	1.427e-01	9.110e-03
E2F2	-4.953e-02	3.676e-01
E2F3	1.273e-01	2.019e-02
E2F4	5.544e-02	3.131e-01
E2F5	3.981e-02	4.690e-01
E2F6	1.388e-02	8.008e-01
EBF1	5.724e-02	2.977e-01
ECT2L	3.951e-02	4.724e-01
EED	-1.423e-02	7.958e-01
EGF	5.088e-02	3.546e-01
EGFL7	-6.599e-02	2.298e-01
EGFR	-6.811e-02	2.151e-01
EGLN1	-1.543e-01	4.781e-03
ELF3	-2.181e-01	5.981e-05
ELOC	-2.716e-02	6.214e-01
EMSY	6.383e-02	2.454e-01
ENG	-3.566e-02	5.167e-01
EP300	-2.692e-02	6.244e-01
EPCAM	1.640e-01	2.686e-03
EPHA2	1.226e-02	8.237e-01
EPHA3	7.307e-02	1.834e-01
EPHA5	1.110e-01	4.292e-02
EPHA7	1.329e-01	1.521e-02
EPHB1	9.651e-02	7.865e-02
EPHB2	-5.787e-02	2.924e-01
EPOR	-1.698e-02	7.576e-01
ERBB2	-6.923e-02	2.076e-01
ERBB3	3.251e-02	5.544e-01
ERBB4	-1.483e-01	6.724e-03
ERCC1	1.792e-01	1.021e-03
ERCC2	-9.584e-03	8.617e-01
ERCC3	-2.792e-02	6.116e-01
ERCC4	-1.016e-02	8.535e-01
ERCC5	9.572e-02	8.113e-02
ERCC6	7.052e-02	1.993e-01
ERG	-6.968e-02	2.047e-01
ERRFI1	-4.968e-02	3.661e-01
ESR1	-5.008e-02	3.623e-01
ESR2	-1.399e-01	1.057e-02
ETS1	-1.122e-01	4.078e-02
ETS2	-2.203e-02	6.888e-01
ETV1	2.150e-02	6.959e-01
ETV4	2.000e-01	2.401e-04
ETV5	-4.235e-02	4.411e-01
ETV6	-1.181e-01	3.122e-02
EWSR1	-1.949e-01	3.459e-04
EXT2	3.017e-02	5.833e-01
EZH2	3.049e-02	5.793e-01
FAM46C	3.523e-03	9.489e-01
FANCA	4.281e-02	4.362e-01
FANCB	-3.794e-02	4.902e-01
FANCC	1.524e-01	5.334e-03
FANCD2	1.111e-01	4.281e-02
FANCE	-1.691e-01	1.961e-03
FANCF	-3.875e-02	4.810e-01
FANCG	3.276e-03	9.525e-01
FANCI	2.288e-02	6.775e-01
FANCL	-6.424e-02	2.424e-01
FANCM	6.468e-02	2.391e-01
FAS	3.037e-02	5.807e-01
FAT1	1.327e-02	8.093e-01
FBXO11	-1.584e-02	7.733e-01
FBXW7	-2.245e-02	6.831e-01
FCGR2A	1.719e-01	1.645e-03
FCGR3A	-2.253e-01	3.336e-05
FDPS	2.000e-01	2.402e-04
FGF1	6.251e-02	2.553e-01
FGF10	2.994e-01	2.528e-08
FGF14	2.177e-01	6.189e-05
FGF19	-6.812e-02	2.151e-01
FGF2	1.316e-02	8.109e-01
FGF23	-9.490e-02	8.377e-02
FGF3	-3.785e-02	4.913e-01
FGF4	5.065e-02	3.569e-01
FGF5	-7.659e-02	1.632e-01
FGF6	-1.091e-01	4.662e-02
FGF7	6.337e-02	2.488e-01
FGF8	1.107e-01	4.354e-02
FGF9	2.475e-02	6.528e-01
FGFR1	-1.296e-01	1.794e-02
FGFR2	-1.122e-02	8.384e-01
FGFR3	-6.798e-02	2.159e-01
FGFR4	2.625e-03	9.619e-01
FH	-1.436e-01	8.683e-03
FHIT	-9.514e-02	8.301e-02
FLCN	-6.877e-02	2.107e-01
FLG	-3.442e-01	1.082e-10
FLT1	2.542e-02	6.440e-01
FLT3	5.567e-02	3.112e-01
FLT4	8.306e-03	8.800e-01
FNTB	-8.815e-02	1.083e-01
FOXA1	2.083e-01	1.282e-04
FOXL2	-1.808e-01	9.159e-04
FOXO1	9.679e-04	9.860e-01
FOXO3	6.229e-03	9.098e-01
FOXP1	-1.847e-02	7.371e-01
FOXQ1	4.955e-02	3.674e-01
FRS2	-3.000e-02	5.854e-01
FUBP1	6.249e-02	2.554e-01
FUS	-1.181e-01	3.115e-02
FYN	-1.302e-03	9.811e-01
G6PD	-3.708e-02	5.002e-01
GABRA6	-3.791e-02	4.905e-01
GALNT12	-7.163e-02	1.923e-01
GATA1	6.087e-03	9.119e-01
GATA2	5.725e-02	2.976e-01
GATA3	-2.183e-02	6.914e-01
GATA4	1.064e-01	5.242e-02
GATA6	5.368e-02	3.287e-01
GEN1	1.870e-01	6.022e-04
GID4	4.554e-02	4.074e-01
GLI1	-8.460e-02	1.234e-01
GLI2	4.935e-02	3.693e-01
GLI3	-1.181e-01	3.117e-02
GNA11	-9.482e-04	9.862e-01
GNA13	4.177e-02	4.474e-01
GNAQ	-1.499e-02	7.853e-01
GNAS	-9.561e-02	8.149e-02
GPC3	-4.120e-02	4.536e-01
GPER1	9.670e-02	7.804e-02
GPS2	1.579e-01	3.870e-03
GREM1	-9.637e-02	7.907e-02
GRIN2A	4.343e-02	4.296e-01
GRM3	-8.024e-02	1.440e-01
GSK3B	-1.681e-01	2.083e-03
GSTP1	-3.346e-02	5.429e-01
H3F3A	-2.352e-02	6.689e-01
H3F3C	-2.790e-02	6.120e-01
HAS3	1.180e-01	3.134e-02
HAVCR2	3.596e-02	5.132e-01
HDAC1	5.409e-02	3.251e-01
HDAC2	-4.121e-03	9.403e-01
HDAC3	-9.277e-02	9.100e-02
HDAC4	-7.059e-02	1.988e-01
HDAC5	-4.390e-02	4.246e-01
HGF	5.551e-02	3.126e-01
HIF1A	-3.588e-02	5.141e-01
HIST1H1C	5.227e-02	3.417e-01
HIST1H1E	-8.968e-02	1.023e-01
HIST1H2BD	4.570e-02	4.058e-01
HIST1H3F	-8.574e-02	1.184e-01
HIST1H4E	7.802e-02	1.554e-01
HIST3H3	4.063e-02	4.599e-01
HLA-A	1.219e-01	2.613e-02
HLA-B	-9.020e-02	1.003e-01
HLA-C	7.998e-02	1.453e-01
HLA-DMA	7.035e-02	2.004e-01
HLA-DMB	-5.987e-02	2.760e-01
HLA-DOA	-2.224e-02	6.860e-01
HLA-DOB	2.224e-02	6.860e-01
HLA-DPA1	6.663e-02	2.253e-01
HLA-DPB1	1.008e-01	6.611e-02
HLA-DQA1	1.846e-01	7.111e-04
HLA-DQA2	3.907e-02	4.774e-01
HLA-DQB1	-1.721e-01	1.617e-03
HLA-DQB2	9.048e-02	9.928e-02
HLA-DRA	2.540e-01	2.671e-06
HLA-DRB1	-2.100e-01	1.133e-04
HLA-DRB5	-1.769e-01	1.190e-03
HLA-E	-1.797e-01	9.911e-04
HLA-F	-1.786e-01	1.060e-03
HLA-G	1.548e-01	4.633e-03
HNF1A	-7.143e-02	1.936e-01
HNF1B	5.504e-03	9.203e-01
HOXB13	9.164e-02	9.503e-02
HRAS	1.969e-01	3.009e-04
HSD3B1	-1.566e-01	4.173e-03
HSP90AA1	-5.542e-02	3.133e-01
HSPH1	2.284e-02	6.780e-01
IDH1	-5.062e-02	3.571e-01
IDH2	-3.688e-02	5.024e-01
IDO1	3.197e-02	5.610e-01
IFIT1	8.669e-02	1.144e-01
IFIT2	-2.368e-02	6.668e-01
IFIT3	-3.232e-02	5.567e-01
IFNAR1	-6.476e-03	9.063e-01
IFNAR2	-2.683e-02	6.257e-01
IFNGR1	-1.905e-02	7.290e-01
IFNGR2	-7.268e-02	1.858e-01
IFNL3	-1.034e-01	5.943e-02
IGF1	-2.126e-02	6.991e-01
IGF1R	-3.343e-02	5.432e-01
IGF2	-6.213e-02	2.583e-01
IKBKE	2.139e-01	8.343e-05
IKZF1	1.105e-01	4.398e-02
IKZF3	-9.661e-03	8.606e-01
IL10RA	-1.158e-01	3.459e-02
IL15	nan	nan
IL2RA	2.145e-02	6.965e-01
IL6R	-3.426e-01	1.336e-10
IL7R	3.417e-01	1.490e-10
ING1	2.222e-01	4.287e-05
INHBA	-9.565e-02	8.137e-02
INPP4A	2.516e-02	6.474e-01
INPP4B	1.110e-02	8.401e-01
INPPL1	1.143e-01	3.702e-02
INSR	-1.944e-02	7.237e-01
IRF1	4.564e-02	4.065e-01
IRF2	9.327e-02	8.926e-02
IRF4	-4.756e-02	3.870e-01
IRS1	-2.308e-01	2.109e-05
IRS2	2.236e-01	3.820e-05
ITPKB	-5.840e-02	2.879e-01
JAK1	-2.728e-02	6.199e-01
JAK2	-1.130e-01	3.926e-02
JAK3	2.742e-02	6.181e-01
JUN	8.150e-02	1.378e-01
KAT6A	2.874e-02	6.013e-01
KDM5A	9.733e-02	7.613e-02
KDM5C	-2.083e-02	7.048e-01
KDM6A	-7.361e-02	1.802e-01
KDM6B	-3.687e-02	5.026e-01
KDR	-8.271e-02	1.320e-01
KEAP1	-1.035e-01	5.927e-02
KEL	5.671e-03	9.179e-01
KIF1B	1.370e-01	1.234e-02
KIT	5.031e-02	3.601e-01
KLF4	1.343e-01	1.417e-02
KLHL6	5.898e-02	2.832e-01
KLLN	1.610e-01	3.223e-03
KMT2A	2.506e-02	6.486e-01
KMT2B	-1.285e-01	1.900e-02
KMT2C	3.533e-02	5.205e-01
